,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Hold,481.63,0,0,0,10000,0.0,10000.0
20120110,Hold,483.0,0,0,0,10000,0.0,10000.0
20120111,Hold,477.57,0,0,0,10000,0.0,10000.0
20120112,Hold,473.57,0,0,0,10000,0.0,10000.0
20120113,Hold,487.57,0,0,0,10000,0.0,10000.0
20120117,Buy,497.06,20,-9946.1706,20,53.829,-4.971,9995.029
20120118,Hold,521.0,0,0,20,53.829,473.829,10473.829
20120119,Hold,521.41,0,0,20,53.829,482.029,10482.029
20120120,Hold,517.12,0,0,20,53.829,396.229,10396.229
20120123,Hold,514.97,0,0,20,53.829,353.229,10353.229
20120124,Hold,523.79,0,0,20,53.829,529.629,10529.629
20120125,Hold,529.97,0,0,20,53.829,653.229,10653.229
20120126,Sell,523.8,-20,10470.762,0,10524.591,524.591,10524.591
20120127,Hold,522.95,0,0,0,10524.591,524.591,10524.591
20120130,Hold,525.5,0,0,0,10524.591,524.591,10524.591
20120131,Hold,533.31,0,0,0,10524.591,524.591,10524.591
20120201,Buy,535.0,19,-10170.082499999999,19,354.509,519.509,10519.509
20120202,Hold,538.64,0,0,19,354.509,588.669,10588.669
20120203,Hold,544.8,0,0,19,354.509,705.709,10705.709
20120206,Sell,535.36,-19,10166.75408,0,10521.263,521.263,10521.263
20120207,Hold,527.54,0,0,0,10521.263,521.263,10521.263
20120208,Hold,537.46,0,0,0,10521.263,521.263,10521.263
20120209,Hold,533.65,0,0,0,10521.263,521.263,10521.263
20120210,Buy,549.0,19,-10436.2155,19,85.047,516.047,10516.047
20120213,Hold,570.76,0,0,19,85.047,929.487,10929.487
20120214,Hold,581.02,0,0,19,85.047,1124.427,11124.427
20120215,Hold,570.97,0,0,19,85.047,933.477,10933.477
20120216,Hold,574.18,0,0,19,85.047,994.467,10994.467
20120217,Hold,585.96,0,0,19,85.047,1218.287,11218.287
20120221,Hold,581.51,0,0,19,85.047,1133.737,11133.737
20120222,Hold,588.1,0,0,19,85.047,1258.947,11258.947
20120223,Hold,590.38,0,0,19,85.047,1302.267,11302.267
20120224,Hold,595.0,0,0,19,85.047,1390.047,11390.047
20120227,Sell,634.81,-19,12055.359305,0,12140.407,2140.407,12140.407
20120228,Buy,632.15,19,-12016.855425,19,123.551,2134.401,12134.401
20120229,Hold,628.22,0,0,19,123.551,2059.731,12059.731
20120301,Hold,636.92,0,0,19,123.551,2225.031,12225.031
20120302,Hold,646.05,0,0,19,123.551,2398.501,12398.501
20120305,Hold,633.41,0,0,19,123.551,2158.341,12158.341
20120306,Sell,636.46,-19,12086.693630000002,0,12210.245,2210.245,12210.245
20120307,Buy,647.43,18,-11659.566869999999,18,550.678,2204.418,12204.418
20120308,Hold,654.99,0,0,18,550.678,2340.498,12340.498
20120309,Hold,648.45,0,0,18,550.678,2222.778,12222.778
20120312,Hold,654.96,0,0,18,550.678,2339.958,12339.958
20120313,Hold,652.28,0,0,18,550.678,2291.718,12291.718
20120314,Sell,649.99,-18,11693.97009,0,12244.648,2244.648,12244.648
20120315,Buy,657.25,18,-11836.41525,18,408.233,2238.733,12238.733
20120316,Hold,679.51,0,0,18,408.233,2639.413,12639.413
20120319,Hold,693.86,0,0,18,408.233,2897.713,12897.713
20120320,Hold,695.56,0,0,18,408.233,2928.313,12928.313
20120321,Hold,700.25,0,0,18,408.233,3012.733,13012.733
20120322,Hold,713.95,0,0,18,408.233,3259.333,13259.333
20120323,Hold,722.01,0,0,18,408.233,3404.413,13404.413
20120326,Hold,734.69,0,0,18,408.233,3632.653,13632.653
20120327,Hold,729.0,0,0,18,408.233,3530.233,13530.233
20120328,Hold,712.2,0,0,18,408.233,3227.833,13227.833
20120329,Hold,725.0,0,0,18,408.233,3458.233,13458.233
20120330,Sell,717.26,-18,12904.224660000002,0,13312.458,3312.458,13312.458
20120402,Buy,721.2,18,-12988.0908,18,324.367,3305.967,13305.967
20120403,Hold,737.55,0,0,18,324.367,3600.267,13600.267
20120404,Hold,749.28,0,0,18,324.367,3811.407,13811.407
20120405,Hold,746.85,0,0,18,324.367,3767.667,13767.667
20120409,Hold,768.5,0,0,18,324.367,4157.367,14157.367
20120410,Sell,750.88,-18,13509.08208,0,13833.449,3833.449,13833.449
20120411,Hold,731.44,0,0,0,13833.449,3833.449,13833.449
20120412,Buy,739.79,18,-13322.878109999998,18,510.571,3826.791,13826.791
20120413,Sell,737.02,-18,13259.726820000002,0,13770.298,3770.298,13770.298
20120416,Hold,704.2,0,0,0,13770.298,3770.298,13770.298
20120417,Hold,714.81,0,0,0,13770.298,3770.298,13770.298
20120418,Buy,727.71,18,-13105.32939,18,664.968,3763.748,13763.748
20120419,Sell,719.85,-18,12950.821350000002,0,13615.79,3615.79,13615.79
20120420,Hold,701.2,0,0,0,13615.79,3615.79,13615.79
20120423,Hold,696.67,0,0,0,13615.79,3615.79,13615.79
20120424,Hold,701.57,0,0,0,13615.79,3615.79,13615.79
20120425,Buy,723.4,18,-13027.710599999999,18,588.079,3609.279,13609.279
20120426,Hold,750.98,0,0,18,588.079,4105.719,14105.719
20120427,Hold,761.01,0,0,18,588.079,4286.259,14286.259
20120430,Hold,760.82,0,0,18,588.079,4282.839,14282.839
20120501,Hold,755.56,0,0,18,588.079,4188.159,14188.159
20120502,Hold,763.05,0,0,18,588.079,4322.979,14322.979
20120503,Sell,745.31,-18,13408.87221,0,13996.951,3996.951,13996.951
20120504,Hold,736.38,0,0,0,13996.951,3996.951,13996.951
20120507,Hold,736.01,0,0,0,13996.951,3996.951,13996.951
20120508,Hold,708.74,0,0,0,13996.951,3996.951,13996.951
20120509,Hold,703.12,0,0,0,13996.951,3996.951,13996.951
20120510,Hold,671.49,0,0,0,13996.951,3996.951,13996.951
20120511,Hold,669.5,0,0,0,13996.951,3996.951,13996.951
20120514,Hold,664.59,0,0,0,13996.951,3996.951,13996.951
20120515,Hold,664.9,0,0,0,13996.951,3996.951,13996.951
20120516,Hold,664.0,0,0,0,13996.951,3996.951,13996.951
20120517,Hold,648.85,0,0,0,13996.951,3996.951,13996.951
20120518,Hold,635.03,0,0,0,13996.951,3996.951,13996.951
20120521,Hold,659.53,0,0,0,13996.951,3996.951,13996.951
20120522,Buy,657.07,21,-13805.369235,21,191.582,3990.052,13990.052
20120523,Hold,676.31,0,0,21,191.582,4394.092,14394.092
20120524,Hold,668.4,0,0,21,191.582,4227.982,14227.982
20120525,Sell,660.01,-21,13853.279895,0,14044.862,4044.862,14044.862
20120529,Hold,650.02,0,0,0,14044.862,4044.862,14044.862
20120530,Hold,637.0,0,0,0,14044.862,4044.862,14044.862
20120531,Hold,608.03,0,0,0,14044.862,4044.862,14044.862
20120601,Hold,614.02,0,0,0,14044.862,4044.862,14044.862
20120604,Hold,615.21,0,0,0,14044.862,4044.862,14044.862
20120605,Hold,625.58,0,0,0,14044.862,4044.862,14044.862
20120606,Buy,653.5,21,-13730.36175,21,314.5,4038.0,14038.0
20120607,Hold,632.89,0,0,21,314.5,3605.19,13605.19
20120608,Hold,653.74,0,0,21,314.5,4043.04,14043.04
20120611,Hold,645.0,0,0,21,314.5,3859.5,13859.5
20120612,Hold,643.23,0,0,21,314.5,3822.33,13822.33
20120613,Hold,647.11,0,0,21,314.5,3903.81,13903.81
20120614,Sell,642.0,-21,13475.259,0,13789.759,3789.759,13789.759
20120615,Buy,656.32,21,-13789.61136,21,0.148,3782.868,13782.868
20120618,Hold,673.66,0,0,21,0.148,4147.008,14147.008
20120619,Hold,678.69,0,0,21,0.148,4252.638,14252.638
20120620,Hold,672.0,0,0,21,0.148,4112.148,14112.148
20120621,Sell,660.21,-21,13857.477795,0,13857.626,3857.626,13857.626
20120622,Hold,662.19,0,0,0,13857.626,3857.626,13857.626
20120625,Hold,653.29,0,0,0,13857.626,3857.626,13857.626
20120626,Hold,658.85,0,0,0,13857.626,3857.626,13857.626
20120627,Hold,648.3,0,0,0,13857.626,3857.626,13857.626
20120628,Hold,657.63,0,0,0,13857.626,3857.626,13857.626
20120629,Buy,665.48,20,-13316.254799999999,20,541.371,3850.971,13850.971
20120702,Hold,684.84,0,0,20,541.371,4238.171,14238.171
20120703,Hold,685.97,0,0,20,541.371,4260.771,14260.771
20120705,Hold,674.9,0,0,20,541.371,4039.371,14039.371
20120706,Hold,671.01,0,0,20,541.371,3961.571,13961.571
20120709,Sell,671.2,-20,13417.288,0,13958.659,3958.659,13958.659
20120710,Hold,646.07,0,0,0,13958.659,3958.659,13958.659
20120711,Hold,639.0,0,0,0,13958.659,3958.659,13958.659
20120712,Hold,642.05,0,0,0,13958.659,3958.659,13958.659
20120713,Hold,639.95,0,0,0,13958.659,3958.659,13958.659
20120716,Hold,640.14,0,0,0,13958.659,3958.659,13958.659
20120717,Buy,646.61,21,-13585.599404999999,21,373.059,3951.869,13951.869
20120718,Hold,659.88,0,0,21,373.059,4230.539,14230.539
20120719,Hold,670.47,0,0,21,373.059,4452.929,14452.929
20120720,Hold,659.36,0,0,21,373.059,4219.619,14219.619
20120723,Hold,670.73,0,0,21,373.059,4458.389,14458.389
20120724,Hold,654.44,0,0,21,373.059,4116.299,14116.299
20120725,Sell,638.91,-21,13410.401445,0,13783.461,3783.461,13783.461
20120726,Hold,650.05,0,0,0,13783.461,3783.461,13783.461
20120727,Buy,687.04,20,-13747.670399999999,20,35.79,3776.59,13776.59
20120730,Hold,680.0,0,0,20,35.79,3635.79,13635.79
20120731,Hold,666.94,0,0,20,35.79,3374.59,13374.59
20120801,Sell,636.0,-20,12713.640000000001,0,12749.43,2749.43,12749.43
20120802,Hold,667.76,0,0,0,12749.43,2749.43,12749.43
20120803,Hold,663.0,0,0,0,12749.43,2749.43,12749.43
20120806,Buy,673.0,18,-12120.056999999999,18,629.373,2743.373,12743.373
20120807,Hold,575.1,0,0,18,629.373,981.173,10981.173
20120808,Sell,563.01,-18,10129.112910000002,0,10758.486,758.486,10758.486
20120809,Hold,562.39,0,0,0,10758.486,758.486,10758.486
20120810,Hold,564.6,0,0,0,10758.486,758.486,10758.486
20120813,Hold,563.6,0,0,0,10758.486,758.486,10758.486
20120814,Hold,564.82,0,0,0,10758.486,758.486,10758.486
20120815,Buy,577.12,18,-10393.35408,18,365.132,753.292,10753.292
20120816,Hold,588.5,0,0,18,365.132,958.132,10958.132
20120817,Hold,585.0,0,0,18,365.132,895.132,10895.132
20120820,Hold,588.92,0,0,18,365.132,965.692,10965.692
20120821,Hold,585.16,0,0,18,365.132,898.012,10898.012
20120822,Hold,590.87,0,0,18,365.132,1000.792,11000.792
20120823,Hold,591.2,0,0,18,365.132,1006.732,11006.732
20120824,Hold,593.81,0,0,18,365.132,1053.712,11053.712
20120827,Sell,588.0,-18,10578.708,0,10943.84,943.84,10943.84
20120828,Hold,591.82,0,0,0,10943.84,943.84,10943.84
20120829,Buy,599.72,18,-10800.35748,18,143.483,938.443,10938.443
20120830,Hold,606.47,0,0,18,143.483,1059.943,11059.943
20120831,Hold,604.25,0,0,18,143.483,1019.983,11019.983
20120904,Sell,597.5,-18,10749.622500000001,0,10893.105,893.105,10893.105
20120905,Hold,599.57,0,0,0,10893.105,893.105,10893.105
20120906,Hold,612.5,0,0,0,10893.105,893.105,10893.105
20120907,Buy,620.97,17,-10561.768245,17,331.337,887.827,10887.827
20120910,Sell,608.6,-17,10341.0269,0,10672.364,672.364,10672.364
20120911,Buy,620.0,17,-10545.269999999999,17,127.094,667.094,10667.094
20120912,Hold,619.95,0,0,17,127.094,666.244,10666.244
20120913,Hold,628.15,0,0,17,127.094,805.644,10805.644
20120914,Hold,636.85,0,0,17,127.094,953.544,10953.544
20120917,Hold,640.35,0,0,17,127.094,1013.044,11013.044
20120918,Hold,641.47,0,0,17,127.094,1032.084,11032.084
20120919,Hold,635.69,0,0,17,127.094,933.824,10933.824
20120920,Sell,640.17,-17,10877.448555,0,11004.542,1004.542,11004.542
20120921,Hold,631.81,0,0,0,11004.542,1004.542,11004.542
20120924,Hold,631.76,0,0,0,11004.542,1004.542,11004.542
20120925,Hold,631.12,0,0,0,11004.542,1004.542,11004.542
20120926,Hold,625.7,0,0,0,11004.542,1004.542,11004.542
20120927,Hold,628.0,0,0,0,11004.542,1004.542,11004.542
20120928,Hold,620.74,0,0,0,11004.542,1004.542,11004.542
20121001,Hold,627.9,0,0,0,11004.542,1004.542,11004.542
20121002,Hold,618.55,0,0,0,11004.542,1004.542,11004.542
20121003,Hold,624.96,0,0,0,11004.542,1004.542,11004.542
20121004,Buy,638.47,17,-10859.416995,17,145.125,999.115,10999.115
20121005,Hold,627.55,0,0,17,145.125,813.475,10813.475
20121008,Hold,629.76,0,0,17,145.125,851.045,10851.045
20121009,Sell,619.31,-17,10523.005865,0,10668.131,668.131,10668.131
20121010,Hold,610.11,0,0,0,10668.131,668.131,10668.131
20121011,Hold,589.75,0,0,0,10668.131,668.131,10668.131
20121012,Hold,594.0,0,0,0,10668.131,668.131,10668.131
20121015,Hold,605.04,0,0,0,10668.131,668.131,10668.131
20121016,Hold,597.68,0,0,0,10668.131,668.131,10668.131
20121017,Hold,598.23,0,0,0,10668.131,668.131,10668.131
20121018,Hold,578.6,0,0,0,10668.131,668.131,10668.131
20121019,Hold,559.1,0,0,0,10668.131,668.131,10668.131
20121022,Hold,555.0,0,0,0,10668.131,668.131,10668.131
20121023,Hold,573.3,0,0,0,10668.131,668.131,10668.131
20121024,Hold,568.62,0,0,0,10668.131,668.131,10668.131
20121025,Hold,582.0,0,0,0,10668.131,668.131,10668.131
20121026,Buy,579.25,18,-10431.713249999999,18,236.418,662.918,10662.918
20121031,Sell,574.9,-18,10343.025899999999,0,10579.444,579.444,10579.444
20121101,Buy,650.06,16,-10406.160479999999,16,173.283,574.243,10574.243
20121102,Hold,634.8,0,0,16,173.283,330.083,10330.083
