,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,59.515,0,0,0,10000,0.0,10000.0
20160111,Hold,59.582,0,0,0,10000,0.0,10000.0
20160112,Buy,60.157,166,-9991.055031,166,8.945,-4.993,9995.007
20160113,Sell,56.745,-166,9414.960165,0,9423.905,-576.095,9423.905
20160114,Hold,55.623,0,0,0,9423.905,-576.095,9423.905
20160115,Hold,56.964,0,0,0,9423.905,-576.095,9423.905
20160119,Hold,54.315,0,0,0,9423.905,-576.095,9423.905
20160120,Hold,56.312,0,0,0,9423.905,-576.095,9423.905
20160121,Buy,58.98,159,-9382.508909999999,159,41.396,-580.784,9419.216
20160122,Hold,58.81,0,0,159,41.396,-607.814,9392.186
20160125,Hold,57.217,0,0,159,41.396,-861.101,9138.899
20160126,Hold,58.253,0,0,159,41.396,-696.377,9303.623
20160127,Sell,57.746,-159,9177.023193,0,9218.419,-781.581,9218.419
20160128,Hold,56.444,0,0,0,9218.419,-781.581,9218.419
20160129,Hold,56.849,0,0,0,9218.419,-781.581,9218.419
20160201,Buy,56.926,161,-9169.668543,161,48.751,-786.163,9213.837
20160202,Sell,55.756,-161,8972.227642000002,0,9020.979,-979.021,9020.979
20160203,Hold,55.869,0,0,0,9020.979,-979.021,9020.979
20160204,Buy,57.188,157,-8983.005258,157,37.973,-983.511,9016.489
20160205,Sell,56.16,-157,8812.71144,0,8850.685,-1149.315,8850.685
20160208,Hold,55.603,0,0,0,8850.685,-1149.315,8850.685
20160209,Buy,58.083,152,-8833.030308,152,17.654,-1153.73,8846.27
20160210,Hold,57.019,0,0,152,17.654,-1315.458,8684.542
20160211,Hold,58.491,0,0,152,17.654,-1091.714,8908.286
20160212,Hold,60.572,0,0,152,17.654,-775.402,9224.598
20160216,Hold,61.959,0,0,152,17.654,-564.578,9435.422
20160217,Hold,60.412,0,0,152,17.654,-799.722,9200.278
20160218,Hold,60.788,0,0,152,17.654,-742.57,9257.43
20160219,Hold,62.4,0,0,152,17.654,-497.546,9502.454
20160222,Hold,62.919,0,0,152,17.654,-418.658,9581.342
20160223,Hold,62.096,0,0,152,17.654,-543.754,9456.246
20160224,Hold,63.913,0,0,152,17.654,-267.57,9732.43
20160225,Hold,65.245,0,0,152,17.654,-65.106,9934.894
20160226,Hold,64.641,0,0,152,17.654,-156.914,9843.086
20160229,Hold,64.641,0,0,152,17.654,-156.914,9843.086
20160301,Hold,64.868,0,0,152,17.654,-122.41,9877.59
20160302,Hold,64.868,0,0,152,17.654,-122.41,9877.59
20160303,Sell,65.085,-152,9887.973539999999,0,9905.628,-94.372,9905.628
20160304,Buy,64.809,152,-9855.893483999998,152,49.734,-99.298,9900.702
20160307,Hold,65.18,0,0,152,49.734,-42.906,9957.094
20160308,Sell,65.027,-152,9879.161947999999,0,9928.896,-71.104,9928.896
20160309,Hold,65.027,0,0,0,9928.896,-71.104,9928.896
20160310,Hold,65.245,0,0,0,9928.896,-71.104,9928.896
20160311,Hold,67.213,0,0,0,9928.896,-71.104,9928.896
20160314,Buy,66.275,149,-9879.9124875,149,48.984,-76.041,9923.959
20160315,Hold,66.201,0,0,149,48.984,-87.067,9912.933
20160316,Hold,67.145,0,0,149,48.984,53.589,10053.589
20160317,Hold,68.69,0,0,149,48.984,283.794,10283.794
20160318,Hold,68.641,0,0,149,48.984,276.493,10276.493
20160321,Hold,67.062,0,0,149,48.984,41.222,10041.222
20160322,Sell,66.74,-149,9939.287869999998,0,9988.272,-11.728,9988.272
20160323,Hold,65.293,0,0,0,9988.272,-11.728,9988.272
20160324,Hold,66.313,0,0,0,9988.272,-11.728,9988.272
20160328,Buy,67.145,148,-9942.428729999998,148,45.843,-16.697,9983.303
20160329,Hold,67.545,0,0,148,45.843,42.503,10042.503
20160330,Hold,67.724,0,0,148,45.843,68.995,10068.995
20160331,Hold,63.837,0,0,148,45.843,-506.281,9493.719
20160401,Sell,63.505,-148,9394.04063,0,9439.884,-560.116,9439.884
20160404,Hold,62.323,0,0,0,9439.884,-560.116,9439.884
20160405,Hold,62.502,0,0,0,9439.884,-560.116,9439.884
20160406,Hold,62.332,0,0,0,9439.884,-560.116,9439.884
20160407,Hold,62.437,0,0,0,9439.884,-560.116,9439.884
20160408,Buy,63.146,149,-9413.458377,149,26.425,-564.821,9435.179
20160411,Hold,63.505,0,0,149,26.425,-511.33,9488.67
20160412,Hold,64.213,0,0,149,26.425,-405.838,9594.162
20160413,Hold,63.997,0,0,149,26.425,-438.022,9561.978
20160414,Hold,64.222,0,0,149,26.425,-404.497,9595.503
20160415,Hold,64.13,0,0,149,26.425,-418.205,9581.795
20160418,Sell,63.969,-149,9526.615309499999,0,9553.041,-446.959,9553.041
20160419,Hold,63.562,0,0,0,9553.041,-446.959,9553.041
20160420,Hold,64.073,0,0,0,9553.041,-446.959,9553.041
20160421,Buy,64.546,147,-9493.006131,147,60.034,-451.704,9548.296
20160422,Sell,63.146,-147,9277.820769,0,9337.855,-662.145,9337.855
20160425,Hold,63.76,0,0,0,9337.855,-662.145,9337.855
20160426,Hold,63.431,0,0,0,9337.855,-662.145,9337.855
20160427,Buy,63.978,145,-9281.448405,145,56.407,-666.783,9333.217
20160428,Hold,65.255,0,0,145,56.407,-481.618,9518.382
20160429,Hold,66.532,0,0,145,56.407,-296.453,9703.547
20160502,Hold,65.889,0,0,145,56.407,-389.688,9610.312
20160503,Hold,65.709,0,0,145,56.407,-415.788,9584.212
20160504,Sell,65.699,-145,9521.5918225,0,9577.999,-422.001,9577.999
20160505,Hold,65.283,0,0,0,9577.999,-422.001,9577.999
20160506,Hold,65.652,0,0,0,9577.999,-422.001,9577.999
20160509,Hold,65.454,0,0,0,9577.999,-422.001,9577.999
20160510,Buy,66.523,143,-9517.545394499999,143,60.453,-426.758,9573.242
20160511,Sell,65.596,-143,9375.537886000002,0,9435.991,-564.009,9435.991
20160512,Hold,64.056,0,0,0,9435.991,-564.009,9435.991
20160513,Hold,63.267,0,0,0,9435.991,-564.009,9435.991
20160516,Hold,64.056,0,0,0,9435.991,-564.009,9435.991
20160517,Hold,63.668,0,0,0,9435.991,-564.009,9435.991
20160518,Hold,61.899,0,0,0,9435.991,-564.009,9435.991
20160519,Hold,61.556,0,0,0,9435.991,-564.009,9435.991
20160520,Hold,61.784,0,0,0,9435.991,-564.009,9435.991
20160523,Hold,61.928,0,0,0,9435.991,-564.009,9435.991
20160524,Hold,62.118,0,0,0,9435.991,-564.009,9435.991
20160525,Buy,62.886,149,-9374.699007000001,149,61.292,-568.694,9431.306
20160526,Hold,62.487,0,0,149,61.292,-628.145,9371.855
20160527,Hold,63.039,0,0,149,61.292,-545.897,9454.103
20160531,Hold,62.931,0,0,149,61.292,-561.989,9438.011
20160601,Hold,63.466,0,0,149,61.292,-482.274,9517.726
20160602,Hold,64.5,0,0,149,61.292,-328.208,9671.792
20160603,Hold,64.655,0,0,149,61.292,-305.113,9694.887
20160606,Hold,64.683,0,0,149,61.292,-300.941,9699.059
20160607,Sell,64.122,-149,9549.400911,0,9610.693,-389.307,9610.693
20160608,Hold,63.799,0,0,0,9610.693,-389.307,9610.693
20160609,Hold,63.116,0,0,0,9610.693,-389.307,9610.693
20160610,Hold,63.049,0,0,0,9610.693,-389.307,9610.693
20160613,Hold,62.346,0,0,0,9610.693,-389.307,9610.693
20160614,Hold,62.204,0,0,0,9610.693,-389.307,9610.693
20160615,Hold,62.222,0,0,0,9610.693,-389.307,9610.693
20160616,Hold,62.318,0,0,0,9610.693,-389.307,9610.693
20160617,Buy,63.818,150,-9577.48635,150,33.207,-394.093,9605.907
20160620,Hold,64.362,0,0,150,33.207,-312.493,9687.507
20160621,Hold,64.51,0,0,150,33.207,-290.293,9709.707
20160622,Hold,64.987,0,0,150,33.207,-218.743,9781.257
20160623,Hold,63.059,0,0,150,33.207,-507.943,9492.057
20160624,Sell,60.16,-150,9019.488000000001,0,9052.695,-947.305,9052.695
20160627,Hold,59.078,0,0,0,9052.695,-947.305,9052.695
20160628,Hold,60.045,0,0,0,9052.695,-947.305,9052.695
20160629,Buy,62.412,144,-8991.821664,144,60.873,-951.799,9048.201
20160630,Hold,63.086,0,0,144,60.873,-854.743,9145.257
20160701,Hold,64.464,0,0,144,60.873,-656.311,9343.689
20160705,Hold,63.382,0,0,144,60.873,-812.119,9187.881
20160706,Hold,64.598,0,0,144,60.873,-637.015,9362.985
20160707,Hold,65.557,0,0,144,60.873,-498.919,9501.081
20160708,Hold,66.375,0,0,144,60.873,-381.127,9618.873
20160711,Hold,66.965,0,0,144,60.873,-296.167,9703.833
20160712,Hold,67.971,0,0,144,60.873,-151.303,9848.697
20160713,Hold,67.373,0,0,144,60.873,-237.415,9762.585
20160714,Sell,66.916,-144,9631.086048,0,9691.959,-308.041,9691.959
20160715,Hold,66.699,0,0,0,9691.959,-308.041,9691.959
20160718,Hold,66.423,0,0,0,9691.959,-308.041,9691.959
20160719,Hold,66.718,0,0,0,9691.959,-308.041,9691.959
20160720,Hold,66.156,0,0,0,9691.959,-308.041,9691.959
20160721,Hold,66.801,0,0,0,9691.959,-308.041,9691.959
20160722,Buy,67.392,143,-9641.874527999998,143,50.085,-312.859,9687.141
20160725,Hold,67.573,0,0,143,50.085,-286.976,9713.024
20160726,Hold,67.514,0,0,143,50.085,-295.413,9704.587
20160727,Sell,66.062,-143,9442.142567,0,9492.227,-507.773,9492.227
20160728,Buy,67.771,139,-9424.879084499998,139,67.348,-512.483,9487.517
20160729,Hold,67.933,0,0,139,67.348,-489.965,9510.035
20160801,Sell,67.648,-139,9398.370464000001,0,9465.719,-534.281,9465.719
20160802,Hold,66.936,0,0,0,9465.719,-534.281,9465.719
20160803,Buy,67.742,139,-9420.846069000001,139,44.872,-538.99,9461.01
20160804,Hold,69.073,0,0,139,44.872,-353.981,9646.019
