,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190516,Buy,41.98,238,-9996.23562,238,3.764,-4.996,9995.004
20190517,Hold,41.19,0,0.0,238,3.764,-193.016,9806.984
20190520,Hold,42.0,0,0.0,238,3.764,-0.236,9999.764
20190521,Hold,41.05,0,0.0,238,3.764,-226.336,9773.664
20190522,Hold,40.8,0,0.0,238,3.764,-285.836,9714.164
20190523,Sell,41.28,-238,9819.72768,0,9823.492,-176.508,9823.492
20190524,Buy,41.7,235,-9804.399749999999,235,19.092,-181.408,9818.592
20190528,Hold,40.52,0,0.0,235,19.092,-458.708,9541.292
20190529,Sell,40.07,-235,9411.741775,0,9430.834,-569.166,9430.834
20190530,Hold,41.15,0,0.0,0,9430.834,-569.166,9430.834
20190531,Hold,40.7435,0,0.0,0,9430.834,-569.166,9430.834
20190603,Buy,42.56,221,-9410.46288,221,20.371,-573.869,9426.131
20190604,Hold,42.87,0,0.0,221,20.371,-505.359,9494.641
20190605,Hold,45.0,0,0.0,221,20.371,-34.629,9965.371
20190606,Hold,44.92,0,0.0,221,20.371,-52.309,9947.691
20190607,Hold,44.02,0,0.0,221,20.371,-251.209,9748.791
20190610,Sell,43.22,-221,9546.84419,0,9567.215,-432.785,9567.215
20190611,Hold,42.52,0,0.0,0,9567.215,-432.785,9567.215
20190612,Hold,43.05,0,0.0,0,9567.215,-432.785,9567.215
20190613,Buy,44.75,213,-9536.515875,213,30.7,-437.55,9562.45
20190614,Hold,43.28,0,0.0,213,30.7,-750.66,9249.34
20190617,Hold,44.3,0,0.0,213,30.7,-533.4,9466.6
20190618,Hold,44.46,0,0.0,213,30.7,-499.32,9500.68
20190619,Hold,45.03,0,0.0,213,30.7,-377.91,9622.09
20190620,Hold,43.85,0,0.0,213,30.7,-629.25,9370.75
20190621,Hold,44.0,0,0.0,213,30.7,-597.3,9402.7
20190624,Sell,43.28,-213,9214.03068,0,9244.73,-755.27,9244.73
20190625,Hold,43.25,0,0.0,0,9244.73,-755.27,9244.73
20190626,Hold,43.35,0,0.0,0,9244.73,-755.27,9244.73
20190627,Buy,45.1,204,-9205.000199999999,204,39.73,-759.87,9240.13
20190628,Hold,46.98,0,0.0,204,39.73,-376.35,9623.65
20190701,Hold,44.55,0,0.0,204,39.73,-872.07,9127.93
20190702,Hold,44.0,0,0.0,204,39.73,-984.27,9015.73
20190703,Hold,44.31,0,0.0,204,39.73,-921.03,9078.97
20190705,Sell,43.59,-204,8887.913820000002,0,8927.644,-1072.356,8927.644
20190708,Hold,43.18,0,0.0,0,8927.644,-1072.356,8927.644
20190709,Buy,44.48,200,-8900.448,200,27.196,-1076.804,8923.196
20190710,Hold,44.1,0,0.0,200,27.196,-1152.804,8847.196
20190711,Hold,44.16,0,0.0,200,27.196,-1140.804,8859.196
20190712,Hold,44.2,0,0.0,200,27.196,-1132.804,8867.196
20190715,Hold,44.6,0,0.0,200,27.196,-1052.804,8947.196
20190716,Hold,44.06,0,0.0,200,27.196,-1160.804,8839.196
20190717,Hold,43.5,0,0.0,200,27.196,-1272.804,8727.196
20190718,Hold,43.9,0,0.0,200,27.196,-1192.804,8807.196
20190719,Sell,43.25,-200,8645.675000000001,0,8672.871,-1327.129,8672.871
20190722,Buy,43.75,198,-8666.83125,198,6.04,-1331.46,8668.54
20190723,Hold,43.36,0,0.0,198,6.04,-1408.68,8591.32
20190724,Hold,43.72,0,0.0,198,6.04,-1337.4,8662.6
20190725,Hold,43.42,0,0.0,198,6.04,-1396.8,8603.2
20190726,Hold,45.0,0,0.0,198,6.04,-1083.96,8916.04
20190729,Hold,43.71,0,0.0,198,6.04,-1339.38,8660.62
20190730,Sell,42.6,-198,8430.582600000002,0,8436.622,-1563.378,8436.622
20190731,Hold,42.14,0,0.0,0,8436.622,-1563.378,8436.622
20190801,Hold,40.4,0,0.0,0,8436.622,-1563.378,8436.622
20190802,Hold,39.35,0,0.0,0,8436.622,-1563.378,8436.622
20190805,Hold,39.68,0,0.0,0,8436.622,-1563.378,8436.622
20190806,Hold,39.06,0,0.0,0,8436.622,-1563.378,8436.622
20190807,Hold,41.98,0,0.0,0,8436.622,-1563.378,8436.622
20190808,Buy,39.56,213,-8430.49314,213,6.129,-1567.591,8432.409
20190809,Hold,39.84,0,0.0,213,6.129,-1507.951,8492.049
20190812,Sell,37.0,-213,7877.0595,0,7883.189,-2116.811,7883.189
20190813,Hold,36.0,0,0.0,0,7883.189,-2116.811,7883.189
20190814,Hold,34.52,0,0.0,0,7883.189,-2116.811,7883.189
20190815,Hold,33.46,0,0.0,0,7883.189,-2116.811,7883.189
20190816,Hold,35.53,0,0.0,0,7883.189,-2116.811,7883.189
20190819,Hold,34.48,0,0.0,0,7883.189,-2116.811,7883.189
20190820,Buy,35.46,222,-7876.05606,222,7.132,-2120.748,7879.252
20190821,Hold,34.8,0,0.0,222,7.132,-2267.268,7732.732
20190822,Sell,33.65,-222,7466.56485,0,7473.697,-2526.303,7473.697
20190823,Hold,33.67,0,0.0,0,7473.697,-2526.303,7473.697
20190826,Hold,33.69,0,0.0,0,7473.697,-2526.303,7473.697
20190827,Hold,32.56,0,0.0,0,7473.697,-2526.303,7473.697
20190828,Hold,32.9,0,0.0,0,7473.697,-2526.303,7473.697
20190829,Hold,33.0,0,0.0,0,7473.697,-2526.303,7473.697
20190830,Hold,32.1,0,0.0,0,7473.697,-2526.303,7473.697
20190903,Hold,30.91,0,0.0,0,7473.697,-2526.303,7473.697
20190904,Hold,32.33,0,0.0,0,7473.697,-2526.303,7473.697
20190905,Buy,32.71,228,-7461.60894,228,12.088,-2530.032,7469.968
20190906,Sell,32.05,-228,7303.7463,0,7315.835,-2684.165,7315.835
20190909,Buy,32.0,228,-7299.647999999999,228,16.187,-2687.813,7312.187
20190910,Hold,33.38,0,0.0,228,16.187,-2373.173,7626.827
20190911,Hold,34.14,0,0.0,228,16.187,-2199.893,7800.107
20190912,Hold,34.25,0,0.0,228,16.187,-2174.813,7825.187
20190913,Hold,33.6,0,0.0,228,16.187,-2323.013,7676.987
20190916,Hold,34.75,0,0.0,228,16.187,-2060.813,7939.187
