,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210420,Hold,312.52,0,0,0,10000,0.0,10000.0
20210421,Hold,305.7595,0,0,0,10000,0.0,10000.0
20210422,Hold,282.75,0,0,0,10000,0.0,10000.0
20210423,Hold,304.29,0,0,0,10000,0.0,10000.0
20210426,Hold,306.7,0,0,0,10000,0.0,10000.0
20210427,Buy,301.01,33,-9938.296665,33,61.703,-4.967,9995.033
20210428,Sell,298.4494,-33,9843.9057849,0,9905.609,-94.391,9905.609
20210429,Hold,293.0,0,0,0,9905.609,-94.391,9905.609
20210430,Hold,304.0,0,0,0,9905.609,-94.391,9905.609
20210503,Hold,292.0622,0,0,0,9905.609,-94.391,9905.609
20210504,Hold,284.9521,0,0,0,9905.609,-94.391,9905.609
20210505,Hold,271.15,0,0,0,9905.609,-94.391,9905.609
20210506,Hold,261.1519,0,0,0,9905.609,-94.391,9905.609
20210507,Hold,266.4,0,0,0,9905.609,-94.391,9905.609
20210510,Buy,281.05,35,-9841.668375,35,63.941,-99.309,9900.691
20210511,Hold,299.5428,0,0,35,63.941,547.939,10547.939
20210512,Sell,276.46,-35,9671.261949999998,0,9735.203,-264.797,9735.203
20210513,Hold,280.37,0,0,0,9735.203,-264.797,9735.203
20210514,Hold,250.0,0,0,0,9735.203,-264.797,9735.203
20210517,Hold,238.83,0,0,0,9735.203,-264.797,9735.203
20210518,Hold,212.9256,0,0,0,9735.203,-264.797,9735.203
20210519,Hold,236.1,0,0,0,9735.203,-264.797,9735.203
20210520,Hold,235.97,0,0,0,9735.203,-264.797,9735.203
20210521,Hold,227.28,0,0,0,9735.203,-264.797,9735.203
20210524,Buy,230.0,42,-9664.83,42,70.373,-269.627,9730.373
20210525,Hold,247.5,0,0,42,70.373,465.373,10465.373
20210526,Hold,245.21,0,0,42,70.373,369.193,10369.193
20210527,Hold,243.57,0,0,42,70.373,300.313,10300.313
20210528,Sell,238.51,-42,10012.41129,0,10082.784,82.784,10082.784
20210601,Hold,242.7962,0,0,0,10082.784,82.784,10082.784
20210602,Hold,241.39,0,0,0,10082.784,82.784,10082.784
20210603,Hold,229.9939,0,0,0,10082.784,82.784,10082.784
20210604,Hold,229.9179,0,0,0,10082.784,82.784,10082.784
20210607,Hold,227.16,0,0,0,10082.784,82.784,10082.784
20210608,Hold,222.795,0,0,0,10082.784,82.784,10082.784
20210609,Hold,226.22,0,0,0,10082.784,82.784,10082.784
20210610,Buy,223.5,45,-10062.52875,45,20.255,77.755,10077.755
20210611,Hold,231.265,0,0,45,20.255,427.18,10427.18
20210614,Hold,236.227,0,0,45,20.255,650.47,10650.47
20210615,Hold,231.4,0,0,45,20.255,433.255,10433.255
20210616,Hold,226.88,0,0,45,20.255,229.855,10229.855
20210617,Hold,226.92,0,0,45,20.255,231.655,10231.655
20210618,Sell,223.14,-45,10036.27935,0,10056.535,56.535,10056.535
20210621,Hold,216.25,0,0,0,10056.535,56.535,10056.535
20210622,Buy,225.54,44,-9928.72188,44,127.813,51.573,10051.573
20210623,Hold,228.46,0,0,44,127.813,180.053,10180.053
20210624,Hold,226.97,0,0,44,127.813,114.493,10114.493
20210625,Hold,227.64,0,0,44,127.813,143.973,10143.973
20210628,Hold,250.2,0,0,44,127.813,1136.613,11136.613
20210629,Hold,248.3,0,0,44,127.813,1053.013,11053.013
20210630,Hold,251.09,0,0,44,127.813,1175.773,11175.773
20210701,Sell,242.0,-44,10642.676000000001,0,10770.489,770.489,10770.489
20210702,Hold,243.0,0,0,0,10770.489,770.489,10770.489
20210706,Hold,238.9608,0,0,0,10770.489,770.489,10770.489
20210707,Buy,239.0,45,-10760.377499999999,45,10.111,765.111,10765.111
20210708,Hold,245.0,0,0,45,10.111,1035.111,11035.111
20210709,Hold,254.0,0,0,45,10.111,1440.111,11440.111
20210712,Sell,245.51,-45,11042.426024999999,0,11052.537,1052.537,11052.537
20210713,Hold,244.9,0,0,0,11052.537,1052.537,11052.537
20210714,Hold,229.94,0,0,0,11052.537,1052.537,11052.537
20210715,Hold,227.2,0,0,0,11052.537,1052.537,11052.537
20210716,Hold,216.92,0,0,0,11052.537,1052.537,11052.537
20210719,Hold,216.71,0,0,0,11052.537,1052.537,11052.537
20210720,Buy,231.6975,47,-10895.227391249999,47,157.31,1047.092,11047.092
20210721,Hold,232.0,0,0,47,157.31,1061.31,11061.31
20210722,Hold,226.22,0,0,47,157.31,789.65,10789.65
20210723,Hold,240.0835,0,0,47,157.31,1441.234,11441.234
20210726,Hold,243.0,0,0,47,157.31,1578.31,11578.31
20210727,Hold,240.3,0,0,47,157.31,1451.41,11451.41
20210728,Hold,241.77,0,0,47,157.31,1520.5,11520.5
20210729,Hold,233.28,0,0,47,157.31,1121.47,11121.47
20210730,Hold,237.28,0,0,47,157.31,1309.47,11309.47
20210802,Hold,233.87,0,0,47,157.31,1149.2,11149.2
20210803,Hold,231.06,0,0,47,157.31,1017.13,11017.13
20210804,Hold,239.76,0,0,47,157.31,1426.03,11426.03
20210805,Hold,255.5,0,0,47,157.31,2165.81,12165.81
20210806,Hold,267.85,0,0,47,157.31,2746.26,12746.26
20210809,Hold,280.67,0,0,47,157.31,3348.8,13348.8
20210810,Hold,282.338,0,0,47,157.31,3427.196,13427.196
20210811,Hold,266.39,0,0,47,157.31,2677.64,12677.64
20210812,Sell,262.82,-47,12346.36373,0,12503.674,2503.674,12503.674
20210813,Hold,265.26,0,0,0,12503.674,2503.674,12503.674
20210816,Hold,253.14,0,0,0,12503.674,2503.674,12503.674
20210817,Hold,249.0,0,0,0,12503.674,2503.674,12503.674
20210818,Hold,240.6,0,0,0,12503.674,2503.674,12503.674
20210819,Hold,252.0,0,0,0,12503.674,2503.674,12503.674
20210820,Buy,263.6663,47,-12398.512258049997,47,105.161,2497.477,12497.477
20210823,Hold,256.99,0,0,47,105.161,2183.691,12183.691
20210824,Hold,257.0,0,0,47,105.161,2184.161,12184.161
20210825,Hold,253.21,0,0,47,105.161,2006.031,12006.031
20210826,Sell,249.39,-47,11715.469335,0,11820.631,1820.631,11820.631
20210827,Buy,256.3482,46,-11797.913208599999,46,22.717,1814.735,11814.735
20210830,Hold,260.0172,0,0,46,22.717,1983.509,11983.509
20210831,Hold,260.3127,0,0,46,22.717,1997.102,11997.102
20210901,Hold,272.54,0,0,46,22.717,2559.557,12559.557
20210902,Hold,272.0,0,0,46,22.717,2534.717,12534.717
20210903,Hold,277.0,0,0,46,22.717,2764.717,12764.717
20210907,Sell,257.0,-46,11816.089,0,11838.806,1838.806,11838.806
20210908,Hold,260.3,0,0,0,11838.806,1838.806,11838.806
20210909,Hold,257.31,0,0,0,11838.806,1838.806,11838.806
20210910,Hold,246.51,0,0,0,11838.806,1838.806,11838.806
20210913,Hold,247.25,0,0,0,11838.806,1838.806,11838.806
20210914,Hold,244.0,0,0,0,11838.806,1838.806,11838.806
20210915,Hold,247.38,0,0,0,11838.806,1838.806,11838.806
20210916,Hold,243.125,0,0,0,11838.806,1838.806,11838.806
20210917,Hold,234.45,0,0,0,11838.806,1838.806,11838.806
20210920,Hold,237.01,0,0,0,11838.806,1838.806,11838.806
20210921,Hold,239.91,0,0,0,11838.806,1838.806,11838.806
20210922,Buy,244.57,48,-11745.22968,48,93.577,1832.937,11832.937
20210923,Hold,231.0,0,0,48,93.577,1181.577,11181.577
20210924,Hold,231.88,0,0,48,93.577,1223.817,11223.817
20210927,Hold,229.68,0,0,48,93.577,1118.217,11118.217
20210928,Sell,231.0,-48,11082.456,0,11176.033,1176.033,11176.033
20210929,Buy,227.0,49,-11128.5615,49,47.471,1170.471,11170.471
20210930,Hold,232.8869,0,0,49,47.471,1458.929,11458.929
20211001,Hold,231.49,0,0,49,47.471,1390.481,11390.481
20211004,Hold,231.35,0,0,49,47.471,1383.621,11383.621
20211005,Hold,242.4,0,0,49,47.471,1925.071,11925.071
20211006,Hold,248.0,0,0,49,47.471,2199.471,12199.471
20211007,Hold,253.525,0,0,49,47.471,2470.196,12470.196
20211008,Hold,249.57,0,0,49,47.471,2276.401,12276.401
20211011,Hold,254.26,0,0,49,47.471,2506.211,12506.211
20211012,Hold,246.5,0,0,49,47.471,2125.971,12125.971
20211013,Hold,250.9,0,0,49,47.471,2341.571,12341.571
20211014,Hold,266.6,0,0,49,47.471,3110.871,13110.871
20211015,Hold,275.74,0,0,49,47.471,3558.731,13558.731
20211018,Hold,300.0,0,0,49,47.471,4747.471,14747.471
20211019,Hold,306.66,0,0,49,47.471,5073.811,15073.811
20211020,Hold,311.96,0,0,49,47.471,5333.511,15333.511
20211021,Hold,302.0,0,0,49,47.471,4845.471,14845.471
20211022,Hold,306.76,0,0,49,47.471,5078.711,15078.711
20211025,Hold,328.15,0,0,49,47.471,6126.821,16126.821
20211026,Hold,309.33,0,0,49,47.471,5204.641,15204.641
20211027,Hold,319.81,0,0,49,47.471,5718.161,15718.161
20211028,Hold,319.3173,0,0,49,47.471,5694.019,15694.019
20211029,Hold,324.7723,0,0,49,47.471,5961.314,15961.314
