,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,206.65,0,0,0,10000,0.0,10000.0
20210112,Hold,207.15,0,0,0,10000,0.0,10000.0
20210113,Hold,208.79,0,0,0,10000,0.0,10000.0
20210114,Buy,208.96,47,-9826.030560000001,47,173.969,-4.911,9995.089
20210115,Sell,206.99,-47,9723.665735,0,9897.635,-102.365,9897.635
20210119,Buy,213.24,46,-9813.944520000001,46,83.691,-107.269,9892.731
20210120,Hold,211.72,0,0,46,83.691,-177.189,9822.811
20210121,Sell,205.55,-46,9450.572350000002,0,9534.263,-465.737,9534.263
20210122,Hold,203.265,0,0,0,9534.263,-465.737,9534.263
20210125,Hold,205.34,0,0,0,9534.263,-465.737,9534.263
20210126,Hold,196.9,0,0,0,9534.263,-465.737,9534.263
20210127,Hold,198.045,0,0,0,9534.263,-465.737,9534.263
20210128,Hold,198.3,0,0,0,9534.263,-465.737,9534.263
20210129,Hold,196.0,0,0,0,9534.263,-465.737,9534.263
20210201,Buy,198.98,47,-9356.736029999998,47,177.527,-470.413,9529.587
20210202,Hold,202.0,0,0,47,177.527,-328.473,9671.527
20210203,Hold,209.87,0,0,47,177.527,41.417,10041.417
20210204,Hold,212.25,0,0,47,177.527,153.277,10153.277
20210205,Hold,209.55,0,0,47,177.527,26.377,10026.377
20210208,Hold,210.6,0,0,47,177.527,75.727,10075.727
20210209,Hold,215.65,0,0,47,177.527,313.077,10313.077
20210210,Hold,212.235,0,0,47,177.527,152.572,10152.572
20210211,Hold,210.36,0,0,47,177.527,64.447,10064.447
20210212,Hold,213.08,0,0,47,177.527,192.287,10192.287
20210216,Hold,215.52,0,0,47,177.527,306.967,10306.967
20210217,Hold,213.45,0,0,47,177.527,209.677,10209.677
20210218,Sell,209.97,-47,9863.655705000001,0,10041.183,41.183,10041.183
20210219,Buy,211.89,47,-9963.809415,47,77.373,36.203,10036.203
20210222,Hold,214.15,0,0,47,77.373,142.423,10142.423
20210223,Hold,212.1,0,0,47,77.373,46.073,10046.073
20210224,Hold,227.8,0,0,47,77.373,783.973,10783.973
20210225,Hold,218.51,0,0,47,77.373,347.343,10347.343
20210226,Sell,219.6,-47,10316.0394,0,10393.413,393.413,10393.413
20210301,Buy,224.79,46,-10345.51017,46,47.902,388.242,10388.242
20210302,Hold,226.36,0,0,46,47.902,460.462,10460.462
20210303,Hold,232.73,0,0,46,47.902,753.482,10753.482
20210304,Hold,229.01,0,0,46,47.902,582.362,10582.362
20210305,Hold,226.67,0,0,46,47.902,474.722,10474.722
20210308,Hold,226.81,0,0,46,47.902,481.162,10481.162
20210309,Hold,233.81,0,0,46,47.902,803.162,10803.162
20210310,Hold,248.77,0,0,46,47.902,1491.322,11491.322
20210311,Hold,253.86,0,0,46,47.902,1725.462,11725.462
20210312,Hold,274.15,0,0,46,47.902,2658.802,12658.802
20210315,Hold,263.23,0,0,46,47.902,2156.482,12156.482
20210316,Hold,254.7,0,0,46,47.902,1764.102,11764.102
20210317,Hold,261.32,0,0,46,47.902,2068.622,12068.622
20210318,Sell,257.75,-46,11850.571750000001,0,11898.474,1898.474,11898.474
20210319,Hold,255.82,0,0,0,11898.474,1898.474,11898.474
20210322,Hold,249.26,0,0,0,11898.474,1898.474,11898.474
20210323,Hold,243.75,0,0,0,11898.474,1898.474,11898.474
20210324,Hold,234.34,0,0,0,11898.474,1898.474,11898.474
20210325,Buy,249.62,47,-11738.00607,47,160.468,1892.608,11892.608
20210326,Hold,251.3,0,0,47,160.468,1971.568,11971.568
20210329,Hold,251.24,0,0,47,160.468,1968.748,11968.748
20210330,Hold,254.7,0,0,47,160.468,2131.368,12131.368
20210331,Hold,256.67,0,0,47,160.468,2223.958,12223.958
20210401,Hold,256.56,0,0,47,160.468,2218.788,12218.788
20210405,Hold,257.21,0,0,47,160.468,2249.338,12249.338
20210406,Hold,255.31,0,0,47,160.468,2160.038,12160.038
20210407,Sell,251.7,-47,11823.985050000001,0,11984.453,1984.453,11984.453
