,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,118.37,84,-9948.051539999999,84,51.948,-4.972,9995.028
20150112,Hold,118.31,0,0.0,84,51.948,-10.012,9989.988
20150113,Hold,115.7,0,0.0,84,51.948,-229.252,9770.748
20150114,Hold,117.7,0,0.0,84,51.948,-61.252,9938.748
20150115,Hold,117.13,0,0.0,84,51.948,-109.132,9890.868
20150116,Hold,118.48,0,0.0,84,51.948,4.268,10004.268
20150120,Hold,117.83,0,0.0,84,51.948,-50.332,9949.668
20150121,Hold,118.79,0,0.0,84,51.948,30.308,10030.308
20150122,Hold,120.26,0,0.0,84,51.948,153.788,10153.788
20150123,Hold,120.24,0,0.0,84,51.948,152.108,10152.108
20150126,Sell,117.85,-84,9894.4503,0,9946.399,-53.601,9946.399
20150127,Hold,118.4,0,0.0,0,9946.399,-53.601,9946.399
20150128,Hold,116.12,0,0.0,0,9946.399,-53.601,9946.399
20150129,Hold,113.16,0,0.0,0,9946.399,-53.601,9946.399
20150130,Hold,114.05,0,0.0,0,9946.399,-53.601,9946.399
20150202,Buy,116.65,85,-9920.207625,85,26.191,-58.559,9941.441
20150203,Hold,118.21,0,0.0,85,26.191,74.041,10074.041
20150204,Hold,118.04,0,0.0,85,26.191,59.591,10059.591
20150205,Hold,118.15,0,0.0,85,26.191,68.941,10068.941
20150206,Hold,118.12,0,0.0,85,26.191,66.391,10066.391
20150209,Sell,118.19,-85,10041.126925,0,10067.318,67.318,10067.318
20150210,Hold,117.64,0,0.0,0,10067.318,67.318,10067.318
20150211,Hold,116.94,0,0.0,0,10067.318,67.318,10067.318
20150212,Buy,117.31,85,-9976.335675,85,90.982,62.332,10062.332
20150213,Hold,116.98,0,0.0,85,90.982,34.282,10034.282
20150217,Hold,117.35,0,0.0,85,90.982,65.732,10065.732
20150218,Hold,117.86,0,0.0,85,90.982,109.082,10109.082
20150219,Hold,118.7,0,0.0,85,90.982,180.482,10180.482
20150220,Hold,120.74,0,0.0,85,90.982,353.882,10353.882
20150223,Hold,120.0,0,0.0,85,90.982,290.982,10290.982
20150224,Hold,120.7,0,0.0,85,90.982,350.482,10350.482
20150225,Sell,119.42,-85,10145.624650000002,0,10236.607,236.607,10236.607
20150226,Hold,118.45,0,0.0,0,10236.607,236.607,10236.607
20150227,Hold,118.6,0,0.0,0,10236.607,236.607,10236.607
