,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Buy,71.452,139,-9936.793914,139,63.206,-4.966,9995.034
20130110,Sell,71.59,-139,9946.034495,0,10009.241,9.241,10009.241
20130111,Hold,70.551,0,0.0,0,10009.241,9.241,10009.241
20130114,Hold,70.853,0,0.0,0,10009.241,9.241,10009.241
20130115,Hold,71.064,0,0.0,0,10009.241,9.241,10009.241
20130116,Hold,71.21,0,0.0,0,10009.241,9.241,10009.241
20130117,Buy,71.806,139,-9986.024517,139,23.216,4.25,10004.25
20130118,Sell,71.24,-139,9897.408819999999,0,9920.625,-79.375,9920.625
20130122,Buy,71.782,138,-9910.868958,138,9.756,-84.328,9915.672
20130123,Hold,73.108,0,0.0,138,9.756,98.66,10098.66
20130124,Sell,70.664,-138,9746.756184,0,9756.512,-243.488,9756.512
20130125,Hold,70.094,0,0.0,0,9756.512,-243.488,9756.512
20130128,Hold,67.791,0,0.0,0,9756.512,-243.488,9756.512
20130129,Hold,68.117,0,0.0,0,9756.512,-243.488,9756.512
20130130,Hold,66.736,0,0.0,0,9756.512,-243.488,9756.512
20130131,Hold,66.329,0,0.0,0,9756.512,-243.488,9756.512
20130201,Hold,65.583,0,0.0,0,9756.512,-243.488,9756.512
20130204,Hold,66.305,0,0.0,0,9756.512,-243.488,9756.512
20130205,Hold,65.707,0,0.0,0,9756.512,-243.488,9756.512
20130206,Buy,66.238,147,-9741.854493,147,14.658,-248.356,9751.644
20130207,Hold,66.261,0,0.0,147,14.658,-244.975,9755.025
20130208,Hold,66.687,0,0.0,147,14.658,-182.353,9817.647
20130211,Sell,66.526,-147,9774.432339,0,9789.09,-210.91,9789.09
20130212,Hold,66.17,0,0.0,0,9789.09,-210.91,9789.09
20130213,Hold,65.542,0,0.0,0,9789.09,-210.91,9789.09
20130214,Hold,65.995,0,0.0,0,9789.09,-210.91,9789.09
20130215,Buy,66.654,146,-9736.349742,146,52.74,-215.776,9784.224
20130219,Hold,66.64,0,0.0,146,52.74,-217.82,9782.18
20130220,Hold,66.427,0,0.0,146,52.74,-248.918,9751.082
20130221,Sell,66.615,-146,9720.927104999999,0,9773.667,-226.333,9773.667
20130222,Buy,67.02,145,-9722.75895,145,50.908,-231.192,9768.808
20130225,Hold,66.751,0,0.0,145,50.908,-270.197,9729.803
20130226,Sell,65.977,-145,9561.881667500002,0,9612.79,-387.21,9612.79
20130227,Buy,68.035,141,-9597.7314675,141,15.059,-392.006,9607.994
20130228,Hold,67.392,0,0.0,141,15.059,-482.669,9517.331
20130301,Hold,67.461,0,0.0,141,15.059,-472.94,9527.06
20130304,Sell,66.891,-141,9426.915184500001,0,9441.974,-558.026,9441.974
20130305,Hold,67.658,0,0.0,0,9441.974,-558.026,9441.974
20130306,Buy,67.997,138,-9388.277793,138,53.696,-562.718,9437.282
20130307,Hold,68.475,0,0.0,138,53.696,-496.754,9503.246
20130308,Hold,68.959,0,0.0,138,53.696,-429.962,9570.038
20130311,Hold,69.295,0,0.0,138,53.696,-383.594,9616.406
20130312,Hold,69.612,0,0.0,138,53.696,-339.848,9660.152
20130313,Hold,70.881,0,0.0,138,53.696,-164.726,9835.274
20130314,Hold,70.724,0,0.0,138,53.696,-186.392,9813.608
20130315,Hold,70.509,0,0.0,138,53.696,-216.062,9783.938
20130318,Hold,71.215,0,0.0,138,53.696,-118.634,9881.366
20130319,Hold,71.594,0,0.0,138,53.696,-66.332,9933.668
20130320,Sell,70.653,-138,9745.238943000002,0,9798.935,-201.065,9798.935
20130321,Hold,70.783,0,0.0,0,9798.935,-201.065,9798.935
20130322,Hold,71.124,0,0.0,0,9798.935,-201.065,9798.935
20130325,Buy,71.231,137,-9763.526323499998,137,35.409,-205.944,9794.056
20130326,Hold,71.608,0,0.0,137,35.409,-154.295,9845.705
20130327,Hold,72.494,0,0.0,137,35.409,-32.913,9967.087
20130328,Hold,73.835,0,0.0,137,35.409,150.804,10150.804
20130401,Sell,73.341,-137,10042.6931415,0,10078.102,78.102,10078.102
20130402,Hold,73.171,0,0.0,0,10078.102,78.102,10078.102
20130403,Hold,73.335,0,0.0,0,10078.102,78.102,10078.102
20130404,Hold,72.828,0,0.0,0,10078.102,78.102,10078.102
20130405,Hold,72.638,0,0.0,0,10078.102,78.102,10078.102
20130408,Hold,73.205,0,0.0,0,10078.102,78.102,10078.102
20130409,Buy,73.658,136,-10022.496743999998,136,55.605,73.093,10073.093
20130410,Hold,73.992,0,0.0,136,55.605,118.517,10118.517
20130411,Hold,74.419,0,0.0,136,55.605,176.589,10176.589
20130412,Hold,74.062,0,0.0,136,55.605,128.037,10128.037
20130415,Sell,73.781,-136,10029.198892,0,10084.804,84.804,10084.804
20130416,Hold,73.643,0,0.0,0,10084.804,84.804,10084.804
20130417,Hold,73.611,0,0.0,0,10084.804,84.804,10084.804
20130418,Hold,73.341,0,0.0,0,10084.804,84.804,10084.804
20130419,Buy,74.15,135,-10015.255125,135,69.549,79.799,10079.799
20130422,Sell,75.454,-135,10181.196855,0,10250.746,250.746,10250.746
20130423,Buy,74.977,136,-10201.970436000001,136,48.775,245.647,10245.647
20130424,Hold,73.757,0,0.0,136,48.775,79.727,10079.727
20130425,Hold,75.468,0,0.0,136,48.775,312.423,10312.423
20130426,Hold,76.027,0,0.0,136,48.775,388.447,10388.447
20130429,Hold,75.724,0,0.0,136,48.775,347.239,10347.239
20130430,Hold,75.951,0,0.0,136,48.775,378.111,10378.111
20130501,Hold,76.438,0,0.0,136,48.775,444.343,10444.343
20130502,Hold,77.567,0,0.0,136,48.775,597.887,10597.887
20130503,Hold,78.119,0,0.0,136,48.775,672.959,10672.959
20130506,Hold,78.523,0,0.0,136,48.775,727.903,10727.903
20130507,Hold,78.766,0,0.0,136,48.775,760.951,10760.951
20130508,Sell,78.334,-136,10648.097288,0,10696.872,696.872,10696.872
20130509,Hold,77.742,0,0.0,0,10696.872,696.872,10696.872
20130510,Hold,78.119,0,0.0,0,10696.872,696.872,10696.872
20130513,Hold,78.334,0,0.0,0,10696.872,696.872,10696.872
20130514,Buy,78.18,136,-10637.796240000001,136,59.076,691.556,10691.556
20130515,Hold,79.814,0,0.0,136,59.076,913.78,10913.78
20130516,Hold,80.27,0,0.0,136,59.076,975.796,10975.796
20130517,Hold,81.349,0,0.0,136,59.076,1122.54,11122.54
20130520,Hold,82.007,0,0.0,136,59.076,1212.028,11212.028
20130521,Hold,82.041,0,0.0,136,59.076,1216.652,11216.652
20130522,Hold,81.165,0,0.0,136,59.076,1097.516,11097.516
20130523,Sell,81.472,-136,11074.651904,0,11133.728,1133.728,11133.728
20130524,Buy,82.755,134,-11094.714585,134,39.014,1128.184,11128.184
20130528,Hold,82.285,0,0.0,134,39.014,1065.204,11065.204
20130529,Hold,83.549,0,0.0,134,39.014,1234.58,11234.58
20130530,Hold,82.813,0,0.0,134,39.014,1135.956,11135.956
20130531,Sell,82.281,-134,11020.141173000002,0,11059.155,1059.155,11059.155
20130603,Hold,81.701,0,0.0,0,11059.155,1059.155,11059.155
20130604,Hold,81.406,0,0.0,0,11059.155,1059.155,11059.155
20130605,Hold,80.578,0,0.0,0,11059.155,1059.155,11059.155
20130606,Hold,81.165,0,0.0,0,11059.155,1059.155,11059.155
20130607,Buy,83.414,132,-11016.153324,132,43.001,1053.649,11053.649
20130610,Hold,82.256,0,0.0,132,43.001,900.793,10900.793
20130611,Hold,83.004,0,0.0,132,43.001,999.529,10999.529
20130612,Hold,83.101,0,0.0,132,43.001,1012.333,11012.333
20130613,Hold,83.647,0,0.0,132,43.001,1084.405,11084.405
20130614,Hold,84.036,0,0.0,132,43.001,1135.753,11135.753
20130617,Hold,84.289,0,0.0,132,43.001,1169.149,11169.149
20130618,Hold,84.435,0,0.0,132,43.001,1188.421,11188.421
20130619,Sell,82.49,-132,10883.235659999998,0,10926.237,926.237,10926.237
20130620,Hold,81.908,0,0.0,0,10926.237,926.237,10926.237
20130621,Hold,81.284,0,0.0,0,10926.237,926.237,10926.237
20130624,Hold,81.123,0,0.0,0,10926.237,926.237,10926.237
20130625,Hold,81.123,0,0.0,0,10926.237,926.237,10926.237
20130626,Buy,82.405,132,-10882.89873,132,43.338,920.798,10920.798
20130627,Hold,83.148,0,0.0,132,43.338,1018.874,11018.874
20130628,Hold,84.195,0,0.0,132,43.338,1157.078,11157.078
20130701,Hold,83.809,0,0.0,132,43.338,1106.126,11106.126
20130702,Sell,82.512,-132,10886.138208000002,0,10929.477,929.477,10929.477
20130703,Hold,83.504,0,0.0,0,10929.477,929.477,10929.477
20130705,Hold,84.654,0,0.0,0,10929.477,929.477,10929.477
20130708,Buy,85.177,128,-10908.107328,128,21.369,924.025,10924.025
20130709,Hold,85.099,0,0.0,128,21.369,914.041,10914.041
20130710,Hold,87.236,0,0.0,128,21.369,1187.577,11187.577
20130711,Hold,87.818,0,0.0,128,21.369,1262.073,11262.073
20130712,Hold,87.527,0,0.0,128,21.369,1224.825,11224.825
20130715,Hold,88.744,0,0.0,128,21.369,1380.601,11380.601
20130716,Sell,87.713,-128,11221.650368,0,11243.02,1243.02,11243.02
20130717,Hold,88.647,0,0.0,0,11243.02,1243.02,11243.02
20130718,Buy,89.244,125,-11161.077749999999,125,81.942,1237.442,11237.442
20130719,Hold,89.883,0,0.0,125,81.942,1317.317,11317.317
20130722,Hold,91.753,0,0.0,125,81.942,1551.067,11551.067
20130723,Hold,92.033,0,0.0,125,81.942,1586.067,11586.067
20130724,Hold,91.295,0,0.0,125,81.942,1493.817,11493.817
20130725,Hold,92.389,0,0.0,125,81.942,1630.567,11630.567
20130726,Hold,92.248,0,0.0,125,81.942,1612.942,11612.942
20130729,Hold,93.565,0,0.0,125,81.942,1777.567,11777.567
20130730,Hold,93.504,0,0.0,125,81.942,1769.942,11769.942
20130731,Hold,93.744,0,0.0,125,81.942,1799.942,11799.942
20130801,Hold,94.671,0,0.0,125,81.942,1915.817,11915.817
20130802,Hold,95.936,0,0.0,125,81.942,2073.942,12073.942
20130805,Hold,96.273,0,0.0,125,81.942,2116.067,12116.067
20130806,Hold,96.253,0,0.0,125,81.942,2113.567,12113.567
20130807,Hold,97.05,0,0.0,125,81.942,2213.192,12213.192
20130808,Sell,96.661,-125,12076.5836875,0,12158.525,2158.525,12158.525
20130809,Hold,96.138,0,0.0,0,12158.525,2158.525,12158.525
20130812,Hold,95.701,0,0.0,0,12158.525,2158.525,12158.525
20130813,Hold,96.253,0,0.0,0,12158.525,2158.525,12158.525
20130814,Hold,95.299,0,0.0,0,12158.525,2158.525,12158.525
20130815,Hold,94.577,0,0.0,0,12158.525,2158.525,12158.525
20130816,Hold,94.652,0,0.0,0,12158.525,2158.525,12158.525
20130819,Hold,94.719,0,0.0,0,12158.525,2158.525,12158.525
20130820,Hold,94.842,0,0.0,0,12158.525,2158.525,12158.525
20130821,Buy,95.747,126,-12070.154061,126,88.371,2152.493,12152.493
20130822,Hold,96.042,0,0.0,126,88.371,2189.663,12189.663
20130823,Hold,97.794,0,0.0,126,88.371,2410.415,12410.415
20130826,Hold,96.601,0,0.0,126,88.371,2260.097,12260.097
20130827,Sell,95.691,-126,12051.037467000002,0,12139.409,2139.409,12139.409
20130828,Hold,95.965,0,0.0,0,12139.409,2139.409,12139.409
20130829,Hold,96.062,0,0.0,0,12139.409,2139.409,12139.409
20130830,Hold,96.661,0,0.0,0,12139.409,2139.409,12139.409
20130903,Buy,96.661,125,-12088.6663125,125,50.743,2133.368,12133.368
20130904,Hold,96.846,0,0.0,125,50.743,2156.493,12156.493
20130905,Hold,97.588,0,0.0,125,50.743,2249.243,12249.243
20130906,Hold,97.138,0,0.0,125,50.743,2192.993,12192.993
20130909,Hold,97.696,0,0.0,125,50.743,2262.743,12262.743
20130910,Hold,97.872,0,0.0,125,50.743,2284.743,12284.743
20130911,Hold,98.988,0,0.0,125,50.743,2424.243,12424.243
20130912,Hold,99.485,0,0.0,125,50.743,2486.368,12486.368
20130913,Hold,100.49,0,0.0,125,50.743,2611.993,12611.993
20130916,Hold,100.66,0,0.0,125,50.743,2633.243,12633.243
20130917,Hold,101.58,0,0.0,125,50.743,2748.243,12748.243
20130918,Hold,102.63,0,0.0,125,50.743,2879.493,12879.493
20130919,Hold,102.24,0,0.0,125,50.743,2830.743,12830.743
20130920,Sell,100.41,-125,12544.974375,0,12595.717,2595.717,12595.717
20130923,Hold,100.21,0,0.0,0,12595.717,2595.717,12595.717
20130924,Hold,100.05,0,0.0,0,12595.717,2595.717,12595.717
20130925,Hold,100.44,0,0.0,0,12595.717,2595.717,12595.717
20130926,Buy,101.54,123,-12495.66471,123,100.052,2589.472,12589.472
20130927,Sell,100.38,-123,12340.566630000001,0,12440.619,2440.619,12440.619
20130930,Hold,100.12,0,0.0,0,12440.619,2440.619,12440.619
20131001,Hold,99.6,0,0.0,0,12440.619,2440.619,12440.619
20131002,Hold,97.872,0,0.0,0,12440.619,2440.619,12440.619
20131003,Hold,96.504,0,0.0,0,12440.619,2440.619,12440.619
20131004,Hold,95.747,0,0.0,0,12440.619,2440.619,12440.619
20131007,Hold,96.886,0,0.0,0,12440.619,2440.619,12440.619
20131008,Hold,96.09,0,0.0,0,12440.619,2440.619,12440.619
20131009,Hold,96.148,0,0.0,0,12440.619,2440.619,12440.619
20131010,Buy,98.889,125,-12367.3055625,125,73.313,2434.438,12434.438
20131011,Hold,98.619,0,0.0,125,73.313,2400.688,12400.688
20131014,Hold,99.89,0,0.0,125,73.313,2559.563,12559.563
20131015,Sell,99.247,-125,12399.6720625,0,12472.985,2472.985,12472.985
