,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,181.8,0,0,0,10000,0.0,10000.0
20160112,Buy,184.52,54,-9969.062039999999,54,30.938,-4.982,9995.018
20160113,Sell,180.43,-54,9738.348390000001,0,9769.286,-230.714,9769.286
20160114,Buy,178.41,54,-9638.957069999999,54,130.329,-235.531,9764.469
20160115,Sell,182.35,-54,9841.97655,0,9972.306,-27.694,9972.306
20160119,Hold,179.27,0,0,0,9972.306,-27.694,9972.306
20160120,Hold,177.71,0,0,0,9972.306,-27.694,9972.306
20160121,Hold,179.86,0,0,0,9972.306,-27.694,9972.306
20160122,Hold,178.27,0,0,0,9972.306,-27.694,9972.306
20160125,Hold,169.52,0,0,0,9972.306,-27.694,9972.306
20160126,Hold,176.63,0,0,0,9972.306,-27.694,9972.306
20160127,Hold,175.47,0,0,0,9972.306,-27.694,9972.306
20160128,Hold,174.9,0,0,0,9972.306,-27.694,9972.306
20160129,Buy,176.09,56,-9865.97052,56,106.335,-32.625,9967.375
20160201,Hold,176.31,0,0,56,106.335,-20.305,9979.695
20160202,Hold,178.42,0,0,56,106.335,97.855,10097.855
20160203,Hold,178.86,0,0,56,106.335,122.495,10122.495
20160204,Sell,177.03,-56,9908.723160000001,0,10015.058,15.058,10015.058
20160205,Buy,176.15,56,-9869.332199999999,56,145.726,10.126,10010.126
20160208,Hold,179.34,0,0,56,145.726,188.766,10188.766
20160209,Hold,181.8,0,0,56,145.726,326.526,10326.526
20160210,Sell,178.12,-56,9969.732640000002,0,10115.459,115.459,10115.459
20160211,Hold,175.3,0,0,0,10115.459,115.459,10115.459
20160212,Hold,174.62,0,0,0,10115.459,115.459,10115.459
20160216,Hold,176.72,0,0,0,10115.459,115.459,10115.459
20160217,Buy,178.63,56,-10008.281639999997,56,107.177,110.457,10110.457
20160218,Hold,180.49,0,0,56,107.177,214.617,10214.617
20160219,Hold,180.72,0,0,56,107.177,227.497,10227.497
20160222,Hold,180.77,0,0,56,107.177,230.297,10230.297
20160223,Hold,179.75,0,0,56,107.177,173.177,10173.177
20160224,Hold,182.64,0,0,56,107.177,335.017,10335.017
20160225,Hold,185.88,0,0,56,107.177,516.457,10516.457
20160226,Hold,183.72,0,0,56,107.177,395.497,10395.497
20160229,Sell,183.64,-56,10278.69808,0,10385.875,385.875,10385.875
20160301,Buy,184.92,56,-10360.697759999997,56,25.178,380.698,10380.698
