,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,625.25,0,0,0,10000,0.0,10000.0
20160112,Hold,620.88,0,0,0,10000,0.0,10000.0
20160113,Hold,580.25,0,0,0,10000,0.0,10000.0
20160114,Hold,572.24,0,0,0,10000,0.0,10000.0
20160115,Hold,577.09,0,0,0,10000,0.0,10000.0
20160119,Hold,564.36,0,0,0,10000,0.0,10000.0
20160120,Hold,573.58,0,0,0,10000,0.0,10000.0
20160121,Buy,588.73,16,-9424.38984,16,575.61,-4.71,9995.29
20160122,Hold,597.99,0,0,16,575.61,143.45,10143.45
20160125,Hold,603.45,0,0,16,575.61,230.81,10230.81
20160126,Hold,601.99,0,0,16,575.61,207.45,10207.45
20160127,Hold,608.37,0,0,16,575.61,309.53,10309.53
20160128,Hold,571.98,0,0,16,575.61,-272.71,9727.29
20160129,Sell,578.15,-16,9245.774800000001,0,9821.385,-178.615,9821.385
20160201,Hold,570.0,0,0,0,9821.385,-178.615,9821.385
20160202,Hold,553.5,0,0,0,9821.385,-178.615,9821.385
20160203,Hold,525.0,0,0,0,9821.385,-178.615,9821.385
20160204,Hold,529.28,0,0,0,9821.385,-178.615,9821.385
20160205,Hold,486.47,0,0,0,9821.385,-178.615,9821.385
20160208,Hold,478.01,0,0,0,9821.385,-178.615,9821.385
20160209,Hold,491.76,0,0,0,9821.385,-178.615,9821.385
20160210,Hold,491.17,0,0,0,9821.385,-178.615,9821.385
20160211,Buy,510.7,19,-9708.151649999998,19,113.233,-183.467,9816.533
20160212,Hold,519.48,0,0,19,113.233,-16.647,9983.353
20160216,Hold,528.74,0,0,19,113.233,159.293,10159.293
20160217,Hold,541.19,0,0,19,113.233,395.843,10395.843
20160218,Hold,520.71,0,0,19,113.233,6.723,10006.723
20160219,Hold,542.2,0,0,19,113.233,415.033,10415.033
20160222,Hold,555.55,0,0,19,113.233,668.683,10668.683
20160223,Hold,545.75,0,0,19,113.233,482.483,10482.483
20160224,Hold,555.52,0,0,19,113.233,668.113,10668.113
20160225,Hold,560.12,0,0,19,113.233,755.513,10755.513
20160226,Hold,554.0,0,0,19,113.233,639.233,10639.233
20160229,Hold,556.29,0,0,19,113.233,682.743,10682.743
20160301,Hold,581.75,0,0,19,113.233,1166.483,11166.483
20160302,Hold,577.96,0,0,19,113.233,1094.473,11094.473
20160303,Hold,581.07,0,0,19,113.233,1153.563,11153.563
20160304,Hold,573.54,0,0,19,113.233,1010.493,11010.493
20160307,Sell,557.87,-19,10594.230235,0,10707.464,707.464,10707.464
20160308,Hold,559.56,0,0,0,10707.464,707.464,10707.464
20160309,Hold,566.74,0,0,0,10707.464,707.464,10707.464
20160310,Hold,566.95,0,0,0,10707.464,707.464,10707.464
20160311,Buy,567.0,18,-10211.103,18,496.361,702.361,10702.361
20160314,Hold,571.0,0,0,18,496.361,774.361,10774.361
20160315,Hold,576.64,0,0,18,496.361,875.881,10875.881
20160316,Hold,569.51,0,0,18,496.361,747.541,10747.541
20160317,Sell,560.94,-18,10091.871540000002,0,10588.232,588.232,10588.232
20160318,Hold,548.91,0,0,0,10588.232,588.232,10588.232
20160321,Hold,545.11,0,0,0,10588.232,588.232,10588.232
20160322,Buy,561.0,18,-10103.048999999999,18,485.183,583.183,10583.183
20160323,Hold,567.11,0,0,18,485.183,693.163,10693.163
20160324,Hold,584.4,0,0,18,485.183,1004.383,11004.383
20160328,Hold,580.15,0,0,18,485.183,927.883,10927.883
20160329,Hold,596.71,0,0,18,485.183,1225.963,11225.963
20160330,Hold,599.28,0,0,18,485.183,1272.223,11272.223
20160331,Hold,590.49,0,0,18,485.183,1114.003,11114.003
20160401,Hold,599.0,0,0,18,485.183,1267.183,11267.183
20160404,Sell,590.77,-18,10628.543070000002,0,11113.726,1113.726,11113.726
20160405,Hold,587.52,0,0,0,11113.726,1113.726,11113.726
20160406,Buy,598.76,18,-10783.06884,18,330.657,1108.337,11108.337
20160407,Sell,594.32,-18,10692.41112,0,11023.068,1023.068,11023.068
20160408,Buy,596.14,18,-10735.88526,18,287.183,1017.703,11017.703
20160411,Hold,598.4,0,0,18,287.183,1058.383,11058.383
20160412,Hold,607.68,0,0,18,287.183,1225.423,11225.423
20160413,Hold,615.07,0,0,18,287.183,1358.443,11358.443
20160414,Hold,621.92,0,0,18,287.183,1481.743,11481.743
20160415,Hold,625.35,0,0,18,287.183,1543.483,11543.483
20160418,Hold,637.14,0,0,18,287.183,1755.703,11755.703
20160419,Hold,630.0,0,0,18,287.183,1627.183,11627.183
20160420,Hold,631.0,0,0,18,287.183,1645.183,11645.183
20160421,Sell,624.47,-18,11234.839770000002,0,11522.023,1522.023,11522.023
20160422,Hold,616.61,0,0,0,11522.023,1522.023,11522.023
20160425,Hold,626.17,0,0,0,11522.023,1522.023,11522.023
20160426,Hold,611.8,0,0,0,11522.023,1522.023,11522.023
20160427,Hold,615.54,0,0,0,11522.023,1522.023,11522.023
20160428,Hold,666.0,0,0,0,11522.023,1522.023,11522.023
20160429,Buy,663.92,17,-11292.283319999999,17,229.74,1516.38,11516.38
20160502,Hold,677.36,0,0,17,229.74,1744.86,11744.86
20160503,Hold,662.59,0,0,17,229.74,1493.77,11493.77
20160504,Hold,673.31,0,0,17,229.74,1676.01,11676.01
20160505,Sell,656.05,-17,11147.273575,0,11377.013,1377.013,11377.013
20160506,Buy,673.95,16,-10788.5916,16,588.422,1371.622,11371.622
20160509,Hold,694.0,0,0,16,588.422,1692.422,11692.422
20160510,Hold,705.79,0,0,16,588.422,1881.062,11881.062
20160511,Hold,717.38,0,0,16,588.422,2066.502,12066.502
20160512,Hold,714.64,0,0,16,588.422,2022.662,12022.662
20160513,Hold,710.13,0,0,16,588.422,1950.502,11950.502
20160516,Sell,709.9,-16,11352.720800000001,0,11941.142,1941.142,11941.142
20160517,Hold,689.56,0,0,0,11941.142,1941.142,11941.142
20160518,Hold,691.88,0,0,0,11941.142,1941.142,11941.142
20160519,Hold,701.05,0,0,0,11941.142,1941.142,11941.142
20160520,Buy,704.25,16,-11273.634,16,667.508,1935.508,11935.508
20160523,Hold,698.01,0,0,16,667.508,1835.668,11835.668
20160524,Hold,708.0,0,0,16,667.508,1995.508,11995.508
20160525,Hold,708.33,0,0,16,667.508,2000.788,12000.788
20160526,Hold,715.0,0,0,16,667.508,2107.508,12107.508
20160527,Hold,712.33,0,0,16,667.508,2064.788,12064.788
20160531,Hold,720.9,0,0,16,667.508,2201.908,12201.908
20160601,Hold,720.97,0,0,16,667.508,2203.028,12203.028
20160602,Hold,726.74,0,0,16,667.508,2295.348,12295.348
20160603,Hold,726.5,0,0,16,667.508,2291.508,12291.508
20160606,Hold,729.89,0,0,16,667.508,2345.748,12345.748
20160607,Sell,726.4,-16,11616.5888,0,12284.097,2284.097,12284.097
20160608,Hold,723.1,0,0,0,12284.097,2284.097,12284.097
20160609,Hold,722.35,0,0,0,12284.097,2284.097,12284.097
20160610,Hold,714.01,0,0,0,12284.097,2284.097,12284.097
20160613,Hold,712.33,0,0,0,12284.097,2284.097,12284.097
20160614,Hold,722.0,0,0,0,12284.097,2284.097,12284.097
20160615,Hold,712.05,0,0,0,12284.097,2284.097,12284.097
20160616,Hold,718.19,0,0,0,12284.097,2284.097,12284.097
20160617,Hold,713.5,0,0,0,12284.097,2284.097,12284.097
20160620,Hold,715.72,0,0,0,12284.097,2284.097,12284.097
20160621,Hold,716.58,0,0,0,12284.097,2284.097,12284.097
20160622,Hold,715.5,0,0,0,12284.097,2284.097,12284.097
20160623,Buy,693.0,17,-11786.8905,17,497.207,2278.207,12278.207
20160624,Sell,692.01,-17,11758.287915,0,12255.495,2255.495,12255.495
20160627,Hold,700.0,0,0,0,12255.495,2255.495,12255.495
20160628,Hold,715.75,0,0,0,12255.495,2255.495,12255.495
20160629,Buy,717.2,17,-12198.496200000001,17,56.998,2249.398,12249.398
20160630,Hold,717.32,0,0,17,56.998,2251.438,12251.438
20160701,Hold,722.8,0,0,17,56.998,2344.598,12344.598
20160705,Hold,725.71,0,0,17,56.998,2394.068,12394.068
20160706,Hold,739.33,0,0,17,56.998,2625.608,12625.608
20160707,Hold,740.14,0,0,17,56.998,2639.378,12639.378
20160708,Hold,750.0,0,0,17,56.998,2806.998,12806.998
20160711,Hold,756.86,0,0,17,56.998,2923.618,12923.618
20160712,Hold,746.76,0,0,17,56.998,2751.918,12751.918
20160713,Sell,748.86,-17,12724.254690000002,0,12781.253,2781.253,12781.253
20160714,Hold,746.55,0,0,0,12781.253,2781.253,12781.253
20160715,Hold,735.49,0,0,0,12781.253,2781.253,12781.253
20160718,Hold,732.5,0,0,0,12781.253,2781.253,12781.253
20160719,Buy,744.0,17,-12654.323999999999,17,126.929,2774.929,12774.929
20160720,Hold,747.5,0,0,17,126.929,2834.429,12834.429
20160721,Hold,747.79,0,0,17,126.929,2839.359,12839.359
20160722,Hold,746.55,0,0,17,126.929,2818.279,12818.279
20160725,Sell,742.71,-17,12619.756965,0,12746.686,2746.686,12746.686
20160726,Hold,737.97,0,0,0,12746.686,2746.686,12746.686
20160727,Hold,745.98,0,0,0,12746.686,2746.686,12746.686
