,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,793.66,12,-9528.68196,12,471.318,-4.762,9995.238
20170111,Hold,800.31,0,0.0,12,471.318,75.038,10075.038
20170112,Hold,814.32,0,0.0,12,471.318,243.158,10243.158
20170113,Hold,815.7,0,0.0,12,471.318,259.718,10259.718
20170117,Hold,809.5,0,0.0,12,471.318,185.318,10185.318
20170118,Sell,810.0,-12,9715.140000000001,0,10186.458,186.458,10186.458
20170119,Hold,815.28,0,0.0,0,10186.458,186.458,10186.458
20170120,Hold,806.8,0,0.0,0,10186.458,186.458,10186.458
20170123,Buy,822.0,12,-9868.931999999999,12,317.526,181.526,10181.526
20170124,Hold,825.79,0,0.0,12,317.526,227.006,10227.006
20170125,Hold,835.53,0,0.0,12,317.526,343.886,10343.886
20170126,Hold,839.0,0,0.0,12,317.526,385.526,10385.526
20170127,Hold,833.0,0,0.0,12,317.526,313.526,10313.526
20170130,Sell,823.75,-12,9880.0575,0,10197.584,197.584,10197.584
20170131,Hold,829.21,0,0.0,0,10197.584,197.584,10197.584
20170201,Hold,836.59,0,0.0,0,10197.584,197.584,10197.584
20170202,Buy,806.72,12,-9685.480319999999,12,512.103,192.743,10192.743
20170203,Sell,809.8,-12,9712.741199999999,0,10224.844,224.844,10224.844
20170206,Hold,809.31,0,0.0,0,10224.844,224.844,10224.844
20170207,Hold,812.69,0,0.0,0,10224.844,224.844,10224.844
20170208,Hold,821.6,0,0.0,0,10224.844,224.844,10224.844
20170209,Buy,823.82,12,-9890.78292,12,334.062,219.902,10219.902
20170210,Hold,831.62,0,0.0,12,334.062,313.502,10313.502
20170213,Hold,837.0,0,0.0,12,334.062,378.062,10378.062
20170214,Hold,834.0,0,0.0,12,334.062,342.062,10342.062
20170215,Hold,841.84,0,0.0,12,334.062,436.142,10436.142
20170216,Hold,842.0,0,0.0,12,334.062,438.062,10438.062
20170217,Hold,848.84,0,0.0,12,334.062,520.142,10520.142
20170221,Hold,856.95,0,0.0,12,334.062,617.462,10617.462
20170222,Hold,857.57,0,0.0,12,334.062,624.902,10624.902
20170223,Sell,844.69,-12,10131.211860000001,0,10465.273,465.273,10465.273
20170224,Hold,842.38,0,0.0,0,10465.273,465.273,10465.273
20170227,Hold,851.45,0,0.0,0,10465.273,465.273,10465.273
20170228,Hold,853.05,0,0.0,0,10465.273,465.273,10465.273
20170301,Buy,853.08,12,-10242.07848,12,223.195,460.155,10460.155
20170302,Sell,847.2,-12,10161.316800000002,0,10384.512,384.512,10384.512
20170303,Hold,845.23,0,0.0,0,10384.512,384.512,10384.512
20170306,Hold,845.48,0,0.0,0,10384.512,384.512,10384.512
20170307,Hold,848.0,0,0.0,0,10384.512,384.512,10384.512
20170308,Buy,851.0,12,-10217.106,12,167.406,379.406,10379.406
20170309,Hold,857.0,0,0.0,12,167.406,451.406,10451.406
20170310,Hold,853.11,0,0.0,12,167.406,404.726,10404.726
20170313,Hold,853.55,0,0.0,12,167.406,410.006,10410.006
20170314,Sell,854.33,-12,10246.834020000002,0,10414.24,414.24,10414.24
20170315,Hold,855.3,0,0.0,0,10414.24,414.24,10414.24
20170316,Buy,853.49,12,-10247.00094,12,167.239,409.119,10409.119
20170317,Sell,851.51,-12,10213.01094,0,10380.25,380.25,10380.25
20170320,Buy,858.84,12,-10311.23304,12,69.017,375.097,10375.097
20170321,Sell,840.43,-12,10080.11742,0,10149.134,149.134,10149.134
20170322,Hold,848.2,0,0.0,0,10149.134,149.134,10149.134
20170323,Hold,851.68,0,0.0,0,10149.134,149.134,10149.134
20170324,Hold,838.07,0,0.0,0,10149.134,149.134,10149.134
20170327,Buy,851.75,11,-9373.934625,11,775.199,144.449,10144.449
20170328,Hold,859.05,0,0.0,11,775.199,224.749,10224.749
20170329,Hold,874.95,0,0.0,11,775.199,399.649,10399.649
20170330,Hold,877.0,0,0.0,11,775.199,422.199,10422.199
20170331,Hold,888.0,0,0.0,11,775.199,543.199,10543.199
20170403,Hold,891.5,0,0.0,11,775.199,581.699,10581.699
20170404,Hold,910.82,0,0.0,11,775.199,794.219,10794.219
20170405,Hold,913.8,0,0.0,11,775.199,826.999,10826.999
20170406,Sell,899.65,-11,9891.201925,0,10666.401,666.401,10666.401
20170407,Hold,899.63,0,0.0,0,10666.401,666.401,10666.401
20170410,Buy,907.04,11,-9982.428719999998,11,683.973,661.413,10661.413
20170411,Sell,903.09,-11,9929.023005000001,0,10612.996,612.996,10612.996
20170412,Hold,891.45,0,0.0,0,10612.996,612.996,10612.996
20170413,Hold,887.5,0,0.0,0,10612.996,612.996,10612.996
20170417,Hold,900.99,0,0.0,0,10612.996,612.996,10612.996
20170418,Buy,907.84,11,-9991.233119999999,11,621.763,608.003,10608.003
20170419,Hold,899.7,0,0.0,11,621.763,518.463,10518.463
20170420,Hold,902.67,0,0.0,11,621.763,551.133,10551.133
20170421,Sell,908.68,-11,9990.48226,0,10612.245,612.245,10612.245
20170424,Buy,907.04,11,-9982.428719999998,11,629.816,607.256,10607.256
20170425,Hold,910.3,0,0.0,11,629.816,643.116,10643.116
20170426,Hold,914.39,0,0.0,11,629.816,688.106,10688.106
20170427,Hold,948.83,0,0.0,11,629.816,1066.946,11066.946
20170428,Hold,927.8,0,0.0,11,629.816,835.616,10835.616
20170501,Hold,946.645,0,0.0,11,629.816,1042.911,11042.911
20170502,Hold,946.0,0,0.0,11,629.816,1035.816,11035.816
20170503,Hold,944.75,0,0.0,11,629.816,1022.066,11022.066
20170504,Sell,940.52,-11,10340.54714,0,10970.363,970.363,10970.363
20170505,Hold,940.95,0,0.0,0,10970.363,970.363,10970.363
20170508,Buy,952.8,11,-10486.040399999998,11,484.323,965.123,10965.123
20170509,Hold,953.5,0,0.0,11,484.323,972.823,10972.823
20170510,Hold,945.11,0,0.0,11,484.323,880.533,10880.533
20170511,Hold,954.5,0,0.0,11,484.323,983.823,10983.823
20170512,Hold,958.73,0,0.0,11,484.323,1030.353,11030.353
20170515,Hold,961.0,0,0.0,11,484.323,1055.323,11055.323
20170516,Hold,954.7,0,0.0,11,484.323,986.023,10986.023
20170517,Sell,944.8,-11,10387.6036,0,10871.926,871.926,10871.926
20170518,Hold,962.84,0,0.0,0,10871.926,871.926,10871.926
20170519,Buy,964.0,11,-10609.302,11,262.624,866.624,10866.624
20170522,Hold,975.02,0,0.0,11,262.624,987.844,10987.844
20170523,Hold,976.0,0,0.0,11,262.624,998.624,10998.624
20170524,Hold,984.85,0,0.0,11,262.624,1095.974,11095.974
20170525,Hold,995.0,0,0.0,11,262.624,1207.624,11207.624
20170526,Hold,996.51,0,0.0,11,262.624,1224.234,11224.234
20170530,Hold,1000.0,0,0.0,11,262.624,1262.624,11262.624
20170531,Hold,998.59,0,0.0,11,262.624,1247.114,11247.114
20170601,Sell,998.99,-11,10983.395555,0,11246.02,1246.02,11246.02
20170602,Buy,1007.23,11,-11085.069765,11,160.95,1240.48,11240.48
20170605,Hold,1012.0,0,0.0,11,160.95,1292.95,11292.95
20170606,Sell,1005.95,-11,11059.917275000002,0,11220.867,1220.867,11220.867
20170607,Hold,1012.06,0,0.0,0,11220.867,1220.867,11220.867
20170608,Hold,1012.5,0,0.0,0,11220.867,1220.867,11220.867
20170609,Hold,967.0,0,0.0,0,11220.867,1220.867,11220.867
20170612,Hold,977.99,0,0.0,0,11220.867,1220.867,11220.867
20170613,Hold,988.59,0,0.0,0,11220.867,1220.867,11220.867
20170614,Hold,958.7,0,0.0,0,11220.867,1220.867,11220.867
20170615,Hold,996.0,0,0.0,0,11220.867,1220.867,11220.867
20170616,Buy,1017.0,11,-11192.593499999999,11,28.274,1215.274,11215.274
20170619,Hold,998.0,0,0.0,11,28.274,1006.274,11006.274
20170620,Hold,998.7,0,0.0,11,28.274,1013.974,11013.974
20170621,Hold,1002.23,0,0.0,11,28.274,1052.804,11052.804
20170622,Sell,1002.54,-11,11022.426029999999,0,11050.7,1050.7,11050.7
20170623,Hold,1008.5,0,0.0,0,11050.7,1050.7,11050.7
20170626,Hold,990.69,0,0.0,0,11050.7,1050.7,11050.7
20170627,Hold,978.55,0,0.0,0,11050.7,1050.7,11050.7
20170628,Hold,979.0,0,0.0,0,11050.7,1050.7,11050.7
20170629,Hold,980.12,0,0.0,0,11050.7,1050.7,11050.7
20170630,Hold,972.79,0,0.0,0,11050.7,1050.7,11050.7
20170703,Hold,961.53,0,0.0,0,11050.7,1050.7,11050.7
20170705,Hold,964.66,0,0.0,0,11050.7,1050.7,11050.7
20170706,Hold,969.55,0,0.0,0,11050.7,1050.7,11050.7
20170707,Buy,985.0,11,-10840.4175,11,210.283,1045.283,11045.283
20170710,Hold,993.0,0,0.0,11,210.283,1133.283,11133.283
20170711,Hold,1000.65,0,0.0,11,210.283,1217.433,11217.433
20170712,Hold,1004.62,0,0.0,11,210.283,1261.103,11261.103
20170713,Hold,1002.4,0,0.0,11,210.283,1236.683,11236.683
20170714,Hold,1004.69,0,0.0,11,210.283,1261.873,11261.873
20170717,Hold,1006.0,0,0.0,11,210.283,1276.283,11276.283
20170718,Hold,1025.0,0,0.0,11,210.283,1485.283,11485.283
20170719,Hold,1031.59,0,0.0,11,210.283,1557.773,11557.773
20170720,Hold,1021.28,0,0.0,11,210.283,1444.363,11444.363
20170721,Hold,1028.34,0,0.0,11,210.283,1522.023,11522.023
20170724,Hold,1038.05,0,0.0,11,210.283,1628.833,11628.833
