,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,179.84,55,-9896.1456,55,103.854,-4.946,9995.054
20200110,Hold,181.26,0,0.0,55,103.854,73.154,10073.154
20200113,Hold,183.5,0,0.0,55,103.854,196.354,10196.354
20200114,Hold,181.68,0,0.0,55,103.854,96.254,10096.254
20200115,Hold,182.23,0,0.0,55,103.854,126.504,10126.504
20200116,Hold,183.23,0,0.0,55,103.854,181.504,10181.504
20200117,Sell,181.51,-55,9978.058475,0,10081.913,81.913,10081.913
20200121,Buy,185.39,54,-10016.065529999998,54,65.847,76.907,10076.907
20200122,Sell,183.21,-54,9888.39333,0,9954.241,-45.759,9954.241
20200123,Buy,185.0,53,-9809.9025,53,144.338,-50.662,9949.338
20200124,Sell,178.77,-53,9470.072595000001,0,9614.411,-385.589,9614.411
20200127,Hold,181.14,0,0.0,0,9614.411,-385.589,9614.411
20200128,Buy,184.0,52,-9572.784,52,41.627,-390.373,9609.627
20200129,Sell,180.9,-52,9402.0966,0,9443.723,-556.277,9443.723
20200130,Buy,184.86,51,-9432.57393,51,11.149,-560.991,9439.009
20200131,Hold,183.26,0,0.0,51,11.149,-642.591,9357.409
20200203,Hold,188.0,0,0.0,51,11.149,-400.851,9599.149
20200204,Hold,190.4,0,0.0,51,11.149,-278.451,9721.549
20200205,Hold,186.83,0,0.0,51,11.149,-460.521,9539.479
20200206,Hold,186.85,0,0.0,51,11.149,-459.501,9540.499
20200207,Sell,186.17,-51,9489.922665,0,9501.072,-498.928,9501.072
20200210,Buy,191.48,49,-9387.211259999998,49,113.861,-503.619,9496.381
20200211,Hold,189.71,0,0.0,49,113.861,-590.349,9409.651
20200212,Hold,188.5,0,0.0,49,113.861,-649.639,9350.361
20200213,Sell,189.52,-49,9281.836760000002,0,9395.698,-604.302,9395.698
20200214,Hold,190.95,0,0.0,0,9395.698,-604.302,9395.698
20200218,Hold,192.0,0,0.0,0,9395.698,-604.302,9395.698
20200219,Hold,194.0,0,0.0,0,9395.698,-604.302,9395.698
20200220,Hold,191.84,0,0.0,0,9395.698,-604.302,9395.698
20200221,Hold,178.79,0,0.0,0,9395.698,-604.302,9395.698
20200224,Hold,188.47,0,0.0,0,9395.698,-604.302,9395.698
20200225,Hold,176.54,0,0.0,0,9395.698,-604.302,9395.698
20200226,Hold,172.21,0,0.0,0,9395.698,-604.302,9395.698
