,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Hold,494.94,0,0,0,10000,0.0,10000.0
20150112,Hold,497.75,0,0,0,10000,0.0,10000.0
20150113,Buy,494.65,20,-9897.9465,20,102.053,-4.947,9995.054
20150114,Hold,504.0,0,0,20,102.053,182.054,10182.054
20150115,Hold,500.01,0,0,20,102.053,102.254,10102.254
20150116,Hold,511.0,0,0,20,102.053,322.054,10322.054
20150120,Hold,507.25,0,0,20,102.053,247.054,10247.054
20150121,Hold,521.49,0,0,20,102.053,531.853,10531.854
20150122,Hold,535.59,0,0,20,102.053,813.854,10813.854
20150123,Hold,538.17,0,0,20,102.053,865.453,10865.454
20150126,Hold,529.97,0,0,20,102.053,701.454,10701.454
20150127,Sell,522.78,-20,10450.3722,0,10552.426,552.426,10552.426
20150128,Hold,511.0,0,0,0,10552.426,552.426,10552.426
20150129,Hold,515.86,0,0,0,10552.426,552.426,10552.426
20150130,Buy,531.46,19,-10102.78887,19,449.637,547.377,10547.377
20150202,Hold,528.0,0,0,19,449.637,481.637,10481.637
20150203,Hold,529.24,0,0,19,449.637,505.197,10505.197
20150204,Sell,523.79,-19,9947.033995,0,10396.671,396.671,10396.671
20150205,Hold,528.13,0,0,0,10396.671,396.671,10396.671
20150206,Buy,528.0,19,-10037.016,19,359.655,391.655,10391.655
20150209,Hold,529.3,0,0,19,359.655,416.355,10416.355
20150210,Hold,535.3,0,0,19,359.655,530.355,10530.355
20150211,Hold,537.11,0,0,19,359.655,564.745,10564.745
20150212,Hold,543.35,0,0,19,359.655,683.305,10683.305
20150213,Hold,546.83,0,0,19,359.655,749.425,10749.425
20150217,Hold,541.4,0,0,19,359.655,646.255,10646.255
20150218,Sell,538.04,-19,10217.648619999998,0,10577.303,577.303,10577.303
20150219,Hold,543.13,0,0,0,10577.303,577.303,10577.303
20150220,Hold,536.3,0,0,0,10577.303,577.303,10577.303
20150223,Hold,529.7,0,0,0,10577.303,577.303,10577.303
20150224,Buy,535.9,19,-10187.19105,19,390.112,572.212,10572.212
20150225,Hold,543.0,0,0,19,390.112,707.112,10707.112
20150226,Hold,554.24,0,0,19,390.112,920.672,10920.672
20150227,Hold,560.53,0,0,19,390.112,1040.182,11040.182
20150302,Hold,570.45,0,0,19,390.112,1228.662,11228.662
20150303,Hold,571.87,0,0,19,390.112,1255.642,11255.642
20150304,Hold,575.26,0,0,19,390.112,1320.052,11320.052
20150305,Hold,574.96,0,0,19,390.112,1314.352,11314.352
20150306,Sell,566.86,-19,10764.95483,0,11155.067,1155.067,11155.067
20150309,Hold,563.71,0,0,0,11155.067,1155.067,11155.067
20150310,Hold,555.14,0,0,0,11155.067,1155.067,11155.067
20150311,Hold,553.63,0,0,0,11155.067,1155.067,11155.067
20150312,Hold,553.5,0,0,0,11155.067,1155.067,11155.067
20150313,Hold,550.0,0,0,0,11155.067,1155.067,11155.067
20150316,Buy,551.71,20,-11039.7171,20,115.35,1149.55,11149.55
20150317,Hold,552.5,0,0,20,115.35,1165.35,11165.35
20150318,Hold,558.11,0,0,20,115.35,1277.55,11277.55
20150319,Hold,561.65,0,0,20,115.35,1348.35,11348.35
20150320,Hold,560.43,0,0,20,115.35,1323.95,11323.95
20150323,Hold,562.56,0,0,20,115.35,1366.55,11366.55
20150324,Hold,570.5,0,0,20,115.35,1525.35,11525.35
20150325,Sell,557.59,-20,11146.224100000001,0,11261.574,1261.574,11261.574
20150326,Hold,552.91,0,0,0,11261.574,1261.574,11261.574
20150327,Hold,551.62,0,0,0,11261.574,1261.574,11261.574
20150330,Hold,550.0,0,0,0,11261.574,1261.574,11261.574
20150331,Hold,548.6,0,0,0,11261.574,1261.574,11261.574
20150401,Hold,540.85,0,0,0,11261.574,1261.574,11261.574
20150402,Hold,532.22,0,0,0,11261.574,1261.574,11261.574
20150406,Hold,538.08,0,0,0,11261.574,1261.574,11261.574
20150407,Hold,538.74,0,0,0,11261.574,1261.574,11261.574
20150408,Buy,541.03,20,-10826.010299999998,20,435.564,1256.164,11256.164
20150409,Hold,542.29,0,0,20,435.564,1281.364,11281.364
20150410,Sell,538.41,-20,10762.8159,0,11198.38,1198.38,11198.38
20150413,Hold,536.06,0,0,0,11198.38,1198.38,11198.38
20150414,Hold,528.7,0,0,0,11198.38,1198.38,11198.38
20150415,Hold,529.9,0,0,0,11198.38,1198.38,11198.38
20150416,Hold,527.27,0,0,0,11198.38,1198.38,11198.38
20150417,Hold,525.6,0,0,0,11198.38,1198.38,11198.38
20150420,Buy,537.51,20,-10755.5751,20,442.805,1193.005,11193.005
20150421,Hold,534.4,0,0,20,442.805,1130.805,11130.805
20150422,Hold,541.1,0,0,20,442.805,1264.805,11264.805
20150423,Hold,566.1,0,0,20,442.805,1764.805,11764.805
20150424,Hold,563.12,0,0,20,442.805,1705.205,11705.205
20150427,Hold,553.85,0,0,20,442.805,1519.805,11519.805
20150428,Hold,550.02,0,0,20,442.805,1443.205,11443.205
20150429,Sell,547.87,-20,10951.9213,0,11394.726,1394.726,11394.726
20150430,Hold,538.43,0,0,0,11394.726,1394.726,11394.726
20150501,Hold,538.53,0,0,0,11394.726,1394.726,11394.726
20150504,Hold,538.21,0,0,0,11394.726,1394.726,11394.726
20150505,Hold,531.24,0,0,0,11394.726,1394.726,11394.726
20150506,Hold,523.99,0,0,0,11394.726,1394.726,11394.726
20150507,Hold,536.61,0,0,0,11394.726,1394.726,11394.726
20150508,Buy,538.37,21,-11311.422885,21,83.303,1389.073,11389.073
20150511,Hold,531.47,0,0,21,83.303,1244.173,11244.173
20150512,Sell,530.56,-21,11136.18912,0,11219.492,1219.492,11219.492
20150513,Hold,533.76,0,0,0,11219.492,1219.492,11219.492
20150514,Buy,539.18,20,-10788.991799999998,20,430.5,1214.1,11214.1
20150515,Sell,532.05,-20,10635.6795,0,11066.18,1066.18,11066.18
20150518,Buy,533.55,20,-10676.3355,20,389.844,1060.844,11060.844
20150519,Hold,538.49,0,0,20,389.844,1159.644,11159.644
20150520,Hold,538.68,0,0,20,389.844,1163.444,11163.444
20150521,Hold,540.15,0,0,20,389.844,1192.844,11192.844
20150522,Hold,538.12,0,0,20,389.844,1152.244,11152.244
20150526,Sell,532.8,-20,10650.672,0,11040.516,1040.516,11040.516
20150527,Hold,538.01,0,0,0,11040.516,1040.516,11040.516
20150528,Hold,537.04,0,0,0,11040.516,1040.516,11040.516
20150529,Hold,535.6,0,0,0,11040.516,1040.516,11040.516
