,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,1427.56,7,-9997.91646,7,2.084,-4.996,9995.004
20200110,Hold,1436.13,0,0.0,7,2.084,54.994,10054.994
20200113,Hold,1439.01,0,0.0,7,2.084,75.154,10075.154
20200114,Hold,1430.21,0,0.0,7,2.084,13.554,10013.554
20200115,Hold,1447.44,0,0.0,7,2.084,134.164,10134.164
20200116,Hold,1462.91,0,0.0,7,2.084,242.454,10242.454
20200117,Hold,1479.12,0,0.0,7,2.084,355.924,10355.924
20200121,Hold,1491.0,0,0.0,7,2.084,439.084,10439.084
20200122,Hold,1487.64,0,0.0,7,2.084,415.564,10415.564
20200123,Hold,1493.59,0,0.0,7,2.084,457.214,10457.214
20200124,Sell,1431.0,-7,10011.9915,0,10014.075,14.075,10014.075
20200127,Hold,1443.0,0,0.0,0,10014.075,14.075,10014.075
20200128,Hold,1458.8,0,0.0,0,10014.075,14.075,10014.075
20200129,Hold,1439.96,0,0.0,0,10014.075,14.075,10014.075
20200130,Hold,1468.9,0,0.0,0,10014.075,14.075,10014.075
20200131,Hold,1459.4,0,0.0,0,10014.075,14.075,10014.075
20200203,Buy,1457.07,6,-8746.79121,6,1267.284,9.704,10009.704
20200204,Sell,1462.42,-6,8770.132740000001,0,10037.417,37.417,10037.417
20200205,Hold,1450.33,0,0.0,0,10037.417,37.417,10037.417
20200206,Buy,1467.3,6,-8808.201899999998,6,1229.215,33.015,10033.015
20200207,Hold,1474.32,0,0.0,6,1229.215,75.135,10075.135
20200210,Hold,1511.81,0,0.0,6,1229.215,300.075,10300.075
20200211,Hold,1514.48,0,0.0,6,1229.215,316.095,10316.095
20200212,Hold,1512.69,0,0.0,6,1229.215,305.355,10305.355
20200213,Sell,1515.6,-6,9089.053199999998,0,10318.268,318.268,10318.268
20200214,Hold,1515.0,0,0.0,0,10318.268,318.268,10318.268
20200218,Hold,1525.07,0,0.0,0,10318.268,318.268,10318.268
20200219,Hold,1522.0,0,0.0,0,10318.268,318.268,10318.268
20200220,Hold,1508.03,0,0.0,0,10318.268,318.268,10318.268
20200221,Hold,1426.11,0,0.0,0,10318.268,318.268,10318.268
20200224,Hold,1433.0,0,0.0,0,10318.268,318.268,10318.268
20200225,Hold,1396.14,0,0.0,0,10318.268,318.268,10318.268
20200226,Hold,1358.77,0,0.0,0,10318.268,318.268,10318.268
20200227,Hold,1277.5,0,0.0,0,10318.268,318.268,10318.268
20200228,Hold,1351.61,0,0.0,0,10318.268,318.268,10318.268
20200302,Buy,1397.68,7,-9788.65188,7,529.616,313.376,10313.376
20200303,Sell,1359.23,-7,9509.852695000001,0,10039.469,39.469,10039.469
