,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,116.52,85,-9909.152099999998,85,90.848,-4.952,9995.048
20150112,Sell,115.21,-85,9787.953575000001,0,9878.801,-121.199,9878.801
20150113,Buy,113.53,86,-9768.46179,86,110.34,-126.08,9873.92
20150114,Sell,114.84,-86,9871.30188,0,9981.642,-18.358,9981.642
20150115,Hold,112.92,0,0.0,0,9981.642,-18.358,9981.642
20150116,Buy,114.85,86,-9882.03855,86,99.603,-23.297,9976.703
20150120,Hold,112.16,0,0.0,86,99.603,-254.637,9745.363
20150121,Sell,111.36,-86,9572.17152,0,9671.775,-328.225,9671.775
20150122,Buy,113.53,85,-9654.875025,85,16.9,-333.05,9666.95
20150123,Hold,116.04,0,0.0,85,16.9,-119.7,9880.3
20150126,Hold,113.55,0,0.0,85,16.9,-331.35,9668.65
20150127,Sell,112.86,-85,9588.303450000001,0,9605.203,-394.797,9605.203
20150128,Hold,110.9,0,0.0,0,9605.203,-394.797,9605.203
20150129,Buy,112.81,85,-9593.644425,85,11.559,-399.591,9600.409
20150130,Sell,112.86,-85,9588.303450000001,0,9599.862,-400.138,9599.862
20150202,Buy,113.41,84,-9531.20322,84,68.659,-404.901,9595.099
20150203,Hold,115.17,0,0.0,84,68.659,-257.061,9742.939
20150204,Hold,115.23,0,0.0,84,68.659,-252.021,9747.979
20150205,Hold,116.1,0,0.0,84,68.659,-178.941,9821.059
20150206,Hold,115.11,0,0.0,84,68.659,-262.101,9737.899
20150209,Hold,115.68,0,0.0,84,68.659,-214.221,9785.779
20150210,Hold,116.45,0,0.0,84,68.659,-149.541,9850.459
20150211,Hold,117.15,0,0.0,84,68.659,-90.741,9909.259
20150212,Hold,117.2,0,0.0,84,68.659,-86.541,9913.459
20150213,Hold,117.9,0,0.0,84,68.659,-27.741,9972.259
20150217,Hold,119.46,0,0.0,84,68.659,103.299,10103.299
20150218,Hold,119.59,0,0.0,84,68.659,114.219,10114.219
20150219,Hold,120.76,0,0.0,84,68.659,212.499,10212.499
20150220,Hold,121.21,0,0.0,84,68.659,250.299,10250.299
20150223,Hold,119.9,0,0.0,84,68.659,140.259,10140.259
20150224,Hold,121.7,0,0.0,84,68.659,291.459,10291.459
20150225,Sell,120.83,-84,10144.64514,0,10213.304,213.304,10213.304
20150226,Hold,118.85,0,0.0,0,10213.304,213.304,10213.304
20150227,Hold,119.41,0,0.0,0,10213.304,213.304,10213.304
20150302,Hold,118.11,0,0.0,0,10213.304,213.304,10213.304
20150303,Hold,118.46,0,0.0,0,10213.304,213.304,10213.304
20150304,Hold,117.99,0,0.0,0,10213.304,213.304,10213.304
20150305,Buy,118.19,86,-10169.42217,86,43.882,208.222,10208.222
20150306,Sell,116.71,-86,10032.04147,0,10075.923,75.923,10075.923
20150309,Buy,117.77,85,-10015.455224999998,85,60.468,70.918,10070.918
20150310,Sell,117.03,-85,9942.576225,0,10003.044,3.044,10003.044
20150311,Hold,115.31,0,0.0,0,10003.044,3.044,10003.044
20150312,Hold,116.2,0,0.0,0,10003.044,3.044,10003.044
20150313,Hold,114.41,0,0.0,0,10003.044,3.044,10003.044
20150316,Buy,115.24,86,-9915.595319999999,86,87.449,-1.911,9998.089
20150317,Hold,115.78,0,0.0,86,87.449,44.529,10044.529
20150318,Hold,117.87,0,0.0,86,87.449,224.269,10224.269
20150319,Hold,118.79,0,0.0,86,87.449,303.389,10303.389
20150320,Hold,120.13,0,0.0,86,87.449,418.629,10418.629
20150323,Hold,121.62,0,0.0,86,87.449,546.769,10546.769
20150324,Hold,120.16,0,0.0,86,87.449,421.209,10421.209
20150325,Sell,117.52,-86,10101.66664,0,10189.116,189.116,10189.116
20150326,Hold,118.67,0,0.0,0,10189.116,189.116,10189.116
20150327,Hold,119.03,0,0.0,0,10189.116,189.116,10189.116
20150330,Buy,118.87,85,-10109.001975000001,85,80.114,184.064,10184.064
20150331,Sell,118.22,-85,10043.675650000001,0,10123.789,123.789,10123.789
20150401,Hold,117.72,0,0.0,0,10123.789,123.789,10123.789
20150402,Buy,117.94,85,-10029.91245,85,93.877,118.777,10118.777
20150406,Hold,119.32,0,0.0,85,93.877,236.077,10236.077
20150407,Hold,119.36,0,0.0,85,93.877,239.477,10239.477
20150408,Hold,119.34,0,0.0,85,93.877,237.777,10237.777
20150409,Hold,119.79,0,0.0,85,93.877,276.027,10276.027
20150410,Hold,119.8,0,0.0,85,93.877,276.877,10276.877
20150413,Hold,119.85,0,0.0,85,93.877,281.127,10281.127
20150414,Hold,120.01,0,0.0,85,93.877,294.727,10294.727
20150415,Hold,120.5,0,0.0,85,93.877,336.377,10336.377
20150416,Hold,119.31,0,0.0,85,93.877,235.227,10235.227
20150417,Sell,119.62,-85,10162.616150000002,0,10256.493,256.493,10256.493
