,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,88.25,113,-9977.236125,113,22.764,-4.986,9995.014
20150112,Hold,88.802,0,0.0,113,22.764,57.39,10057.39
20150113,Hold,87.608,0,0.0,113,22.764,-77.532,9922.468
20150114,Sell,88.179,-113,9959.2448865,0,9982.009,-17.991,9982.009
20150115,Hold,87.608,0,0.0,0,9982.009,-17.991,9982.009
20150116,Buy,88.746,112,-9944.521776,112,37.487,-22.961,9977.039
20150120,Sell,87.953,-112,9845.810632,0,9883.298,-116.702,9883.298
20150121,Hold,88.15,0,0.0,0,9883.298,-116.702,9883.298
20150122,Buy,88.467,111,-9824.746918499999,111,58.551,-121.612,9878.388
20150123,Sell,88.03,-111,9766.444335,0,9824.995,-175.005,9824.995
20150126,Hold,87.618,0,0.0,0,9824.995,-175.005,9824.995
20150127,Hold,87.739,0,0.0,0,9824.995,-175.005,9824.995
20150128,Hold,86.771,0,0.0,0,9824.995,-175.005,9824.995
20150129,Hold,86.21,0,0.0,0,9824.995,-175.005,9824.995
20150130,Hold,85.093,0,0.0,0,9824.995,-175.005,9824.995
20150202,Buy,86.147,113,-9739.4783055,113,85.517,-179.872,9820.128
20150203,Hold,92.634,0,0.0,113,85.517,553.159,10553.159
20150204,Hold,93.91,0,0.0,113,85.517,697.347,10697.347
20150205,Hold,95.695,0,0.0,113,85.517,899.052,10899.052
20150206,Hold,94.877,0,0.0,113,85.517,806.618,10806.618
20150209,Hold,95.02,0,0.0,113,85.517,822.777,10822.777
20150210,Hold,94.936,0,0.0,113,85.517,813.285,10813.285
20150211,Hold,95.21,0,0.0,113,85.517,844.247,10844.247
20150212,Hold,96.667,0,0.0,113,85.517,1008.888,11008.888
20150213,Hold,97.153,0,0.0,113,85.517,1063.806,11063.806
20150217,Hold,96.369,0,0.0,113,85.517,975.214,10975.214
20150218,Hold,96.929,0,0.0,113,85.517,1038.494,11038.494
20150219,Hold,96.725,0,0.0,113,85.517,1015.442,11015.442
20150220,Hold,97.63,0,0.0,113,85.517,1117.707,11117.707
20150223,Hold,97.445,0,0.0,113,85.517,1096.802,11096.802
20150224,Hold,97.552,0,0.0,113,85.517,1108.893,11108.893
20150225,Hold,98.328,0,0.0,113,85.517,1196.581,11196.581
20150226,Sell,97.542,-113,11016.734877,0,11102.252,1102.252,11102.252
20150227,Hold,97.269,0,0.0,0,11102.252,1102.252,11102.252
20150302,Buy,98.486,112,-11035.947216,112,66.304,1096.736,11096.736
20150303,Hold,98.674,0,0.0,112,66.304,1117.792,11117.792
20150304,Hold,98.368,0,0.0,112,66.304,1083.52,11083.52
20150305,Sell,97.542,-112,10919.241648000001,0,10985.546,985.546,10985.546
20150306,Hold,97.046,0,0.0,0,10985.546,985.546,10985.546
20150309,Hold,97.192,0,0.0,0,10985.546,985.546,10985.546
20150310,Hold,96.465,0,0.0,0,10985.546,985.546,10985.546
20150311,Hold,96.773,0,0.0,0,10985.546,985.546,10985.546
20150312,Buy,99.99,109,-10904.359455,109,81.187,980.097,10980.097
20150313,Hold,99.57,0,0.0,109,81.187,934.317,10934.317
20150316,Hold,99.73,0,0.0,109,81.187,951.757,10951.757
20150317,Hold,99.63,0,0.0,109,81.187,940.857,10940.857
20150318,Hold,100.51,0,0.0,109,81.187,1036.777,11036.777
20150319,Hold,100.51,0,0.0,109,81.187,1036.777,11036.777
20150320,Hold,101.22,0,0.0,109,81.187,1114.167,11114.167
20150323,Hold,100.4,0,0.0,109,81.187,1024.787,11024.787
20150324,Sell,100.14,-109,10909.802370000001,0,10990.989,990.989,10990.989
20150325,Hold,97.377,0,0.0,0,10990.989,990.989,10990.989
