,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,143.08,69,-9877.456259999999,69,122.544,-4.936,9995.064
20190110,Hold,143.15,0,0.0,69,122.544,-0.106,9999.894
20190111,Hold,142.0,0,0.0,69,122.544,-79.456,9920.544
20190114,Hold,146.01,0,0.0,69,122.544,197.234,10197.234
20190115,Hold,149.0,0,0.0,69,122.544,403.544,10403.544
20190116,Hold,146.95,0,0.0,69,122.544,262.094,10262.094
20190117,Hold,149.75,0,0.0,69,122.544,455.294,10455.294
20190118,Hold,149.2,0,0.0,69,122.544,417.344,10417.344
20190122,Sell,148.28,-69,10226.20434,0,10348.748,348.748,10348.748
20190123,Hold,144.64,0,0.0,0,10348.748,348.748,10348.748
20190124,Hold,147.48,0,0.0,0,10348.748,348.748,10348.748
20190125,Buy,148.05,69,-10220.557725,69,128.19,343.64,10343.64
20190128,Hold,148.09,0,0.0,69,128.19,346.4,10346.4
20190129,Hold,146.22,0,0.0,69,128.19,217.37,10217.37
20190130,Hold,165.6,0,0.0,69,128.19,1554.59,11554.59
20190131,Hold,165.84,0,0.0,69,128.19,1571.15,11571.15
20190201,Hold,165.7,0,0.0,69,128.19,1561.49,11561.49
20190204,Hold,169.15,0,0.0,69,128.19,1799.54,11799.54
20190205,Hold,171.2,0,0.0,69,128.19,1940.99,11940.99
20190206,Hold,168.2,0,0.0,69,128.19,1733.99,11733.99
20190207,Sell,164.47,-69,11342.755785000001,0,11470.946,1470.946,11470.946
20190208,Hold,167.9,0,0.0,0,11470.946,1470.946,11470.946
20190211,Hold,166.86,0,0.0,0,11470.946,1470.946,11470.946
20190212,Hold,165.38,0,0.0,0,11470.946,1470.946,11470.946
20190213,Hold,163.19,0,0.0,0,11470.946,1470.946,11470.946
20190214,Hold,164.51,0,0.0,0,11470.946,1470.946,11470.946
20190215,Hold,160.5,0,0.0,0,11470.946,1470.946,11470.946
20190219,Hold,162.25,0,0.0,0,11470.946,1470.946,11470.946
20190220,Hold,161.93,0,0.0,0,11470.946,1470.946,11470.946
20190221,Hold,160.58,0,0.0,0,11470.946,1470.946,11470.946
20190222,Hold,163.07,0,0.0,0,11470.946,1470.946,11470.946
20190225,Buy,164.335,69,-11344.7845575,69,126.162,1465.277,11465.277
20190226,Hold,162.9,0,0.0,69,126.162,1366.262,11366.262
20190227,Hold,162.37,0,0.0,69,126.162,1329.692,11329.692
20190228,Sell,162.6,-69,11213.7903,0,11339.952,1339.952,11339.952
20190301,Hold,163.9,0,0.0,0,11339.952,1339.952,11339.952
20190304,Buy,167.37,67,-11219.396895,67,120.555,1334.345,11334.345
20190305,Hold,172.9,0,0.0,67,120.555,1704.855,11704.855
20190306,Hold,171.5,0,0.0,67,120.555,1611.055,11611.055
20190307,Hold,166.2,0,0.0,67,120.555,1255.955,11255.955
20190308,Sell,171.6,-67,11491.4514,0,11612.006,1612.006,11612.006
20190311,Buy,172.09,67,-11535.795015,67,76.211,1606.241,11606.241
20190312,Sell,172.32,-67,11539.66728,0,11615.879,1615.879,11615.879
20190313,Buy,169.76,68,-11549.45184,68,66.427,1610.107,11610.107
20190314,Sell,167.16,-68,11361.19656,0,11427.623,1427.623,11427.623
20190315,Hold,163.57,0,0.0,0,11427.623,1427.623,11427.623
