,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,28.639,348,-9971.355185999999,348,28.645,-4.983,9995.017
20120111,Hold,29.033,0,0.0,348,28.645,132.129,10132.129
20120112,Hold,28.57,0,0.0,348,28.645,-28.995,9971.005
20120113,Sell,28.639,-348,9961.388814,0,9990.034,-9.966,9990.034
20120117,Hold,27.16,0,0.0,0,9990.034,-9.966,9990.034
20120118,Hold,27.671,0,0.0,0,9990.034,-9.966,9990.034
20120119,Hold,27.229,0,0.0,0,9990.034,-9.966,9990.034
20120120,Hold,26.908,0,0.0,0,9990.034,-9.966,9990.034
20120123,Hold,26.159,0,0.0,0,9990.034,-9.966,9990.034
20120124,Hold,26.696,0,0.0,0,9990.034,-9.966,9990.034
20120125,Buy,27.375,364,-9969.48225,364,20.551,-14.949,9985.051
20120126,Hold,26.954,0,0.0,364,20.551,-168.193,9831.807
20120127,Hold,27.03,0,0.0,364,20.551,-140.529,9859.471
20120130,Hold,27.585,0,0.0,364,20.551,61.491,10061.491
20120131,Hold,27.495,0,0.0,364,20.551,28.731,10028.731
20120201,Hold,27.638,0,0.0,364,20.551,80.783,10080.783
20120202,Hold,27.99,0,0.0,364,20.551,208.911,10208.911
20120203,Hold,28.312,0,0.0,364,20.551,326.119,10326.119
20120206,Hold,27.981,0,0.0,364,20.551,205.635,10205.635
20120207,Hold,28.026,0,0.0,364,20.551,222.015,10222.015
20120208,Sell,28.008,-364,10189.814544,0,10210.366,210.366,10210.366
20120209,Hold,27.656,0,0.0,0,10210.366,210.366,10210.366
20120210,Hold,27.408,0,0.0,0,10210.366,210.366,10210.366
20120213,Hold,27.408,0,0.0,0,10210.366,210.366,10210.366
20120214,Hold,27.621,0,0.0,0,10210.366,210.366,10210.366
20120215,Buy,27.366,372,-10185.242075999999,372,25.124,205.276,10205.276
20120216,Hold,27.891,0,0.0,372,25.124,400.576,10400.576
20120217,Hold,27.755,0,0.0,372,25.124,349.984,10349.984
20120221,Hold,28.184,0,0.0,372,25.124,509.572,10509.572
20120222,Hold,28.026,0,0.0,372,25.124,450.796,10450.796
20120223,Hold,28.068,0,0.0,372,25.124,466.42,10466.42
20120224,Hold,27.839,0,0.0,372,25.124,381.232,10381.232
20120227,Hold,29.664,0,0.0,372,25.124,1060.132,11060.132
20120228,Hold,32.217,0,0.0,372,25.124,2009.848,12009.848
20120229,Hold,32.592,0,0.0,372,25.124,2149.348,12149.348
20120301,Hold,32.36,0,0.0,372,25.124,2063.044,12063.044
20120302,Hold,31.731,0,0.0,372,25.124,1829.056,11829.056
20120305,Hold,32.136,0,0.0,372,25.124,1979.716,11979.716
20120306,Hold,32.253,0,0.0,372,25.124,2023.24,12023.24
20120307,Hold,33.326,0,0.0,372,25.124,2422.396,12422.396
20120308,Hold,33.523,0,0.0,372,25.124,2495.68,12495.68
20120309,Hold,33.582,0,0.0,372,25.124,2517.628,12517.628
20120312,Hold,33.506,0,0.0,372,25.124,2489.356,12489.356
20120313,Hold,33.736,0,0.0,372,25.124,2574.916,12574.916
20120314,Sell,33.379,-372,12410.779506,0,12435.903,2435.903,12435.903
20120315,Buy,33.763,368,-12430.996392,368,4.907,2429.691,12429.691
20120316,Hold,35.141,0,0.0,368,4.907,2936.795,12936.795
20120319,Hold,34.352,0,0.0,368,4.907,2646.443,12646.443
20120320,Sell,33.894,-368,12466.755504,0,12471.662,2471.662,12471.662
20120321,Hold,33.753,0,0.0,0,12471.662,2471.662,12471.662
20120322,Hold,33.213,0,0.0,0,12471.662,2471.662,12471.662
20120323,Hold,33.279,0,0.0,0,12471.662,2471.662,12471.662
20120326,Hold,33.154,0,0.0,0,12471.662,2471.662,12471.662
20120327,Hold,32.709,0,0.0,0,12471.662,2471.662,12471.662
20120328,Hold,32.199,0,0.0,0,12471.662,2471.662,12471.662
20120329,Buy,33.098,376,-12451.070424,376,20.592,2465.44,12465.44
20120330,Sell,32.98,-376,12394.27976,0,12414.872,2414.872,12414.872
20120402,Buy,33.626,369,-12414.197996999997,369,0.674,2408.668,12408.668
20120403,Hold,33.206,0,0.0,369,0.674,2253.688,12253.688
20120404,Sell,32.719,-369,12067.2743445,0,12067.948,2067.948,12067.948
20120405,Hold,32.434,0,0.0,0,12067.948,2067.948,12067.948
20120409,Hold,32.191,0,0.0,0,12067.948,2067.948,12067.948
20120410,Hold,31.508,0,0.0,0,12067.948,2067.948,12067.948
20120411,Hold,32.326,0,0.0,0,12067.948,2067.948,12067.948
20120412,Hold,32.035,0,0.0,0,12067.948,2067.948,12067.948
20120413,Buy,33.026,365,-12060.517245000001,365,7.431,2061.921,12061.921
20120416,Hold,32.7,0,0.0,365,7.431,1942.931,11942.931
20120417,Sell,32.126,-365,11720.127005,0,11727.558,1727.558,11727.558
20120418,Hold,31.907,0,0.0,0,11727.558,1727.558,11727.558
20120419,Hold,31.789,0,0.0,0,11727.558,1727.558,11727.558
20120420,Hold,31.734,0,0.0,0,11727.558,1727.558,11727.558
20120423,Hold,31.582,0,0.0,0,11727.558,1727.558,11727.558
20120424,Hold,31.871,0,0.0,0,11727.558,1727.558,11727.558
20120425,Buy,32.6,359,-11709.251699999999,359,18.306,1721.706,11721.706
20120426,Hold,33.188,0,0.0,359,18.306,1932.798,11932.798
20120427,Hold,33.884,0,0.0,359,18.306,2182.662,12182.662
20120430,Hold,30.717,0,0.0,359,18.306,1045.709,11045.709
20120501,Sell,30.87,-359,11076.788835000001,0,11095.095,1095.095,11095.095
20120502,Hold,30.303,0,0.0,0,11095.095,1095.095,11095.095
20120503,Hold,29.775,0,0.0,0,11095.095,1095.095,11095.095
20120504,Hold,29.388,0,0.0,0,11095.095,1095.095,11095.095
20120507,Hold,29.793,0,0.0,0,11095.095,1095.095,11095.095
20120508,Hold,29.388,0,0.0,0,11095.095,1095.095,11095.095
20120509,Hold,29.681,0,0.0,0,11095.095,1095.095,11095.095
20120510,Buy,30.328,365,-11075.25486,365,19.84,1089.56,11089.56
20120511,Hold,30.275,0,0.0,365,19.84,1070.215,11070.215
20120514,Sell,29.628,-365,10808.81289,0,10828.653,828.653,10828.653
20120515,Hold,29.416,0,0.0,0,10828.653,828.653,10828.653
20120516,Hold,28.811,0,0.0,0,10828.653,828.653,10828.653
20120517,Hold,27.531,0,0.0,0,10828.653,828.653,10828.653
20120518,Hold,27.241,0,0.0,0,10828.653,828.653,10828.653
