,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Hold,285.15,0,0,0,10000,0.0,10000.0
20200110,Hold,283.96,0,0,0,10000,0.0,10000.0
20200113,Hold,278.52,0,0,0,10000,0.0,10000.0
20200114,Hold,279.45,0,0,0,10000,0.0,10000.0
20200115,Hold,283.71,0,0,0,10000,0.0,10000.0
20200116,Hold,281.8,0,0,0,10000,0.0,10000.0
20200117,Hold,280.92,0,0,0,10000,0.0,10000.0
20200121,Hold,280.99,0,0,0,10000,0.0,10000.0
20200122,Hold,279.96,0,0,0,10000,0.0,10000.0
20200123,Hold,283.65,0,0,0,10000,0.0,10000.0
20200124,Hold,276.62,0,0,0,10000,0.0,10000.0
20200127,Hold,277.59,0,0,0,10000,0.0,10000.0
20200128,Hold,279.57,0,0,0,10000,0.0,10000.0
20200129,Hold,278.51,0,0,0,10000,0.0,10000.0
20200130,Hold,277.47,0,0,0,10000,0.0,10000.0
20200131,Hold,277.05,0,0,0,10000,0.0,10000.0
20200203,Hold,267.38,0,0,0,10000,0.0,10000.0
20200204,Hold,269.68,0,0,0,10000,0.0,10000.0
20200205,Buy,272.98,36,-9832.19364,36,167.806,-4.914,9995.086
20200206,Hold,278.94,0,0,36,167.806,209.646,10209.646
20200207,Hold,270.18,0,0,36,167.806,-105.714,9894.286
20200210,Hold,269.68,0,0,36,167.806,-123.714,9876.286
20200211,Hold,270.18,0,0,36,167.806,-105.714,9894.286
20200212,Hold,273.96,0,0,36,167.806,30.366,10030.366
20200213,Hold,280.32,0,0,36,167.806,259.326,10259.326
20200214,Hold,287.56,0,0,36,167.806,519.966,10519.966
20200218,Hold,292.22,0,0,36,167.806,687.726,10687.726
20200219,Hold,355.03,0,0,36,167.806,2948.886,12948.886
20200220,Hold,358.94,0,0,36,167.806,3089.646,13089.646
20200221,Hold,348.63,0,0,36,167.806,2718.486,12718.486
20200224,Hold,356.65,0,0,36,167.806,3007.206,13007.206
20200225,Hold,364.67,0,0,36,167.806,3295.926,13295.926
20200226,Sell,354.06,-36,12739.78692,0,12907.593,2907.593,12907.593
20200227,Hold,333.81,0,0,0,12907.593,2907.593,12907.593
20200228,Hold,333.63,0,0,0,12907.593,2907.593,12907.593
20200302,Hold,342.71,0,0,0,12907.593,2907.593,12907.593
20200303,Hold,335.33,0,0,0,12907.593,2907.593,12907.593
20200304,Hold,331.64,0,0,0,12907.593,2907.593,12907.593
20200305,Hold,319.06,0,0,0,12907.593,2907.593,12907.593
20200306,Hold,315.35,0,0,0,12907.593,2907.593,12907.593
20200309,Hold,331.26,0,0,0,12907.593,2907.593,12907.593
20200310,Hold,331.76,0,0,0,12907.593,2907.593,12907.593
20200311,Hold,302.78,0,0,0,12907.593,2907.593,12907.593
20200312,Hold,322.77,0,0,0,12907.593,2907.593,12907.593
20200313,Hold,292.36,0,0,0,12907.593,2907.593,12907.593
20200316,Hold,286.67,0,0,0,12907.593,2907.593,12907.593
20200317,Hold,291.5,0,0,0,12907.593,2907.593,12907.593
20200318,Hold,287.03,0,0,0,12907.593,2907.593,12907.593
20200319,Buy,321.35,40,-12860.427,40,47.166,2901.166,12901.166
20200320,Hold,305.61,0,0,40,47.166,2271.566,12271.566
20200323,Hold,335.3,0,0,40,47.166,3459.166,13459.166
20200324,Hold,339.59,0,0,40,47.166,3630.766,13630.766
20200325,Sell,317.97,-40,12712.440600000002,0,12759.607,2759.607,12759.607
20200326,Buy,323.21,39,-12611.492594999998,39,148.114,2753.304,12753.304
20200327,Hold,332.87,0,0,39,148.114,3130.044,13130.044
20200330,Hold,319.46,0,0,39,148.114,2607.054,12607.054
20200331,Sell,306.68,-39,11954.539740000002,0,12102.654,2102.654,12102.654
20200401,Hold,324.59,0,0,0,12102.654,2102.654,12102.654
20200402,Hold,327.31,0,0,0,12102.654,2102.654,12102.654
20200403,Hold,334.2,0,0,0,12102.654,2102.654,12102.654
20200406,Buy,341.37,35,-11953.923975,35,148.73,2096.68,12096.68
20200407,Hold,333.1,0,0,35,148.73,1807.23,11807.23
20200408,Hold,342.05,0,0,35,148.73,2120.48,12120.48
20200409,Hold,338.66,0,0,35,148.73,2001.83,12001.83
20200413,Hold,358.24,0,0,35,148.73,2687.13,12687.13
20200414,Hold,349.03,0,0,35,148.73,2364.78,12364.78
20200415,Hold,352.93,0,0,35,148.73,2501.28,12501.28
20200416,Hold,356.38,0,0,35,148.73,2622.03,12622.03
20200417,Hold,358.45,0,0,35,148.73,2694.48,12694.48
20200420,Hold,364.17,0,0,35,148.73,2894.68,12894.68
20200421,Hold,366.95,0,0,35,148.73,2991.98,12991.98
20200422,Hold,373.43,0,0,35,148.73,3218.78,13218.78
20200423,Sell,362.68,-35,12687.453100000002,0,12836.183,2836.183,12836.183
20200424,Hold,363.34,0,0,0,12836.183,2836.183,12836.183
20200427,Hold,357.79,0,0,0,12836.183,2836.183,12836.183
20200428,Hold,349.94,0,0,0,12836.183,2836.183,12836.183
20200429,Hold,357.14,0,0,0,12836.183,2836.183,12836.183
20200430,Hold,352.54,0,0,0,12836.183,2836.183,12836.183
20200501,Hold,350.18,0,0,0,12836.183,2836.183,12836.183
20200504,Buy,356.26,36,-12831.77268,36,4.41,2829.77,12829.77
20200505,Hold,363.28,0,0,36,4.41,3082.49,13082.49
20200506,Hold,364.67,0,0,36,4.41,3132.53,13132.53
20200507,Hold,363.2,0,0,36,4.41,3079.61,13079.61
20200508,Hold,362.85,0,0,36,4.41,3067.01,13067.01
20200511,Hold,374.11,0,0,36,4.41,3472.37,13472.37
20200512,Hold,373.32,0,0,36,4.41,3443.93,13443.93
20200513,Hold,377.33,0,0,36,4.41,3588.29,13588.29
20200514,Hold,365.8,0,0,36,4.41,3173.21,13173.21
20200515,Sell,372.28,-36,13395.378959999998,0,13399.789,3399.789,13399.789
20200518,Hold,356.79,0,0,0,13399.789,3399.789,13399.789
20200519,Hold,366.63,0,0,0,13399.789,3399.789,13399.789
20200520,Buy,370.97,36,-13361.59746,36,38.192,3393.112,13393.112
20200521,Hold,370.05,0,0,36,38.192,3359.992,13359.992
20200522,Hold,368.56,0,0,36,38.192,3306.352,13306.352
20200526,Sell,357.51,-36,12863.924820000002,0,12902.117,2902.117,12902.117
20200527,Buy,369.55,34,-12570.98235,34,331.134,2895.834,12895.834
20200528,Sell,363.95,-34,12368.11285,0,12699.247,2699.247,12699.247
