,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,99.97,0,0,0,10000,0.0,10000.0
20160112,Buy,100.56,99,-9960.41772,99,39.582,-4.978,9995.022
20160113,Sell,98.741,-99,9770.4713205,0,9810.054,-189.946,9810.054
20160114,Buy,97.604,100,-9765.2802,100,44.773,-194.827,9805.173
20160115,Sell,99.64,-100,9959.018,0,10003.791,3.791,10003.791
20160119,Buy,99.92,100,-9996.996,100,6.795,-1.205,9998.795
20160120,Hold,99.54,0,0,100,6.795,-39.205,9960.795
20160121,Hold,101.2,0,0,100,6.795,126.795,10126.795
20160122,Hold,104.11,0,0,100,6.795,417.795,10417.795
20160125,Hold,102.17,0,0,100,6.795,223.795,10223.795
20160126,Hold,103.25,0,0,100,6.795,331.795,10331.795
20160127,Hold,103.44,0,0,100,6.795,350.795,10350.795
20160128,Hold,104.88,0,0,100,6.795,494.795,10494.795
20160129,Hold,105.15,0,0,100,6.795,521.795,10521.795
20160201,Hold,105.96,0,0,100,6.795,602.795,10602.795
20160202,Hold,106.22,0,0,100,6.795,628.795,10628.795
20160203,Sell,103.38,-100,10332.831,0,10339.626,339.626,10339.626
20160204,Hold,103.06,0,0,0,10339.626,339.626,10339.626
20160205,Hold,97.408,0,0,0,10339.626,339.626,10339.626
20160208,Hold,98.701,0,0,0,10339.626,339.626,10339.626
20160209,Hold,100.81,0,0,0,10339.626,339.626,10339.626
20160210,Hold,98.869,0,0,0,10339.626,339.626,10339.626
20160211,Buy,99.72,103,-10276.29558,103,63.331,334.491,10334.491
20160212,Hold,101.18,0,0,103,63.331,484.871,10484.871
20160216,Hold,101.8,0,0,103,63.331,548.731,10548.731
20160217,Hold,101.51,0,0,103,63.331,518.861,10518.861
20160218,Sell,99.94,-103,10288.67309,0,10352.004,352.004,10352.004
20160219,Hold,100.22,0,0,0,10352.004,352.004,10352.004
20160222,Hold,100.24,0,0,0,10352.004,352.004,10352.004
20160223,Hold,99.377,0,0,0,10352.004,352.004,10352.004
20160224,Buy,100.31,103,-10337.095965,103,14.908,346.838,10346.838
20160225,Hold,101.56,0,0,103,14.908,475.588,10475.588
20160226,Hold,100.55,0,0,103,14.908,371.558,10371.558
20160229,Hold,101.5,0,0,103,14.908,469.408,10469.408
20160301,Hold,102.04,0,0,103,14.908,525.028,10525.028
20160302,Hold,101.13,0,0,103,14.908,431.298,10431.298
20160303,Sell,100.47,-103,10343.235795,0,10358.144,358.144,10358.144
20160304,Hold,100.72,0,0,0,10358.144,358.144,10358.144
20160307,Buy,100.03,103,-10308.241544999999,103,49.902,352.992,10352.992
20160308,Hold,102.64,0,0,103,49.902,621.822,10621.822
20160309,Hold,103.21,0,0,103,49.902,680.532,10680.532
20160310,Hold,103.72,0,0,103,49.902,733.062,10733.062
20160311,Hold,104.85,0,0,103,49.902,849.452,10849.452
20160314,Hold,105.28,0,0,103,49.902,893.742,10893.742
20160315,Hold,106.13,0,0,103,49.902,981.292,10981.292
20160316,Hold,106.08,0,0,103,49.902,976.142,10976.142
