,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,207.74,48,-9976.50576,48,23.494,-4.986,9995.014
20210112,Sell,205.05,-48,9837.478800000003,0,9860.973,-139.027,9860.973
20210113,Hold,206.2,0,0.0,0,9860.973,-139.027,9860.973
20210114,Hold,202.19,0,0.0,0,9860.973,-139.027,9860.973
20210115,Hold,204.82,0,0.0,0,9860.973,-139.027,9860.973
20210119,Hold,204.3,0,0.0,0,9860.973,-139.027,9860.973
20210120,Buy,208.11,47,-9786.060585,47,74.912,-143.918,9856.082
20210121,Hold,206.6,0,0.0,47,74.912,-214.888,9785.112
20210122,Hold,206.32,0,0.0,47,74.912,-228.048,9771.952
20210125,Hold,206.6,0,0.0,47,74.912,-214.888,9785.112
20210126,Sell,206.49,-47,9700.177485000002,0,9775.09,-224.91,9775.09
20210127,Hold,202.83,0,0.0,0,9775.09,-224.91,9775.09
20210128,Hold,199.41,0,0.0,0,9775.09,-224.91,9775.09
20210129,Hold,202.69,0,0.0,0,9775.09,-224.91,9775.09
20210201,Hold,202.3,0,0.0,0,9775.09,-224.91,9775.09
20210202,Buy,202.56,48,-9727.74144,48,47.349,-229.771,9770.229
20210203,Hold,204.16,0,0.0,48,47.349,-152.971,9847.029
20210204,Hold,206.68,0,0.0,48,47.349,-32.011,9967.989
20210205,Hold,206.62,0,0.0,48,47.349,-34.891,9965.109
20210208,Hold,206.17,0,0.0,48,47.349,-56.491,9943.509
20210209,Hold,210.85,0,0.0,48,47.349,168.149,10168.149
20210210,Hold,208.58,0,0.0,48,47.349,59.189,10059.189
20210211,Hold,208.05,0,0.0,48,47.349,33.749,10033.749
20210212,Sell,208.41,-48,9998.678160000001,0,10046.027,46.027,10046.027
20210216,Hold,208.01,0,0.0,0,10046.027,46.027,10046.027
20210217,Hold,207.37,0,0.0,0,10046.027,46.027,10046.027
20210218,Buy,209.3,47,-9842.01855,47,204.008,41.108,10041.108
20210219,Sell,205.63,-47,9659.777695,0,9863.786,-136.214,9863.786
20210222,Hold,208.54,0,0.0,0,9863.786,-136.214,9863.786
20210223,Hold,204.98,0,0.0,0,9863.786,-136.214,9863.786
20210224,Hold,206.79,0,0.0,0,9863.786,-136.214,9863.786
20210225,Hold,206.15,0,0.0,0,9863.786,-136.214,9863.786
20210226,Hold,202.83,0,0.0,0,9863.786,-136.214,9863.786
20210301,Hold,203.47,0,0.0,0,9863.786,-136.214,9863.786
20210302,Hold,202.99,0,0.0,0,9863.786,-136.214,9863.786
20210303,Hold,201.67,0,0.0,0,9863.786,-136.214,9863.786
20210304,Hold,201.26,0,0.0,0,9863.786,-136.214,9863.786
20210305,Buy,203.17,48,-9757.03608,48,106.75,-141.09,9858.91
