,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,19.653,508,-9988.715862,508,11.284,-4.992,9995.008
20120111,Hold,19.931,0,0.0,508,11.284,136.232,10136.232
20120112,Hold,19.992,0,0.0,508,11.284,167.22,10167.22
20120113,Hold,20.182,0,0.0,508,11.284,263.74,10263.74
20120117,Hold,20.148,0,0.0,508,11.284,246.468,10246.468
20120118,Hold,20.213,0,0.0,508,11.284,279.488,10279.488
20120119,Hold,20.182,0,0.0,508,11.284,263.74,10263.74
20120120,Hold,20.264,0,0.0,508,11.284,305.396,10305.396
20120123,Sell,19.891,-508,10099.575686,0,10110.86,110.86,10110.86
20120124,Hold,20.233,0,0.0,0,10110.86,110.86,10110.86
20120125,Hold,20.224,0,0.0,0,10110.86,110.86,10110.86
20120126,Buy,20.176,500,-10093.044,500,17.816,105.816,10105.816
20120127,Hold,19.94,0,0.0,500,17.816,-12.184,9987.816
20120130,Hold,20.427,0,0.0,500,17.816,231.316,10231.316
20120131,Sell,20.352,-500,10170.912,0,10188.728,188.728,10188.728
20120201,Buy,20.3,501,-10175.38515,501,13.343,183.643,10183.643
20120202,Sell,20.192,-501,10111.133904000002,0,10124.477,124.477,10124.477
20120203,Buy,20.327,497,-10107.5702595,497,16.906,119.425,10119.425
20120206,Hold,20.38,0,0.0,497,16.906,145.766,10145.766
20120207,Hold,20.459,0,0.0,497,16.906,185.029,10185.029
20120208,Hold,20.639,0,0.0,497,16.906,274.489,10274.489
20120209,Hold,20.609,0,0.0,497,16.906,259.579,10259.579
20120210,Hold,20.785,0,0.0,497,16.906,347.051,10347.051
20120213,Hold,20.684,0,0.0,497,16.906,296.854,10296.854
20120214,Hold,20.738,0,0.0,497,16.906,323.692,10323.692
20120215,Sell,20.428,-497,10147.639642,0,10164.546,164.546,10164.546
20120216,Hold,20.56,0,0.0,0,10164.546,164.546,10164.546
20120217,Hold,20.451,0,0.0,0,10164.546,164.546,10164.546
20120221,Hold,20.398,0,0.0,0,10164.546,164.546,10164.546
20120222,Buy,20.438,497,-10162.764842999999,497,1.781,159.467,10159.467
20120223,Hold,20.442,0,0.0,497,1.781,161.455,10161.455
20120224,Hold,20.264,0,0.0,497,1.781,72.989,10072.989
20120227,Hold,20.362,0,0.0,497,1.781,121.695,10121.695
20120228,Hold,20.639,0,0.0,497,1.781,259.364,10259.364
20120229,Hold,20.572,0,0.0,497,1.781,226.065,10226.065
20120301,Hold,20.596,0,0.0,497,1.781,237.993,10237.993
20120302,Hold,20.596,0,0.0,497,1.781,237.993,10237.993
20120305,Hold,20.547,0,0.0,497,1.781,213.64,10213.64
20120306,Hold,20.456,0,0.0,497,1.781,168.413,10168.413
20120307,Hold,20.974,0,0.0,497,1.781,425.859,10425.859
20120308,Hold,21.856,0,0.0,497,1.781,864.213,10864.213
20120309,Hold,21.95,0,0.0,497,1.781,910.931,10910.931
20120312,Hold,21.643,0,0.0,497,1.781,758.352,10758.352
20120313,Hold,21.967,0,0.0,497,1.781,919.38,10919.38
20120314,Hold,22.324,0,0.0,497,1.781,1096.809,11096.809
20120315,Hold,22.494,0,0.0,497,1.781,1181.299,11181.299
20120316,Hold,22.4,0,0.0,497,1.781,1134.581,11134.581
20120319,Hold,22.598,0,0.0,497,1.781,1232.987,11232.987
20120320,Hold,22.763,0,0.0,497,1.781,1314.992,11314.992
20120321,Hold,22.681,0,0.0,497,1.781,1274.238,11274.238
20120322,Hold,23.439,0,0.0,497,1.781,1650.964,11650.964
20120323,Hold,23.463,0,0.0,497,1.781,1662.892,11662.892
20120326,Hold,23.643,0,0.0,497,1.781,1752.352,11752.352
20120327,Hold,23.747,0,0.0,497,1.781,1804.04,11804.04
20120328,Hold,23.485,0,0.0,497,1.781,1673.826,11673.826
20120329,Hold,23.739,0,0.0,497,1.781,1800.064,11800.064
20120330,Hold,23.667,0,0.0,497,1.781,1764.28,11764.28
20120402,Hold,23.946,0,0.0,497,1.781,1902.943,11902.943
20120403,Hold,24.185,0,0.0,497,1.781,2021.726,12021.726
20120404,Hold,24.128,0,0.0,497,1.781,1993.397,11993.397
20120405,Hold,24.191,0,0.0,497,1.781,2024.708,12024.708
20120409,Hold,24.398,0,0.0,497,1.781,2127.587,12127.587
20120410,Hold,24.229,0,0.0,497,1.781,2043.594,12043.594
20120411,Hold,25.109,0,0.0,497,1.781,2480.954,12480.954
20120412,Hold,25.463,0,0.0,497,1.781,2656.892,12656.892
20120413,Hold,26.161,0,0.0,497,1.781,3003.798,13003.798
20120416,Hold,25.32,0,0.0,497,1.781,2585.821,12585.821
20120417,Sell,24.922,-497,12380.040883000001,0,12381.822,2381.822,12381.822
20120418,Buy,25.512,485,-12379.50666,485,2.315,2375.635,12375.635
20120419,Sell,24.949,-485,12094.214867500003,0,12096.53,2096.53,12096.53
20120420,Hold,24.79,0,0.0,0,12096.53,2096.53,12096.53
20120423,Hold,24.91,0,0.0,0,12096.53,2096.53,12096.53
20120424,Hold,24.803,0,0.0,0,12096.53,2096.53,12096.53
20120425,Buy,25.281,478,-12090.360158999998,478,6.17,2090.488,12090.488
