,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,105.72,94,-9942.64884,94,57.351,-4.969,9995.031
20210112,Hold,105.36,0,0.0,94,57.351,-38.809,9961.191
20210113,Hold,106.0,0,0.0,94,57.351,21.351,10021.351
20210114,Hold,105.75,0,0.0,94,57.351,-2.149,9997.851
20210115,Sell,105.2,-94,9883.8556,0,9941.207,-58.793,9941.207
20210119,Hold,105.88,0,0.0,0,9941.207,-58.793,9941.207
20210120,Buy,107.7,92,-9913.3542,92,27.853,-63.747,9936.253
20210121,Sell,105.59,-92,9709.42286,0,9737.275,-262.725,9737.275
20210122,Hold,104.54,0,0.0,0,9737.275,-262.725,9737.275
20210125,Hold,103.91,0,0.0,0,9737.275,-262.725,9737.275
20210126,Hold,103.8,0,0.0,0,9737.275,-262.725,9737.275
20210127,Hold,100.56,0,0.0,0,9737.275,-262.725,9737.275
20210128,Hold,100.4,0,0.0,0,9737.275,-262.725,9737.275
20210129,Hold,100.55,0,0.0,0,9737.275,-262.725,9737.275
20210201,Hold,102.59,0,0.0,0,9737.275,-262.725,9737.275
20210202,Buy,104.05,93,-9681.488324999998,93,55.787,-267.563,9732.437
20210203,Hold,103.7,0,0.0,93,55.787,-300.113,9699.887
20210204,Sell,101.65,-93,9448.723275000002,0,9504.51,-495.49,9504.51
20210205,Buy,103.09,92,-9489.022140000001,92,15.488,-500.232,9499.768
20210208,Sell,101.71,-92,9352.64134,0,9368.13,-631.87,9368.13
20210209,Hold,102.07,0,0.0,0,9368.13,-631.87,9368.13
20210210,Buy,103.52,90,-9321.4584,90,46.671,-636.529,9363.471
20210211,Hold,104.21,0,0.0,90,46.671,-574.429,9425.571
20210212,Hold,104.43,0,0.0,90,46.671,-554.629,9445.371
20210216,Hold,103.51,0,0.0,90,46.671,-637.429,9362.571
20210217,Sell,102.71,-90,9239.27805,0,9285.949,-714.051,9285.949
20210218,Hold,104.29,0,0.0,0,9285.949,-714.051,9285.949
20210219,Hold,103.19,0,0.0,0,9285.949,-714.051,9285.949
20210222,Hold,104.36,0,0.0,0,9285.949,-714.051,9285.949
20210223,Hold,103.34,0,0.0,0,9285.949,-714.051,9285.949
20210224,Hold,103.42,0,0.0,0,9285.949,-714.051,9285.949
20210225,Hold,103.98,0,0.0,0,9285.949,-714.051,9285.949
20210226,Hold,102.78,0,0.0,0,9285.949,-714.051,9285.949
20210301,Hold,103.04,0,0.0,0,9285.949,-714.051,9285.949
20210302,Buy,103.54,89,-9219.66753,89,66.282,-718.658,9281.342
20210303,Sell,102.48,-89,9116.159640000002,0,9182.441,-817.559,9182.441
20210304,Hold,102.58,0,0.0,0,9182.441,-817.559,9182.441
20210305,Buy,103.27,88,-9092.30388,88,90.137,-822.103,9177.897
20210308,Hold,103.25,0,0.0,88,90.137,-823.863,9176.137
20210309,Sell,101.99,-88,8970.63244,0,9060.77,-939.23,9060.77
20210310,Buy,103.84,87,-9038.597039999999,87,22.173,-943.747,9056.253
20210311,Hold,103.69,0,0.0,87,22.173,-956.797,9043.203
20210312,Hold,104.0,0,0.0,87,22.173,-929.827,9070.173
20210315,Hold,106.73,0,0.0,87,22.173,-692.317,9307.683
20210316,Hold,107.52,0,0.0,87,22.173,-623.587,9376.413
20210317,Hold,109.51,0,0.0,87,22.173,-450.457,9549.543
20210318,Sell,107.2,-87,9321.7368,0,9343.91,-656.09,9343.91
20210319,Hold,106.51,0,0.0,0,9343.91,-656.09,9343.91
20210322,Hold,106.69,0,0.0,0,9343.91,-656.09,9343.91
20210323,Hold,106.73,0,0.0,0,9343.91,-656.09,9343.91
20210324,Hold,105.82,0,0.0,0,9343.91,-656.09,9343.91
20210325,Hold,106.68,0,0.0,0,9343.91,-656.09,9343.91
20210326,Buy,106.73,87,-9290.152755,87,53.757,-660.733,9339.267
20210329,Hold,106.98,0,0.0,87,53.757,-638.983,9361.017
20210330,Hold,107.92,0,0.0,87,53.757,-557.203,9442.797
20210331,Hold,107.39,0,0.0,87,53.757,-603.313,9396.687
20210401,Hold,108.77,0,0.0,87,53.757,-483.253,9516.747
20210405,Hold,110.09,0,0.0,87,53.757,-368.413,9631.587
20210406,Hold,112.42,0,0.0,87,53.757,-165.703,9834.297
20210407,Hold,112.44,0,0.0,87,53.757,-163.963,9836.037
20210408,Hold,113.42,0,0.0,87,53.757,-78.703,9921.297
20210409,Hold,113.64,0,0.0,87,53.757,-59.563,9940.437
20210412,Hold,115.1,0,0.0,87,53.757,67.457,10067.457
20210413,Hold,116.14,0,0.0,87,53.757,157.937,10157.937
20210414,Hold,117.08,0,0.0,87,53.757,239.717,10239.717
20210415,Hold,117.25,0,0.0,87,53.757,254.507,10254.507
20210416,Hold,116.99,0,0.0,87,53.757,231.887,10231.887
20210419,Sell,115.73,-87,10063.475745000002,0,10117.233,117.233,10117.233
20210420,Hold,116.37,0,0.0,0,10117.233,117.233,10117.233
20210421,Hold,116.79,0,0.0,0,10117.233,117.233,10117.233
20210422,Hold,116.34,0,0.0,0,10117.233,117.233,10117.233
20210423,Hold,116.56,0,0.0,0,10117.233,117.233,10117.233
