,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,78.271,0,0,0,10000,0.0,10000.0
20160112,Buy,79.039,126,-9963.893457,126,36.107,-4.979,9995.021
20160113,Hold,78.084,0,0,126,36.107,-125.309,9874.691
20160114,Hold,77.308,0,0,126,36.107,-223.085,9776.915
20160115,Sell,78.169,-126,9844.369353,0,9880.476,-119.524,9880.476
20160119,Buy,77.473,127,-9843.9905355,127,36.485,-124.444,9875.556
20160120,Sell,78.169,-127,9922.4992685,0,9958.985,-41.015,9958.985
20160121,Buy,79.201,125,-9905.0750625,125,53.91,-45.965,9954.035
20160122,Hold,79.313,0,0,125,53.91,-31.965,9968.035
20160125,Sell,79.086,-125,9880.807125000001,0,9934.717,-65.283,9934.717
20160126,Buy,78.301,126,-9870.858962999999,126,63.858,-70.216,9929.784
20160127,Sell,77.693,-126,9784.423341,0,9848.281,-151.719,9848.281
20160128,Buy,78.826,124,-9779.311211999999,124,68.97,-156.606,9843.394
20160129,Hold,79.697,0,0,124,68.97,-48.602,9951.398
20160201,Hold,79.237,0,0,124,68.97,-105.642,9894.358
20160202,Hold,79.995,0,0,124,68.97,-11.65,9988.35
20160203,Hold,80.388,0,0,124,68.97,37.082,10037.082
20160204,Hold,81.898,0,0,124,68.97,224.322,10224.322
20160205,Hold,84.166,0,0,124,68.97,505.554,10505.554
20160208,Hold,82.471,0,0,124,68.97,295.374,10295.374
20160209,Hold,84.729,0,0,124,68.97,575.366,10575.366
20160210,Sell,81.326,-124,10079.381787999999,0,10148.352,148.352,10148.352
20160211,Hold,81.749,0,0,0,10148.352,148.352,10148.352
20160212,Hold,83.828,0,0,0,10148.352,148.352,10148.352
20160216,Buy,83.39,121,-10095.235095,121,53.117,143.307,10143.307
20160217,Hold,84.327,0,0,121,53.117,256.684,10256.684
20160218,Hold,85.339,0,0,121,53.117,379.136,10379.136
20160219,Hold,86.189,0,0,121,53.117,481.986,10481.986
20160222,Hold,85.73,0,0,121,53.117,426.447,10426.447
20160223,Hold,84.861,0,0,121,53.117,321.298,10321.298
20160224,Hold,86.707,0,0,121,53.117,544.664,10544.664
20160225,Hold,87.366,0,0,121,53.117,624.403,10624.403
20160226,Hold,86.142,0,0,121,53.117,476.299,10476.299
20160229,Sell,86.717,-121,10487.5106215,0,10540.627,540.627,10540.627
20160301,Buy,86.625,121,-10486.8658125,121,53.761,535.386,10535.386
20160302,Sell,86.367,-121,10445.181796500001,0,10498.943,498.943,10498.943
20160303,Buy,87.072,120,-10453.864319999999,120,45.079,493.719,10493.719
20160304,Hold,86.416,0,0,120,45.079,414.999,10414.999
20160307,Sell,86.06,-120,10322.0364,0,10367.115,367.115,10367.115
20160308,Buy,86.726,119,-10325.554197,119,41.561,361.955,10361.955
20160309,Hold,86.688,0,0,119,41.561,357.433,10357.433
20160310,Hold,87.31,0,0,119,41.561,431.451,10431.451
20160311,Hold,87.525,0,0,119,41.561,457.036,10457.036
20160314,Hold,87.507,0,0,119,41.561,454.894,10454.894
20160315,Hold,86.316,0,0,119,41.561,313.165,10313.165
20160316,Hold,87.544,0,0,119,41.561,459.297,10459.297
20160317,Hold,88.139,0,0,119,41.561,530.102,10530.102
