,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,72.841,0,0,0,10000,0.0,10000.0
20170111,Hold,74.845,0,0,0,10000,0.0,10000.0
20170112,Buy,75.073,133,-9989.701354499999,133,10.299,-4.992,9995.008
20170113,Hold,75.423,0,0,133,10.299,41.558,10041.558
20170117,Hold,76.034,0,0,133,10.299,122.821,10122.821
20170118,Sell,75.312,-133,10011.487752,0,10021.786,21.786,10021.786
20170119,Hold,75.082,0,0,0,10021.786,21.786,10021.786
20170120,Buy,75.596,132,-9983.661336,132,38.125,16.797,10016.797
20170123,Hold,75.833,0,0,132,38.125,48.081,10048.081
20170124,Hold,77.043,0,0,132,38.125,207.801,10207.801
20170125,Hold,78.144,0,0,132,38.125,353.133,10353.133
20170126,Hold,77.545,0,0,132,38.125,274.065,10274.065
20170127,Sell,77.1,-132,10172.1114,0,10210.236,210.236,10210.236
20170130,Hold,76.917,0,0,0,10210.236,210.236,10210.236
20170131,Hold,76.897,0,0,0,10210.236,210.236,10210.236
20170201,Hold,78.809,0,0,0,10210.236,210.236,10210.236
20170202,Buy,78.002,130,-10145.33013,130,64.906,205.166,10205.166
20170203,Hold,78.887,0,0,130,64.906,320.216,10320.216
20170206,Hold,79.063,0,0,130,64.906,343.096,10343.096
20170207,Hold,78.997,0,0,130,64.906,334.516,10334.516
20170208,Sell,78.296,-130,10173.390760000002,0,10238.297,238.297,10238.297
20170209,Hold,78.477,0,0,0,10238.297,238.297,10238.297
20170210,Hold,78.714,0,0,0,10238.297,238.297,10238.297
20170213,Hold,78.276,0,0,0,10238.297,238.297,10238.297
20170214,Buy,79.21,129,-10223.199044999998,129,15.098,233.188,10233.188
20170215,Hold,79.237,0,0,129,15.098,236.671,10236.671
20170216,Hold,79.542,0,0,129,15.098,276.016,10276.016
20170217,Hold,80.986,0,0,129,15.098,462.292,10462.292
20170221,Hold,80.348,0,0,129,15.098,379.99,10379.99
20170222,Sell,80.415,-129,10368.348232500002,0,10383.446,383.446,10383.446
20170223,Hold,79.904,0,0,0,10383.446,383.446,10383.446
20170224,Hold,79.616,0,0,0,10383.446,383.446,10383.446
20170227,Hold,79.217,0,0,0,10383.446,383.446,10383.446
20170228,Hold,79.386,0,0,0,10383.446,383.446,10383.446
20170301,Buy,81.124,127,-10307.899373999999,127,75.547,378.295,10378.295
20170302,Sell,79.013,-127,10029.6336745,0,10105.181,105.181,10105.181
20170303,Hold,78.766,0,0,0,10105.181,105.181,10105.181
20170306,Hold,78.718,0,0,0,10105.181,105.181,10105.181
20170307,Hold,79.061,0,0,0,10105.181,105.181,10105.181
20170308,Buy,79.502,127,-10101.802376999998,127,3.378,100.132,10100.132
20170309,Hold,80.369,0,0,127,3.378,210.241,10210.241
20170310,Hold,81.546,0,0,127,3.378,359.72,10359.72
20170313,Hold,81.085,0,0,127,3.378,301.173,10301.173
20170314,Hold,80.886,0,0,127,3.378,275.9,10275.9
20170315,Hold,81.361,0,0,127,3.378,336.225,10336.225
20170316,Hold,81.801,0,0,127,3.378,392.105,10392.105
20170317,Hold,81.859,0,0,127,3.378,399.471,10399.471
20170320,Hold,83.013,0,0,127,3.378,546.029,10546.029
20170321,Hold,82.441,0,0,127,3.378,473.385,10473.385
20170322,Hold,82.471,0,0,127,3.378,477.195,10477.195
20170323,Sell,82.613,-127,10486.605074500001,0,10489.983,489.983,10489.983
20170324,Hold,81.593,0,0,0,10489.983,489.983,10489.983
20170327,Hold,81.631,0,0,0,10489.983,489.983,10489.983
20170328,Hold,81.753,0,0,0,10489.983,489.983,10489.983
20170329,Hold,81.526,0,0,0,10489.983,489.983,10489.983
20170330,Hold,81.37,0,0,0,10489.983,489.983,10489.983
20170331,Hold,80.867,0,0,0,10489.983,489.983,10489.983
20170403,Hold,80.496,0,0,0,10489.983,489.983,10489.983
20170404,Hold,81.23,0,0,0,10489.983,489.983,10489.983
20170405,Hold,80.991,0,0,0,10489.983,489.983,10489.983
20170406,Hold,80.514,0,0,0,10489.983,489.983,10489.983
20170407,Hold,80.496,0,0,0,10489.983,489.983,10489.983
20170410,Hold,80.751,0,0,0,10489.983,489.983,10489.983
20170411,Hold,80.523,0,0,0,10489.983,489.983,10489.983
20170412,Buy,80.896,129,-10440.801792,129,49.181,484.765,10484.765
20170413,Hold,81.21,0,0,129,49.181,525.271,10525.271
20170417,Hold,81.287,0,0,129,49.181,535.204,10535.204
20170418,Hold,82.403,0,0,129,49.181,679.168,10679.168
20170419,Sell,81.839,-129,10551.9523845,0,10601.134,601.134,10601.134
20170420,Buy,82.042,129,-10588.709708999999,129,12.424,595.842,10595.842
20170421,Sell,81.8,-129,10546.9239,0,10559.348,559.348,10559.348
20170424,Hold,82.335,0,0,0,10559.348,559.348,10559.348
20170425,Buy,83.424,126,-10516.679712000001,126,42.668,554.092,10554.092
20170426,Hold,83.721,0,0,126,42.668,591.514,10591.514
20170427,Hold,83.233,0,0,126,42.668,530.026,10530.026
20170428,Hold,83.682,0,0,126,42.668,586.6,10586.6
20170501,Hold,83.139,0,0,126,42.668,518.182,10518.182
20170502,Hold,86.039,0,0,126,42.668,883.582,10883.582
20170503,Hold,87.291,0,0,126,42.668,1041.334,11041.334
20170504,Hold,87.215,0,0,126,42.668,1031.758,11031.758
20170505,Hold,88.359,0,0,126,42.668,1175.902,11175.902
20170508,Hold,88.54,0,0,126,42.668,1198.708,11198.708
20170509,Hold,89.189,0,0,126,42.668,1280.482,11280.482
20170510,Hold,89.457,0,0,126,42.668,1314.25,11314.25
20170511,Sell,88.837,-126,11187.865269,0,11230.534,1230.534,11230.534
20170512,Hold,88.741,0,0,0,11230.534,1230.534,11230.534
20170515,Hold,88.557,0,0,0,11230.534,1230.534,11230.534
20170516,Hold,87.671,0,0,0,11230.534,1230.534,11230.534
20170517,Hold,87.768,0,0,0,11230.534,1230.534,11230.534
