,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,97.405,102,-9940.277654999998,102,59.722,-4.968,9995.032
20190110,Hold,105.22,0,0.0,102,59.722,792.162,10792.162
20190111,Hold,104.38,0,0.0,102,59.722,706.482,10706.482
20190114,Hold,104.62,0,0.0,102,59.722,730.962,10730.962
20190115,Hold,104.1,0,0.0,102,59.722,677.922,10677.922
20190116,Hold,103.36,0,0.0,102,59.722,602.442,10602.442
20190117,Hold,109.21,0,0.0,102,59.722,1199.142,11199.142
20190118,Hold,108.22,0,0.0,102,59.722,1098.162,11098.162
20190122,Sell,105.78,-102,10784.16522,0,10843.888,843.888,10843.888
20190123,Hold,103.83,0,0.0,0,10843.888,843.888,10843.888
20190124,Buy,107.1,101,-10822.508549999999,101,21.379,838.479,10838.479
20190125,Hold,106.58,0,0.0,101,21.379,785.959,10785.959
20190128,Hold,108.04,0,0.0,101,21.379,933.419,10933.419
20190129,Hold,108.67,0,0.0,101,21.379,997.049,10997.049
20190130,Hold,109.98,0,0.0,101,21.379,1129.359,11129.359
20190131,Hold,109.11,0,0.0,101,21.379,1041.489,11041.489
20190201,Hold,108.41,0,0.0,101,21.379,970.789,10970.789
20190204,Hold,110.09,0,0.0,101,21.379,1140.469,11140.469
20190205,Hold,111.74,0,0.0,101,21.379,1307.119,11307.119
20190206,Hold,110.94,0,0.0,101,21.379,1226.319,11226.319
20190207,Hold,109.47,0,0.0,101,21.379,1077.849,11077.849
20190208,Hold,110.89,0,0.0,101,21.379,1221.269,11221.269
20190211,Hold,112.83,0,0.0,101,21.379,1417.209,11417.209
20190212,Hold,114.18,0,0.0,101,21.379,1553.559,11553.559
20190213,Hold,110.8,0,0.0,101,21.379,1212.179,11212.179
20190214,Hold,113.12,0,0.0,101,21.379,1446.499,11446.499
20190215,Hold,112.55,0,0.0,101,21.379,1388.929,11388.929
20190219,Hold,112.66,0,0.0,101,21.379,1400.039,11400.039
20190220,Hold,113.49,0,0.0,101,21.379,1483.869,11483.869
20190221,Hold,115.6,0,0.0,101,21.379,1696.979,11696.979
20190222,Hold,118.42,0,0.0,101,21.379,1981.799,11981.799
20190225,Hold,115.39,0,0.0,101,21.379,1675.769,11675.769
20190226,Hold,115.07,0,0.0,101,21.379,1643.449,11643.449
20190227,Hold,115.76,0,0.0,101,21.379,1713.139,11713.139
20190228,Sell,115.98,-101,11708.12301,0,11729.502,1729.502,11729.502
20190301,Hold,114.95,0,0.0,0,11729.502,1729.502,11729.502
20190304,Hold,112.11,0,0.0,0,11729.502,1729.502,11729.502
20190305,Hold,111.09,0,0.0,0,11729.502,1729.502,11729.502
20190306,Hold,109.39,0,0.0,0,11729.502,1729.502,11729.502
20190307,Hold,108.9,0,0.0,0,11729.502,1729.502,11729.502
20190308,Buy,110.48,106,-11716.73544,106,12.767,1723.647,11723.647
20190311,Hold,111.94,0,0.0,106,12.767,1878.407,11878.407
20190312,Hold,112.09,0,0.0,106,12.767,1894.307,11894.307
20190313,Hold,112.63,0,0.0,106,12.767,1951.547,11951.547
20190314,Hold,112.4,0,0.0,106,12.767,1927.167,11927.167
20190315,Sell,110.16,-106,11671.12152,0,11683.888,1683.888,11683.888
20190318,Hold,111.37,0,0.0,0,11683.888,1683.888,11683.888
20190319,Hold,109.43,0,0.0,0,11683.888,1683.888,11683.888
