,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,56.912,0,0,0,10000,0.0,10000.0
20170111,Buy,58.426,171,-9995.841423,171,4.159,-4.995,9995.005
20170112,Hold,57.973,0,0,171,4.159,-82.458,9917.542
20170113,Hold,57.548,0,0,171,4.159,-155.133,9844.867
20170117,Hold,57.878,0,0,171,4.159,-98.703,9901.297
20170118,Hold,57.742,0,0,171,4.159,-121.959,9878.041
20170119,Hold,58.176,0,0,171,4.159,-47.745,9952.255
20170120,Hold,58.909,0,0,171,4.159,77.598,10077.598
20170123,Hold,60.249,0,0,171,4.159,306.738,10306.738
20170124,Hold,60.558,0,0,171,4.159,359.577,10359.577
20170125,Hold,59.748,0,0,171,4.159,221.067,10221.067
20170126,Sell,59.834,-171,10226.498193000001,0,10230.657,230.657,10230.657
20170127,Hold,58.764,0,0,0,10230.657,230.657,10230.657
20170130,Hold,60.326,0,0,0,10230.657,230.657,10230.657
20170131,Hold,60.289,0,0,0,10230.657,230.657,10230.657
20170201,Buy,62.71,163,-10226.840864999998,163,3.816,225.546,10225.546
20170202,Hold,63.173,0,0,163,3.816,301.015,10301.015
20170203,Hold,62.052,0,0,163,3.816,118.292,10118.292
20170206,Hold,62.188,0,0,163,3.816,140.46,10140.46
20170207,Hold,61.937,0,0,163,3.816,99.547,10099.547
20170208,Hold,62.401,0,0,163,3.816,175.179,10175.179
20170209,Sell,62.256,-163,10142.654136,0,10146.47,146.47,10146.47
20170210,Buy,63.664,159,-10127.637288,159,18.833,141.409,10141.409
20170213,Hold,64.012,0,0,159,18.833,196.741,10196.741
20170214,Hold,62.923,0,0,159,18.833,23.59,10023.59
20170215,Hold,64.119,0,0,159,18.833,213.754,10213.754
20170216,Hold,63.124,0,0,159,18.833,55.549,10055.549
20170217,Sell,62.941,-159,10002.6151905,0,10021.448,21.448,10021.448
20170221,Hold,62.526,0,0,0,10021.448,21.448,10021.448
20170222,Hold,64.079,0,0,0,10021.448,21.448,10021.448
20170223,Hold,62.951,0,0,0,10021.448,21.448,10021.448
20170224,Hold,63.124,0,0,0,10021.448,21.448,10021.448
20170227,Hold,62.941,0,0,0,10021.448,21.448,10021.448
20170228,Hold,63.278,0,0,0,10021.448,21.448,10021.448
20170301,Hold,63.538,0,0,0,10021.448,21.448,10021.448
20170302,Buy,63.741,157,-10012.340668499999,157,9.107,16.444,10016.444
20170303,Hold,63.424,0,0,157,9.107,-33.325,9966.675
20170306,Sell,62.988,-157,9884.171442,0,9893.279,-106.721,9893.279
20170307,Hold,63.588,0,0,0,9893.279,-106.721,9893.279
20170308,Hold,63.047,0,0,0,9893.279,-106.721,9893.279
20170309,Hold,63.22,0,0,0,9893.279,-106.721,9893.279
20170310,Buy,63.789,155,-9892.2386475,155,1.04,-111.665,9888.335
20170313,Hold,63.915,0,0,155,1.04,-92.135,9907.865
20170314,Hold,64.494,0,0,155,1.04,-2.39,9997.61
20170315,Hold,66.713,0,0,155,1.04,341.555,10341.555
20170316,Hold,66.83,0,0,155,1.04,359.69,10359.69
20170317,Hold,66.133,0,0,155,1.04,251.655,10251.655
20170320,Hold,66.239,0,0,155,1.04,268.085,10268.085
20170321,Sell,65.614,-155,10165.084915000001,0,10166.125,166.125,10166.125
20170322,Buy,67.1,151,-10137.166049999998,151,28.959,161.059,10161.059
20170323,Hold,69.616,0,0,151,28.959,540.975,10540.975
20170324,Hold,70.803,0,0,151,28.959,720.212,10720.212
20170327,Hold,71.864,0,0,151,28.959,880.423,10880.423
20170328,Hold,72.037,0,0,151,28.959,906.546,10906.546
20170329,Hold,71.449,0,0,151,28.959,817.758,10817.758
20170330,Hold,71.488,0,0,151,28.959,823.647,10823.647
20170331,Sell,71.959,-151,10860.376095500002,0,10889.335,889.335,10889.335
20170403,Hold,71.111,0,0,0,10889.335,889.335,10889.335
20170404,Hold,70.909,0,0,0,10889.335,889.335,10889.335
20170405,Hold,70.281,0,0,0,10889.335,889.335,10889.335
20170406,Hold,69.558,0,0,0,10889.335,889.335,10889.335
20170407,Hold,69.345,0,0,0,10889.335,889.335,10889.335
20170410,Hold,69.529,0,0,0,10889.335,889.335,10889.335
20170411,Hold,69.288,0,0,0,10889.335,889.335,10889.335
20170412,Hold,68.94,0,0,0,10889.335,889.335,10889.335
20170413,Hold,68.362,0,0,0,10889.335,889.335,10889.335
20170417,Hold,68.043,0,0,0,10889.335,889.335,10889.335
20170418,Hold,68.999,0,0,0,10889.335,889.335,10889.335
20170419,Hold,69.77,0,0,0,10889.335,889.335,10889.335
20170420,Buy,68.797,158,-10875.360963,158,13.974,883.9,10883.9
20170421,Hold,70.994,0,0,158,13.974,1231.026,11231.026
20170424,Hold,71.715,0,0,158,13.974,1344.944,11344.944
20170425,Hold,72.933,0,0,158,13.974,1537.388,11537.388
20170426,Hold,73.702,0,0,158,13.974,1658.89,11658.89
20170427,Hold,73.536,0,0,158,13.974,1632.662,11632.662
20170428,Hold,73.682,0,0,158,13.974,1655.73,11655.73
20170501,Hold,73.849,0,0,158,13.974,1682.116,11682.116
20170502,Hold,73.4,0,0,158,13.974,1611.174,11611.174
20170503,Hold,76.585,0,0,158,13.974,2114.404,12114.404
20170504,Hold,79.556,0,0,158,13.974,2583.822,12583.822
20170505,Hold,79.994,0,0,158,13.974,2653.026,12653.026
