,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,215.71,0,0,0,10000,0.0,10000.0
20210112,Hold,219.48,0,0,0,10000,0.0,10000.0
20210113,Buy,218.64,45,-9843.719399999998,45,156.281,-4.919,9995.081
20210114,Sell,213.94,-45,9622.48635,0,9778.767,-221.233,9778.767
20210115,Hold,210.62,0,0,0,9778.767,-221.233,9778.767
20210119,Hold,210.65,0,0,0,9778.767,-221.233,9778.767
20210120,Hold,212.53,0,0,0,9778.767,-221.233,9778.767
20210121,Buy,212.93,45,-9586.640925,45,192.126,-226.024,9773.976
20210122,Sell,210.76,-45,9479.4579,0,9671.584,-328.416,9671.584
20210125,Hold,210.21,0,0,0,9671.584,-328.416,9671.584
20210126,Hold,205.67,0,0,0,9671.584,-328.416,9671.584
20210127,Hold,207.34,0,0,0,9671.584,-328.416,9671.584
20210128,Hold,208.64,0,0,0,9671.584,-328.416,9671.584
20210129,Hold,211.62,0,0,0,9671.584,-328.416,9671.584
20210201,Buy,210.22,45,-9464.629949999999,45,206.954,-333.146,9666.854
20210202,Sell,200.86,-45,9034.180650000002,0,9241.135,-758.865,9241.135
20210203,Hold,199.26,0,0,0,9241.135,-758.865,9241.135
20210204,Hold,203.03,0,0,0,9241.135,-758.865,9241.135
20210205,Hold,206.65,0,0,0,9241.135,-758.865,9241.135
20210208,Buy,207.5,44,-9134.564999999999,44,106.57,-763.43,9236.57
20210209,Hold,207.89,0,0,44,106.57,-746.27,9253.73
20210210,Hold,204.61,0,0,44,106.57,-890.59,9109.41
20210211,Sell,203.19,-44,8935.88982,0,9042.459,-957.541,9042.459
20210212,Hold,202.64,0,0,0,9042.459,-957.541,9042.459
20210216,Hold,197.45,0,0,0,9042.459,-957.541,9042.459
20210217,Hold,198.27,0,0,0,9042.459,-957.541,9042.459
20210218,Hold,198.35,0,0,0,9042.459,-957.541,9042.459
20210219,Hold,195.08,0,0,0,9042.459,-957.541,9042.459
20210222,Hold,193.87,0,0,0,9042.459,-957.541,9042.459
20210223,Hold,194.48,0,0,0,9042.459,-957.541,9042.459
20210224,Hold,195.39,0,0,0,9042.459,-957.541,9042.459
20210225,Hold,195.59,0,0,0,9042.459,-957.541,9042.459
20210226,Buy,194.2,46,-8937.666599999999,46,104.793,-962.007,9037.993
20210301,Hold,195.95,0,0,46,104.793,-881.507,9118.493
20210302,Sell,191.87,-46,8821.60699,0,8926.4,-1073.6,8926.4
20210303,Hold,188.67,0,0,0,8926.4,-1073.6,8926.4
20210304,Hold,188.65,0,0,0,8926.4,-1073.6,8926.4
20210305,Hold,187.4,0,0,0,8926.4,-1073.6,8926.4
20210308,Hold,192.17,0,0,0,8926.4,-1073.6,8926.4
20210309,Buy,193.63,46,-8911.43349,46,14.966,-1078.054,8921.946
20210310,Hold,197.11,0,0,46,14.966,-917.974,9082.026
20210311,Hold,193.1,0,0,46,14.966,-1102.434,8897.566
20210312,Hold,194.44,0,0,46,14.966,-1040.794,8959.206
20210315,Hold,196.41,0,0,46,14.966,-950.174,9049.826
20210316,Hold,194.6,0,0,46,14.966,-1033.434,8966.566
20210317,Hold,193.46,0,0,46,14.966,-1085.874,8914.126
20210318,Hold,195.58,0,0,46,14.966,-988.354,9011.646
20210319,Hold,200.98,0,0,46,14.966,-739.954,9260.046
20210322,Hold,205.79,0,0,46,14.966,-518.694,9481.306
20210323,Hold,200.23,0,0,46,14.966,-774.454,9225.546
20210324,Hold,198.47,0,0,46,14.966,-855.414,9144.586
20210325,Hold,202.28,0,0,46,14.966,-680.154,9319.846
20210326,Hold,202.88,0,0,46,14.966,-652.554,9347.446
20210329,Hold,202.64,0,0,46,14.966,-663.594,9336.406
20210330,Hold,208.14,0,0,46,14.966,-410.594,9589.406
20210331,Hold,209.12,0,0,46,14.966,-365.514,9634.486
20210401,Hold,209.44,0,0,46,14.966,-350.794,9649.206
20210405,Hold,208.11,0,0,46,14.966,-411.974,9588.026
20210406,Sell,206.83,-46,9509.422910000001,0,9524.389,-475.611,9524.389
20210407,Hold,207.77,0,0,0,9524.389,-475.611,9524.389
20210408,Buy,206.89,46,-9521.698469999998,46,2.691,-480.369,9519.631
20210409,Sell,208.31,-46,9577.46887,0,9580.16,-419.84,9580.16
20210412,Buy,209.49,45,-9431.763525,45,148.396,-424.554,9575.446
20210413,Hold,210.78,0,0,45,148.396,-366.504,9633.496
20210414,Sell,210.16,-45,9452.4714,0,9600.868,-399.132,9600.868
20210415,Buy,210.08,45,-9458.3268,45,142.541,-403.859,9596.141
20210416,Hold,212.63,0,0,45,142.541,-289.109,9710.891
20210419,Hold,209.0,0,0,45,142.541,-452.459,9547.541
20210420,Hold,209.33,0,0,45,142.541,-437.609,9562.391
20210421,Hold,214.33,0,0,45,142.541,-212.609,9787.391
20210422,Hold,214.14,0,0,45,142.541,-221.159,9778.841
20210423,Hold,216.95,0,0,45,142.541,-94.709,9905.291
20210426,Hold,218.51,0,0,45,142.541,-24.509,9975.491
20210427,Hold,217.55,0,0,45,142.541,-67.709,9932.291
20210428,Hold,216.93,0,0,45,142.541,-95.609,9904.391
20210429,Sell,215.39,-45,9687.703725,0,9830.244,-169.756,9830.244
20210430,Hold,219.37,0,0,0,9830.244,-169.756,9830.244
20210503,Hold,208.8,0,0,0,9830.244,-169.756,9830.244
20210504,Hold,205.73,0,0,0,9830.244,-169.756,9830.244
20210505,Hold,201.25,0,0,0,9830.244,-169.756,9830.244
20210506,Hold,198.9,0,0,0,9830.244,-169.756,9830.244
20210507,Hold,199.44,0,0,0,9830.244,-169.756,9830.244
20210510,Hold,196.75,0,0,0,9830.244,-169.756,9830.244
20210511,Hold,198.04,0,0,0,9830.244,-169.756,9830.244
20210512,Hold,197.83,0,0,0,9830.244,-169.756,9830.244
20210513,Hold,198.74,0,0,0,9830.244,-169.756,9830.244
