,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,148.63,0,0,0,10000,0.0,10000.0
20170111,Hold,147.21,0,0,0,10000,0.0,10000.0
20170112,Hold,148.41,0,0,0,10000,0.0,10000.0
20170113,Hold,148.32,0,0,0,10000,0.0,10000.0
20170117,Buy,148.7,67,-9967.881449999999,67,32.119,-4.981,9995.019
20170118,Hold,148.0,0,0,67,32.119,-51.881,9948.119
20170119,Sell,147.62,-67,9885.59473,0,9917.713,-82.287,9917.713
20170120,Buy,148.63,66,-9814.484789999999,66,103.228,-87.192,9912.808
20170123,Sell,149.25,-66,9845.57475,0,9948.803,-51.197,9948.803
20170124,Hold,147.1,0,0,0,9948.803,-51.197,9948.803
20170125,Hold,146.23,0,0,0,9948.803,-51.197,9948.803
20170126,Hold,146.9,0,0,0,9948.803,-51.197,9948.803
20170127,Hold,145.64,0,0,0,9948.803,-51.197,9948.803
20170130,Hold,145.2,0,0,0,9948.803,-51.197,9948.803
20170131,Hold,144.96,0,0,0,9948.803,-51.197,9948.803
20170201,Hold,144.22,0,0,0,9948.803,-51.197,9948.803
20170202,Buy,148.73,66,-9821.088089999997,66,127.715,-56.105,9943.895
20170203,Hold,146.2,0,0,66,127.715,-223.085,9776.915
20170206,Hold,146.95,0,0,66,127.715,-173.585,9826.415
20170207,Hold,147.9,0,0,66,127.715,-110.885,9889.115
20170208,Hold,150.25,0,0,66,127.715,44.215,10044.215
20170209,Hold,149.16,0,0,66,127.715,-27.725,9972.275
20170210,Hold,151.84,0,0,66,127.715,149.155,10149.155
20170213,Hold,149.77,0,0,66,127.715,12.535,10012.535
20170214,Hold,149.26,0,0,66,127.715,-21.125,9978.875
20170215,Sell,150.05,-66,9898.348350000002,0,10026.064,26.064,10026.064
20170216,Buy,150.89,66,-9963.719369999999,66,62.344,21.084,10021.084
20170217,Hold,149.83,0,0,66,62.344,-48.876,9951.124
20170221,Hold,152.61,0,0,66,62.344,134.604,10134.604
20170222,Hold,152.86,0,0,66,62.344,151.104,10151.104
20170223,Hold,154.05,0,0,66,62.344,229.644,10229.644
20170224,Hold,154.49,0,0,66,62.344,258.684,10258.684
20170227,Hold,154.64,0,0,66,62.344,268.584,10268.584
20170228,Hold,154.31,0,0,66,62.344,246.804,10246.804
20170301,Hold,154.26,0,0,66,62.344,243.504,10243.504
20170302,Sell,153.19,-66,10105.48473,0,10167.829,167.829,10167.829
