,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Hold,33.786,0,0,0,10000,0.0,10000.0
20120111,Hold,33.628,0,0,0,10000,0.0,10000.0
20120112,Hold,33.024,0,0,0,10000,0.0,10000.0
20120113,Buy,34.207,292,-9993.438221999999,292,6.562,-4.994,9995.006
20120117,Hold,34.161,0,0,292,6.562,-18.426,9981.574
20120118,Hold,34.298,0,0,292,6.562,21.578,10021.578
20120119,Hold,34.024,0,0,292,6.562,-58.43,9941.57
20120120,Hold,34.036,0,0,292,6.562,-54.926,9945.074
20120123,Hold,34.377,0,0,292,6.562,44.646,10044.646
20120124,Hold,34.561,0,0,292,6.562,98.374,10098.374
20120125,Hold,36.062,0,0,292,6.562,536.666,10536.666
20120126,Hold,36.24,0,0,292,6.562,588.642,10588.642
20120127,Hold,36.142,0,0,292,6.562,560.026,10560.026
20120130,Hold,36.494,0,0,292,6.562,662.81,10662.81
20120131,Hold,36.782,0,0,292,6.562,746.906,10746.906
20120201,Hold,35.779,0,0,292,6.562,454.03,10454.03
20120202,Hold,36.841,0,0,292,6.562,764.134,10764.134
20120203,Hold,36.726,0,0,292,6.562,730.554,10730.554
20120206,Sell,36.428,-292,10631.657512,0,10638.219,638.219,10638.219
20120207,Hold,36.473,0,0,0,10638.219,638.219,10638.219
20120208,Hold,36.461,0,0,0,10638.219,638.219,10638.219
20120209,Hold,35.664,0,0,0,10638.219,638.219,10638.219
20120210,Hold,36.181,0,0,0,10638.219,638.219,10638.219
20120213,Hold,36.016,0,0,0,10638.219,638.219,10638.219
20120214,Hold,35.531,0,0,0,10638.219,638.219,10638.219
20120215,Hold,35.34,0,0,0,10638.219,638.219,10638.219
20120216,Hold,36.005,0,0,0,10638.219,638.219,10638.219
20120217,Hold,35.864,0,0,0,10638.219,638.219,10638.219
20120221,Hold,35.234,0,0,0,10638.219,638.219,10638.219
20120222,Hold,34.942,0,0,0,10638.219,638.219,10638.219
20120223,Hold,35.413,0,0,0,10638.219,638.219,10638.219
20120224,Buy,35.299,301,-10630.3114995,301,7.908,632.907,10632.907
20120227,Hold,35.428,0,0,301,7.908,671.736,10671.736
20120228,Sell,35.082,-301,10554.402159000001,0,10562.31,562.31,10562.31
20120229,Hold,34.82,0,0,0,10562.31,562.31,10562.31
20120301,Buy,35.191,299,-10527.3700545,299,34.94,557.049,10557.049
20120302,Hold,35.357,0,0,299,34.94,606.683,10606.683
20120305,Hold,35.706,0,0,299,34.94,711.034,10711.034
20120306,Hold,35.802,0,0,299,34.94,739.738,10739.738
20120307,Hold,36.074,0,0,299,34.94,821.066,10821.066
20120308,Hold,35.706,0,0,299,34.94,711.034,10711.034
20120309,Hold,36.415,0,0,299,34.94,923.025,10923.025
20120312,Hold,36.715,0,0,299,34.94,1012.725,11012.725
20120313,Hold,37.318,0,0,299,34.94,1193.022,11193.022
20120314,Hold,37.038,0,0,299,34.94,1109.302,11109.302
20120315,Hold,36.473,0,0,299,34.94,940.367,10940.367
20120316,Hold,36.79,0,0,299,34.94,1035.15,11035.15
20120319,Hold,37.083,0,0,299,34.94,1122.757,11122.757
20120320,Hold,37.409,0,0,299,34.94,1220.231,11220.231
20120321,Hold,37.049,0,0,299,34.94,1112.591,11112.591
20120322,Sell,36.741,-299,10980.0662205,0,11015.006,1015.006,11015.006
20120323,Buy,37.458,293,-10980.681596999999,293,34.325,1009.519,11009.519
20120326,Hold,37.656,0,0,293,34.325,1067.533,11067.533
20120327,Hold,37.403,0,0,293,34.325,993.404,10993.404
20120328,Hold,37.222,0,0,293,34.325,940.371,10940.371
20120329,Hold,38.096,0,0,293,34.325,1196.453,11196.453
20120330,Hold,38.509,0,0,293,34.325,1317.462,11317.462
20120402,Hold,38.596,0,0,293,34.325,1342.953,11342.953
20120403,Hold,38.253,0,0,293,34.325,1242.454,11242.454
20120404,Sell,37.986,-293,11124.333051,0,11158.658,1158.658,11158.658
20120405,Hold,37.423,0,0,0,11158.658,1158.658,11158.658
20120409,Hold,37.462,0,0,0,11158.658,1158.658,11158.658
20120410,Hold,36.86,0,0,0,11158.658,1158.658,11158.658
20120411,Hold,36.997,0,0,0,11158.658,1158.658,11158.658
20120412,Buy,37.257,299,-11145.412921499998,299,13.245,1153.088,11153.088
20120413,Hold,37.744,0,0,299,13.245,1298.701,11298.701
20120416,Hold,38.417,0,0,299,13.245,1499.928,11499.928
20120417,Hold,37.961,0,0,299,13.245,1363.584,11363.584
20120418,Hold,37.956,0,0,299,13.245,1362.089,11362.089
20120419,Hold,38.037,0,0,299,13.245,1386.308,11386.308
20120420,Hold,38.059,0,0,299,13.245,1392.886,11392.886
20120423,Sell,37.961,-299,11344.6638305,0,11357.908,1357.908,11357.908
20120424,Buy,38.68,293,-11338.90662,293,19.002,1352.242,11352.242
20120425,Hold,38.417,0,0,293,19.002,1275.183,11275.183
20120426,Sell,37.839,-293,11081.2835865,0,11100.285,1100.285,11100.285
20120427,Hold,37.896,0,0,0,11100.285,1100.285,11100.285
20120430,Hold,37.917,0,0,0,11100.285,1100.285,11100.285
20120501,Buy,38.357,289,-11090.7155865,289,9.57,1094.743,11094.743
20120502,Hold,38.589,0,0,289,9.57,1161.791,11161.791
20120503,Hold,38.44,0,0,289,9.57,1118.73,11118.73
20120504,Hold,38.563,0,0,289,9.57,1154.277,11154.277
20120507,Hold,38.922,0,0,289,9.57,1258.028,11258.028
20120508,Hold,38.707,0,0,289,9.57,1195.893,11195.893
20120509,Hold,39.179,0,0,289,9.57,1332.301,11332.301
20120510,Sell,38.669,-289,11169.7533295,0,11179.323,1179.323,11179.323
20120511,Hold,38.68,0,0,0,11179.323,1179.323,11179.323
20120514,Hold,38.669,0,0,0,11179.323,1179.323,11179.323
20120515,Hold,38.497,0,0,0,11179.323,1179.323,11179.323
20120516,Hold,37.979,0,0,0,11179.323,1179.323,11179.323
20120517,Hold,37.423,0,0,0,11179.323,1179.323,11179.323
20120518,Hold,37.27,0,0,0,11179.323,1179.323,11179.323
20120521,Buy,38.139,292,-11142.156294,292,37.167,1173.755,11173.755
20120522,Hold,38.021,0,0,292,37.167,1139.299,11139.299
20120523,Hold,38.193,0,0,292,37.167,1189.523,11189.523
20120524,Hold,38.454,0,0,292,37.167,1265.735,11265.735
