,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,52.178,191,-9970.980999,191,29.019,-4.983,9995.017
20150112,Hold,52.651,0,0.0,191,29.019,85.36,10085.36
20150113,Hold,51.774,0,0.0,191,29.019,-82.147,9917.853
20150114,Hold,52.952,0,0.0,191,29.019,142.851,10142.851
20150115,Hold,53.131,0,0.0,191,29.019,177.04,10177.04
20150116,Hold,53.981,0,0.0,191,29.019,339.39,10339.39
20150120,Hold,52.356,0,0.0,191,29.019,29.015,10029.015
20150121,Sell,52.526,-191,10027.449767,0,10056.469,56.469,10056.469
20150122,Buy,53.739,187,-10054.217596499999,187,2.251,51.444,10051.444
20150123,Hold,53.801,0,0.0,187,2.251,63.038,10063.038
20150126,Hold,54.064,0,0.0,187,2.251,112.219,10112.219
20150127,Hold,54.544,0,0.0,187,2.251,201.979,10201.979
20150128,Sell,53.584,-187,10015.197896000001,0,10017.449,17.449,10017.449
20150129,Hold,53.382,0,0.0,0,10017.449,17.449,10017.449
20150130,Hold,52.481,0,0.0,0,10017.449,17.449,10017.449
20150202,Hold,52.086,0,0.0,0,10017.449,17.449,10017.449
20150203,Hold,54.326,0,0.0,0,10017.449,17.449,10017.449
20150204,Buy,53.361,187,-9983.4962535,187,33.953,12.46,10012.46
20150205,Hold,53.963,0,0.0,187,33.953,125.034,10125.034
20150206,Sell,52.814,-187,9871.279891000002,0,9905.233,-94.767,9905.233
20150209,Hold,52.839,0,0.0,0,9905.233,-94.767,9905.233
20150210,Hold,52.568,0,0.0,0,9905.233,-94.767,9905.233
20150211,Hold,52.725,0,0.0,0,9905.233,-94.767,9905.233
20150212,Buy,53.833,183,-9856.3647195,183,48.868,-99.693,9900.307
20150213,Hold,52.952,0,0.0,183,48.868,-260.916,9739.084
20150217,Hold,53.376,0,0.0,183,48.868,-183.324,9816.676
20150218,Hold,53.879,0,0.0,183,48.868,-91.275,9908.725
20150219,Sell,52.475,-183,9598.123537500001,0,9646.992,-353.008,9646.992
20150220,Hold,53.354,0,0.0,0,9646.992,-353.008,9646.992
