,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,14.913,670,-9996.705855,670,3.294,-4.996,9995.004
20140110,Hold,14.674,0,0.0,670,3.294,-165.126,9834.874
20140113,Sell,14.687,-670,9835.369854999999,0,9838.664,-161.336,9838.664
20140114,Buy,14.851,662,-9836.277681,662,2.386,-166.252,9833.748
20140115,Hold,14.865,0,0.0,662,2.386,-156.984,9843.016
20140116,Hold,14.943,0,0.0,662,2.386,-105.348,9894.652
20140117,Hold,14.981,0,0.0,662,2.386,-80.192,9919.808
20140121,Sell,15.043,-662,9953.486767,0,9955.873,-44.127,9955.873
20140122,Hold,14.905,0,0.0,0,9955.873,-44.127,9955.873
20140123,Hold,14.789,0,0.0,0,9955.873,-44.127,9955.873
20140124,Hold,14.444,0,0.0,0,9955.873,-44.127,9955.873
20140127,Hold,14.173,0,0.0,0,9955.873,-44.127,9955.873
20140128,Hold,14.067,0,0.0,0,9955.873,-44.127,9955.873
20140129,Hold,14.113,0,0.0,0,9955.873,-44.127,9955.873
20140130,Hold,13.859,0,0.0,0,9955.873,-44.127,9955.873
20140131,Hold,14.059,0,0.0,0,9955.873,-44.127,9955.873
20140203,Hold,13.93,0,0.0,0,9955.873,-44.127,9955.873
20140204,Hold,13.989,0,0.0,0,9955.873,-44.127,9955.873
20140205,Hold,13.875,0,0.0,0,9955.873,-44.127,9955.873
20140206,Buy,14.138,703,-9943.983506999999,703,11.89,-49.096,9950.904
20140207,Hold,14.198,0,0.0,703,11.89,-6.916,9993.084
20140210,Hold,14.105,0,0.0,703,11.89,-72.295,9927.705
20140211,Hold,14.374,0,0.0,703,11.89,116.812,10116.812
20140212,Hold,14.293,0,0.0,703,11.89,59.869,10059.869
20140213,Hold,14.473,0,0.0,703,11.89,186.409,10186.409
20140214,Hold,14.591,0,0.0,703,11.89,269.363,10269.363
20140218,Hold,14.528,0,0.0,703,11.89,225.074,10225.074
20140219,Hold,14.857,0,0.0,703,11.89,456.361,10456.361
20140220,Hold,14.95,0,0.0,703,11.89,521.74,10521.74
20140221,Hold,15.035,0,0.0,703,11.89,581.495,10581.495
20140224,Hold,15.057,0,0.0,703,11.89,596.961,10596.961
20140225,Hold,15.099,0,0.0,703,11.89,626.487,10626.487
20140226,Hold,15.12,0,0.0,703,11.89,641.25,10641.25
20140227,Hold,15.043,0,0.0,703,11.89,587.119,10587.119
20140228,Hold,15.018,0,0.0,703,11.89,569.544,10569.544
20140303,Hold,15.288,0,0.0,703,11.89,759.354,10759.354
20140304,Hold,15.413,0,0.0,703,11.89,847.229,10847.229
20140305,Hold,15.374,0,0.0,703,11.89,819.812,10819.812
20140306,Hold,15.474,0,0.0,703,11.89,890.112,10890.112
20140307,Hold,15.443,0,0.0,703,11.89,868.319,10868.319
20140310,Sell,15.391,-703,10814.4630635,0,10826.353,826.353,10826.353
20140311,Buy,15.42,701,-10814.824709999999,701,11.528,820.948,10820.948
20140312,Hold,15.657,0,0.0,701,11.528,987.085,10987.085
20140313,Hold,15.513,0,0.0,701,11.528,886.141,10886.141
20140314,Hold,15.734,0,0.0,701,11.528,1041.062,11041.062
20140317,Hold,15.688,0,0.0,701,11.528,1008.816,11008.816
20140318,Hold,15.703,0,0.0,701,11.528,1019.331,11019.331
20140319,Sell,15.342,-701,10749.364629000002,0,10760.893,760.893,10760.893
20140320,Hold,15.513,0,0.0,0,10760.893,760.893,10760.893
20140321,Hold,15.566,0,0.0,0,10760.893,760.893,10760.893
20140324,Hold,15.435,0,0.0,0,10760.893,760.893,10760.893
20140325,Hold,15.451,0,0.0,0,10760.893,760.893,10760.893
20140326,Hold,15.166,0,0.0,0,10760.893,760.893,10760.893
20140327,Hold,15.322,0,0.0,0,10760.893,760.893,10760.893
20140328,Buy,15.514,693,-10756.577600999999,693,4.315,755.517,10755.517
20140331,Hold,15.593,0,0.0,693,4.315,810.264,10810.264
20140401,Hold,15.916,0,0.0,693,4.315,1034.103,11034.103
20140402,Hold,16.009,0,0.0,693,4.315,1098.552,11098.552
20140403,Hold,16.102,0,0.0,693,4.315,1163.001,11163.001
20140404,Hold,15.847,0,0.0,693,4.315,986.286,10986.286
20140407,Hold,15.909,0,0.0,693,4.315,1029.252,11029.252
20140408,Sell,16.073,-693,11133.0197055,0,11137.335,1137.335,11137.335
20140409,Hold,15.971,0,0.0,0,11137.335,1137.335,11137.335
20140410,Hold,15.521,0,0.0,0,11137.335,1137.335,11137.335
20140411,Hold,15.628,0,0.0,0,11137.335,1137.335,11137.335
20140414,Hold,15.678,0,0.0,0,11137.335,1137.335,11137.335
20140415,Buy,16.009,695,-11131.8181275,695,5.517,1131.772,11131.772
20140416,Hold,16.241,0,0.0,695,5.517,1293.012,11293.012
20140417,Hold,16.257,0,0.0,695,5.517,1304.132,11304.132
20140421,Hold,16.272,0,0.0,695,5.517,1314.557,11314.557
20140422,Hold,16.319,0,0.0,695,5.517,1347.222,11347.222
20140423,Sell,16.319,-695,11336.0341475,0,11341.551,1341.551,11341.551
20140424,Buy,16.345,693,-11332.748542499998,693,8.802,1335.887,11335.887
20140425,Sell,16.28,-693,11276.398980000002,0,11285.201,1285.201,11285.201
20140428,Hold,16.311,0,0.0,0,11285.201,1285.201,11285.201
20140429,Buy,16.185,696,-11270.392379999998,696,14.809,1279.569,11279.569
20140430,Hold,16.389,0,0.0,696,14.809,1421.553,11421.553
20140501,Hold,16.599,0,0.0,696,14.809,1567.713,11567.713
20140502,Hold,16.319,0,0.0,696,14.809,1372.833,11372.833
20140505,Hold,16.467,0,0.0,696,14.809,1475.841,11475.841
20140506,Sell,16.484,-696,11467.127568000002,0,11481.936,1481.936,11481.936
20140507,Hold,16.562,0,0.0,0,11481.936,1481.936,11481.936
20140508,Buy,16.684,687,-11467.638954,687,14.297,1476.205,11476.205
20140509,Hold,16.706,0,0.0,687,14.297,1491.319,11491.319
20140512,Hold,16.793,0,0.0,687,14.297,1551.088,11551.088
20140513,Sell,16.604,-687,11401.244526,0,11415.542,1415.542,11415.542
20140514,Hold,16.528,0,0.0,0,11415.542,1415.542,11415.542
20140515,Hold,16.574,0,0.0,0,11415.542,1415.542,11415.542
20140516,Buy,16.777,680,-11414.06418,680,1.478,1409.838,11409.838
20140519,Hold,16.822,0,0.0,680,1.478,1440.438,11440.438
20140520,Hold,16.747,0,0.0,680,1.478,1389.438,11389.438
20140521,Sell,16.636,-680,11306.82376,0,11308.301,1308.301,11308.301
20140522,Hold,16.698,0,0.0,0,11308.301,1308.301,11308.301
20140523,Buy,16.906,668,-11298.854603999998,668,9.447,1302.655,11302.655
20140527,Hold,16.831,0,0.0,668,9.447,1252.555,11252.555
20140528,Hold,16.845,0,0.0,668,9.447,1261.907,11261.907
20140529,Hold,16.845,0,0.0,668,9.447,1261.907,11261.907
20140530,Hold,17.107,0,0.0,668,9.447,1436.923,11436.923
20140602,Hold,17.093,0,0.0,668,9.447,1427.571,11427.571
20140603,Hold,17.126,0,0.0,668,9.447,1449.615,11449.615
20140604,Hold,17.234,0,0.0,668,9.447,1521.759,11521.759
20140605,Hold,17.626,0,0.0,668,9.447,1783.615,11783.615
20140606,Hold,17.605,0,0.0,668,9.447,1769.587,11769.587
20140609,Hold,17.387,0,0.0,668,9.447,1623.963,11623.963
20140610,Sell,17.255,-668,11520.57683,0,11530.024,1530.024,11530.024
20140611,Hold,17.281,0,0.0,0,11530.024,1530.024,11530.024
20140612,Hold,17.157,0,0.0,0,11530.024,1530.024,11530.024
20140613,Hold,17.169,0,0.0,0,11530.024,1530.024,11530.024
20140616,Hold,16.97,0,0.0,0,11530.024,1530.024,11530.024
20140617,Hold,17.107,0,0.0,0,11530.024,1530.024,11530.024
20140618,Buy,17.247,668,-11526.756497999999,668,3.267,1524.263,11524.263
20140619,Hold,17.357,0,0.0,668,3.267,1597.743,11597.743
20140620,Hold,17.328,0,0.0,668,3.267,1578.371,11578.371
20140623,Hold,17.263,0,0.0,668,3.267,1534.951,11534.951
20140624,Sell,17.149,-668,11449.804234000001,0,11453.071,1453.071,11453.071
20140625,Hold,17.039,0,0.0,0,11453.071,1453.071,11453.071
20140626,Hold,17.1,0,0.0,0,11453.071,1453.071,11453.071
20140627,Buy,17.336,660,-11447.480879999997,660,5.591,1447.351,11447.351
20140630,Sell,17.235,-660,11369.412450000002,0,11375.003,1375.003,11375.003
20140701,Buy,17.274,658,-11371.975146,658,3.028,1369.32,11369.32
20140702,Sell,17.194,-658,11307.995174000001,0,11311.023,1311.023,11311.023
20140703,Buy,17.248,655,-11303.08872,655,7.934,1305.374,11305.374
20140707,Hold,17.265,0,0.0,655,7.934,1316.509,11316.509
20140708,Hold,17.303,0,0.0,655,7.934,1341.399,11341.399
20140709,Hold,17.32,0,0.0,655,7.934,1352.534,11352.534
20140710,Hold,17.569,0,0.0,655,7.934,1515.629,11515.629
20140711,Hold,17.601,0,0.0,655,7.934,1536.589,11536.589
20140714,Hold,17.88,0,0.0,655,7.934,1719.334,11719.334
20140715,Hold,17.88,0,0.0,655,7.934,1719.334,11719.334
20140716,Hold,17.842,0,0.0,655,7.934,1694.444,11694.444
20140717,Sell,17.786,-655,11644.005085000003,0,11651.939,1651.939,11651.939
20140718,Buy,17.919,649,-11635.2457155,649,16.694,1646.125,11646.125
20140721,Sell,17.967,-649,11654.7527085,0,11671.446,1671.446,11671.446
20140722,Buy,18.075,645,-11664.2041875,645,7.242,1665.617,11665.617
20140723,Hold,18.061,0,0.0,645,7.242,1656.587,11656.587
20140724,Sell,17.834,-645,11497.178535000001,0,11504.421,1504.421,11504.421
20140725,Hold,17.88,0,0.0,0,11504.421,1504.421,11504.421
20140728,Hold,17.927,0,0.0,0,11504.421,1504.421,11504.421
20140729,Hold,17.74,0,0.0,0,11504.421,1504.421,11504.421
20140730,Hold,17.506,0,0.0,0,11504.421,1504.421,11504.421
20140731,Hold,16.897,0,0.0,0,11504.421,1504.421,11504.421
20140801,Hold,16.884,0,0.0,0,11504.421,1504.421,11504.421
20140804,Hold,16.999,0,0.0,0,11504.421,1504.421,11504.421
20140805,Hold,16.774,0,0.0,0,11504.421,1504.421,11504.421
20140806,Hold,16.897,0,0.0,0,11504.421,1504.421,11504.421
20140807,Hold,16.783,0,0.0,0,11504.421,1504.421,11504.421
20140808,Hold,16.913,0,0.0,0,11504.421,1504.421,11504.421
20140811,Buy,16.905,680,-11501.147700000001,680,3.273,1498.673,11498.673
20140812,Hold,17.063,0,0.0,680,3.273,1606.113,11606.113
20140813,Hold,17.248,0,0.0,680,3.273,1731.913,11731.913
