,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,45.69,0,0,0,10000,0.0,10000.0
20170111,Hold,45.568,0,0,0,10000,0.0,10000.0
20170112,Hold,46.031,0,0,0,10000,0.0,10000.0
20170113,Hold,45.64,0,0,0,10000,0.0,10000.0
20170117,Buy,45.814,218,-9992.445725999998,218,7.554,-4.994,9995.006
20170118,Hold,45.9,0,0,218,7.554,13.754,10013.754
20170119,Sell,46.065,-218,10037.148915,0,10044.703,44.703,10044.703
20170120,Hold,45.779,0,0,0,10044.703,44.703,10044.703
20170123,Hold,46.425,0,0,0,10044.703,44.703,10044.703
20170124,Hold,45.247,0,0,0,10044.703,44.703,10044.703
20170125,Hold,45.395,0,0,0,10044.703,44.703,10044.703
20170126,Hold,44.364,0,0,0,10044.703,44.703,10044.703
20170127,Hold,43.012,0,0,0,10044.703,44.703,10044.703
20170130,Hold,42.542,0,0,0,10044.703,44.703,10044.703
20170131,Hold,42.586,0,0,0,10044.703,44.703,10044.703
20170201,Hold,42.255,0,0,0,10044.703,44.703,10044.703
20170202,Buy,43.196,232,-10026.482736,232,18.22,39.692,10039.692
20170203,Hold,43.641,0,0,232,18.22,142.932,10142.932
20170206,Hold,43.143,0,0,232,18.22,27.396,10027.396
20170207,Sell,42.586,-232,9875.012024,0,9893.232,-106.768,9893.232
20170208,Buy,43.119,229,-9879.188125499999,229,14.044,-111.705,9888.295
20170209,Sell,43.039,-229,9851.003034500001,0,9865.047,-134.953,9865.047
20170210,Buy,43.823,224,-9821.260176,224,43.787,-139.861,9860.139
20170213,Hold,43.415,0,0,224,43.787,-231.253,9768.747
20170214,Hold,43.727,0,0,224,43.787,-161.365,9838.635
20170215,Sell,43.215,-224,9675.31992,0,9719.107,-280.893,9719.107
20170216,Buy,43.719,222,-9710.470809,222,8.636,-285.746,9714.254
20170217,Hold,43.762,0,0,222,8.636,-276.2,9723.8
20170221,Hold,44.139,0,0,222,8.636,-192.506,9807.494
20170222,Hold,44.164,0,0,222,8.636,-186.956,9813.044
20170223,Hold,43.981,0,0,222,8.636,-227.582,9772.418
20170224,Hold,44.618,0,0,222,8.636,-86.168,9913.832
20170227,Hold,44.94,0,0,222,8.636,-14.684,9985.316
20170228,Hold,44.555,0,0,222,8.636,-100.154,9899.846
20170301,Sell,44.382,-222,9847.877598000001,0,9856.514,-143.486,9856.514
20170302,Hold,44.479,0,0,0,9856.514,-143.486,9856.514
20170303,Hold,44.364,0,0,0,9856.514,-143.486,9856.514
20170306,Hold,44.121,0,0,0,9856.514,-143.486,9856.514
20170307,Hold,43.886,0,0,0,9856.514,-143.486,9856.514
20170308,Hold,43.623,0,0,0,9856.514,-143.486,9856.514
20170309,Hold,43.667,0,0,0,9856.514,-143.486,9856.514
20170310,Hold,43.522,0,0,0,9856.514,-143.486,9856.514
20170313,Hold,43.278,0,0,0,9856.514,-143.486,9856.514
20170314,Buy,43.595,225,-9813.7794375,225,42.734,-148.391,9851.609
20170315,Hold,44.552,0,0,225,42.734,66.934,10066.934
20170316,Hold,44.869,0,0,225,42.734,138.259,10138.259
20170317,Hold,44.913,0,0,225,42.734,148.159,10148.159
20170320,Hold,45.371,0,0,225,42.734,251.209,10251.209
20170321,Sell,44.535,-225,10015.3648125,0,10058.099,58.099,10058.099
20170322,Hold,44.198,0,0,0,10058.099,58.099,10058.099
20170323,Hold,44.842,0,0,0,10058.099,58.099,10058.099
20170324,Hold,44.667,0,0,0,10058.099,58.099,10058.099
20170327,Hold,43.902,0,0,0,10058.099,58.099,10058.099
20170328,Hold,44.139,0,0,0,10058.099,58.099,10058.099
20170329,Buy,44.545,225,-10027.636312499999,225,30.463,53.088,10053.088
20170330,Hold,44.974,0,0,225,30.463,149.613,10149.613
20170331,Hold,45.564,0,0,225,30.463,282.363,10282.363
20170403,Hold,45.861,0,0,225,30.463,349.188,10349.188
20170404,Hold,46.278,0,0,225,30.463,443.013,10443.013
20170405,Hold,46.241,0,0,225,30.463,434.688,10434.688
20170406,Hold,46.611,0,0,225,30.463,517.938,10517.938
20170407,Hold,47.203,0,0,225,30.463,651.138,10651.138
20170410,Hold,47.642,0,0,225,30.463,749.913,10749.913
20170411,Hold,48.177,0,0,225,30.463,870.288,10870.288
20170412,Hold,48.352,0,0,225,30.463,909.663,10909.663
20170413,Hold,48.238,0,0,225,30.463,884.013,10884.013
20170417,Hold,48.828,0,0,225,30.463,1016.763,11016.763
20170418,Sell,47.958,-225,10785.154725,0,10815.618,815.618,10815.618
20170419,Hold,47.895,0,0,0,10815.618,815.618,10815.618
20170420,Hold,47.958,0,0,0,10815.618,815.618,10815.618
20170421,Hold,48.397,0,0,0,10815.618,815.618,10815.618
20170424,Hold,47.949,0,0,0,10815.618,815.618,10815.618
20170425,Buy,48.177,224,-10797.043823999998,224,18.574,810.222,10810.222
20170426,Sell,47.99,-224,10744.38512,0,10762.959,762.959,10762.959
20170427,Buy,48.194,223,-10752.635631,223,10.323,757.585,10757.585
20170428,Sell,47.99,-223,10696.419115,0,10706.742,706.742,10706.742
20170501,Hold,48.23,0,0,0,10706.742,706.742,10706.742
20170502,Hold,48.036,0,0,0,10706.742,706.742,10706.742
20170503,Hold,47.175,0,0,0,10706.742,706.742,10706.742
20170504,Hold,47.746,0,0,0,10706.742,706.742,10706.742
20170505,Buy,48.158,222,-10696.421538,222,10.321,701.397,10701.397
20170508,Hold,48.15,0,0,222,10.321,699.621,10699.621
20170509,Sell,47.709,-222,10586.102301,0,10596.423,596.423,10596.423
20170510,Buy,47.755,221,-10559.1319275,221,37.291,591.146,10591.146
20170511,Sell,48.017,-221,10606.451121500002,0,10643.742,643.742,10643.742
20170512,Hold,47.921,0,0,0,10643.742,643.742,10643.742
20170515,Buy,48.264,220,-10623.38904,220,20.353,638.433,10638.433
20170516,Hold,48.072,0,0,220,20.353,596.193,10596.193
20170517,Hold,48.576,0,0,220,20.353,707.073,10707.073
20170518,Sell,48.256,-220,10611.011840000001,0,10631.365,631.365,10631.365
20170519,Buy,48.624,218,-10605.332016,218,26.033,626.065,10626.065
20170522,Hold,48.933,0,0,218,26.033,693.427,10693.427
20170523,Hold,49.12,0,0,218,26.033,734.193,10734.193
20170524,Hold,49.294,0,0,218,26.033,772.125,10772.125
20170525,Hold,49.268,0,0,218,26.033,766.457,10766.457
20170526,Hold,49.057,0,0,218,26.033,720.459,10720.459
20170530,Hold,49.186,0,0,218,26.033,748.581,10748.581
20170531,Sell,48.836,-218,10640.924876000001,0,10666.958,666.958,10666.958
20170601,Buy,49.393,215,-10624.8047475,215,42.153,661.648,10661.648
20170602,Hold,50.069,0,0,215,42.153,806.988,10806.988
20170605,Hold,49.584,0,0,215,42.153,702.713,10702.713
20170606,Hold,49.769,0,0,215,42.153,742.488,10742.488
20170607,Hold,49.85,0,0,215,42.153,759.903,10759.903
20170608,Sell,49.655,-215,10670.487087500002,0,10712.64,712.64,10712.64
20170609,Buy,50.35,212,-10679.5371,212,33.103,707.303,10707.303
20170612,Hold,50.741,0,0,212,33.103,790.195,10790.195
20170613,Hold,51.098,0,0,212,33.103,865.879,10865.879
20170614,Hold,50.91,0,0,212,33.103,826.023,10826.023
20170615,Hold,51.936,0,0,212,33.103,1043.535,11043.535
20170616,Hold,51.486,0,0,212,33.103,948.135,10948.135
20170619,Hold,51.973,0,0,212,33.103,1051.379,11051.379
20170620,Sell,51.166,-212,10841.768404,0,10874.872,874.872,10874.872
20170621,Hold,51.282,0,0,0,10874.872,874.872,10874.872
20170622,Hold,51.61,0,0,0,10874.872,874.872,10874.872
20170623,Buy,52.079,208,-10837.848216,208,37.024,869.456,10869.456
20170626,Hold,52.658,0,0,208,37.024,989.888,10989.888
20170627,Hold,52.238,0,0,208,37.024,902.528,10902.528
20170628,Hold,52.539,0,0,208,37.024,965.136,10965.136
20170629,Sell,52.105,-208,10832.42108,0,10869.445,869.445,10869.445
20170630,Hold,52.238,0,0,0,10869.445,869.445,10869.445
20170703,Hold,52.539,0,0,0,10869.445,869.445,10869.445
20170705,Hold,51.679,0,0,0,10869.445,869.445,10869.445
20170706,Hold,50.996,0,0,0,10869.445,869.445,10869.445
20170707,Hold,51.282,0,0,0,10869.445,869.445,10869.445
20170710,Hold,50.778,0,0,0,10869.445,869.445,10869.445
20170711,Hold,50.964,0,0,0,10869.445,869.445,10869.445
20170712,Buy,51.325,211,-10834.9897875,211,34.455,864.03,10864.03
20170713,Hold,51.211,0,0,211,34.455,839.976,10839.976
20170714,Hold,51.486,0,0,211,34.455,898.001,10898.001
20170717,Hold,51.894,0,0,211,34.455,984.089,10984.089
20170718,Hold,53.321,0,0,211,34.455,1285.186,11285.186
20170719,Hold,53.321,0,0,211,34.455,1285.186,11285.186
20170720,Hold,52.347,0,0,211,34.455,1079.672,11079.672
20170721,Sell,52.273,-211,11024.088198500001,0,11058.543,1058.543,11058.543
20170724,Buy,53.649,206,-11057.219846999998,206,1.323,1053.017,11053.017
20170725,Hold,53.48,0,0,206,1.323,1018.203,11018.203
20170726,Hold,54.013,0,0,206,1.323,1128.001,11128.001
20170727,Hold,54.278,0,0,206,1.323,1182.591,11182.591
20170728,Hold,54.793,0,0,206,1.323,1288.681,11288.681
20170731,Sell,54.146,-206,11148.498962000001,0,11149.822,1149.822,11149.822
20170801,Buy,54.41,204,-11105.18982,204,44.632,1144.272,11144.272
20170802,Sell,54.252,-204,11061.874296000002,0,11106.507,1106.507,11106.507
20170803,Hold,54.288,0,0,0,11106.507,1106.507,11106.507
20170804,Buy,54.358,204,-11094.576516,204,11.93,1100.962,11100.962
20170807,Sell,53.605,-204,10929.952290000001,0,10941.882,941.882,10941.882
20170808,Hold,53.888,0,0,0,10941.882,941.882,10941.882
20170809,Hold,53.569,0,0,0,10941.882,941.882,10941.882
20170810,Hold,53.232,0,0,0,10941.882,941.882,10941.882
20170811,Hold,53.303,0,0,0,10941.882,941.882,10941.882
20170814,Buy,54.295,201,-10918.7516475,201,23.131,936.426,10936.426
20170815,Hold,54.918,0,0,201,23.131,1061.649,11061.649
20170816,Hold,55.123,0,0,201,23.131,1102.854,11102.854
20170817,Sell,54.162,-201,10881.118719,0,10904.249,904.249,10904.249
20170818,Hold,54.387,0,0,0,10904.249,904.249,10904.249
20170821,Buy,55.149,197,-10869.7851765,197,34.464,898.817,10898.817
20170822,Sell,54.685,-197,10767.5585275,0,10802.023,802.023,10802.023
20170823,Buy,55.855,193,-10785.4050075,193,16.618,796.633,10796.633
20170824,Hold,55.503,0,0,193,16.618,728.697,10728.697
20170825,Hold,55.589,0,0,193,16.618,745.295,10745.295
20170828,Hold,55.253,0,0,193,16.618,680.447,10680.447
20170829,Sell,55.057,-193,10620.6879995,0,10637.306,637.306,10637.306
20170830,Buy,55.627,191,-10630.069378499998,191,7.236,631.993,10631.993
20170831,Hold,56.238,0,0,191,7.236,748.694,10748.694
20170901,Hold,56.965,0,0,191,7.236,887.551,10887.551
20170905,Hold,56.565,0,0,191,7.236,811.151,10811.151
20170906,Hold,56.175,0,0,191,7.236,736.661,10736.661
20170907,Hold,56.336,0,0,191,7.236,767.412,10767.412
20170908,Hold,56.928,0,0,191,7.236,880.484,10880.484
20170911,Hold,57.708,0,0,191,7.236,1029.464,11029.464
20170912,Hold,57.22,0,0,191,7.236,936.256,10936.256
20170913,Sell,56.974,-191,10876.592983,0,10883.829,883.829,10883.829
20170914,Buy,57.976,187,-10846.932756,187,36.897,878.409,10878.409
20170915,Hold,58.112,0,0,187,36.897,903.841,10903.841
20170918,Hold,58.119,0,0,187,36.897,905.15,10905.15
20170919,Hold,57.753,0,0,187,36.897,836.708,10836.708
20170920,Sell,57.638,-187,10772.916847,0,10809.813,809.813,10809.813
20170921,Hold,57.415,0,0,0,10809.813,809.813,10809.813
20170922,Hold,56.574,0,0,0,10809.813,809.813,10809.813
20170925,Hold,56.862,0,0,0,10809.813,809.813,10809.813
20170926,Hold,56.681,0,0,0,10809.813,809.813,10809.813
20170927,Hold,56.271,0,0,0,10809.813,809.813,10809.813
20170928,Hold,56.511,0,0,0,10809.813,809.813,10809.813
20170929,Hold,56.843,0,0,0,10809.813,809.813,10809.813
20171002,Buy,56.797,190,-10796.825714999999,190,12.988,804.418,10804.418
20171003,Hold,56.871,0,0,190,12.988,818.478,10818.478
20171004,Hold,57.317,0,0,190,12.988,903.218,10903.218
20171005,Hold,57.433,0,0,190,12.988,925.258,10925.258
20171006,Hold,57.68,0,0,190,12.988,972.188,10972.188
20171009,Hold,58.002,0,0,190,12.988,1033.368,11033.368
20171010,Hold,57.612,0,0,190,12.988,959.268,10959.268
20171011,Sell,57.51,-190,10921.43655,0,10934.424,934.424,10934.424
20171012,Buy,58.351,187,-10917.0928185,187,17.332,928.969,10928.969
20171013,Hold,58.245,0,0,187,17.332,909.147,10909.147
20171016,Hold,57.992,0,0,187,17.332,861.836,10861.836
20171017,Sell,57.442,-187,10736.283173000002,0,10753.615,753.615,10753.615
20171018,Buy,58.288,184,-10730.354496,184,23.26,748.252,10748.252
20171019,Sell,57.648,-184,10601.928384,0,10625.189,625.189,10625.189
20171020,Hold,57.735,0,0,0,10625.189,625.189,10625.189
20171023,Hold,57.46,0,0,0,10625.189,625.189,10625.189
20171024,Hold,57.137,0,0,0,10625.189,625.189,10625.189
20171025,Hold,57.405,0,0,0,10625.189,625.189,10625.189
20171026,Buy,57.317,185,-10608.9468225,185,16.242,619.887,10619.887
20171027,Hold,57.707,0,0,185,16.242,692.037,10692.037
20171030,Hold,57.307,0,0,185,16.242,618.037,10618.037
20171031,Hold,57.665,0,0,185,16.242,684.267,10684.267
20171101,Hold,58.218,0,0,185,16.242,786.572,10786.572
20171102,Hold,58.548,0,0,185,16.242,847.622,10847.622
20171103,Hold,59.253,0,0,185,16.242,978.047,10978.047
20171106,Hold,59.518,0,0,185,16.242,1027.072,11027.072
20171107,Hold,59.351,0,0,185,16.242,996.177,10996.177
20171108,Hold,59.139,0,0,185,16.242,956.957,10956.957
20171109,Sell,58.939,-185,10898.2631425,0,10914.505,914.505,10914.505
20171110,Hold,59.164,0,0,0,10914.505,914.505,10914.505
20171113,Buy,59.827,182,-10893.958256999998,182,20.547,909.061,10909.061
