,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,140.63,71,-9989.722365,71,10.278,-4.992,9995.008
20170111,Sell,139.05,-71,9867.613725000001,0,9877.891,-122.109,9877.891
20170112,Hold,140.0,0,0.0,0,9877.891,-122.109,9877.891
20170113,Buy,141.14,69,-9743.52933,69,134.362,-126.978,9873.022
20170117,Hold,141.65,0,0.0,69,134.362,-91.788,9908.212
20170118,Hold,142.03,0,0.0,69,134.362,-65.568,9934.432
20170119,Sell,139.99,-69,9654.480345000002,0,9788.842,-211.158,9788.842
20170120,Buy,141.15,69,-9744.219675,69,44.623,-216.027,9783.973
20170123,Sell,141.77,-69,9777.238935000001,0,9821.862,-178.138,9821.862
20170124,Hold,140.81,0,0.0,0,9821.862,-178.138,9821.862
20170125,Hold,140.04,0,0.0,0,9821.862,-178.138,9821.862
20170126,Hold,139.77,0,0.0,0,9821.862,-178.138,9821.862
20170127,Hold,137.78,0,0.0,0,9821.862,-178.138,9821.862
20170130,Hold,137.05,0,0.0,0,9821.862,-178.138,9821.862
20170131,Buy,141.93,69,-9798.066584999999,69,23.795,-183.035,9816.965
20170201,Hold,138.8,0,0.0,69,23.795,-399.005,9600.995
20170202,Hold,140.97,0,0.0,69,23.795,-249.275,9750.725
20170203,Hold,141.05,0,0.0,69,23.795,-243.755,9756.245
20170206,Sell,139.45,-69,9617.238975,0,9641.034,-358.966,9641.034
20170207,Hold,137.25,0,0.0,0,9641.034,-358.966,9641.034
20170208,Hold,138.58,0,0.0,0,9641.034,-358.966,9641.034
20170209,Buy,139.44,69,-9626.17068,69,14.863,-363.777,9636.223
20170210,Hold,141.33,0,0.0,69,14.863,-233.367,9766.633
20170213,Hold,139.99,0,0.0,69,14.863,-325.827,9674.173
20170214,Hold,139.48,0,0.0,69,14.863,-361.017,9638.983
20170215,Sell,138.27,-69,9535.859685000001,0,9550.723,-449.277,9550.723
20170216,Hold,138.66,0,0.0,0,9550.723,-449.277,9550.723
20170217,Buy,140.33,68,-9547.21122,68,3.512,-454.048,9545.952
20170221,Hold,142.91,0,0.0,68,3.512,-278.608,9721.392
20170222,Hold,142.79,0,0.0,68,3.512,-286.768,9713.232
20170223,Hold,142.78,0,0.0,68,3.512,-287.448,9712.552
20170224,Hold,143.04,0,0.0,68,3.512,-269.768,9730.232
20170227,Hold,143.51,0,0.0,68,3.512,-237.808,9762.192
20170228,Sell,142.44,-68,9681.07704,0,9684.589,-315.411,9684.589
20170301,Hold,140.69,0,0.0,0,9684.589,-315.411,9684.589
20170302,Hold,140.32,0,0.0,0,9684.589,-315.411,9684.589
20170303,Hold,138.18,0,0.0,0,9684.589,-315.411,9684.589
20170306,Hold,137.99,0,0.0,0,9684.589,-315.411,9684.589
20170307,Hold,136.48,0,0.0,0,9684.589,-315.411,9684.589
20170308,Hold,135.01,0,0.0,0,9684.589,-315.411,9684.589
20170309,Hold,131.85,0,0.0,0,9684.589,-315.411,9684.589
20170310,Hold,130.64,0,0.0,0,9684.589,-315.411,9684.589
20170313,Hold,129.97,0,0.0,0,9684.589,-315.411,9684.589
20170314,Hold,129.88,0,0.0,0,9684.589,-315.411,9684.589
20170315,Buy,131.42,73,-9598.45683,73,86.132,-320.208,9679.792
20170316,Hold,130.59,0,0.0,73,86.132,-380.798,9619.202
20170317,Sell,130.21,-73,9500.577335,0,9586.709,-413.291,9586.709
20170320,Buy,130.31,73,-9517.386315,73,69.323,-418.047,9581.953
20170321,Sell,130.43,-73,9516.629305000002,0,9585.952,-414.048,9585.952
20170322,Hold,128.01,0,0.0,0,9585.952,-414.048,9585.952
