,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,30.769,324,-9974.140577999999,324,25.859,-4.985,9995.015
20150112,Hold,31.709,0,0.0,324,25.859,299.575,10299.575
20150113,Hold,30.808,0,0.0,324,25.859,7.651,10007.651
20150114,Sell,27.973,-324,9058.720374,0,9084.58,-915.42,9084.58
20150115,Hold,27.384,0,0.0,0,9084.58,-915.42,9084.58
20150116,Hold,27.965,0,0.0,0,9084.58,-915.42,9084.58
20150120,Hold,26.992,0,0.0,0,9084.58,-915.42,9084.58
20150121,Hold,27.25,0,0.0,0,9084.58,-915.42,9084.58
20150122,Buy,27.798,326,-9066.679073999998,326,17.901,-919.951,9080.049
20150123,Hold,27.877,0,0.0,326,17.901,-894.197,9105.803
20150126,Hold,28.079,0,0.0,326,17.901,-828.345,9171.655
20150127,Hold,28.388,0,0.0,326,17.901,-727.611,9272.389
20150128,Hold,28.115,0,0.0,326,17.901,-816.609,9183.391
20150129,Hold,28.643,0,0.0,326,17.901,-644.481,9355.519
20150130,Sell,27.98,-326,9116.91926,0,9134.82,-865.18,9134.82
20150202,Buy,28.045,325,-9119.1823125,325,15.638,-869.737,9130.263
20150203,Hold,28.396,0,0.0,325,15.638,-755.662,9244.338
20150204,Hold,28.796,0,0.0,325,15.638,-625.662,9374.338
20150205,Hold,29.2,0,0.0,325,15.638,-494.362,9505.638
20150206,Hold,29.503,0,0.0,325,15.638,-395.887,9604.113
20150209,Hold,29.694,0,0.0,325,15.638,-333.812,9666.188
20150210,Hold,30.102,0,0.0,325,15.638,-201.212,9798.788
20150211,Hold,30.458,0,0.0,325,15.638,-85.512,9914.488
20150212,Hold,31.075,0,0.0,325,15.638,115.013,10115.013
20150213,Hold,31.103,0,0.0,325,15.638,124.113,10124.113
20150217,Hold,31.23,0,0.0,325,15.638,165.388,10165.388
20150218,Hold,31.151,0,0.0,325,15.638,139.713,10139.713
20150219,Hold,31.182,0,0.0,325,15.638,149.788,10149.788
20150220,Hold,31.334,0,0.0,325,15.638,199.188,10199.188
20150223,Sell,30.966,-325,10058.918025,0,10074.556,74.556,10074.556
20150224,Hold,30.49,0,0.0,0,10074.556,74.556,10074.556
20150225,Hold,30.497,0,0.0,0,10074.556,74.556,10074.556
20150226,Hold,30.102,0,0.0,0,10074.556,74.556,10074.556
20150227,Buy,30.42,331,-10074.05451,331,0.501,69.521,10069.521
20150302,Hold,31.389,0,0.0,331,0.501,390.26,10390.26
20150303,Hold,31.452,0,0.0,331,0.501,411.113,10411.113
20150304,Hold,31.67,0,0.0,331,0.501,483.271,10483.271
20150305,Hold,31.612,0,0.0,331,0.501,464.073,10464.073
20150306,Hold,31.589,0,0.0,331,0.501,456.46,10456.46
20150309,Hold,31.462,0,0.0,331,0.501,414.423,10414.423
20150310,Hold,31.923,0,0.0,331,0.501,567.014,10567.014
20150311,Hold,31.893,0,0.0,331,0.501,557.084,10557.084
20150312,Hold,32.569,0,0.0,331,0.501,780.84,10780.84
20150313,Hold,32.495,0,0.0,331,0.501,756.346,10756.346
20150316,Hold,32.981,0,0.0,331,0.501,917.212,10917.212
20150317,Hold,33.054,0,0.0,331,0.501,941.375,10941.375
20150318,Hold,33.213,0,0.0,331,0.501,994.004,10994.004
20150319,Hold,33.344,0,0.0,331,0.501,1037.365,11037.365
20150320,Sell,33.126,-331,10959.223647,0,10959.725,959.725,10959.725
20150323,Hold,33.142,0,0.0,0,10959.725,959.725,10959.725
20150324,Hold,33.005,0,0.0,0,10959.725,959.725,10959.725
20150325,Hold,31.755,0,0.0,0,10959.725,959.725,10959.725
20150326,Hold,31.3,0,0.0,0,10959.725,959.725,10959.725
20150327,Hold,31.163,0,0.0,0,10959.725,959.725,10959.725
20150330,Hold,31.382,0,0.0,0,10959.725,959.725,10959.725
20150331,Hold,30.506,0,0.0,0,10959.725,959.725,10959.725
20150401,Hold,30.238,0,0.0,0,10959.725,959.725,10959.725
20150402,Buy,30.67,357,-10954.664595,357,5.06,954.25,10954.25
20150406,Hold,31.07,0,0.0,357,5.06,1097.05,11097.05
20150407,Hold,30.977,0,0.0,357,5.06,1063.849,11063.849
20150408,Hold,30.823,0,0.0,357,5.06,1008.871,11008.871
20150409,Hold,31.447,0,0.0,357,5.06,1231.639,11231.639
20150410,Hold,31.171,0,0.0,357,5.06,1133.107,11133.107
20150413,Sell,30.912,-357,11030.066208,0,11035.126,1035.126,11035.126
20150414,Hold,30.849,0,0.0,0,11035.126,1035.126,11035.126
20150415,Hold,30.402,0,0.0,0,11035.126,1035.126,11035.126
20150416,Hold,29.924,0,0.0,0,11035.126,1035.126,11035.126
20150417,Hold,29.844,0,0.0,0,11035.126,1035.126,11035.126
20150420,Hold,29.794,0,0.0,0,11035.126,1035.126,11035.126
20150421,Hold,29.585,0,0.0,0,11035.126,1035.126,11035.126
20150422,Hold,29.143,0,0.0,0,11035.126,1035.126,11035.126
20150423,Hold,28.901,0,0.0,0,11035.126,1035.126,11035.126
20150424,Hold,28.821,0,0.0,0,11035.126,1035.126,11035.126
20150427,Hold,28.713,0,0.0,0,11035.126,1035.126,11035.126
20150428,Hold,28.668,0,0.0,0,11035.126,1035.126,11035.126
20150429,Hold,28.107,0,0.0,0,11035.126,1035.126,11035.126
20150430,Hold,28.181,0,0.0,0,11035.126,1035.126,11035.126
20150501,Buy,28.522,386,-11014.996745999999,386,20.13,1029.622,11029.622
20150504,Hold,28.943,0,0.0,386,20.13,1192.128,11192.128
20150505,Hold,28.935,0,0.0,386,20.13,1189.04,11189.04
20150506,Hold,28.619,0,0.0,386,20.13,1067.064,11067.064
20150507,Hold,29.522,0,0.0,386,20.13,1415.622,11415.622
20150508,Hold,29.608,0,0.0,386,20.13,1448.818,11448.818
20150511,Hold,29.786,0,0.0,386,20.13,1517.526,11517.526
20150512,Hold,30.004,0,0.0,386,20.13,1601.674,11601.674
20150513,Sell,29.509,-386,11384.778763,0,11404.908,1404.908,11404.908
20150514,Hold,28.252,0,0.0,0,11404.908,1404.908,11404.908
20150515,Hold,27.767,0,0.0,0,11404.908,1404.908,11404.908
20150518,Hold,28.609,0,0.0,0,11404.908,1404.908,11404.908
