,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Hold,174.28,0,0,0,10000,0.0,10000.0
20180110,Hold,174.01,0,0,0,10000,0.0,10000.0
20180111,Buy,178.38,56,-9994.274639999998,56,5.725,-4.995,9995.005
20180112,Hold,180.5,0,0,56,5.725,113.725,10113.725
20180116,Hold,180.67,0,0,56,5.725,123.245,10123.245
20180117,Hold,180.38,0,0,56,5.725,107.005,10107.005
20180118,Hold,179.88,0,0,56,5.725,79.005,10079.005
20180119,Hold,180.65,0,0,56,5.725,122.125,10122.125
20180122,Hold,181.67,0,0,56,5.725,179.245,10179.245
20180123,Hold,182.45,0,0,56,5.725,222.925,10222.925
20180124,Hold,182.98,0,0,56,5.725,252.605,10252.605
20180125,Hold,185.55,0,0,56,5.725,396.525,10396.525
20180126,Hold,186.13,0,0,56,5.725,429.005,10429.005
20180129,Hold,185.4,0,0,56,5.725,388.125,10388.125
20180130,Sell,185.26,-56,10369.37272,0,10375.098,375.098,10375.098
20180131,Hold,181.48,0,0,0,10375.098,375.098,10375.098
20180201,Hold,179.45,0,0,0,10375.098,375.098,10375.098
20180202,Hold,178.88,0,0,0,10375.098,375.098,10375.098
20180205,Hold,167.88,0,0,0,10375.098,375.098,10375.098
20180206,Hold,173.24,0,0,0,10375.098,375.098,10375.098
20180207,Hold,173.15,0,0,0,10375.098,375.098,10375.098
20180208,Hold,168.69,0,0,0,10375.098,375.098,10375.098
20180209,Hold,170.61,0,0,0,10375.098,375.098,10375.098
20180212,Buy,169.12,61,-10321.478159999999,61,53.62,369.94,10369.94
20180213,Hold,171.43,0,0,61,53.62,510.85,10510.85
20180214,Hold,176.98,0,0,61,53.62,849.4,10849.4
20180215,Hold,180.12,0,0,61,53.62,1040.94,11040.94
20180216,Hold,178.63,0,0,61,53.62,950.05,10950.05
20180220,Hold,177.39,0,0,61,53.62,874.41,10874.41
20180221,Sell,175.31,-61,10688.563045,0,10742.183,742.183,10742.183
20180222,Hold,176.73,0,0,0,10742.183,742.183,10742.183
20180223,Buy,178.84,60,-10735.7652,60,6.418,736.818,10736.818
20180226,Hold,182.01,0,0,60,6.418,927.018,10927.018
20180227,Hold,180.26,0,0,60,6.418,822.018,10822.018
20180228,Hold,179.98,0,0,60,6.418,805.218,10805.218
20180301,Sell,176.39,-60,10578.1083,0,10584.526,584.526,10584.526
20180302,Hold,177.31,0,0,0,10584.526,584.526,10584.526
20180305,Buy,180.79,58,-10491.062909999999,58,93.463,579.283,10579.283
20180306,Sell,178.03,-58,10320.57713,0,10414.04,414.04,10414.04
20180307,Hold,175.16,0,0,0,10414.04,414.04,10414.04
20180308,Hold,175.45,0,0,0,10414.04,414.04,10414.04
20180309,Hold,177.15,0,0,0,10414.04,414.04,10414.04
20180312,Buy,178.8,58,-10375.585200000001,58,38.455,408.855,10408.855
20180313,Sell,177.62,-58,10296.809020000002,0,10335.264,335.264,10335.264
20180314,Hold,173.89,0,0,0,10335.264,335.264,10335.264
20180315,Hold,175.15,0,0,0,10335.264,335.264,10335.264
20180316,Hold,174.65,0,0,0,10335.264,335.264,10335.264
20180319,Hold,174.16,0,0,0,10335.264,335.264,10335.264
20180320,Buy,175.77,58,-10199.757329999999,58,135.507,330.167,10330.167
20180321,Sell,173.97,-58,10085.214870000002,0,10220.722,220.722,10220.722
20180322,Hold,172.46,0,0,0,10220.722,220.722,10220.722
20180323,Hold,172.22,0,0,0,10220.722,220.722,10220.722
20180326,Buy,176.36,57,-10057.54626,57,163.175,215.695,10215.695
20180327,Sell,172.77,-57,9842.966055000003,0,10006.141,6.141,10006.141
20180328,Hold,173.82,0,0,0,10006.141,6.141,10006.141
20180329,Buy,175.85,56,-9852.523799999999,56,153.618,1.218,10001.218
20180402,Sell,172.7,-56,9666.364399999999,0,9819.982,-180.018,9819.982
20180403,Hold,170.42,0,0,0,9819.982,-180.018,9819.982
20180404,Buy,175.65,55,-9665.580375,55,154.402,-184.848,9815.152
20180405,Hold,174.37,0,0,55,154.402,-255.248,9744.752
20180406,Sell,174.23,-55,9577.858675,0,9732.26,-267.74,9732.26
20180409,Buy,174.75,55,-9616.055624999999,55,116.205,-272.545,9727.455
20180410,Sell,173.73,-55,9550.372425,0,9666.577,-333.423,9666.577
20180411,Buy,174.53,55,-9603.949574999999,55,62.628,-338.222,9661.778
20180412,Hold,178.57,0,0,55,62.628,-116.022,9883.978
20180413,Hold,180.5,0,0,55,62.628,-9.872,9990.128
20180416,Hold,184.07,0,0,55,62.628,186.478,10186.478
20180417,Hold,184.69,0,0,55,62.628,220.578,10220.578
20180418,Hold,184.55,0,0,55,62.628,212.878,10212.878
20180419,Hold,182.93,0,0,55,62.628,123.778,10123.778
20180420,Sell,181.91,-55,10000.047475,0,10062.675,62.675,10062.675
20180423,Hold,183.04,0,0,0,10062.675,62.675,10062.675
20180424,Hold,180.88,0,0,0,10062.675,62.675,10062.675
20180425,Buy,182.65,55,-10050.772874999999,55,11.902,57.652,10057.652
20180426,Hold,183.42,0,0,55,11.902,100.002,10100.002
20180427,Hold,185.44,0,0,55,11.902,211.102,10211.102
20180430,Hold,184.85,0,0,55,11.902,178.652,10178.652
20180501,Hold,183.9,0,0,55,11.902,126.402,10126.402
20180502,Sell,182.45,-55,10029.732625,0,10041.635,41.635,10041.635
20180503,Hold,181.44,0,0,0,10041.635,41.635,10041.635
20180504,Hold,184.19,0,0,0,10041.635,41.635,10041.635
20180507,Hold,181.57,0,0,0,10041.635,41.635,10041.635
