,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,263.96,37,-9771.403259999997,37,228.597,-4.883,9995.117
20210112,Hold,270.98,0,0.0,37,228.597,254.857,10254.857
20210113,Hold,267.28,0,0.0,37,228.597,117.957,10117.957
20210114,Sell,261.56,-37,9672.88114,0,9901.478,-98.522,9901.478
20210115,Buy,270.68,36,-9749.352239999998,36,152.126,-103.394,9896.606
20210119,Sell,266.04,-36,9572.651280000002,0,9724.777,-275.223,9724.777
20210120,Buy,268.95,36,-9687.041099999999,36,37.736,-280.064,9719.936
20210121,Hold,271.9,0,0.0,36,37.736,-173.864,9826.136
20210122,Hold,276.37,0,0.0,36,37.736,-12.944,9987.056
20210125,Hold,277.89,0,0.0,36,37.736,41.776,10041.776
20210126,Hold,272.62,0,0.0,36,37.736,-147.944,9852.056
20210127,Sell,268.9,-36,9675.5598,0,9713.296,-286.704,9713.296
20210128,Hold,268.54,0,0.0,0,9713.296,-286.704,9713.296
20210129,Hold,264.08,0,0.0,0,9713.296,-286.704,9713.296
20210201,Hold,262.89,0,0.0,0,9713.296,-286.704,9713.296
20210202,Hold,264.73,0,0.0,0,9713.296,-286.704,9713.296
20210203,Buy,267.03,36,-9617.886539999998,36,95.409,-291.511,9708.489
20210204,Hold,272.9,0,0.0,36,95.409,-80.191,9919.809
20210205,Hold,272.33,0,0.0,36,95.409,-100.711,9899.289
20210208,Hold,272.3,0,0.0,36,95.409,-101.791,9898.209
20210209,Sell,270.71,-36,9740.68722,0,9836.096,-163.904,9836.096
20210210,Hold,270.61,0,0.0,0,9836.096,-163.904,9836.096
20210211,Hold,269.81,0,0.0,0,9836.096,-163.904,9836.096
20210212,Hold,269.7,0,0.0,0,9836.096,-163.904,9836.096
20210216,Hold,268.27,0,0.0,0,9836.096,-163.904,9836.096
20210217,Buy,273.4,35,-9573.7845,35,262.312,-168.688,9831.312
20210218,Hold,275.42,0,0.0,35,262.312,-97.988,9902.012
20210219,Sell,270.89,-35,9476.409425,0,9738.721,-261.279,9738.721
20210222,Hold,262.28,0,0.0,0,9738.721,-261.279,9738.721
20210223,Hold,256.29,0,0.0,0,9738.721,-261.279,9738.721
20210224,Hold,252.9,0,0.0,0,9738.721,-261.279,9738.721
20210225,Hold,250.98,0,0.0,0,9738.721,-261.279,9738.721
20210226,Hold,252.0,0,0.0,0,9738.721,-261.279,9738.721
20210301,Hold,254.78,0,0.0,0,9738.721,-261.279,9738.721
20210302,Hold,252.46,0,0.0,0,9738.721,-261.279,9738.721
20210303,Hold,249.26,0,0.0,0,9738.721,-261.279,9738.721
20210304,Hold,245.62,0,0.0,0,9738.721,-261.279,9738.721
20210305,Hold,247.54,0,0.0,0,9738.721,-261.279,9738.721
20210308,Buy,255.82,38,-9726.020579999999,38,12.701,-266.139,9733.861
20210309,Hold,260.54,0,0.0,38,12.701,-86.779,9913.221
20210310,Hold,263.17,0,0.0,38,12.701,13.161,10013.161
20210311,Hold,262.03,0,0.0,38,12.701,-30.159,9969.841
20210312,Hold,268.95,0,0.0,38,12.701,232.801,10232.801
20210315,Hold,272.9,0,0.0,38,12.701,382.901,10382.901
20210316,Hold,275.45,0,0.0,38,12.701,479.801,10479.801
20210317,Hold,273.38,0,0.0,38,12.701,401.141,10401.141
20210318,Hold,277.89,0,0.0,38,12.701,572.521,10572.521
20210319,Hold,280.71,0,0.0,38,12.701,679.681,10679.681
20210322,Hold,283.75,0,0.0,38,12.701,795.201,10795.201
20210323,Hold,283.4,0,0.0,38,12.701,781.901,10781.901
20210324,Hold,287.11,0,0.0,38,12.701,922.881,10922.881
20210325,Hold,291.32,0,0.0,38,12.701,1082.861,11082.861
20210326,Hold,297.16,0,0.0,38,12.701,1304.781,11304.781
20210329,Hold,295.55,0,0.0,38,12.701,1243.601,11243.601
20210330,Hold,299.31,0,0.0,38,12.701,1386.481,11386.481
20210331,Hold,300.68,0,0.0,38,12.701,1438.541,11438.541
20210401,Hold,303.57,0,0.0,38,12.701,1548.361,11548.361
20210405,Hold,307.26,0,0.0,38,12.701,1688.581,11688.581
20210406,Hold,306.51,0,0.0,38,12.701,1660.081,11660.081
20210407,Hold,306.38,0,0.0,38,12.701,1655.141,11655.141
20210408,Hold,308.98,0,0.0,38,12.701,1753.941,11753.941
20210409,Hold,311.28,0,0.0,38,12.701,1841.341,11841.341
20210412,Hold,314.04,0,0.0,38,12.701,1946.221,11946.221
20210413,Hold,313.24,0,0.0,38,12.701,1915.821,11915.821
20210414,Hold,313.73,0,0.0,38,12.701,1934.441,11934.441
20210415,Hold,318.28,0,0.0,38,12.701,2107.341,12107.341
20210416,Hold,319.89,0,0.0,38,12.701,2168.521,12168.521
20210419,Hold,319.4,0,0.0,38,12.701,2149.901,12149.901
20210420,Sell,318.38,-38,12092.390780000002,0,12105.091,2105.091,12105.091
20210421,Hold,319.6,0,0.0,0,12105.091,2105.091,12105.091
20210422,Hold,315.67,0,0.0,0,12105.091,2105.091,12105.091
20210423,Hold,317.13,0,0.0,0,12105.091,2105.091,12105.091
20210426,Hold,314.01,0,0.0,0,12105.091,2105.091,12105.091
20210427,Hold,315.44,0,0.0,0,12105.091,2105.091,12105.091
20210428,Hold,315.2,0,0.0,0,12105.091,2105.091,12105.091
20210429,Buy,318.46,37,-11788.911509999998,37,316.18,2099.2,12099.2
20210430,Hold,319.68,0,0.0,37,316.18,2144.34,12144.34
20210503,Hold,322.45,0,0.0,37,316.18,2246.83,12246.83
20210504,Hold,327.49,0,0.0,37,316.18,2433.31,12433.31
20210505,Hold,326.92,0,0.0,37,316.18,2412.22,12412.22
20210506,Hold,329.87,0,0.0,37,316.18,2521.37,12521.37
20210507,Hold,333.56,0,0.0,37,316.18,2657.9,12657.9
20210510,Hold,330.71,0,0.0,37,316.18,2552.45,12552.45
20210511,Sell,319.92,-37,11831.121480000002,0,12147.301,2147.301,12147.301
20210512,Hold,312.54,0,0.0,0,12147.301,2147.301,12147.301
