,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Hold,46.577,0,0,0,10000,0.0,10000.0
20130110,Hold,46.418,0,0,0,10000,0.0,10000.0
20130111,Hold,46.341,0,0,0,10000,0.0,10000.0
20130114,Buy,46.602,214,-9977.814413999999,214,22.186,-4.986,9995.014
20130115,Hold,47.096,0,0,214,22.186,100.73,10100.73
20130116,Hold,47.439,0,0,214,22.186,174.132,10174.132
20130117,Hold,47.432,0,0,214,22.186,172.634,10172.634
20130118,Hold,47.467,0,0,214,22.186,180.124,10180.124
20130122,Hold,47.288,0,0,214,22.186,141.818,10141.818
20130123,Sell,47.288,-214,10114.572184,0,10136.758,136.758,10136.758
20130124,Buy,47.83,211,-10097.176064999998,211,39.582,131.712,10131.712
20130125,Sell,47.504,-211,10018.332328,0,10057.914,57.914,10057.914
20130128,Hold,47.194,0,0,0,10057.914,57.914,10057.914
20130129,Hold,47.382,0,0,0,10057.914,57.914,10057.914
20130130,Hold,46.927,0,0,0,10057.914,57.914,10057.914
20130131,Hold,47.011,0,0,0,10057.914,57.914,10057.914
20130201,Buy,47.054,213,-10027.513251,213,30.401,52.903,10052.903
20130204,Hold,47.396,0,0,213,30.401,125.749,10125.749
20130205,Hold,47.937,0,0,213,30.401,240.982,10240.982
20130206,Hold,48.289,0,0,213,30.401,315.958,10315.958
20130207,Hold,47.966,0,0,213,30.401,247.159,10247.159
20130208,Hold,48.198,0,0,213,30.401,296.575,10296.575
20130211,Hold,48.274,0,0,213,30.401,312.763,10312.763
20130212,Hold,48.596,0,0,213,30.401,381.349,10381.349
20130213,Hold,48.359,0,0,213,30.401,330.868,10330.868
20130214,Hold,48.39,0,0,213,30.401,337.471,10337.471
20130215,Sell,47.948,-213,10207.817538000001,0,10238.218,238.218,10238.218
20130219,Buy,48.087,212,-10199.541222000002,212,38.677,233.121,10233.121
20130220,Hold,48.629,0,0,212,38.677,348.025,10348.025
20130221,Hold,49.253,0,0,212,38.677,480.313,10480.313
20130222,Hold,49.369,0,0,212,38.677,504.905,10504.905
20130225,Hold,48.958,0,0,212,38.677,417.773,10417.773
20130226,Hold,48.343,0,0,212,38.677,287.393,10287.393
20130227,Sell,49.058,-212,10395.095852,0,10433.773,433.773,10433.773
20130228,Buy,49.05,212,-10403.799299999999,212,29.974,428.574,10428.574
20130301,Hold,50.337,0,0,212,29.974,701.418,10701.418
20130304,Hold,51.594,0,0,212,29.974,967.902,10967.902
20130305,Hold,51.762,0,0,212,29.974,1003.518,11003.518
20130306,Hold,51.377,0,0,212,29.974,921.898,10921.898
20130307,Hold,51.292,0,0,212,29.974,903.878,10903.878
20130308,Hold,51.478,0,0,212,29.974,943.31,10943.31
20130311,Hold,52.125,0,0,212,29.974,1080.474,11080.474
20130312,Hold,51.778,0,0,212,29.974,1006.91,11006.91
20130313,Hold,52.37,0,0,212,29.974,1132.414,11132.414
20130314,Hold,52.021,0,0,212,29.974,1058.426,11058.426
20130315,Sell,51.61,-212,10935.84934,0,10965.823,965.823,10965.823
20130318,Hold,51.989,0,0,0,10965.823,965.823,10965.823
20130319,Hold,51.958,0,0,0,10965.823,965.823,10965.823
20130320,Buy,52.851,207,-10945.627078499998,207,20.196,960.353,10960.353
20130321,Hold,52.943,0,0,207,20.196,979.397,10979.397
