,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Hold,46.722,0,0,0,10000,0.0,10000.0
20120111,Buy,47.279,211,-9980.8569345,211,19.143,-4.988,9995.012
20120112,Hold,46.805,0,0,211,19.143,-105.002,9894.998
20120113,Hold,47.348,0,0,211,19.143,9.571,10009.571
20120117,Hold,47.287,0,0,211,19.143,-3.3,9996.7
20120118,Hold,47.398,0,0,211,19.143,20.121,10020.121
20120119,Hold,48.048,0,0,211,19.143,157.271,10157.271
20120120,Hold,48.095,0,0,211,19.143,167.188,10167.188
20120123,Hold,48.048,0,0,211,19.143,157.271,10157.271
20120124,Hold,48.387,0,0,211,19.143,228.8,10228.8
20120125,Hold,48.876,0,0,211,19.143,331.979,10331.979
20120126,Sell,48.13,-211,10150.352285,0,10169.495,169.495,10169.495
20120127,Hold,47.802,0,0,0,10169.495,169.495,10169.495
20120130,Buy,48.665,208,-10127.381159999999,208,42.114,164.434,10164.434
20120131,Hold,48.867,0,0,208,42.114,206.45,10206.45
20120201,Hold,49.344,0,0,208,42.114,305.666,10305.666
20120202,Hold,49.286,0,0,208,42.114,293.602,10293.602
20120203,Hold,48.964,0,0,208,42.114,226.626,10226.626
20120206,Hold,48.78,0,0,208,42.114,188.354,10188.354
20120207,Sell,48.972,-208,10181.082912,0,10223.197,223.197,10223.197
20120208,Hold,48.701,0,0,0,10223.197,223.197,10223.197
20120209,Hold,48.823,0,0,0,10223.197,223.197,10223.197
20120210,Hold,49.039,0,0,0,10223.197,223.197,10223.197
20120213,Hold,48.964,0,0,0,10223.197,223.197,10223.197
20120214,Buy,49.286,207,-10207.303101000001,207,15.894,218.096,10218.096
20120215,Sell,48.852,-207,10107.307818,0,10123.202,123.202,10123.202
20120216,Hold,49.289,0,0,0,10123.202,123.202,10123.202
20120217,Hold,47.69,0,0,0,10123.202,123.202,10123.202
20120221,Hold,47.108,0,0,0,10123.202,123.202,10123.202
20120222,Hold,46.331,0,0,0,10123.202,123.202,10123.202
20120223,Hold,46.465,0,0,0,10123.202,123.202,10123.202
20120224,Hold,46.424,0,0,0,10123.202,123.202,10123.202
20120227,Hold,46.218,0,0,0,10123.202,123.202,10123.202
20120228,Buy,46.539,217,-10104.0124815,217,19.189,118.152,10118.152
20120229,Hold,46.988,0,0,217,19.189,215.585,10215.585
20120301,Hold,46.641,0,0,217,19.189,140.286,10140.286
20120302,Hold,46.681,0,0,217,19.189,148.966,10148.966
20120305,Hold,46.659,0,0,217,19.189,144.192,10144.192
20120306,Hold,46.808,0,0,217,19.189,176.525,10176.525
20120307,Hold,47.643,0,0,217,19.189,357.72,10357.72
20120308,Hold,47.633,0,0,217,19.189,355.55,10355.55
20120309,Hold,47.887,0,0,217,19.189,410.668,10410.668
20120312,Hold,48.524,0,0,217,19.189,548.897,10548.897
20120313,Hold,48.507,0,0,217,19.189,545.208,10545.208
20120314,Hold,48.565,0,0,217,19.189,557.794,10557.794
20120315,Hold,48.893,0,0,217,19.189,628.97,10628.97
20120316,Sell,48.256,-217,10466.316224,0,10485.506,485.506,10485.506
20120319,Hold,47.997,0,0,0,10485.506,485.506,10485.506
20120320,Hold,48.126,0,0,0,10485.506,485.506,10485.506
20120321,Hold,47.953,0,0,0,10485.506,485.506,10485.506
20120322,Hold,48.256,0,0,0,10485.506,485.506,10485.506
20120323,Buy,48.479,216,-10476.699732,216,8.806,480.27,10480.27
20120326,Hold,48.934,0,0,216,8.806,578.55,10578.55
20120327,Hold,48.692,0,0,216,8.806,526.278,10526.278
20120328,Hold,48.384,0,0,216,8.806,459.75,10459.75
20120329,Sell,48.621,-216,10496.884932,0,10505.691,505.691,10505.691
20120330,Hold,48.63,0,0,0,10505.691,505.691,10505.691
20120402,Hold,48.678,0,0,0,10505.691,505.691,10505.691
20120403,Hold,48.191,0,0,0,10505.691,505.691,10505.691
20120404,Hold,47.956,0,0,0,10505.691,505.691,10505.691
20120405,Hold,47.919,0,0,0,10505.691,505.691,10505.691
20120409,Hold,47.794,0,0,0,10505.691,505.691,10505.691
20120410,Hold,47.997,0,0,0,10505.691,505.691,10505.691
20120411,Hold,47.608,0,0,0,10505.691,505.691,10505.691
20120412,Buy,47.769,219,-10466.6417055,219,39.049,500.46,10500.46
20120413,Hold,47.721,0,0,219,39.049,489.948,10489.948
