,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,88.747,112,-9944.633832,112,55.366,-4.97,9995.03
20190110,Hold,89.795,0,0.0,112,55.366,112.406,10112.406
20190111,Hold,89.312,0,0.0,112,55.366,58.31,10058.31
20190114,Hold,90.247,0,0.0,112,55.366,163.03,10163.03
20190115,Hold,90.683,0,0.0,112,55.366,211.862,10211.862
20190116,Hold,91.053,0,0.0,112,55.366,253.302,10253.302
20190117,Hold,91.647,0,0.0,112,55.366,319.83,10319.83
20190118,Hold,91.838,0,0.0,112,55.366,341.222,10341.222
20190122,Hold,93.463,0,0.0,112,55.366,523.222,10523.222
20190123,Hold,92.828,0,0.0,112,55.366,452.102,10452.102
20190124,Hold,93.349,0,0.0,112,55.366,510.454,10510.454
20190125,Sell,91.25,-112,10214.890000000001,0,10270.256,270.256,10270.256
20190128,Hold,91.477,0,0.0,0,10270.256,270.256,10270.256
20190129,Hold,91.393,0,0.0,0,10270.256,270.256,10270.256
20190130,Hold,89.456,0,0.0,0,10270.256,270.256,10270.256
20190131,Hold,90.674,0,0.0,0,10270.256,270.256,10270.256
20190201,Hold,88.728,0,0.0,0,10270.256,270.256,10270.256
20190204,Hold,90.039,0,0.0,0,10270.256,270.256,10270.256
20190205,Buy,90.209,113,-10198.713808499999,113,71.542,265.159,10265.159
20190206,Hold,89.91,0,0.0,113,71.542,231.372,10231.372
20190207,Hold,91.071,0,0.0,113,71.542,362.565,10362.565
20190208,Hold,90.419,0,0.0,113,71.542,288.889,10288.889
20190211,Hold,91.525,0,0.0,113,71.542,413.867,10413.867
20190212,Hold,91.978,0,0.0,113,71.542,465.056,10465.056
20190213,Hold,92.339,0,0.0,113,71.542,505.849,10505.849
20190214,Hold,93.566,0,0.0,113,71.542,644.5,10644.5
20190215,Hold,96.776,0,0.0,113,71.542,1007.23,11007.23
20190219,Hold,96.243,0,0.0,113,71.542,947.001,10947.001
20190220,Hold,94.212,0,0.0,113,71.542,717.498,10717.498
20190221,Sell,94.36,-113,10657.348660000001,0,10728.891,728.891,10728.891
20190222,Hold,94.641,0,0.0,0,10728.891,728.891,10728.891
20190225,Hold,93.605,0,0.0,0,10728.891,728.891,10728.891
20190226,Hold,92.754,0,0.0,0,10728.891,728.891,10728.891
20190227,Hold,92.745,0,0.0,0,10728.891,728.891,10728.891
20190228,Hold,94.029,0,0.0,0,10728.891,728.891,10728.891
20190301,Hold,92.754,0,0.0,0,10728.891,728.891,10728.891
20190304,Hold,92.763,0,0.0,0,10728.891,728.891,10728.891
20190305,Hold,92.897,0,0.0,0,10728.891,728.891,10728.891
20190306,Hold,92.364,0,0.0,0,10728.891,728.891,10728.891
20190307,Hold,92.214,0,0.0,0,10728.891,728.891,10728.891
20190308,Hold,92.679,0,0.0,0,10728.891,728.891,10728.891
20190311,Buy,93.143,115,-10716.800722499998,115,12.09,723.535,10723.535
20190312,Hold,93.301,0,0.0,115,12.09,741.705,10741.705
