,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,4.09,2443,-9996.865934999998,2443,3.134,-4.996,9995.004
20140110,Hold,4.19,0,0.0,2443,3.134,239.304,10239.304
20140113,Hold,4.14,0,0.0,2443,3.134,117.154,10117.154
20140114,Hold,4.34,0,0.0,2443,3.134,605.754,10605.754
20140115,Hold,4.5,0,0.0,2443,3.134,996.634,10996.634
20140116,Hold,4.15,0,0.0,2443,3.134,141.584,10141.584
20140117,Sell,4.31,-2443,10524.065335000001,0,10527.199,527.199,10527.199
20140121,Hold,3.79,0,0.0,0,10527.199,527.199,10527.199
20140122,Hold,3.67,0,0.0,0,10527.199,527.199,10527.199
20140123,Hold,3.6,0,0.0,0,10527.199,527.199,10527.199
20140124,Hold,3.48,0,0.0,0,10527.199,527.199,10527.199
20140127,Hold,3.43,0,0.0,0,10527.199,527.199,10527.199
20140128,Hold,3.52,0,0.0,0,10527.199,527.199,10527.199
20140129,Hold,3.51,0,0.0,0,10527.199,527.199,10527.199
20140130,Buy,3.45,3049,-10524.309525,3049,2.89,521.94,10521.94
20140131,Sell,3.43,-3049,10452.840965,0,10455.731,455.731,10455.731
20140203,Hold,3.35,0,0.0,0,10455.731,455.731,10455.731
20140204,Hold,3.36,0,0.0,0,10455.731,455.731,10455.731
20140205,Hold,3.32,0,0.0,0,10455.731,455.731,10455.731
20140206,Buy,3.46,3020,-10454.4246,3020,1.306,450.506,10450.506
20140207,Hold,3.5,0,0.0,3020,1.306,571.306,10571.306
20140210,Hold,3.66,0,0.0,3020,1.306,1054.506,11054.506
20140211,Hold,3.71,0,0.0,3020,1.306,1205.506,11205.506
20140212,Hold,3.64,0,0.0,3020,1.306,994.106,10994.106
20140213,Hold,3.7,0,0.0,3020,1.306,1175.306,11175.306
20140214,Hold,3.69,0,0.0,3020,1.306,1145.106,11145.106
20140218,Hold,3.7,0,0.0,3020,1.306,1175.306,11175.306
20140219,Hold,3.72,0,0.0,3020,1.306,1235.706,11235.706
20140220,Hold,3.71,0,0.0,3020,1.306,1205.506,11205.506
20140221,Hold,3.71,0,0.0,3020,1.306,1205.506,11205.506
20140224,Hold,3.73,0,0.0,3020,1.306,1265.906,11265.906
20140225,Hold,3.7,0,0.0,3020,1.306,1175.306,11175.306
20140226,Hold,3.69,0,0.0,3020,1.306,1145.106,11145.106
20140227,Hold,3.73,0,0.0,3020,1.306,1265.906,11265.906
20140228,Hold,3.66,0,0.0,3020,1.306,1054.506,11054.506
20140303,Hold,3.7,0,0.0,3020,1.306,1175.306,11175.306
20140304,Hold,3.7,0,0.0,3020,1.306,1175.306,11175.306
20140305,Hold,3.72,0,0.0,3020,1.306,1235.706,11235.706
