,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,78.887,126,-9944.731881,126,55.268,-4.97,9995.03
20210112,Hold,78.649,0,0.0,126,55.268,-34.958,9965.042
20210113,Hold,79.704,0,0.0,126,55.268,97.972,10097.972
20210114,Hold,80.611,0,0.0,126,55.268,212.254,10212.254
20210115,Hold,80.97,0,0.0,126,55.268,257.488,10257.488
20210119,Hold,85.602,0,0.0,126,55.268,841.12,10841.12
20210120,Hold,83.68,0,0.0,126,55.268,598.948,10598.948
20210121,Hold,83.76,0,0.0,126,55.268,609.028,10609.028
20210122,Sell,82.873,-126,10436.777001000002,0,10492.045,492.045,10492.045
20210125,Hold,81.478,0,0.0,0,10492.045,492.045,10492.045
20210126,Hold,77.035,0,0.0,0,10492.045,492.045,10492.045
20210127,Hold,76.905,0,0.0,0,10492.045,492.045,10492.045
20210128,Hold,78.061,0,0.0,0,10492.045,492.045,10492.045
20210129,Hold,79.286,0,0.0,0,10492.045,492.045,10492.045
20210201,Buy,80.95,129,-10447.771275000001,129,44.274,486.824,10486.824
20210202,Hold,81.538,0,0.0,129,44.274,562.676,10562.676
20210203,Hold,78.848,0,0.0,129,44.274,215.666,10215.666
20210204,Hold,81.458,0,0.0,129,44.274,552.356,10552.356
20210205,Hold,81.433,0,0.0,129,44.274,549.131,10549.131
20210208,Hold,83.032,0,0.0,129,44.274,755.402,10755.402
20210209,Hold,83.68,0,0.0,129,44.274,838.994,10838.994
20210210,Hold,84.077,0,0.0,129,44.274,890.207,10890.207
20210211,Hold,85.731,0,0.0,129,44.274,1103.573,11103.573
20210212,Hold,88.879,0,0.0,129,44.274,1509.665,11509.665
20210216,Hold,86.359,0,0.0,129,44.274,1184.585,11184.585
20210217,Hold,86.189,0,0.0,129,44.274,1162.655,11162.655
20210218,Hold,89.9,0,0.0,129,44.274,1641.374,11641.374
20210219,Hold,89.188,0,0.0,129,44.274,1549.526,11549.526
20210222,Sell,84.914,-129,10948.429047000001,0,10992.703,992.703,10992.703
20210223,Buy,87.963,124,-10912.865705999999,124,79.837,987.249,10987.249
20210224,Hold,91.17,0,0.0,124,79.837,1384.917,11384.917
20210225,Sell,89.398,-124,11079.809324,0,11159.647,1159.647,11159.647
20210226,Buy,94.178,118,-11118.560501999998,118,41.086,1154.09,11154.09
20210301,Hold,93.212,0,0.0,118,41.086,1040.102,11040.102
20210302,Sell,90.225,-118,10641.226725,0,10682.313,682.313,10682.313
20210303,Hold,88.471,0,0.0,0,10682.313,682.313,10682.313
20210304,Hold,87.196,0,0.0,0,10682.313,682.313,10682.313
20210305,Hold,88.235,0,0.0,0,10682.313,682.313,10682.313
20210308,Hold,87.663,0,0.0,0,10682.313,682.313,10682.313
20210309,Buy,89.665,119,-10675.4700675,119,6.843,676.978,10676.978
20210310,Sell,87.256,-119,10378.272268,0,10385.115,385.115,10385.115
20210311,Buy,87.236,118,-10298.994923999999,118,86.12,379.968,10379.968
20210312,Hold,87.435,0,0.0,118,86.12,403.45,10403.45
20210315,Hold,90.402,0,0.0,118,86.12,753.556,10753.556
20210316,Hold,90.982,0,0.0,118,86.12,821.996,10821.996
20210317,Hold,92.614,0,0.0,118,86.12,1014.572,11014.572
20210318,Sell,90.01,-118,10615.869410000001,0,10701.989,701.989,10701.989
20210319,Hold,91.479,0,0.0,0,10701.989,701.989,10701.989
20210322,Hold,90.672,0,0.0,0,10701.989,701.989,10701.989
20210323,Hold,86.726,0,0.0,0,10701.989,701.989,10701.989
20210324,Hold,80.833,0,0.0,0,10701.989,701.989,10701.989
20210325,Hold,83.838,0,0.0,0,10701.989,701.989,10701.989
20210326,Buy,87.421,122,-10670.694681,122,31.295,696.657,10696.657
20210329,Hold,85.931,0,0.0,122,31.295,514.877,10514.877
20210330,Hold,87.106,0,0.0,122,31.295,658.227,10658.227
20210331,Hold,92.644,0,0.0,122,31.295,1333.863,11333.863
20210401,Hold,93.567,0,0.0,122,31.295,1446.469,11446.469
20210405,Hold,93.471,0,0.0,122,31.295,1434.757,11434.757
20210406,Hold,93.89,0,0.0,122,31.295,1485.875,11485.875
20210407,Hold,94.637,0,0.0,122,31.295,1577.009,11577.009
20210408,Hold,93.985,0,0.0,122,31.295,1497.465,11497.465
20210409,Hold,94.826,0,0.0,122,31.295,1600.067,11600.067
20210412,Sell,95.923,-122,11696.754697,0,11728.049,1728.049,11728.049
20210413,Hold,91.31,0,0.0,0,11728.049,1728.049,11728.049
20210414,Hold,91.399,0,0.0,0,11728.049,1728.049,11728.049
20210415,Hold,90.09,0,0.0,0,11728.049,1728.049,11728.049
20210416,Hold,90.319,0,0.0,0,11728.049,1728.049,11728.049
20210419,Hold,88.043,0,0.0,0,11728.049,1728.049,11728.049
20210420,Hold,86.726,0,0.0,0,11728.049,1728.049,11728.049
20210421,Hold,87.863,0,0.0,0,11728.049,1728.049,11728.049
20210422,Hold,84.914,0,0.0,0,11728.049,1728.049,11728.049
20210423,Hold,86.139,0,0.0,0,11728.049,1728.049,11728.049
20210426,Buy,88.988,131,-11663.256714,131,64.793,1722.221,11722.221
20210427,Hold,87.329,0,0.0,131,64.793,1504.892,11504.892
20210428,Sell,87.386,-131,11441.842217,0,11506.635,1506.635,11506.635
20210429,Buy,86.602,132,-11437.179731999999,132,69.455,1500.919,11500.919
20210430,Sell,86.638,-132,11430.497892000001,0,11499.953,1499.953,11499.953
20210503,Hold,83.819,0,0.0,0,11499.953,1499.953,11499.953
20210504,Hold,85.164,0,0.0,0,11499.953,1499.953,11499.953
20210505,Hold,84.541,0,0.0,0,11499.953,1499.953,11499.953
20210506,Hold,85.582,0,0.0,0,11499.953,1499.953,11499.953
20210507,Hold,84.625,0,0.0,0,11499.953,1499.953,11499.953
20210510,Hold,76.975,0,0.0,0,11499.953,1499.953,11499.953
20210511,Hold,78.838,0,0.0,0,11499.953,1499.953,11499.953
20210512,Hold,77.672,0,0.0,0,11499.953,1499.953,11499.953
20210513,Hold,78.489,0,0.0,0,11499.953,1499.953,11499.953
20210514,Buy,78.793,145,-11430.6974925,145,69.256,1494.241,11494.241
20210517,Hold,80.242,0,0.0,145,69.256,1704.346,11704.346
20210518,Hold,76.917,0,0.0,145,69.256,1222.221,11222.221
20210519,Hold,80.192,0,0.0,145,69.256,1697.096,11697.096
20210520,Hold,81.458,0,0.0,145,69.256,1880.666,11880.666
20210521,Hold,81.106,0,0.0,145,69.256,1829.626,11829.626
20210524,Hold,83.245,0,0.0,145,69.256,2139.781,12139.781
20210525,Hold,81.273,0,0.0,145,69.256,1853.841,11853.841
20210526,Hold,82.145,0,0.0,145,69.256,1980.281,11980.281
20210527,Hold,83.897,0,0.0,145,69.256,2234.321,12234.321
20210528,Hold,84.595,0,0.0,145,69.256,2335.531,12335.531
20210601,Hold,84.067,0,0.0,145,69.256,2258.971,12258.971
20210602,Hold,83.36,0,0.0,145,69.256,2156.456,12156.456
20210603,Sell,82.653,-145,11978.692657500002,0,12047.948,2047.948,12047.948
20210604,Hold,82.873,0,0.0,0,12047.948,2047.948,12047.948
20210607,Hold,84.645,0,0.0,0,12047.948,2047.948,12047.948
20210608,Hold,79.864,0,0.0,0,12047.948,2047.948,12047.948
20210609,Hold,79.097,0,0.0,0,12047.948,2047.948,12047.948
20210610,Hold,79.764,0,0.0,0,12047.948,2047.948,12047.948
20210611,Hold,79.196,0,0.0,0,12047.948,2047.948,12047.948
20210614,Buy,80.331,149,-11975.303659500001,149,72.645,2041.964,12041.964
20210615,Hold,82.414,0,0.0,149,72.645,2352.331,12352.331
20210616,Hold,79.396,0,0.0,149,72.645,1902.649,11902.649
20210617,Sell,78.599,-149,11705.395374500002,0,11778.04,1778.04,11778.04
20210618,Hold,76.556,0,0.0,0,11778.04,1778.04,11778.04
20210621,Hold,77.313,0,0.0,0,11778.04,1778.04,11778.04
20210622,Hold,77.802,0,0.0,0,11778.04,1778.04,11778.04
