,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,51.661,193,-9975.5582865,193,24.442,-4.985,9995.015
20190110,Sell,51.919,-193,10015.356816500002,0,10039.799,39.799,10039.799
20190111,Buy,52.427,191,-10018.5637785,191,21.235,34.792,10034.792
20190114,Sell,52.702,-191,10061.048959000002,0,10082.284,82.284,10082.284
20190115,Hold,51.257,0,0.0,0,10082.284,82.284,10082.284
20190116,Hold,50.542,0,0.0,0,10082.284,82.284,10082.284
20190117,Hold,50.928,0,0.0,0,10082.284,82.284,10082.284
20190118,Hold,50.542,0,0.0,0,10082.284,82.284,10082.284
20190122,Hold,48.656,0,0.0,0,10082.284,82.284,10082.284
20190123,Hold,47.765,0,0.0,0,10082.284,82.284,10082.284
20190124,Hold,46.826,0,0.0,0,10082.284,82.284,10082.284
20190125,Hold,46.266,0,0.0,0,10082.284,82.284,10082.284
20190128,Hold,46.422,0,0.0,0,10082.284,82.284,10082.284
20190129,Hold,45.678,0,0.0,0,10082.284,82.284,10082.284
20190130,Hold,47.075,0,0.0,0,10082.284,82.284,10082.284
20190131,Hold,45.585,0,0.0,0,10082.284,82.284,10082.284
20190201,Hold,45.705,0,0.0,0,10082.284,82.284,10082.284
20190204,Buy,45.722,220,-10063.869419999999,220,18.414,77.254,10077.254
20190205,Hold,46.835,0,0.0,220,18.414,322.114,10322.114
20190206,Hold,46.736,0,0.0,220,18.414,300.334,10300.334
20190207,Hold,46.192,0,0.0,220,18.414,180.654,10180.654
20190208,Hold,46.478,0,0.0,220,18.414,243.574,10243.574
20190211,Hold,47.167,0,0.0,220,18.414,395.154,10395.154
20190212,Hold,47.811,0,0.0,220,18.414,536.834,10536.834
20190213,Hold,47.351,0,0.0,220,18.414,435.634,10435.634
20190214,Hold,47.885,0,0.0,220,18.414,553.114,10553.114
20190215,Hold,47.811,0,0.0,220,18.414,536.834,10536.834
20190219,Hold,48.04,0,0.0,220,18.414,587.214,10587.214
20190220,Hold,48.27,0,0.0,220,18.414,637.814,10637.814
20190221,Hold,48.445,0,0.0,220,18.414,676.314,10676.314
20190222,Hold,49.447,0,0.0,220,18.414,896.754,10896.754
20190225,Hold,48.804,0,0.0,220,18.414,755.294,10755.294
20190226,Hold,48.682,0,0.0,220,18.414,728.454,10728.454
20190227,Hold,48.731,0,0.0,220,18.414,739.234,10739.234
20190228,Hold,49.649,0,0.0,220,18.414,941.194,10941.194
20190301,Hold,50.184,0,0.0,220,18.414,1058.894,11058.894
20190304,Hold,49.556,0,0.0,220,18.414,920.734,10920.734
20190305,Hold,50.124,0,0.0,220,18.414,1045.694,11045.694
20190306,Hold,50.997,0,0.0,220,18.414,1237.754,11237.754
20190307,Hold,49.717,0,0.0,220,18.414,956.154,10956.154
20190308,Hold,49.966,0,0.0,220,18.414,1010.934,11010.934
20190311,Hold,50.84,0,0.0,220,18.414,1203.214,11203.214
20190312,Hold,51.185,0,0.0,220,18.414,1279.114,11279.114
20190313,Hold,51.65,0,0.0,220,18.414,1381.414,11381.414
20190314,Hold,51.159,0,0.0,220,18.414,1273.394,11273.394
20190315,Hold,52.664,0,0.0,220,18.414,1604.494,11604.494
20190318,Hold,53.174,0,0.0,220,18.414,1716.694,11716.694
20190319,Hold,53.046,0,0.0,220,18.414,1688.534,11688.534
20190320,Hold,53.231,0,0.0,220,18.414,1729.234,11729.234
20190321,Hold,53.65,0,0.0,220,18.414,1821.414,11821.414
20190322,Sell,52.626,-220,11571.93114,0,11590.345,1590.345,11590.345
20190325,Hold,53.946,0,0.0,0,11590.345,1590.345,11590.345
20190326,Buy,53.343,217,-11581.2187155,217,9.127,1584.558,11584.558
20190327,Sell,53.046,-217,11505.226509,0,11514.353,1514.353,11514.353
20190328,Hold,53.017,0,0.0,0,11514.353,1514.353,11514.353
20190329,Buy,53.611,214,-11478.490376999998,214,35.863,1508.617,11508.617
