,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,153.17,65,-9961.028025,65,38.972,-4.978,9995.022
20210112,Hold,151.75,0,0.0,65,38.972,-97.278,9902.722
20210113,Hold,155.86,0,0.0,65,38.972,169.872,10169.872
20210114,Hold,157.2,0,0.0,65,38.972,256.972,10256.972
20210115,Hold,155.42,0,0.0,65,38.972,141.272,10141.272
20210119,Hold,161.07,0,0.0,65,38.972,508.522,10508.522
20210120,Hold,162.12,0,0.0,65,38.972,576.772,10576.772
20210121,Hold,160.36,0,0.0,65,38.972,462.372,10462.372
20210122,Sell,160.68,-65,10438.977900000002,0,10477.95,477.95,10477.95
20210125,Hold,160.56,0,0.0,0,10477.95,477.95,10477.95
20210126,Hold,154.97,0,0.0,0,10477.95,477.95,10477.95
20210127,Hold,152.81,0,0.0,0,10477.95,477.95,10477.95
20210128,Hold,156.7,0,0.0,0,10477.95,477.95,10477.95
20210129,Hold,153.88,0,0.0,0,10477.95,477.95,10477.95
20210201,Buy,160.86,65,-10461.12795,65,16.822,472.722,10472.722
20210202,Hold,163.86,0,0.0,65,16.822,667.722,10667.722
20210203,Hold,146.85,0,0.0,65,16.822,-437.928,9562.072
20210204,Sell,145.55,-65,9456.019625,0,9472.842,-527.158,9472.842
20210205,Hold,143.83,0,0.0,0,9472.842,-527.158,9472.842
20210208,Hold,144.27,0,0.0,0,9472.842,-527.158,9472.842
20210209,Hold,144.34,0,0.0,0,9472.842,-527.158,9472.842
20210210,Hold,142.55,0,0.0,0,9472.842,-527.158,9472.842
20210211,Hold,142.34,0,0.0,0,9472.842,-527.158,9472.842
20210212,Buy,145.7,64,-9329.462399999999,64,143.379,-531.821,9468.179
20210216,Sell,142.59,-64,9121.19712,0,9264.576,-735.424,9264.576
20210217,Hold,140.35,0,0.0,0,9264.576,-735.424,9264.576
20210218,Hold,141.57,0,0.0,0,9264.576,-735.424,9264.576
20210219,Hold,139.1,0,0.0,0,9264.576,-735.424,9264.576
20210222,Hold,133.33,0,0.0,0,9264.576,-735.424,9264.576
20210223,Hold,133.36,0,0.0,0,9264.576,-735.424,9264.576
20210224,Hold,136.46,0,0.0,0,9264.576,-735.424,9264.576
20210225,Hold,133.72,0,0.0,0,9264.576,-735.424,9264.576
20210226,Hold,134.46,0,0.0,0,9264.576,-735.424,9264.576
20210301,Buy,136.99,67,-9182.919165,67,81.657,-740.013,9259.987
20210302,Sell,133.21,-67,8920.607465000001,0,9002.265,-997.735,9002.265
20210303,Hold,130.04,0,0.0,0,9002.265,-997.735,9002.265
20210304,Hold,128.63,0,0.0,0,9002.265,-997.735,9002.265
20210305,Hold,126.75,0,0.0,0,9002.265,-997.735,9002.265
20210308,Hold,125.15,0,0.0,0,9002.265,-997.735,9002.265
20210309,Buy,128.38,70,-8991.0933,70,11.171,-1002.229,8997.771
20210310,Hold,128.71,0,0.0,70,11.171,-979.129,9020.871
20210311,Hold,127.63,0,0.0,70,11.171,-1054.729,8945.271
20210312,Hold,127.78,0,0.0,70,11.171,-1044.229,8955.771
20210315,Hold,130.57,0,0.0,70,11.171,-848.929,9151.071
20210316,Hold,129.0,0,0.0,70,11.171,-958.829,9041.171
20210317,Hold,130.13,0,0.0,70,11.171,-879.729,9120.271
20210318,Sell,127.52,-70,8921.9368,0,8933.108,-1066.892,8933.108
20210319,Hold,130.63,0,0.0,0,8933.108,-1066.892,8933.108
20210322,Buy,131.65,67,-8824.960275000001,67,108.148,-1071.302,8928.698
20210323,Sell,130.65,-67,8749.173225000002,0,8857.321,-1142.679,8857.321
20210324,Hold,124.45,0,0.0,0,8857.321,-1142.679,8857.321
20210325,Hold,124.83,0,0.0,0,8857.321,-1142.679,8857.321
20210326,Buy,130.23,67,-8729.772705,67,127.548,-1147.042,8852.958
20210329,Hold,127.89,0,0.0,67,127.548,-1303.822,8696.178
20210330,Hold,128.67,0,0.0,67,127.548,-1251.562,8748.438
20210331,Hold,132.15,0,0.0,67,127.548,-1018.402,8981.598
20210401,Hold,136.6,0,0.0,67,127.548,-720.252,9279.748
20210405,Hold,137.4,0,0.0,67,127.548,-666.652,9333.348
20210406,Hold,135.9,0,0.0,67,127.548,-767.152,9232.848
20210407,Hold,137.55,0,0.0,67,127.548,-656.602,9343.398
20210408,Hold,137.45,0,0.0,67,127.548,-663.302,9336.698
20210409,Hold,136.43,0,0.0,67,127.548,-731.642,9268.358
20210412,Sell,135.95,-67,9104.095675,0,9231.644,-768.356,9231.644
20210413,Hold,134.68,0,0.0,0,9231.644,-768.356,9231.644
20210414,Hold,133.61,0,0.0,0,9231.644,-768.356,9231.644
20210415,Hold,135.22,0,0.0,0,9231.644,-768.356,9231.644
20210416,Buy,134.5,68,-9150.573,68,81.071,-772.929,9227.071
20210419,Sell,132.2,-68,8985.105199999998,0,9066.176,-933.824,9066.176
20210420,Hold,130.5,0,0.0,0,9066.176,-933.824,9066.176
20210421,Hold,133.01,0,0.0,0,9066.176,-933.824,9066.176
20210422,Hold,131.39,0,0.0,0,9066.176,-933.824,9066.176
20210423,Buy,132.97,68,-9046.480979999998,68,19.695,-938.345,9061.655
20210426,Hold,136.28,0,0.0,68,19.695,-713.265,9286.735
20210427,Hold,135.74,0,0.0,68,19.695,-749.985,9250.015
20210428,Hold,142.47,0,0.0,68,19.695,-292.345,9707.655
20210429,Hold,138.59,0,0.0,68,19.695,-556.185,9443.815
20210430,Sell,137.26,-68,9329.01316,0,9348.708,-651.292,9348.708
20210503,Hold,133.61,0,0.0,0,9348.708,-651.292,9348.708
20210504,Hold,133.69,0,0.0,0,9348.708,-651.292,9348.708
20210505,Hold,132.14,0,0.0,0,9348.708,-651.292,9348.708
20210506,Hold,134.54,0,0.0,0,9348.708,-651.292,9348.708
20210507,Buy,133.63,69,-9225.080235,69,123.628,-655.902,9344.098
20210510,Sell,123.05,-69,8486.204775,0,8609.833,-1390.167,8609.833
20210511,Hold,123.82,0,0.0,0,8609.833,-1390.167,8609.833
20210512,Hold,124.89,0,0.0,0,8609.833,-1390.167,8609.833
20210513,Hold,126.38,0,0.0,0,8609.833,-1390.167,8609.833
20210514,Buy,127.02,67,-8514.59517,67,95.238,-1394.422,8605.578
20210517,Hold,128.35,0,0.0,67,95.238,-1305.312,8694.688
20210518,Hold,124.96,0,0.0,67,95.238,-1532.442,8467.558
20210519,Hold,129.22,0,0.0,67,95.238,-1247.022,8752.978
20210520,Hold,129.83,0,0.0,67,95.238,-1206.152,8793.848
20210521,Hold,129.02,0,0.0,67,95.238,-1260.422,8739.578
20210524,Hold,131.19,0,0.0,67,95.238,-1115.032,8884.968
20210525,Hold,131.52,0,0.0,67,95.238,-1092.922,8907.078
20210526,Hold,130.41,0,0.0,67,95.238,-1167.292,8832.708
20210527,Hold,131.8,0,0.0,67,95.238,-1074.162,8925.838
20210528,Hold,132.75,0,0.0,67,95.238,-1010.512,8989.488
20210601,Hold,131.51,0,0.0,67,95.238,-1093.592,8906.408
20210602,Hold,130.99,0,0.0,67,95.238,-1128.432,8871.568
20210603,Sell,130.86,-67,8763.236190000001,0,8858.474,-1141.526,8858.474
20210604,Buy,132.03,67,-8850.433004999999,67,8.041,-1145.949,8854.051
20210607,Hold,132.39,0,0.0,67,8.041,-1121.829,8878.171
20210608,Hold,133.41,0,0.0,67,8.041,-1053.489,8946.511
20210609,Hold,131.38,0,0.0,67,8.041,-1189.499,8810.501
20210610,Hold,132.13,0,0.0,67,8.041,-1139.249,8860.751
20210611,Hold,133.5,0,0.0,67,8.041,-1047.459,8952.541
20210614,Hold,135.43,0,0.0,67,8.041,-918.149,9081.851
20210615,Hold,134.77,0,0.0,67,8.041,-962.369,9037.631
20210616,Hold,132.64,0,0.0,67,8.041,-1105.079,8894.921
20210617,Hold,132.88,0,0.0,67,8.041,-1088.999,8911.001
20210618,Sell,131.38,-67,8798.05877,0,8806.1,-1193.9,8806.1
20210621,Buy,132.55,66,-8752.67415,66,53.426,-1198.274,8801.726
20210622,Hold,133.19,0,0.0,66,53.426,-1156.034,8843.966
20210623,Hold,134.92,0,0.0,66,53.426,-1041.854,8958.146
20210624,Hold,136.72,0,0.0,66,53.426,-923.054,9076.946
20210625,Hold,136.5,0,0.0,66,53.426,-937.574,9062.426
20210628,Hold,137.88,0,0.0,66,53.426,-846.494,9153.506
20210629,Hold,140.57,0,0.0,66,53.426,-668.954,9331.046
20210630,Hold,141.12,0,0.0,66,53.426,-632.654,9367.346
20210701,Hold,140.22,0,0.0,66,53.426,-692.054,9307.946
20210702,Hold,141.21,0,0.0,66,53.426,-626.714,9373.286
20210706,Sell,140.46,-66,9265.724820000001,0,9319.15,-680.85,9319.15
20210707,Hold,135.99,0,0.0,0,9319.15,-680.85,9319.15
20210708,Hold,136.16,0,0.0,0,9319.15,-680.85,9319.15
20210709,Buy,139.63,66,-9220.18779,66,98.963,-685.457,9314.543
20210712,Hold,140.66,0,0.0,66,98.963,-617.477,9382.523
20210713,Hold,141.7,0,0.0,66,98.963,-548.837,9451.163
20210714,Hold,142.32,0,0.0,66,98.963,-507.917,9492.083
20210715,Sell,140.1,-66,9241.976700000001,0,9340.939,-659.061,9340.939
20210716,Hold,136.59,0,0.0,0,9340.939,-659.061,9340.939
20210719,Hold,137.29,0,0.0,0,9340.939,-659.061,9340.939
20210720,Hold,137.9,0,0.0,0,9340.939,-659.061,9340.939
20210721,Buy,140.23,66,-9259.807589999999,66,81.132,-663.688,9336.312
20210722,Hold,141.66,0,0.0,66,81.132,-569.308,9430.692
20210723,Hold,142.15,0,0.0,66,81.132,-536.968,9463.032
20210726,Hold,140.71,0,0.0,66,81.132,-632.008,9367.992
20210727,Sell,139.51,-66,9203.05617,0,9284.188,-715.812,9284.188
20210728,Buy,144.67,64,-9263.509439999998,64,20.678,-720.442,9279.558
20210729,Hold,147.34,0,0.0,64,20.678,-549.562,9450.438
20210730,Hold,148.12,0,0.0,64,20.678,-499.642,9500.358
20210802,Hold,147.05,0,0.0,64,20.678,-568.122,9431.878
20210803,Hold,146.17,0,0.0,64,20.678,-624.442,9375.558
20210804,Sell,145.4,-64,9300.9472,0,9321.626,-678.374,9321.626
20210805,Hold,144.3,0,0.0,0,9321.626,-678.374,9321.626
20210806,Hold,144.96,0,0.0,0,9321.626,-678.374,9321.626
20210809,Hold,145.48,0,0.0,0,9321.626,-678.374,9321.626
20210810,Hold,144.23,0,0.0,0,9321.626,-678.374,9321.626
20210811,Hold,145.92,0,0.0,0,9321.626,-678.374,9321.626
20210812,Buy,145.16,64,-9294.885119999999,64,26.74,-683.02,9316.98
20210813,Hold,146.54,0,0.0,64,26.74,-594.7,9405.3
20210816,Sell,145.11,-64,9282.396480000001,0,9309.137,-690.863,9309.137
20210817,Hold,142.04,0,0.0,0,9309.137,-690.863,9309.137
20210818,Hold,138.89,0,0.0,0,9309.137,-690.863,9309.137
20210819,Hold,138.85,0,0.0,0,9309.137,-690.863,9309.137
20210820,Hold,140.87,0,0.0,0,9309.137,-690.863,9309.137
20210823,Buy,142.78,65,-9285.34035,65,23.797,-695.503,9304.497
20210824,Hold,142.65,0,0.0,65,23.797,-703.953,9296.047
20210825,Hold,141.4,0,0.0,65,23.797,-785.203,9214.797
20210826,Sell,140.42,-65,9122.73635,0,9146.533,-853.467,9146.533
20210827,Buy,143.77,63,-9062.038755,63,84.494,-857.996,9142.004
20210830,Hold,144.97,0,0.0,63,84.494,-782.396,9217.604
20210831,Hold,145.68,0,0.0,63,84.494,-737.666,9262.334
20210901,Hold,145.54,0,0.0,63,84.494,-746.486,9253.514
20210902,Sell,143.97,-63,9065.574945,0,9150.069,-849.931,9150.069
20210903,Hold,143.53,0,0.0,0,9150.069,-849.931,9150.069
20210907,Hold,142.23,0,0.0,0,9150.069,-849.931,9150.069
20210908,Hold,141.34,0,0.0,0,9150.069,-849.931,9150.069
20210909,Hold,142.0,0,0.0,0,9150.069,-849.931,9150.069
20210910,Hold,142.88,0,0.0,0,9150.069,-849.931,9150.069
20210913,Hold,143.33,0,0.0,0,9150.069,-849.931,9150.069
20210914,Hold,139.69,0,0.0,0,9150.069,-849.931,9150.069
20210915,Hold,136.23,0,0.0,0,9150.069,-849.931,9150.069
20210916,Hold,136.72,0,0.0,0,9150.069,-849.931,9150.069
20210917,Hold,130.43,0,0.0,0,9150.069,-849.931,9150.069
20210920,Hold,132.53,0,0.0,0,9150.069,-849.931,9150.069
20210921,Hold,131.54,0,0.0,0,9150.069,-849.931,9150.069
20210922,Hold,132.7,0,0.0,0,9150.069,-849.931,9150.069
20210923,Buy,132.06,69,-9116.696069999998,69,33.373,-854.487,9145.513
20210924,Hold,131.38,0,0.0,69,33.373,-901.407,9098.593
20210927,Sell,130.7,-69,9013.79085,0,9047.164,-952.836,9047.164
20210928,Hold,129.56,0,0.0,0,9047.164,-952.836,9047.164
20210929,Hold,129.32,0,0.0,0,9047.164,-952.836,9047.164
20210930,Hold,128.77,0,0.0,0,9047.164,-952.836,9047.164
20211001,Hold,127.9,0,0.0,0,9047.164,-952.836,9047.164
20211004,Hold,125.13,0,0.0,0,9047.164,-952.836,9047.164
20211005,Hold,125.55,0,0.0,0,9047.164,-952.836,9047.164
20211006,Buy,128.25,70,-8981.988749999999,70,65.175,-957.325,9042.675
20211007,Hold,127.58,0,0.0,70,65.175,-1004.225,8995.775
20211008,Hold,125.06,0,0.0,70,65.175,-1180.625,8819.375
20211011,Sell,124.39,-70,8702.94635,0,8768.122,-1231.878,8768.122
20211012,Hold,124.21,0,0.0,0,8768.122,-1231.878,8768.122
20211013,Buy,125.16,70,-8765.5806,70,2.541,-1236.259,8763.741
20211014,Hold,128.0,0,0.0,70,2.541,-1037.459,8962.541
20211015,Hold,128.29,0,0.0,70,2.541,-1017.159,8982.841
20211018,Hold,129.98,0,0.0,70,2.541,-898.859,9101.141
20211019,Hold,131.45,0,0.0,70,2.541,-795.959,9204.041
20211020,Hold,130.95,0,0.0,70,2.541,-830.959,9169.041
20211021,Hold,131.85,0,0.0,70,2.541,-767.959,9232.041
20211022,Hold,130.77,0,0.0,70,2.541,-843.559,9156.441
20211025,Hold,131.85,0,0.0,70,2.541,-767.959,9232.041
20211026,Hold,130.89,0,0.0,70,2.541,-835.159,9164.841
20211027,Hold,130.94,0,0.0,70,2.541,-831.659,9168.341
20211028,Hold,131.81,0,0.0,70,2.541,-770.759,9229.241
20211029,Hold,131.39,0,0.0,70,2.541,-800.159,9199.841
20211101,Hold,133.48,0,0.0,70,2.541,-653.859,9346.141
20211102,Hold,134.68,0,0.0,70,2.541,-569.859,9430.141
20211103,Hold,155.09,0,0.0,70,2.541,858.841,10858.841
20211104,Hold,155.83,0,0.0,70,2.541,910.641,10910.641
20211105,Hold,161.92,0,0.0,70,2.541,1336.941,11336.941
20211108,Hold,165.19,0,0.0,70,2.541,1565.841,11565.841
20211109,Hold,163.79,0,0.0,70,2.541,1467.841,11467.841
20211110,Hold,160.52,0,0.0,70,2.541,1238.941,11238.941
20211111,Hold,163.7,0,0.0,70,2.541,1461.541,11461.541
20211112,Hold,165.18,0,0.0,70,2.541,1565.141,11565.141
20211115,Hold,166.78,0,0.0,70,2.541,1677.141,11677.141
20211116,Hold,179.36,0,0.0,70,2.541,2557.741,12557.741
20211117,Hold,183.77,0,0.0,70,2.541,2866.441,12866.441
20211118,Hold,183.23,0,0.0,70,2.541,2828.641,12828.641
20211119,Hold,179.68,0,0.0,70,2.541,2580.141,12580.141
20211122,Sell,178.91,-70,12517.43815,0,12519.979,2519.979,12519.979
20211123,Hold,178.1,0,0.0,0,12519.979,2519.979,12519.979
20211124,Hold,174.27,0,0.0,0,12519.979,2519.979,12519.979
20211126,Hold,178.06,0,0.0,0,12519.979,2519.979,12519.979
20211129,Buy,181.77,68,-12366.54018,68,153.439,2513.799,12513.799
20211130,Sell,180.13,-68,12242.71558,0,12396.154,2396.154,12396.154
20211201,Hold,171.38,0,0.0,0,12396.154,2396.154,12396.154
20211202,Hold,177.3,0,0.0,0,12396.154,2396.154,12396.154
20211203,Hold,176.15,0,0.0,0,12396.154,2396.154,12396.154
20211206,Hold,178.33,0,0.0,0,12396.154,2396.154,12396.154
20211207,Buy,182.25,67,-12216.855375,67,179.299,2390.049,12390.049
20211208,Hold,181.01,0,0.0,67,179.299,2306.969,12306.969
20211209,Hold,184.78,0,0.0,67,179.299,2559.559,12559.559
20211210,Hold,186.07,0,0.0,67,179.299,2645.989,12645.989
20211213,Sell,180.45,-67,12084.104925,0,12263.404,2263.404,12263.404
20211214,Hold,183.21,0,0.0,0,12263.404,2263.404,12263.404
20211215,Buy,189.51,64,-12134.704319999999,64,128.7,2257.34,12257.34
20211216,Sell,175.0,-64,11194.400000000001,0,11323.1,1323.1,11323.1
20211217,Hold,173.57,0,0.0,0,11323.1,1323.1,11323.1
20211220,Hold,178.63,0,0.0,0,11323.1,1323.1,11323.1
20211221,Hold,178.26,0,0.0,0,11323.1,1323.1,11323.1
20211222,Buy,180.78,62,-11213.96418,62,109.136,1317.496,11317.496
20211223,Hold,182.45,0,0.0,62,109.136,1421.036,11421.036
20211227,Hold,185.81,0,0.0,62,109.136,1629.356,11629.356
20211228,Hold,183.92,0,0.0,62,109.136,1512.176,11512.176
20211229,Hold,185.11,0,0.0,62,109.136,1585.956,11585.956
20211230,Sell,182.55,-62,11312.44095,0,11421.576,1421.576,11421.576
