,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,99.0,0,0,0,10000,0.0,10000.0
20160112,Hold,100.58,0,0,0,10000,0.0,10000.0
20160113,Hold,95.85,0,0,0,10000,0.0,10000.0
20160114,Hold,93.98,0,0,0,10000,0.0,10000.0
20160115,Hold,96.53,0,0,0,10000,0.0,10000.0
20160119,Hold,92.83,0,0,0,10000,0.0,10000.0
20160120,Hold,94.91,0,0,0,10000,0.0,10000.0
20160121,Buy,96.41,103,-9935.195114999999,103,64.805,-4.965,9995.035
20160122,Hold,98.72,0,0,103,64.805,232.965,10232.965
20160125,Hold,97.76,0,0,103,64.805,134.085,10134.085
20160126,Hold,97.79,0,0,103,64.805,137.175,10137.175
20160127,Hold,107.2,0,0,103,64.805,1106.405,11106.405
20160128,Hold,108.99,0,0,103,64.805,1290.775,11290.775
20160129,Hold,112.27,0,0,103,64.805,1628.615,11628.615
20160201,Hold,114.8,0,0,103,64.805,1889.205,11889.205
20160202,Hold,115.27,0,0,103,64.805,1937.615,11937.615
20160203,Sell,111.8,-103,11509.6423,0,11574.447,1574.447,11574.447
20160204,Hold,109.51,0,0,0,11574.447,1574.447,11574.447
20160205,Hold,100.41,0,0,0,11574.447,1574.447,11574.447
20160208,Hold,97.14,0,0,0,11574.447,1574.447,11574.447
20160209,Hold,101.55,0,0,0,11574.447,1574.447,11574.447
20160210,Hold,99.6,0,0,0,11574.447,1574.447,11574.447
20160211,Buy,103.74,111,-11520.89757,111,53.55,1568.69,11568.69
20160212,Hold,103.8,0,0,111,53.55,1575.35,11575.35
20160216,Hold,101.94,0,0,111,53.55,1368.89,11368.89
20160217,Hold,105.8,0,0,111,53.55,1797.35,11797.35
20160218,Hold,102.55,0,0,111,53.55,1436.6,11436.6
20160219,Hold,105.49,0,0,111,53.55,1762.94,11762.94
20160222,Hold,106.85,0,0,111,53.55,1913.9,11913.9
20160223,Hold,104.21,0,0,111,53.55,1620.86,11620.86
20160224,Hold,107.11,0,0,111,53.55,1942.76,11942.76
20160225,Hold,108.7,0,0,111,53.55,2119.25,12119.25
20160226,Hold,107.6,0,0,111,53.55,1997.15,11997.15
20160229,Hold,107.83,0,0,111,53.55,2022.68,12022.68
20160301,Hold,109.68,0,0,111,53.55,2228.03,12228.03
20160302,Hold,110.25,0,0,111,53.55,2291.3,12291.3
20160303,Hold,110.05,0,0,111,53.55,2269.1,12269.1
20160304,Sell,108.07,-111,11989.772115,0,12043.322,2043.322,12043.322
20160307,Hold,104.78,0,0,0,12043.322,2043.322,12043.322
20160308,Hold,106.7,0,0,0,12043.322,2043.322,12043.322
20160309,Hold,107.91,0,0,0,12043.322,2043.322,12043.322
20160310,Buy,108.48,110,-11938.7664,110,104.555,2037.355,12037.355
20160311,Hold,109.28,0,0,110,104.555,2125.355,12125.355
20160314,Hold,109.11,0,0,110,104.555,2106.655,12106.655
20160315,Hold,110.49,0,0,110,104.555,2258.455,12258.455
20160316,Hold,112.15,0,0,110,104.555,2441.055,12441.055
20160317,Hold,111.56,0,0,110,104.555,2376.155,12376.155
20160318,Hold,111.66,0,0,110,104.555,2387.155,12387.155
20160321,Hold,111.36,0,0,110,104.555,2354.155,12354.155
20160322,Hold,112.01,0,0,110,104.555,2425.655,12425.655
20160323,Hold,112.13,0,0,110,104.555,2438.855,12438.855
20160324,Hold,113.32,0,0,110,104.555,2569.755,12569.755
20160328,Hold,113.83,0,0,110,104.555,2625.855,12625.855
20160329,Hold,116.73,0,0,110,104.555,2944.855,12944.855
20160330,Hold,114.7,0,0,110,104.555,2721.555,12721.555
20160331,Sell,113.75,-110,12506.243750000001,0,12610.799,2610.799,12610.799
20160401,Buy,114.07,110,-12553.973849999998,110,56.825,2604.525,12604.525
20160404,Sell,112.11,-110,12325.93395,0,12382.759,2382.759,12382.759
20160405,Hold,112.47,0,0,0,12382.759,2382.759,12382.759
20160406,Hold,113.79,0,0,0,12382.759,2382.759,12382.759
20160407,Hold,114.25,0,0,0,12382.759,2382.759,12382.759
20160408,Hold,110.7,0,0,0,12382.759,2382.759,12382.759
20160411,Hold,109.34,0,0,0,12382.759,2382.759,12382.759
20160412,Hold,112.23,0,0,0,12382.759,2382.759,12382.759
20160413,Hold,110.62,0,0,0,12382.759,2382.759,12382.759
20160414,Buy,110.79,111,-12303.838845,111,78.92,2376.61,12376.61
20160415,Sell,109.74,-111,12175.049430000001,0,12253.97,2253.97,12253.97
20160418,Buy,111.1,110,-12227.110499999999,110,26.859,2247.859,12247.859
20160419,Hold,112.43,0,0,110,26.859,2394.159,12394.159
20160420,Hold,112.55,0,0,110,26.859,2407.359,12407.359
20160421,Hold,111.21,0,0,110,26.859,2259.959,12259.959
20160422,Sell,109.87,-110,12079.657150000001,0,12106.516,2106.516,12106.516
20160425,Hold,110.49,0,0,0,12106.516,2106.516,12106.516
20160426,Hold,107.94,0,0,0,12106.516,2106.516,12106.516
20160427,Buy,119.575,101,-12083.1135375,101,23.403,2100.478,12100.478
20160428,Hold,116.82,0,0,101,23.403,1822.223,11822.223
20160429,Hold,117.83,0,0,101,23.403,1924.233,11924.233
20160502,Hold,117.52,0,0,101,23.403,1892.923,11892.923
20160503,Hold,116.61,0,0,101,23.403,1801.013,11801.013
20160504,Hold,118.04,0,0,101,23.403,1945.443,11945.443
20160505,Hold,117.16,0,0,101,23.403,1856.563,11856.563
20160506,Hold,119.54,0,0,101,23.403,2096.943,12096.943
20160509,Hold,119.62,0,0,101,23.403,2105.023,12105.023
20160510,Hold,120.41,0,0,101,23.403,2184.813,12184.813
20160511,Hold,119.98,0,0,101,23.403,2141.383,12141.383
20160512,Hold,120.38,0,0,101,23.403,2181.783,12181.783
20160513,Sell,119.38,-101,12051.35131,0,12074.754,2074.754,12074.754
20160516,Hold,118.82,0,0,0,12074.754,2074.754,12074.754
20160517,Hold,116.8,0,0,0,12074.754,2074.754,12074.754
20160518,Hold,117.05,0,0,0,12074.754,2074.754,12074.754
20160519,Hold,116.96,0,0,0,12074.754,2074.754,12074.754
20160520,Hold,117.42,0,0,0,12074.754,2074.754,12074.754
20160523,Hold,116.24,0,0,0,12074.754,2074.754,12074.754
20160524,Buy,118.13,102,-12055.28463,102,19.47,2068.73,12068.73
20160525,Hold,118.24,0,0,102,19.47,2079.95,12079.95
20160526,Hold,119.56,0,0,102,19.47,2214.59,12214.59
20160527,Hold,119.46,0,0,102,19.47,2204.39,12204.39
20160531,Hold,118.5,0,0,102,19.47,2106.47,12106.47
20160601,Sell,118.69,-102,12100.32681,0,12119.796,2119.796,12119.796
20160602,Hold,118.975,0,0,0,12119.796,2119.796,12119.796
20160603,Hold,118.62,0,0,0,12119.796,2119.796,12119.796
20160606,Hold,119.24,0,0,0,12119.796,2119.796,12119.796
20160607,Hold,117.76,0,0,0,12119.796,2119.796,12119.796
20160608,Hold,118.13,0,0,0,12119.796,2119.796,12119.796
20160609,Hold,117.54,0,0,0,12119.796,2119.796,12119.796
20160610,Hold,115.0,0,0,0,12119.796,2119.796,12119.796
20160613,Hold,114.07,0,0,0,12119.796,2119.796,12119.796
20160614,Hold,115.3,0,0,0,12119.796,2119.796,12119.796
20160615,Hold,113.87,0,0,0,12119.796,2119.796,12119.796
20160616,Hold,114.42,0,0,0,12119.796,2119.796,12119.796
20160617,Hold,113.77,0,0,0,12119.796,2119.796,12119.796
20160620,Hold,114.12,0,0,0,12119.796,2119.796,12119.796
20160621,Buy,114.65,105,-12044.269124999999,105,75.527,2113.777,12113.777
20160622,Sell,114.37,-105,12002.845575000001,0,12078.373,2078.373,12078.373
20160623,Buy,111.01,108,-11995.07454,108,83.298,2072.378,12072.378
20160624,Sell,111.57,-108,12043.53522,0,12126.833,2126.833,12126.833
20160627,Hold,110.63,0,0,0,12126.833,2126.833,12126.833
20160628,Hold,113.37,0,0,0,12126.833,2126.833,12126.833
20160629,Buy,114.67,105,-12046.370175,105,80.463,2120.813,12120.813
20160630,Hold,114.2,0,0,105,80.463,2071.463,12071.463
20160701,Hold,113.94,0,0,105,80.463,2044.163,12044.163
20160705,Hold,113.36,0,0,105,80.463,1983.263,11983.263
20160706,Hold,116.63,0,0,105,80.463,2326.613,12326.613
20160707,Hold,116.43,0,0,105,80.463,2305.613,12305.613
20160708,Hold,117.71,0,0,105,80.463,2440.013,12440.013
20160711,Hold,118.63,0,0,105,80.463,2536.613,12536.613
20160712,Hold,118.39,0,0,105,80.463,2511.413,12511.413
20160713,Hold,117.5,0,0,105,80.463,2417.963,12417.963
20160714,Hold,117.74,0,0,105,80.463,2443.163,12443.163
20160715,Hold,117.32,0,0,105,80.463,2399.063,12399.063
20160718,Hold,118.99,0,0,105,80.463,2574.413,12574.413
20160719,Hold,121.25,0,0,105,80.463,2811.713,12811.713
20160720,Hold,121.92,0,0,105,80.463,2882.063,12882.063
20160721,Hold,119.9,0,0,105,80.463,2669.963,12669.963
20160722,Hold,121.39,0,0,105,80.463,2826.413,12826.413
20160725,Hold,122.0,0,0,105,80.463,2890.463,12890.463
20160726,Hold,122.42,0,0,105,80.463,2934.563,12934.563
20160727,Hold,127.52,0,0,105,80.463,3470.063,13470.063
20160728,Hold,124.65,0,0,105,80.463,3168.713,13168.713
20160729,Hold,123.85,0,0,105,80.463,3084.713,13084.713
20160801,Hold,124.06,0,0,105,80.463,3106.763,13106.763
20160802,Sell,123.09,-105,12917.987775000001,0,12998.451,2998.451,12998.451
20160803,Hold,122.94,0,0,0,12998.451,2998.451,12998.451
20160804,Buy,124.98,103,-12879.37647,103,119.075,2992.015,12992.015
20160805,Hold,125.25,0,0,103,119.075,3019.825,13019.825
20160808,Hold,125.34,0,0,103,119.075,3029.095,13029.095
20160809,Hold,125.07,0,0,103,119.075,3001.285,13001.285
20160810,Hold,125.2,0,0,103,119.075,3014.675,13014.675
20160811,Sell,124.7,-103,12837.677950000001,0,12956.753,2956.753,12956.753
20160812,Hold,124.91,0,0,0,12956.753,2956.753,12956.753
20160815,Hold,123.5,0,0,0,12956.753,2956.753,12956.753
20160816,Hold,123.66,0,0,0,12956.753,2956.753,12956.753
20160817,Buy,124.01,104,-12903.48852,104,53.264,2950.304,12950.304
20160818,Sell,123.6,-104,12847.9728,0,12901.237,2901.237,12901.237
20160819,Buy,123.33,104,-12832.73316,104,68.504,2894.824,12894.824
20160822,Hold,124.51,0,0,104,68.504,3017.544,13017.544
20160823,Hold,124.47,0,0,104,68.504,3013.384,13013.384
20160824,Hold,123.12,0,0,104,68.504,2872.984,12872.984
20160825,Hold,124.05,0,0,104,68.504,2969.704,12969.704
20160826,Hold,124.35,0,0,104,68.504,3000.904,13000.904
20160829,Hold,126.6,0,0,104,68.504,3234.904,13234.904
20160830,Hold,125.6,0,0,104,68.504,3130.904,13130.904
20160831,Hold,126.38,0,0,104,68.504,3212.024,13212.024
20160901,Hold,126.85,0,0,104,68.504,3260.904,13260.904
20160902,Hold,126.67,0,0,104,68.504,3242.184,13242.184
20160906,Hold,130.04,0,0,104,68.504,3592.664,13592.664
20160907,Hold,130.92,0,0,104,68.504,3684.184,13684.184
20160908,Hold,129.71,0,0,104,68.504,3558.344,13558.344
20160909,Sell,125.96,-104,13093.29008,0,13161.794,3161.794,13161.794
20160912,Hold,128.03,0,0,0,13161.794,3161.794,13161.794
20160913,Hold,126.89,0,0,0,13161.794,3161.794,13161.794
20160914,Hold,127.98,0,0,0,13161.794,3161.794,13161.794
20160915,Buy,128.2,102,-13082.938199999999,102,78.856,3155.256,13155.256
20160916,Hold,129.91,0,0,102,78.856,3329.676,13329.676
20160919,Hold,128.65,0,0,102,78.856,3201.156,13201.156
20160920,Hold,129.13,0,0,102,78.856,3250.116,13250.116
20160921,Hold,130.5,0,0,102,78.856,3389.856,13389.856
20160922,Hold,127.56,0,0,102,78.856,3089.976,13089.976
20160923,Sell,127.37,-102,12985.244130000001,0,13064.1,3064.1,13064.1
20160926,Hold,127.61,0,0,0,13064.1,3064.1,13064.1
20160927,Hold,129.21,0,0,0,13064.1,3064.1,13064.1
20160928,Buy,129.18,101,-13053.70359,101,10.396,3057.576,13057.576
20160929,Sell,128.03,-101,12924.564485,0,12934.961,2934.961,12934.961
20160930,Buy,128.38,100,-12844.419,100,90.542,2928.542,12928.542
20161003,Hold,129.17,0,0,100,90.542,3007.542,13007.542
20161004,Sell,128.25,-100,12818.587500000001,0,12909.129,2909.129,12909.129
20161005,Buy,128.43,100,-12849.421499999999,100,59.708,2902.708,12902.708
20161006,Hold,129.04,0,0,100,59.708,2963.708,12963.708
20161007,Hold,129.68,0,0,100,59.708,3027.708,13027.708
20161010,Hold,130.23,0,0,100,59.708,3082.708,13082.708
20161011,Sell,129.01,-100,12894.549500000001,0,12954.257,2954.257,12954.257
20161012,Hold,128.21,0,0,0,12954.257,2954.257,12954.257
20161013,Hold,128.49,0,0,0,12954.257,2954.257,12954.257
20161014,Hold,128.2,0,0,0,12954.257,2954.257,12954.257
20161017,Hold,128.68,0,0,0,12954.257,2954.257,12954.257
20161018,Buy,128.74,100,-12880.437,100,73.82,2947.82,12947.82
20161019,Hold,130.07,0,0,100,73.82,3080.82,13080.82
20161020,Hold,129.78,0,0,100,73.82,3051.82,13051.82
20161021,Hold,132.72,0,0,100,73.82,3345.82,13345.82
20161024,Hold,133.5,0,0,100,73.82,3423.82,13423.82
20161025,Hold,131.64,0,0,100,73.82,3237.82,13237.82
20161026,Sell,131.74,-100,13167.413,0,13241.233,3241.233,13241.233
20161027,Hold,130.5,0,0,0,13241.233,3241.233,13241.233
20161028,Hold,132.01,0,0,0,13241.233,3241.233,13241.233
20161031,Hold,131.41,0,0,0,13241.233,3241.233,13241.233
20161101,Hold,130.23,0,0,0,13241.233,3241.233,13241.233
20161102,Hold,122.0,0,0,0,13241.233,3241.233,13241.233
20161103,Hold,119.59,0,0,0,13241.233,3241.233,13241.233
20161104,Hold,122.83,0,0,0,13241.233,3241.233,13241.233
20161107,Hold,122.03,0,0,0,13241.233,3241.233,13241.233
20161108,Buy,121.5,108,-13128.561,108,112.672,3234.672,13234.672
20161109,Hold,123.93,0,0,108,112.672,3497.112,13497.112
20161110,Sell,119.53,-108,12902.785380000001,0,13015.457,3015.457,13015.457
20161111,Hold,119.126,0,0,0,13015.457,3015.457,13015.457
20161114,Hold,116.73,0,0,0,13015.457,3015.457,13015.457
20161115,Hold,114.48,0,0,0,13015.457,3015.457,13015.457
20161116,Hold,116.81,0,0,0,13015.457,3015.457,13015.457
20161117,Buy,118.39,109,-12910.962255,109,104.495,3009.005,13009.005
20161118,Hold,118.2,0,0,109,104.495,2988.295,12988.295
20161121,Hold,122.4,0,0,109,104.495,3446.095,13446.095
20161122,Hold,121.23,0,0,109,104.495,3318.565,13318.565
20161123,Hold,121.01,0,0,109,104.495,3294.585,13294.585
20161125,Hold,120.12,0,0,109,104.495,3197.575,13197.575
20161128,Sell,120.57,-109,13135.558935,0,13240.054,3240.054,13240.054
20161129,Hold,120.32,0,0,0,13240.054,3240.054,13240.054
20161130,Hold,118.38,0,0,0,13240.054,3240.054,13240.054
20161201,Hold,115.11,0,0,0,13240.054,3240.054,13240.054
20161202,Hold,115.95,0,0,0,13240.054,3240.054,13240.054
20161205,Hold,117.69,0,0,0,13240.054,3240.054,13240.054
20161206,Buy,117.0,113,-13227.610499999999,113,12.444,3233.444,13233.444
20161207,Hold,117.98,0,0,113,12.444,3344.184,13344.184
20161208,Hold,119.22,0,0,113,12.444,3484.304,13484.304
20161209,Hold,119.22,0,0,113,12.444,3484.304,13484.304
20161212,Sell,117.86,-113,13311.520910000001,0,13323.965,3323.965,13323.965
20161213,Buy,120.0,110,-13206.599999999999,110,117.365,3317.365,13317.365
20161214,Hold,120.08,0,0,110,117.365,3326.165,13326.165
20161215,Hold,120.9,0,0,110,117.365,3416.365,13416.365
20161216,Hold,119.85,0,0,110,117.365,3300.865,13300.865
20161219,Sell,119.5,-110,13138.427500000002,0,13255.792,3255.792,13255.792
20161220,Hold,118.92,0,0,0,13255.792,3255.792,13255.792
20161221,Hold,118.86,0,0,0,13255.792,3255.792,13255.792
20161222,Hold,117.0,0,0,0,13255.792,3255.792,13255.792
20161223,Hold,116.96,0,0,0,13255.792,3255.792,13255.792
20161227,Hold,118.19,0,0,0,13255.792,3255.792,13255.792
20161228,Hold,117.0,0,0,0,13255.792,3255.792,13255.792
20161229,Hold,116.595,0,0,0,13255.792,3255.792,13255.792
