,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,19.65,508,-9987.191099999998,508,12.809,-4.991,9995.009
20200110,Hold,19.95,0,0.0,508,12.809,147.409,10147.409
20200113,Hold,20.13,0,0.0,508,12.809,238.849,10238.849
20200114,Hold,22.27,0,0.0,508,12.809,1325.969,11325.969
20200115,Hold,22.24,0,0.0,508,12.809,1310.729,11310.729
20200116,Hold,24.02,0,0.0,508,12.809,2214.969,12214.969
20200117,Hold,23.02,0,0.0,508,12.809,1706.969,11706.969
20200121,Sell,22.52,-508,11434.43992,0,11447.249,1447.249,11447.249
20200122,Hold,22.57,0,0.0,0,11447.249,1447.249,11447.249
20200123,Hold,22.83,0,0.0,0,11447.249,1447.249,11447.249
20200124,Hold,21.26,0,0.0,0,11447.249,1447.249,11447.249
20200127,Hold,21.91,0,0.0,0,11447.249,1447.249,11447.249
20200128,Hold,22.37,0,0.0,0,11447.249,1447.249,11447.249
20200129,Hold,22.14,0,0.0,0,11447.249,1447.249,11447.249
20200130,Hold,22.37,0,0.0,0,11447.249,1447.249,11447.249
20200131,Hold,22.05,0,0.0,0,11447.249,1447.249,11447.249
20200203,Hold,22.51,0,0.0,0,11447.249,1447.249,11447.249
20200204,Hold,22.7,0,0.0,0,11447.249,1447.249,11447.249
20200205,Hold,22.19,0,0.0,0,11447.249,1447.249,11447.249
20200206,Buy,26.99,423,-11422.478384999999,423,24.77,1441.54,11441.54
20200207,Hold,24.64,0,0.0,423,24.77,447.49,10447.49
20200210,Hold,24.41,0,0.0,423,24.77,350.2,10350.2
20200211,Hold,24.33,0,0.0,423,24.77,316.36,10316.36
20200212,Sell,23.73,-423,10032.771105000002,0,10057.542,57.542,10057.542
20200213,Hold,23.0,0,0.0,0,10057.542,57.542,10057.542
20200214,Hold,23.2,0,0.0,0,10057.542,57.542,10057.542
20200218,Hold,22.81,0,0.0,0,10057.542,57.542,10057.542
20200219,Hold,23.88,0,0.0,0,10057.542,57.542,10057.542
20200220,Hold,23.34,0,0.0,0,10057.542,57.542,10057.542
20200221,Hold,21.24,0,0.0,0,10057.542,57.542,10057.542
20200224,Hold,21.72,0,0.0,0,10057.542,57.542,10057.542
20200225,Hold,20.95,0,0.0,0,10057.542,57.542,10057.542
20200226,Hold,19.71,0,0.0,0,10057.542,57.542,10057.542
20200227,Hold,18.94,0,0.0,0,10057.542,57.542,10057.542
20200228,Hold,19.903,0,0.0,0,10057.542,57.542,10057.542
20200302,Hold,20.0,0,0.0,0,10057.542,57.542,10057.542
20200303,Hold,19.65,0,0.0,0,10057.542,57.542,10057.542
20200304,Hold,19.43,0,0.0,0,10057.542,57.542,10057.542
20200305,Hold,18.5,0,0.0,0,10057.542,57.542,10057.542
20200306,Hold,17.0,0,0.0,0,10057.542,57.542,10057.542
20200309,Hold,16.96,0,0.0,0,10057.542,57.542,10057.542
20200310,Hold,16.16,0,0.0,0,10057.542,57.542,10057.542
20200311,Hold,13.81,0,0.0,0,10057.542,57.542,10057.542
20200312,Hold,14.14,0,0.0,0,10057.542,57.542,10057.542
20200313,Hold,12.82,0,0.0,0,10057.542,57.542,10057.542
20200316,Hold,11.65,0,0.0,0,10057.542,57.542,10057.542
20200317,Hold,11.55,0,0.0,0,10057.542,57.542,10057.542
20200318,Hold,10.6,0,0.0,0,10057.542,57.542,10057.542
20200319,Hold,13.13,0,0.0,0,10057.542,57.542,10057.542
20200320,Hold,12.12,0,0.0,0,10057.542,57.542,10057.542
20200323,Buy,13.46,746,-10046.18058,746,11.361,52.521,10052.521
20200324,Hold,14.6,0,0.0,746,11.361,902.961,10902.961
20200325,Hold,14.0,0,0.0,746,11.361,455.361,10455.361
20200326,Hold,14.6,0,0.0,746,11.361,902.961,10902.961
20200327,Hold,14.88,0,0.0,746,11.361,1111.841,11111.841
20200330,Hold,15.42,0,0.0,746,11.361,1514.681,11514.681
20200331,Hold,14.6,0,0.0,746,11.361,902.961,10902.961
20200401,Sell,14.08,-746,10498.428160000001,0,10509.789,509.789,10509.789
20200402,Hold,13.56,0,0.0,0,10509.789,509.789,10509.789
20200403,Hold,14.62,0,0.0,0,10509.789,509.789,10509.789
20200406,Buy,15.75,666,-10494.74475,666,15.044,504.544,10504.544
