,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,48.55,0,0,0,10000,0.0,10000.0
20210112,Hold,48.09,0,0,0,10000,0.0,10000.0
20210113,Hold,47.66,0,0,0,10000,0.0,10000.0
20210114,Hold,46.1,0,0,0,10000,0.0,10000.0
20210115,Hold,45.59,0,0,0,10000,0.0,10000.0
20210119,Buy,46.23,216,-9990.672839999997,216,9.327,-4.993,9995.007
20210120,Hold,47.73,0,0,216,9.327,319.007,10319.007
20210121,Hold,46.9,0,0,216,9.327,139.727,10139.727
20210122,Hold,48.44,0,0,216,9.327,472.367,10472.367
20210125,Hold,48.13,0,0,216,9.327,405.407,10405.407
20210126,Hold,50.64,0,0,216,9.327,947.567,10947.567
20210127,Hold,49.49,0,0,216,9.327,699.167,10699.167
20210128,Hold,51.02,0,0,216,9.327,1029.647,11029.647
20210129,Hold,51.2,0,0,216,9.327,1068.527,11068.527
20210201,Hold,52.865,0,0,216,9.327,1428.167,11428.167
20210202,Hold,54.56,0,0,216,9.327,1794.287,11794.287
20210203,Hold,54.79,0,0,216,9.327,1843.967,11843.967
20210204,Hold,56.02,0,0,216,9.327,2109.647,12109.647
20210205,Hold,57.8,0,0,216,9.327,2494.127,12494.127
20210208,Hold,58.64,0,0,216,9.327,2675.567,12675.567
20210209,Hold,65.8,0,0,216,9.327,4222.127,14222.127
20210210,Hold,67.99,0,0,216,9.327,4695.167,14695.167
20210211,Hold,68.56,0,0,216,9.327,4818.287,14818.287
20210212,Hold,72.19,0,0,216,9.327,5602.367,15602.367
20210216,Hold,73.05,0,0,216,9.327,5788.127,15788.127
20210217,Hold,70.74,0,0,216,9.327,5289.167,15289.167
20210218,Hold,72.97,0,0,216,9.327,5770.847,15770.847
20210219,Hold,71.73,0,0,216,9.327,5503.007,15503.007
20210222,Sell,68.45,-216,14777.807400000002,0,14787.135,4787.135,14787.135
20210223,Buy,73.1,202,-14773.583099999998,202,13.551,4779.751,14779.751
20210224,Hold,78.15,0,0,202,13.551,5799.851,15799.851
20210225,Hold,76.87,0,0,202,13.551,5541.291,15541.291
20210226,Hold,78.36,0,0,202,13.551,5842.271,15842.271
20210301,Hold,76.61,0,0,202,13.551,5488.771,15488.771
20210302,Sell,74.01,-202,14942.544990000002,0,14956.096,4956.096,14956.096
20210303,Hold,70.61,0,0,0,14956.096,4956.096,14956.096
20210304,Hold,67.67,0,0,0,14956.096,4956.096,14956.096
20210305,Hold,67.4,0,0,0,14956.096,4956.096,14956.096
20210308,Hold,65.725,0,0,0,14956.096,4956.096,14956.096
20210309,Buy,69.4565,215,-14940.61407375,215,15.482,4948.63,14948.63
20210310,Sell,66.37,-215,14262.415225000002,0,14277.898,4277.898,14277.898
20210311,Buy,67.72,210,-14228.310599999999,210,49.587,4270.787,14270.787
20210312,Hold,68.24,0,0,210,49.587,4379.987,14379.987
20210315,Hold,71.07,0,0,210,49.587,4974.287,14974.287
20210316,Hold,68.32,0,0,210,49.587,4396.787,14396.787
20210317,Hold,69.21,0,0,210,49.587,4583.687,14583.687
20210318,Sell,67.11,-210,14086.053450000001,0,14135.64,4135.64,14135.64
20210319,Hold,66.89,0,0,0,14135.64,4135.64,14135.64
20210322,Hold,65.15,0,0,0,14135.64,4135.64,14135.64
20210323,Hold,64.95,0,0,0,14135.64,4135.64,14135.64
20210324,Hold,60.2,0,0,0,14135.64,4135.64,14135.64
20210325,Hold,61.52,0,0,0,14135.64,4135.64,14135.64
20210326,Hold,62.0,0,0,0,14135.64,4135.64,14135.64
20210329,Buy,62.3,226,-14086.839899999999,226,48.801,4128.601,14128.601
20210330,Hold,63.98,0,0,226,48.801,4508.281,14508.281
20210331,Hold,64.68,0,0,226,48.801,4666.481,14666.481
20210401,Hold,64.14,0,0,226,48.801,4544.441,14544.441
20210405,Hold,64.67,0,0,226,48.801,4664.221,14664.221
20210406,Hold,66.64,0,0,226,48.801,5109.441,15109.441
20210407,Hold,69.91,0,0,226,48.801,5848.461,15848.461
20210408,Hold,70.35,0,0,226,48.801,5947.901,15947.901
20210409,Hold,70.87,0,0,226,48.801,6065.421,16065.421
20210412,Hold,71.72,0,0,226,48.801,6257.521,16257.521
20210413,Hold,72.51,0,0,226,48.801,6436.061,16436.061
20210414,Sell,70.55,-226,15936.32785,0,15985.128,5985.128,15985.128
20210415,Buy,71.97,221,-15913.322684999997,221,71.806,5977.176,15977.176
20210416,Sell,69.62,-221,15378.326990000001,0,15450.133,5450.133,15450.133
20210419,Hold,68.01,0,0,0,15450.133,5450.133,15450.133
20210420,Hold,65.73,0,0,0,15450.133,5450.133,15450.133
20210421,Hold,67.42,0,0,0,15450.133,5450.133,15450.133
20210422,Hold,65.72,0,0,0,15450.133,5450.133,15450.133
20210423,Buy,66.49,232,-15433.392839999997,232,16.74,5442.42,15442.42
20210426,Hold,67.14,0,0,232,16.74,5593.22,15593.22
20210427,Sell,65.55,-232,15199.9962,0,15216.736,5216.736,15216.736
20210428,Hold,67.01,0,0,0,15216.736,5216.736,15216.736
20210429,Hold,56.0,0,0,0,15216.736,5216.736,15216.736
20210430,Hold,55.52,0,0,0,15216.736,5216.736,15216.736
20210503,Hold,55.07,0,0,0,15216.736,5216.736,15216.736
20210504,Hold,54.95,0,0,0,15216.736,5216.736,15216.736
20210505,Hold,53.48,0,0,0,15216.736,5216.736,15216.736
20210506,Hold,54.77,0,0,0,15216.736,5216.736,15216.736
20210507,Hold,53.01,0,0,0,15216.736,5216.736,15216.736
20210510,Hold,49.52,0,0,0,15216.736,5216.736,15216.736
20210511,Hold,51.87,0,0,0,15216.736,5216.736,15216.736
20210512,Hold,51.675,0,0,0,15216.736,5216.736,15216.736
20210513,Hold,50.61,0,0,0,15216.736,5216.736,15216.736
20210514,Buy,52.23,291,-15206.529464999998,291,10.207,5209.137,15209.137
20210517,Hold,52.6,0,0,291,10.207,5316.807,15316.807
20210518,Hold,52.19,0,0,291,10.207,5197.497,15197.497
20210519,Hold,53.23,0,0,291,10.207,5500.137,15500.137
20210520,Hold,55.0,0,0,291,10.207,6015.207,16015.207
20210521,Hold,54.9,0,0,291,10.207,5986.107,15986.107
20210524,Hold,57.35,0,0,291,10.207,6699.057,16699.057
20210525,Hold,57.365,0,0,291,10.207,6703.422,16703.422
20210526,Hold,57.64,0,0,291,10.207,6783.447,16783.447
20210527,Hold,58.2,0,0,291,10.207,6946.407,16946.407
20210528,Hold,58.2,0,0,291,10.207,6946.407,16946.407
20210601,Hold,57.28,0,0,291,10.207,6678.687,16678.687
20210602,Hold,56.96,0,0,291,10.207,6585.567,16585.567
20210603,Hold,57.41,0,0,291,10.207,6716.517,16716.517
20210604,Hold,58.62,0,0,291,10.207,7068.627,17068.627
20210607,Hold,59.79,0,0,291,10.207,7409.097,17409.097
20210608,Hold,59.59,0,0,291,10.207,7350.897,17350.897
20210609,Hold,59.8,0,0,291,10.207,7412.007,17412.007
20210610,Hold,59.95,0,0,291,10.207,7455.657,17455.657
20210611,Hold,60.85,0,0,291,10.207,7717.557,17717.557
20210614,Hold,61.09,0,0,291,10.207,7787.397,17787.397
20210615,Hold,60.12,0,0,291,10.207,7505.127,17505.127
20210616,Hold,59.61,0,0,291,10.207,7356.717,17356.717
20210617,Hold,60.2,0,0,291,10.207,7528.407,17528.407
20210618,Hold,60.85,0,0,291,10.207,7717.557,17717.557
20210621,Hold,61.92,0,0,291,10.207,8028.927,18028.927
20210622,Hold,63.91,0,0,291,10.207,8608.017,18608.017
20210623,Hold,66.75,0,0,291,10.207,9434.457,19434.457
20210624,Hold,68.29,0,0,291,10.207,9882.597,19882.597
20210625,Hold,68.16,0,0,291,10.207,9844.767,19844.767
20210628,Hold,68.28,0,0,291,10.207,9879.687,19879.687
20210629,Hold,68.76,0,0,291,10.207,10019.367,20019.367
20210630,Hold,68.57,0,0,291,10.207,9964.077,19964.077
20210701,Hold,68.71,0,0,291,10.207,10004.817,20004.817
20210702,Hold,69.35,0,0,291,10.207,10191.057,20191.057
20210706,Hold,70.63,0,0,291,10.207,10563.537,20563.537
20210707,Hold,67.0,0,0,291,10.207,9507.207,19507.207
20210708,Sell,67.07,-291,19507.611315,0,19517.818,9517.818,19517.818
20210709,Buy,69.46,280,-19458.5244,280,59.294,9508.094,19508.094
20210712,Hold,69.54,0,0,280,59.294,9530.494,19530.494
20210713,Hold,70.42,0,0,280,59.294,9776.894,19776.894
20210714,Hold,70.14,0,0,280,59.294,9698.494,19698.494
20210715,Sell,68.56,-280,19187.2016,0,19246.495,9246.495,19246.495
20210716,Hold,65.24,0,0,0,19246.495,9246.495,19246.495
20210719,Hold,66.25,0,0,0,19246.495,9246.495,19246.495
20210720,Buy,67.59,284,-19205.15778,284,41.337,9236.897,19236.897
20210721,Hold,68.64,0,0,284,41.337,9535.097,19535.097
20210722,Hold,72.2,0,0,284,41.337,10546.137,20546.137
20210723,Hold,71.25,0,0,284,41.337,10276.337,20276.337
20210726,Hold,68.32,0,0,284,41.337,9444.217,19444.217
20210727,Sell,68.39,-284,19413.048619999998,0,19454.386,9454.386,19454.386
20210728,Buy,69.5,279,-19400.19525,279,54.191,9444.691,19444.691
20210729,Hold,69.83,0,0,279,54.191,9536.761,19536.761
20210730,Hold,70.23,0,0,279,54.191,9648.361,19648.361
20210802,Sell,69.87,-279,19483.983135000002,0,19538.174,9538.174,19538.174
20210803,Hold,68.68,0,0,0,19538.174,9538.174,19538.174
20210804,Hold,68.85,0,0,0,19538.174,9538.174,19538.174
20210805,Hold,69.3,0,0,0,19538.174,9538.174,19538.174
20210806,Hold,67.5,0,0,0,19538.174,9538.174,19538.174
20210809,Hold,67.2,0,0,0,19538.174,9538.174,19538.174
20210810,Hold,65.79,0,0,0,19538.174,9538.174,19538.174
20210811,Hold,64.81,0,0,0,19538.174,9538.174,19538.174
20210812,Hold,64.99,0,0,0,19538.174,9538.174,19538.174
20210813,Hold,64.34,0,0,0,19538.174,9538.174,19538.174
20210816,Hold,63.34,0,0,0,19538.174,9538.174,19538.174
