,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,297.45,33,-9820.757925,33,179.242,-4.908,9995.092
20170111,Hold,298.05,0,0.0,33,179.242,14.892,10014.892
20170112,Hold,297.31,0,0.0,33,179.242,-9.528,9990.472
20170113,Hold,294.02,0,0.0,33,179.242,-118.098,9881.902
20170117,Hold,306.15,0,0.0,33,179.242,282.192,10282.192
20170118,Hold,302.93,0,0.0,33,179.242,175.932,10175.932
20170119,Hold,307.64,0,0.0,33,179.242,331.362,10331.362
20170120,Hold,307.2,0,0.0,33,179.242,316.842,10316.842
20170123,Hold,309.74,0,0.0,33,179.242,400.662,10400.662
20170124,Hold,309.15,0,0.0,33,179.242,381.192,10381.192
20170125,Hold,333.37,0,0.0,33,179.242,1180.452,11180.452
20170126,Hold,332.92,0,0.0,33,179.242,1165.602,11165.602
20170127,Hold,323.48,0,0.0,33,179.242,854.082,10854.082
20170130,Hold,322.65,0,0.0,33,179.242,826.692,10826.692
20170131,Hold,323.85,0,0.0,33,179.242,866.292,10866.292
20170201,Sell,325.64,-33,10740.746939999999,0,10919.989,919.989,10919.989
20170202,Hold,325.43,0,0.0,0,10919.989,919.989,10919.989
20170203,Buy,327.83,33,-10823.799195,33,96.19,914.58,10914.58
20170206,Sell,322.98,-33,10653.010830000001,0,10749.201,749.201,10749.201
20170207,Hold,323.55,0,0.0,0,10749.201,749.201,10749.201
20170208,Buy,325.84,32,-10432.093439999999,32,317.107,743.987,10743.987
20170209,Sell,325.07,-32,10397.03888,0,10714.146,714.146,10714.146
20170210,Buy,325.0,32,-10405.199999999999,32,308.946,708.946,10708.946
20170213,Sell,321.91,-32,10295.96944,0,10604.916,604.916,10604.916
20170214,Hold,321.85,0,0.0,0,10604.916,604.916,10604.916
20170215,Buy,320.0,33,-10565.279999999999,33,39.636,599.636,10599.636
20170216,Hold,323.87,0,0.0,33,39.636,727.346,10727.346
20170217,Hold,324.3,0,0.0,33,39.636,741.536,10741.536
20170221,Hold,323.3,0,0.0,33,39.636,708.536,10708.536
20170222,Sell,326.09,-33,10755.589515,0,10795.225,795.225,10795.225
20170223,Hold,324.38,0,0.0,0,10795.225,795.225,10795.225
20170224,Buy,326.92,33,-10793.75418,33,1.471,789.831,10789.831
20170227,Hold,326.03,0,0.0,33,1.471,760.461,10760.461
20170228,Sell,325.76,-33,10744.704960000001,0,10746.176,746.176,10746.176
20170301,Hold,324.68,0,0.0,0,10746.176,746.176,10746.176
20170302,Hold,323.57,0,0.0,0,10746.176,746.176,10746.176
20170303,Hold,321.26,0,0.0,0,10746.176,746.176,10746.176
20170306,Buy,323.91,33,-10694.374515,33,51.801,740.831,10740.831
20170307,Sell,323.17,-33,10659.277695,0,10711.079,711.079,10711.079
20170308,Hold,322.87,0,0.0,0,10711.079,711.079,10711.079
20170309,Buy,325.57,32,-10423.44912,32,287.63,705.87,10705.87
20170310,Hold,323.93,0,0.0,32,287.63,653.39,10653.39
20170313,Hold,323.69,0,0.0,32,287.63,645.71,10645.71
20170314,Hold,324.84,0,0.0,32,287.63,682.51,10682.51
20170315,Hold,324.69,0,0.0,32,287.63,677.71,10677.71
20170316,Sell,324.95,-32,10393.2008,0,10680.831,680.831,10680.831
20170317,Buy,326.06,32,-10439.13696,32,241.694,675.614,10675.614
20170320,Sell,325.23,-32,10402.156320000002,0,10643.85,643.85,10643.85
20170321,Hold,321.44,0,0.0,0,10643.85,643.85,10643.85
20170322,Hold,320.5,0,0.0,0,10643.85,643.85,10643.85
20170323,Buy,324.94,32,-10403.27904,32,240.571,638.651,10638.651
20170324,Hold,323.74,0,0.0,32,240.571,600.251,10600.251
20170327,Hold,322.05,0,0.0,32,240.571,546.171,10546.171
20170328,Hold,323.9,0,0.0,32,240.571,605.371,10605.371
20170329,Hold,325.13,0,0.0,32,240.571,644.731,10644.731
20170330,Hold,326.73,0,0.0,32,240.571,695.931,10695.931
20170331,Hold,327.5,0,0.0,32,240.571,720.571,10720.571
20170403,Hold,328.4,0,0.0,32,240.571,749.371,10749.371
20170404,Hold,332.21,0,0.0,32,240.571,871.291,10871.291
20170405,Hold,331.75,0,0.0,32,240.571,856.571,10856.571
20170406,Hold,337.67,0,0.0,32,240.571,1046.011,11046.011
