,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Hold,295.47,0,0,0,10000,0.0,10000.0
20190110,Hold,291.02,0,0,0,10000,0.0,10000.0
20190111,Hold,292.99,0,0,0,10000,0.0,10000.0
20190114,Hold,291.67,0,0,0,10000,0.0,10000.0
20190115,Hold,293.19,0,0,0,10000,0.0,10000.0
20190116,Hold,292.32,0,0,0,10000,0.0,10000.0
20190117,Hold,297.24,0,0,0,10000,0.0,10000.0
20190118,Hold,288.66,0,0,0,10000,0.0,10000.0
20190122,Hold,287.36,0,0,0,10000,0.0,10000.0
20190123,Hold,281.07,0,0,0,10000,0.0,10000.0
20190124,Hold,290.0,0,0,0,10000,0.0,10000.0
20190125,Buy,289.38,34,-9843.83946,34,156.161,-4.919,9995.081
20190128,Hold,290.7,0,0,34,156.161,39.961,10039.961
20190129,Hold,289.57,0,0,34,156.161,1.541,10001.541
20190130,Hold,320.01,0,0,34,156.161,1036.501,11036.501
20190131,Hold,331.87,0,0,34,156.161,1439.741,11439.741
20190201,Hold,338.65,0,0,34,156.161,1670.261,11670.261
20190204,Hold,337.71,0,0,34,156.161,1638.301,11638.301
20190205,Hold,340.0,0,0,34,156.161,1716.161,11716.161
20190206,Hold,340.18,0,0,34,156.161,1722.281,11722.281
20190207,Hold,341.36,0,0,34,156.161,1762.401,11762.401
20190208,Hold,343.32,0,0,34,156.161,1829.041,11829.041
20190211,Sell,341.04,-34,11589.56232,0,11745.723,1745.723,11745.723
20190212,Hold,340.6,0,0,0,11745.723,1745.723,11745.723
20190213,Hold,336.36,0,0,0,11745.723,1745.723,11745.723
20190214,Buy,344.69,34,-11725.31973,34,20.403,1739.863,11739.863
20190215,Hold,347.67,0,0,34,20.403,1841.183,11841.183
20190219,Hold,349.3,0,0,34,20.403,1896.603,11896.603
20190220,Hold,348.28,0,0,34,20.403,1861.923,11861.923
20190221,Hold,350.92,0,0,34,20.403,1951.683,11951.683
20190222,Sell,352.34,-34,11973.57022,0,11993.973,1993.973,11993.973
20190225,Hold,348.83,0,0,0,11993.973,1993.973,11993.973
20190226,Hold,344.59,0,0,0,11993.973,1993.973,11993.973
20190227,Hold,345.16,0,0,0,11993.973,1993.973,11993.973
20190228,Hold,347.52,0,0,0,11993.973,1993.973,11993.973
20190301,Hold,348.88,0,0,0,11993.973,1993.973,11993.973
20190304,Hold,345.22,0,0,0,11993.973,1993.973,11993.973
20190305,Hold,344.78,0,0,0,11993.973,1993.973,11993.973
20190306,Hold,339.81,0,0,0,11993.973,1993.973,11993.973
20190307,Hold,337.4,0,0,0,11993.973,1993.973,11993.973
20190308,Hold,337.69,0,0,0,11993.973,1993.973,11993.973
