,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,24.195,0,0,0,10000,0.0,10000.0
20160112,Hold,24.563,0,0,0,10000,0.0,10000.0
20160113,Hold,23.723,0,0,0,10000,0.0,10000.0
20160114,Buy,23.617,423,-9994.9859955,423,5.014,-4.995,9995.005
20160115,Sell,24.284,-423,10266.995934,0,10272.01,272.01,10272.01
20160119,Hold,23.913,0,0,0,10272.01,272.01,10272.01
20160120,Hold,23.752,0,0,0,10272.01,272.01,10272.01
20160121,Buy,24.595,417,-10261.2430575,417,10.767,266.882,10266.882
20160122,Hold,24.4,0,0,417,10.767,185.567,10185.567
20160125,Sell,23.952,-417,9982.990008,0,9993.757,-6.243,9993.757
20160126,Buy,24.334,410,-9981.92847,410,11.828,-11.232,9988.768
20160127,Sell,24.136,-410,9890.81212,0,9902.641,-97.359,9902.641
20160128,Hold,24.249,0,0,0,9902.641,-97.359,9902.641
20160129,Buy,24.397,405,-9885.725392499999,405,16.915,-102.3,9897.7
20160201,Hold,24.321,0,0,405,16.915,-133.08,9866.92
20160202,Hold,25.118,0,0,405,16.915,189.705,10189.705
20160203,Hold,25.775,0,0,405,16.915,455.79,10455.79
20160204,Hold,25.787,0,0,405,16.915,460.65,10460.65
20160205,Hold,26.207,0,0,405,16.915,630.75,10630.75
20160208,Hold,25.87,0,0,405,16.915,494.265,10494.265
20160209,Sell,25.743,-405,10420.7020425,0,10437.617,437.617,10437.617
20160210,Hold,24.303,0,0,0,10437.617,437.617,10437.617
20160211,Hold,25.178,0,0,0,10437.617,437.617,10437.617
20160212,Hold,25.608,0,0,0,10437.617,437.617,10437.617
20160216,Buy,25.573,407,-10413.415105499998,407,24.202,432.413,10432.413
20160217,Hold,25.446,0,0,407,24.202,380.724,10380.724
20160218,Hold,25.251,0,0,407,24.202,301.359,10301.359
20160219,Hold,25.793,0,0,407,24.202,521.953,10521.953
20160222,Hold,25.596,0,0,407,24.202,441.774,10441.774
20160223,Sell,25.278,-407,10283.001927,0,10307.204,307.204,10307.204
20160224,Buy,25.765,399,-10285.3751175,399,21.829,302.064,10302.064
20160225,Hold,26.037,0,0,399,21.829,410.592,10410.592
20160226,Sell,25.758,-399,10272.303279,0,10294.132,294.132,10294.132
20160229,Hold,25.793,0,0,0,10294.132,294.132,10294.132
20160301,Buy,26.121,393,-10270.685776499999,393,23.446,288.999,10288.999
20160302,Hold,26.336,0,0,393,23.446,373.494,10373.494
20160303,Hold,26.576,0,0,393,23.446,467.814,10467.814
20160304,Hold,26.235,0,0,393,23.446,333.801,10333.801
