,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,50.082,199,-9971.301158999999,199,28.699,-4.983,9995.017
20210112,Sell,48.452,-199,9637.127026,0,9665.826,-334.174,9665.826
20210113,Hold,48.978,0,0.0,0,9665.826,-334.174,9665.826
20210114,Hold,48.051,0,0.0,0,9665.826,-334.174,9665.826
20210115,Hold,47.524,0,0.0,0,9665.826,-334.174,9665.826
20210119,Hold,47.836,0,0.0,0,9665.826,-334.174,9665.826
20210120,Hold,47.357,0,0.0,0,9665.826,-334.174,9665.826
20210121,Buy,47.69,202,-9638.196689999999,202,27.629,-338.991,9661.009
20210122,Hold,47.357,0,0.0,202,27.629,-406.257,9593.743
20210125,Hold,47.993,0,0.0,202,27.629,-277.785,9722.215
20210126,Hold,48.303,0,0.0,202,27.629,-215.165,9784.835
20210127,Sell,48.822,-202,9857.112978000001,0,9884.742,-115.258,9884.742
20210128,Buy,49.124,201,-9878.860962,201,5.881,-120.195,9879.805
20210129,Sell,48.686,-201,9780.993057000001,0,9786.874,-213.126,9786.874
20210201,Buy,49.164,198,-9739.339236,198,47.535,-217.993,9782.007
20210202,Hold,50.043,0,0.0,198,47.535,-43.951,9956.049
20210203,Sell,49.144,-198,9725.646744,0,9773.182,-226.818,9773.182
20210204,Buy,50.642,192,-9728.125632000001,192,45.056,-231.68,9768.32
20210205,Hold,49.857,0,0.0,192,45.056,-382.4,9617.6
20210208,Hold,50.774,0,0.0,192,45.056,-206.336,9793.664
20210209,Hold,51.791,0,0.0,192,45.056,-11.072,9988.928
20210210,Hold,51.673,0,0.0,192,45.056,-33.728,9966.272
20210211,Hold,52.064,0,0.0,192,45.056,41.344,10041.344
20210212,Hold,51.751,0,0.0,192,45.056,-18.752,9981.248
20210216,Sell,51.487,-192,9880.561248000002,0,9925.617,-74.383,9925.617
20210217,Hold,51.44,0,0.0,0,9925.617,-74.383,9925.617
20210218,Hold,51.175,0,0.0,0,9925.617,-74.383,9925.617
20210219,Hold,50.746,0,0.0,0,9925.617,-74.383,9925.617
20210222,Buy,51.556,192,-9903.701375999999,192,21.916,-79.332,9920.668
20210223,Hold,51.331,0,0.0,192,21.916,-122.532,9877.468
20210224,Hold,51.839,0,0.0,192,21.916,-24.996,9975.004
20210225,Sell,51.039,-192,9794.588256000001,0,9816.504,-183.496,9816.504
20210226,Buy,51.966,188,-9774.492804,188,42.011,-188.381,9811.619
20210301,Hold,53.031,0,0.0,188,42.011,11.839,10011.839
20210302,Hold,52.653,0,0.0,188,42.011,-59.225,9940.775
20210303,Hold,52.551,0,0.0,188,42.011,-78.401,9921.599
20210304,Hold,53.402,0,0.0,188,42.011,81.587,10081.587
20210305,Hold,53.528,0,0.0,188,42.011,105.275,10105.275
