,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,32.9,303,-9973.684349999998,303,26.316,-4.984,9995.016
20140110,Sell,33.06,-303,10012.17141,0,10038.487,38.487,10038.487
20140113,Hold,32.66,0,0.0,0,10038.487,38.487,10038.487
20140114,Hold,33.0,0,0.0,0,10038.487,38.487,10038.487
20140115,Hold,32.5,0,0.0,0,10038.487,38.487,10038.487
20140116,Hold,33.52,0,0.0,0,10038.487,38.487,10038.487
20140117,Buy,32.99,304,-10033.97448,304,4.513,33.473,10033.473
20140121,Hold,33.25,0,0.0,304,4.513,112.513,10112.513
20140122,Hold,33.14,0,0.0,304,4.513,79.073,10079.073
20140123,Sell,32.5,-304,9875.060000000001,0,9879.573,-120.427,9879.573
20140124,Hold,31.58,0,0.0,0,9879.573,-120.427,9879.573
20140127,Hold,31.8,0,0.0,0,9879.573,-120.427,9879.573
20140128,Hold,31.29,0,0.0,0,9879.573,-120.427,9879.573
20140129,Hold,32.17,0,0.0,0,9879.573,-120.427,9879.573
20140130,Hold,30.42,0,0.0,0,9879.573,-120.427,9879.573
20140131,Hold,30.45,0,0.0,0,9879.573,-120.427,9879.573
20140203,Hold,29.78,0,0.0,0,9879.573,-120.427,9879.573
20140204,Hold,29.95,0,0.0,0,9879.573,-120.427,9879.573
20140205,Buy,31.24,316,-9876.77592,316,2.797,-125.363,9874.637
20140206,Sell,29.75,-316,9396.299500000001,0,9399.096,-600.904,9399.096
20140207,Buy,30.3,310,-9397.6965,310,1.4,-605.6,9394.4
20140210,Hold,30.23,0,0.0,310,1.4,-627.3,9372.7
20140211,Hold,30.42,0,0.0,310,1.4,-568.4,9431.6
20140212,Hold,30.26,0,0.0,310,1.4,-618.0,9382.0
20140213,Hold,30.93,0,0.0,310,1.4,-410.3,9589.7
20140214,Hold,31.39,0,0.0,310,1.4,-267.7,9732.3
20140218,Hold,30.93,0,0.0,310,1.4,-410.3,9589.7
20140219,Hold,31.2,0,0.0,310,1.4,-326.6,9673.4
20140220,Hold,31.89,0,0.0,310,1.4,-112.7,9887.3
20140221,Hold,32.18,0,0.0,310,1.4,-22.8,9977.2
20140224,Hold,32.2,0,0.0,310,1.4,-16.6,9983.4
20140225,Sell,30.51,-310,9453.37095,0,9454.771,-545.229,9454.771
20140226,Hold,30.47,0,0.0,0,9454.771,-545.229,9454.771
20140227,Hold,30.81,0,0.0,0,9454.771,-545.229,9454.771
20140228,Hold,30.26,0,0.0,0,9454.771,-545.229,9454.771
20140303,Buy,30.98,305,-9453.62445,305,1.146,-549.954,9450.046
20140304,Hold,31.75,0,0.0,305,1.146,-315.104,9684.896
20140305,Hold,31.92,0,0.0,305,1.146,-263.254,9736.746
20140306,Hold,31.52,0,0.0,305,1.146,-385.254,9614.746
20140307,Sell,30.75,-305,9374.060625,0,9375.207,-624.793,9375.207
20140310,Hold,31.3,0,0.0,0,9375.207,-624.793,9375.207
20140311,Buy,31.11,301,-9368.792055,301,6.415,-629.475,9370.525
20140312,Hold,31.87,0,0.0,301,6.415,-400.715,9599.285
20140313,Hold,31.19,0,0.0,301,6.415,-605.395,9394.605
