,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,24.536,407,-9991.145075999999,407,8.855,-4.993,9995.007
20190110,Hold,24.821,0,0.0,407,8.855,111.002,10111.002
20190111,Hold,25.068,0,0.0,407,8.855,211.531,10211.531
20190114,Sell,24.92,-407,10137.36878,0,10146.224,146.224,10146.224
20190115,Buy,24.927,406,-10125.422180999998,406,20.802,141.164,10141.164
20190116,Sell,24.944,-406,10122.200368,0,10143.002,143.002,10143.002
20190117,Hold,25.279,0,0.0,0,10143.002,143.002,10143.002
20190118,Buy,25.246,401,-10128.707822999999,401,14.294,137.94,10137.94
20190122,Sell,25.083,-401,10053.2538585,0,10067.548,67.548,10067.548
20190123,Buy,25.132,400,-10057.8264,400,9.722,62.522,10062.522
20190124,Sell,25.049,-400,10014.5902,0,10024.312,24.312,10024.312
20190125,Hold,25.042,0,0.0,0,10024.312,24.312,10024.312
20190128,Hold,25.0,0,0.0,0,10024.312,24.312,10024.312
20190129,Hold,24.464,0,0.0,0,10024.312,24.312,10024.312
20190130,Hold,24.088,0,0.0,0,10024.312,24.312,10024.312
20190131,Hold,24.666,0,0.0,0,10024.312,24.312,10024.312
20190201,Hold,24.521,0,0.0,0,10024.312,24.312,10024.312
20190204,Hold,24.226,0,0.0,0,10024.312,24.312,10024.312
20190205,Hold,24.25,0,0.0,0,10024.312,24.312,10024.312
20190206,Hold,24.119,0,0.0,0,10024.312,24.312,10024.312
20190207,Hold,24.005,0,0.0,0,10024.312,24.312,10024.312
20190208,Buy,24.152,414,-10003.927463999999,414,20.384,19.312,10019.312
20190211,Hold,24.373,0,0.0,414,20.384,110.806,10110.806
20190212,Hold,24.34,0,0.0,414,20.384,97.144,10097.144
20190213,Hold,24.25,0,0.0,414,20.384,59.884,10059.884
20190214,Hold,24.521,0,0.0,414,20.384,172.078,10172.078
20190215,Hold,24.871,0,0.0,414,20.384,316.978,10316.978
20190219,Hold,25.02,0,0.0,414,20.384,378.664,10378.664
20190220,Hold,25.198,0,0.0,414,20.384,452.356,10452.356
20190221,Hold,25.271,0,0.0,414,20.384,482.578,10482.578
20190222,Hold,25.516,0,0.0,414,20.384,584.008,10584.008
20190225,Hold,25.425,0,0.0,414,20.384,546.334,10546.334
20190226,Hold,25.5,0,0.0,414,20.384,577.384,10577.384
20190227,Sell,25.362,-414,10494.618065999999,0,10515.002,515.002,10515.002
20190228,Hold,25.474,0,0.0,0,10515.002,515.002,10515.002
20190301,Hold,25.271,0,0.0,0,10515.002,515.002,10515.002
20190304,Hold,24.512,0,0.0,0,10515.002,515.002,10515.002
20190305,Hold,24.495,0,0.0,0,10515.002,515.002,10515.002
20190306,Hold,24.381,0,0.0,0,10515.002,515.002,10515.002
20190307,Hold,24.373,0,0.0,0,10515.002,515.002,10515.002
20190308,Buy,24.479,429,-10506.7417455,429,8.261,509.752,10509.752
20190311,Hold,24.7,0,0.0,429,8.261,604.561,10604.561
20190312,Hold,24.724,0,0.0,429,8.261,614.857,10614.857
20190313,Hold,24.724,0,0.0,429,8.261,614.857,10614.857
20190314,Hold,24.913,0,0.0,429,8.261,695.938,10695.938
20190315,Hold,25.049,0,0.0,429,8.261,754.282,10754.282
20190318,Hold,25.206,0,0.0,429,8.261,821.635,10821.635
20190319,Hold,24.976,0,0.0,429,8.261,722.965,10722.965
20190320,Hold,24.864,0,0.0,429,8.261,674.917,10674.917
