,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,33.946,294,-9985.114061999999,294,14.886,-4.99,9995.01
20150112,Hold,34.283,0,0.0,294,14.886,94.088,10094.088
20150113,Hold,33.841,0,0.0,294,14.886,-35.86,9964.14
20150114,Hold,34.11,0,0.0,294,14.886,43.226,10043.226
20150115,Hold,34.017,0,0.0,294,14.886,15.884,10015.884
20150116,Hold,34.714,0,0.0,294,14.886,220.802,10220.802
20150120,Hold,34.563,0,0.0,294,14.886,176.408,10176.408
20150121,Hold,34.729,0,0.0,294,14.886,225.212,10225.212
20150122,Sell,34.563,-294,10156.441239000002,0,10171.327,171.327,10171.327
20150123,Hold,33.914,0,0.0,0,10171.327,171.327,10171.327
20150126,Hold,33.648,0,0.0,0,10171.327,171.327,10171.327
20150127,Hold,33.796,0,0.0,0,10171.327,171.327,10171.327
20150128,Hold,33.078,0,0.0,0,10171.327,171.327,10171.327
20150129,Hold,33.078,0,0.0,0,10171.327,171.327,10171.327
20150130,Hold,33.342,0,0.0,0,10171.327,171.327,10171.327
20150202,Buy,34.135,297,-10143.164047499999,297,28.163,166.258,10166.258
20150203,Hold,34.403,0,0.0,297,28.163,245.854,10245.854
20150204,Hold,34.682,0,0.0,297,28.163,328.717,10328.717
20150205,Hold,34.822,0,0.0,297,28.163,370.297,10370.297
20150206,Hold,35.398,0,0.0,297,28.163,541.369,10541.369
20150209,Hold,35.547,0,0.0,297,28.163,585.622,10585.622
20150210,Hold,35.645,0,0.0,297,28.163,614.728,10614.728
20150211,Hold,36.006,0,0.0,297,28.163,721.945,10721.945
20150212,Hold,35.66,0,0.0,297,28.163,619.183,10619.183
20150213,Sell,35.381,-297,10502.9029215,0,10531.066,531.066,10531.066
20150217,Hold,35.524,0,0.0,0,10531.066,531.066,10531.066
20150218,Hold,35.185,0,0.0,0,10531.066,531.066,10531.066
20150219,Hold,35.248,0,0.0,0,10531.066,531.066,10531.066
20150220,Hold,35.32,0,0.0,0,10531.066,531.066,10531.066
20150223,Hold,35.128,0,0.0,0,10531.066,531.066,10531.066
20150224,Buy,35.627,295,-10515.219982499999,295,15.846,525.811,10525.811
20150225,Hold,35.407,0,0.0,295,15.846,460.911,10460.911
20150226,Hold,35.524,0,0.0,295,15.846,495.426,10495.426
20150227,Hold,35.452,0,0.0,295,15.846,474.186,10474.186
20150302,Hold,35.691,0,0.0,295,15.846,544.691,10544.691
20150303,Hold,35.771,0,0.0,295,15.846,568.291,10568.291
20150304,Sell,35.516,-295,10471.98139,0,10487.827,487.827,10487.827
20150305,Hold,34.997,0,0.0,0,10487.827,487.827,10487.827
20150306,Hold,34.832,0,0.0,0,10487.827,487.827,10487.827
20150309,Hold,34.723,0,0.0,0,10487.827,487.827,10487.827
20150310,Hold,34.33,0,0.0,0,10487.827,487.827,10487.827
20150311,Hold,34.622,0,0.0,0,10487.827,487.827,10487.827
20150312,Buy,35.012,299,-10473.822294,299,14.005,482.593,10482.593
20150313,Hold,35.335,0,0.0,299,14.005,579.17,10579.17
20150316,Hold,35.372,0,0.0,299,14.005,590.233,10590.233
