,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,148.08,67,-9926.32068,67,73.679,-4.961,9995.039
20210112,Hold,160.81,0,0.0,67,73.679,847.949,10847.949
20210113,Hold,175.54,0,0.0,67,73.679,1834.859,11834.859
20210114,Hold,184.58,0,0.0,67,73.679,2440.539,12440.539
20210115,Hold,173.0,0,0.0,67,73.679,1664.679,11664.679
20210119,Hold,176.01,0,0.0,67,73.679,1866.349,11866.349
20210120,Sell,164.99,-67,11048.802835,0,11122.482,1122.482,11122.482
20210121,Buy,178.09,62,-11047.100789999999,62,75.381,1116.961,11116.961
20210122,Hold,186.05,0,0.0,62,75.381,1610.481,11610.481
20210125,Hold,180.0,0,0.0,62,75.381,1235.381,11235.381
20210126,Hold,187.64,0,0.0,62,75.381,1709.061,11709.061
20210127,Hold,202.6,0,0.0,62,75.381,2636.581,12636.581
20210128,Hold,190.71,0,0.0,62,75.381,1899.401,11899.401
20210129,Sell,187.4803,-62,11617.9667107,0,11693.348,1693.348,11693.348
20210201,Hold,183.22,0,0.0,0,11693.348,1693.348,11693.348
20210202,Hold,181.98,0,0.0,0,11693.348,1693.348,11693.348
20210203,Buy,187.07,62,-11604.13917,62,89.209,1687.549,11687.549
20210204,Hold,197.0,0,0.0,62,89.209,2303.209,12303.209
20210205,Hold,199.93,0,0.0,62,89.209,2484.869,12484.869
20210208,Hold,199.2033,0,0.0,62,89.209,2439.814,12439.814
20210209,Hold,205.48,0,0.0,62,89.209,2828.969,12828.969
20210210,Hold,213.5,0,0.0,62,89.209,3326.209,13326.209
20210211,Hold,214.4578,0,0.0,62,89.209,3385.593,13385.593
20210212,Hold,216.24,0,0.0,62,89.209,3496.089,13496.089
20210216,Sell,207.05,-62,12830.681450000002,0,12919.89,2919.89,12919.89
20210217,Hold,199.01,0,0.0,0,12919.89,2919.89,12919.89
20210218,Hold,203.95,0,0.0,0,12919.89,2919.89,12919.89
20210219,Hold,200.7,0,0.0,0,12919.89,2919.89,12919.89
20210222,Hold,189.0,0,0.0,0,12919.89,2919.89,12919.89
20210223,Hold,190.98,0,0.0,0,12919.89,2919.89,12919.89
20210224,Buy,197.41,65,-12838.065825,65,81.825,2913.475,12913.475
20210225,Sell,194.18,-65,12615.38915,0,12697.214,2697.214,12697.214
20210226,Buy,195.82,64,-12538.746239999999,64,158.467,2690.947,12690.947
20210301,Hold,195.63,0,0.0,64,158.467,2678.787,12678.787
20210302,Sell,186.97,-64,11960.09696,0,12118.564,2118.564,12118.564
20210303,Hold,178.64,0,0.0,0,12118.564,2118.564,12118.564
20210304,Hold,182.52,0,0.0,0,12118.564,2118.564,12118.564
20210305,Hold,179.9924,0,0.0,0,12118.564,2118.564,12118.564
20210308,Buy,184.99,65,-12030.362175,65,88.202,2112.552,12112.552
20210309,Hold,184.57,0,0.0,65,88.202,2085.252,12085.252
20210310,Hold,189.9,0,0.0,65,88.202,2431.702,12431.702
20210311,Hold,196.27,0,0.0,65,88.202,2845.752,12845.752
20210312,Hold,209.5384,0,0.0,65,88.202,3708.198,13708.198
20210315,Hold,209.11,0,0.0,65,88.202,3680.352,13680.352
20210316,Hold,195.63,0,0.0,65,88.202,2804.152,12804.152
20210317,Sell,196.8,-65,12785.604000000001,0,12873.806,2873.806,12873.806
20210318,Hold,193.01,0,0.0,0,12873.806,2873.806,12873.806
20210319,Hold,196.85,0,0.0,0,12873.806,2873.806,12873.806
20210322,Hold,195.5,0,0.0,0,12873.806,2873.806,12873.806
20210323,Hold,189.0,0,0.0,0,12873.806,2873.806,12873.806
20210324,Hold,173.1,0,0.0,0,12873.806,2873.806,12873.806
20210325,Hold,178.4161,0,0.0,0,12873.806,2873.806,12873.806
20210326,Hold,175.36,0,0.0,0,12873.806,2873.806,12873.806
20210329,Buy,182.35,70,-12770.882249999999,70,102.924,2867.424,12867.424
20210330,Hold,185.43,0,0.0,70,102.924,3083.024,13083.024
20210331,Hold,192.5,0,0.0,70,102.924,3577.924,13577.924
20210401,Hold,191.66,0,0.0,70,102.924,3519.124,13519.124
