,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,2088.37,4,-8357.656739999999,4,1642.343,-4.177,9995.823
20200110,Hold,2090.25,0,0.0,4,1642.343,3.343,10003.343
20200113,Sell,2074.6,-4,8294.2508,0,9936.594,-63.406,9936.594
20200114,Hold,2073.56,0,0.0,0,9936.594,-63.406,9936.594
20200115,Hold,2073.01,0,0.0,0,9936.594,-63.406,9936.594
20200116,Hold,2060.0,0,0.0,0,9936.594,-63.406,9936.594
20200117,Hold,2006.0,0,0.0,0,9936.594,-63.406,9936.594
20200121,Hold,2004.33,0,0.0,0,9936.594,-63.406,9936.594
20200122,Hold,1986.24,0,0.0,0,9936.594,-63.406,9936.594
20200123,Hold,1998.0,0,0.0,0,9936.594,-63.406,9936.594
20200124,Hold,1906.41,0,0.0,0,9936.594,-63.406,9936.594
20200127,Hold,1914.67,0,0.0,0,9936.594,-63.406,9936.594
20200128,Hold,1924.04,0,0.0,0,9936.594,-63.406,9936.594
20200129,Hold,1871.42,0,0.0,0,9936.594,-63.406,9936.594
20200130,Hold,1865.93,0,0.0,0,9936.594,-63.406,9936.594
20200131,Hold,1838.87,0,0.0,0,9936.594,-63.406,9936.594
20200203,Hold,1857.06,0,0.0,0,9936.594,-63.406,9936.594
20200204,Buy,1898.7,5,-9498.24675,5,438.347,-68.153,9931.847
20200205,Hold,1958.9,0,0.0,5,438.347,232.847,10232.847
20200206,Hold,1950.23,0,0.0,5,438.347,189.497,10189.497
20200207,Hold,1901.69,0,0.0,5,438.347,-53.203,9946.797
20200210,Sell,1894.48,-5,9467.6638,0,9906.011,-93.989,9906.011
20200211,Hold,1923.95,0,0.0,0,9906.011,-93.989,9906.011
20200212,Buy,1944.0,5,-9724.859999999999,5,181.151,-98.849,9901.151
20200213,Hold,1998.44,0,0.0,5,181.151,173.351,10173.351
20200214,Hold,1971.0,0,0.0,5,181.151,36.151,10036.151
20200218,Sell,1982.76,-5,9908.8431,0,10089.994,89.994,10089.994
20200219,Hold,1960.0,0,0.0,0,10089.994,89.994,10089.994
20200220,Hold,1965.0,0,0.0,0,10089.994,89.994,10089.994
20200221,Hold,1830.93,0,0.0,0,10089.994,89.994,10089.994
20200224,Hold,1803.0,0,0.0,0,10089.994,89.994,10089.994
20200225,Hold,1731.22,0,0.0,0,10089.994,89.994,10089.994
20200226,Hold,1612.98,0,0.0,0,10089.994,89.994,10089.994
20200227,Hold,1643.64,0,0.0,0,10089.994,89.994,10089.994
20200228,Hold,1702.08,0,0.0,0,10089.994,89.994,10089.994
20200302,Buy,1725.0,5,-8629.3125,5,1460.682,85.682,10085.682
20200303,Hold,1697.15,0,0.0,5,1460.682,-53.568,9946.432
20200304,Hold,1662.99,0,0.0,5,1460.682,-224.368,9775.632
20200305,Sell,1603.09,-5,8011.442275,0,9472.124,-527.876,9472.124
20200306,Hold,1483.99,0,0.0,0,9472.124,-527.876,9472.124
20200309,Hold,1589.95,0,0.0,0,9472.124,-527.876,9472.124
20200310,Hold,1522.29,0,0.0,0,9472.124,-527.876,9472.124
20200311,Hold,1297.0,0,0.0,0,9472.124,-527.876,9472.124
20200312,Hold,1336.8,0,0.0,0,9472.124,-527.876,9472.124
20200313,Hold,1275.0,0,0.0,0,9472.124,-527.876,9472.124
20200316,Hold,1309.56,0,0.0,0,9472.124,-527.876,9472.124
20200317,Hold,1277.86,0,0.0,0,9472.124,-527.876,9472.124
20200318,Hold,1211.16,0,0.0,0,9472.124,-527.876,9472.124
20200319,Hold,1216.34,0,0.0,0,9472.124,-527.876,9472.124
20200320,Hold,1166.98,0,0.0,0,9472.124,-527.876,9472.124
20200323,Hold,1218.62,0,0.0,0,9472.124,-527.876,9472.124
20200324,Buy,1259.47,7,-8820.698145,7,651.426,-532.284,9467.716
20200325,Hold,1380.33,0,0.0,7,651.426,313.736,10313.736
20200326,Hold,1344.87,0,0.0,7,651.426,65.516,10065.516
20200327,Sell,1261.27,-7,8824.475554999999,0,9475.901,-524.099,9475.901
20200330,Buy,1303.01,7,-9125.630534999998,7,350.271,-528.659,9471.341
20200331,Hold,1293.81,0,0.0,7,350.271,-593.059,9406.941
20200401,Sell,1270.97,-7,8892.341605000001,0,9242.612,-757.388,9242.612
20200402,Hold,1244.18,0,0.0,0,9242.612,-757.388,9242.612
20200403,Hold,1303.28,0,0.0,0,9242.612,-757.388,9242.612
20200406,Buy,1412.01,6,-8476.29603,6,766.316,-761.624,9238.376
20200407,Hold,1382.65,0,0.0,6,766.316,-937.784,9062.216
20200408,Hold,1424.76,0,0.0,6,766.316,-685.124,9314.876
20200409,Hold,1413.19,0,0.0,6,766.316,-754.544,9245.456
20200413,Hold,1460.09,0,0.0,6,766.316,-473.144,9526.856
20200414,Hold,1407.84,0,0.0,6,766.316,-786.644,9213.356
20200415,Hold,1432.35,0,0.0,6,766.316,-639.584,9360.416
20200416,Sell,1469.0,-6,8809.593,0,9575.909,-424.091,9575.909
20200417,Buy,1462.05,6,-8776.68615,6,799.223,-428.477,9571.523
20200420,Sell,1382.81,-6,8292.711570000001,0,9091.935,-908.065,9091.935
20200421,Hold,1365.01,0,0.0,0,9091.935,-908.065,9091.935
20200422,Hold,1354.05,0,0.0,0,9091.935,-908.065,9091.935
20200423,Hold,1372.39,0,0.0,0,9091.935,-908.065,9091.935
20200424,Buy,1374.93,6,-8253.70479,6,838.23,-912.19,9087.81
20200427,Hold,1434.2,0,0.0,6,838.23,-556.57,9443.43
20200428,Hold,1487.83,0,0.0,6,838.23,-234.79,9765.21
20200429,Hold,1514.53,0,0.0,6,838.23,-74.59,9925.41
20200430,Hold,1442.75,0,0.0,6,838.23,-505.27,9494.73
20200501,Sell,1415.73,-6,8490.132810000001,0,9328.363,-671.637,9328.363
20200504,Hold,1443.25,0,0.0,0,9328.363,-671.637,9328.363
20200505,Hold,1397.46,0,0.0,0,9328.363,-671.637,9328.363
20200506,Hold,1392.26,0,0.0,0,9328.363,-671.637,9328.363
20200507,Buy,1440.99,6,-8650.26297,6,678.1,-675.96,9324.04
20200508,Hold,1423.04,0,0.0,6,678.1,-783.66,9216.34
20200511,Hold,1401.09,0,0.0,6,678.1,-915.36,9084.64
20200512,Sell,1379.34,-6,8271.901979999999,0,8950.002,-1049.998,8950.002
20200513,Hold,1348.74,0,0.0,0,8950.002,-1049.998,8950.002
20200514,Buy,1377.01,6,-8266.191029999998,6,683.811,-1054.129,8945.871
20200515,Hold,1430.0,0,0.0,6,683.811,-736.189,9263.811
20200518,Hold,1556.29,0,0.0,6,683.811,21.551,10021.551
20200519,Hold,1578.52,0,0.0,6,683.811,154.931,10154.931
20200520,Hold,1605.0,0,0.0,6,683.811,313.811,10313.811
20200521,Hold,1591.74,0,0.0,6,683.811,234.251,10234.251
20200522,Hold,1704.32,0,0.0,6,683.811,909.731,10909.731
20200526,Hold,1775.93,0,0.0,6,683.811,1339.391,11339.391
20200527,Hold,1695.59,0,0.0,6,683.811,857.351,10857.351
20200528,Hold,1657.0,0,0.0,6,683.811,625.811,10625.811
20200529,Sell,1633.12,-6,9793.82064,0,10477.631,477.631,10477.631
20200601,Hold,1690.0,0,0.0,0,10477.631,477.631,10477.631
20200602,Buy,1704.03,6,-10229.292089999999,6,248.339,472.519,10472.519
20200603,Hold,1714.9,0,0.0,6,248.339,537.739,10537.739
20200604,Hold,1826.76,0,0.0,6,248.339,1208.899,11208.899
20200605,Hold,1846.6,0,0.0,6,248.339,1327.939,11327.939
20200608,Hold,1808.07,0,0.0,6,248.339,1096.759,11096.759
20200609,Sell,1791.95,-6,10746.324150000002,0,10994.664,994.664,10994.664
20200610,Hold,1655.85,0,0.0,0,10994.664,994.664,10994.664
20200611,Hold,1653.57,0,0.0,0,10994.664,994.664,10994.664
20200612,Hold,1567.66,0,0.0,0,10994.664,994.664,10994.664
20200615,Hold,1716.32,0,0.0,0,10994.664,994.664,10994.664
20200616,Buy,1677.92,6,-10072.55376,6,922.11,989.63,10989.63
20200617,Hold,1622.4,0,0.0,6,922.11,656.51,10656.51
20200618,Sell,1654.0,-6,9919.038,0,10841.148,841.148,10841.148
20200619,Hold,1609.74,0,0.0,0,10841.148,841.148,10841.148
20200622,Hold,1652.3,0,0.0,0,10841.148,841.148,10841.148
20200623,Buy,1660.71,6,-9969.24213,6,871.906,836.166,10836.166
20200624,Sell,1585.81,-6,9510.102570000001,0,10382.008,382.008,10382.008
20200625,Hold,1597.3,0,0.0,0,10382.008,382.008,10382.008
20200626,Hold,1567.77,0,0.0,0,10382.008,382.008,10382.008
20200629,Hold,1583.9,0,0.0,0,10382.008,382.008,10382.008
20200630,Buy,1606.05,6,-9641.118149999998,6,740.89,377.19,10377.19
20200701,Hold,1690.11,0,0.0,6,740.89,881.55,10881.55
20200702,Hold,1706.19,0,0.0,6,740.89,978.03,10978.03
20200706,Hold,1681.36,0,0.0,6,740.89,829.05,10829.05
20200707,Hold,1662.0,0,0.0,6,740.89,712.89,10712.89
20200708,Hold,1671.9,0,0.0,6,740.89,772.29,10772.29
20200709,Hold,1660.68,0,0.0,6,740.89,704.97,10704.97
20200710,Hold,1720.89,0,0.0,6,740.89,1066.23,11066.23
20200713,Hold,1668.69,0,0.0,6,740.89,753.03,10753.03
20200714,Hold,1747.0,0,0.0,6,740.89,1222.89,11222.89
20200715,Hold,1767.21,0,0.0,6,740.89,1344.15,11344.15
20200716,Hold,1757.12,0,0.0,6,740.89,1283.61,11283.61
20200717,Sell,1724.01,-6,10338.88797,0,11079.778,1079.778,11079.778
20200720,Hold,1735.91,0,0.0,0,11079.778,1079.778,11079.778
20200721,Hold,1717.96,0,0.0,0,11079.778,1079.778,11079.778
20200722,Hold,1721.28,0,0.0,0,11079.778,1079.778,11079.778
20200723,Hold,1678.27,0,0.0,0,11079.778,1079.778,11079.778
20200724,Hold,1690.64,0,0.0,0,11079.778,1079.778,11079.778
20200727,Hold,1696.34,0,0.0,0,11079.778,1079.778,11079.778
20200728,Hold,1688.86,0,0.0,0,11079.778,1079.778,11079.778
20200729,Buy,1683.8,6,-10107.8514,6,971.927,1074.727,11074.727
20200730,Sell,1687.87,-6,10122.15639,0,11094.083,1094.083,11094.083
20200731,Hold,1665.91,0,0.0,0,11094.083,1094.083,11094.083
20200803,Hold,1641.0,0,0.0,0,11094.083,1094.083,11094.083
20200804,Buy,1700.13,6,-10205.88039,6,888.203,1088.983,11088.983
20200805,Hold,1702.0,0,0.0,6,888.203,1100.203,11100.203
20200806,Hold,1813.4,0,0.0,6,888.203,1768.603,11768.603
20200807,Hold,1760.0,0,0.0,6,888.203,1448.203,11448.203
20200810,Hold,1818.27,0,0.0,6,888.203,1797.823,11797.823
20200811,Hold,1816.3,0,0.0,6,888.203,1786.003,11786.003
20200812,Hold,1799.06,0,0.0,6,888.203,1682.563,11682.563
20200813,Hold,1780.0,0,0.0,6,888.203,1568.203,11568.203
20200814,Sell,1792.39,-6,10748.96283,0,11637.165,1637.165,11637.165
20200817,Hold,1750.0,0,0.0,0,11637.165,1637.165,11637.165
20200818,Hold,1783.01,0,0.0,0,11637.165,1637.165,11637.165
20200819,Buy,1751.9,6,-10516.655700000001,6,1120.51,1631.91,11631.91
20200820,Hold,1763.0,0,0.0,6,1120.51,1698.51,11698.51
20200821,Hold,1803.56,0,0.0,6,1120.51,1941.87,11941.87
20200824,Hold,1836.02,0,0.0,6,1120.51,2136.63,12136.63
20200825,Hold,1838.8,0,0.0,6,1120.51,2153.31,12153.31
20200826,Hold,1892.58,0,0.0,6,1120.51,2475.99,12475.99
20200827,Hold,1896.15,0,0.0,6,1120.51,2497.41,12497.41
20200828,Hold,1922.47,0,0.0,6,1120.51,2655.33,12655.33
20200831,Hold,1905.13,0,0.0,6,1120.51,2551.29,12551.29
20200901,Hold,1940.0,0,0.0,6,1120.51,2760.51,12760.51
20200902,Hold,1952.15,0,0.0,6,1120.51,2833.41,12833.41
20200903,Sell,1947.97,-6,11681.97609,0,12802.486,2802.486,12802.486
20200904,Hold,1886.86,0,0.0,0,12802.486,2802.486,12802.486
20200908,Hold,1887.55,0,0.0,0,12802.486,2802.486,12802.486
20200909,Hold,1871.0,0,0.0,0,12802.486,2802.486,12802.486
20200910,Hold,1813.52,0,0.0,0,12802.486,2802.486,12802.486
20200911,Hold,1803.0,0,0.0,0,12802.486,2802.486,12802.486
20200914,Hold,1797.41,0,0.0,0,12802.486,2802.486,12802.486
20200915,Hold,1800.0,0,0.0,0,12802.486,2802.486,12802.486
20200916,Hold,1783.19,0,0.0,0,12802.486,2802.486,12802.486
20200917,Hold,1791.16,0,0.0,0,12802.486,2802.486,12802.486
20200918,Hold,1676.2,0,0.0,0,12802.486,2802.486,12802.486
20200921,Hold,1659.22,0,0.0,0,12802.486,2802.486,12802.486
20200922,Hold,1692.1,0,0.0,0,12802.486,2802.486,12802.486
20200923,Hold,1617.28,0,0.0,0,12802.486,2802.486,12802.486
20200924,Hold,1635.0,0,0.0,0,12802.486,2802.486,12802.486
20200925,Buy,1694.99,7,-11870.862465,7,931.623,2796.553,12796.553
20200928,Hold,1700.15,0,0.0,7,931.623,2832.673,12832.673
20200929,Hold,1682.64,0,0.0,7,931.623,2710.103,12710.103
20200930,Hold,1735.54,0,0.0,7,931.623,3080.403,13080.403
20201001,Hold,1698.99,0,0.0,7,931.623,2824.553,12824.553
20201002,Hold,1705.28,0,0.0,7,931.623,2868.583,12868.583
20201005,Hold,1714.0937,0,0.0,7,931.623,2930.279,12930.279
20201006,Hold,1724.0,0,0.0,7,931.623,2999.623,12999.623
20201007,Hold,1770.06,0,0.0,7,931.623,3322.043,13322.043
20201008,Hold,1807.0,0,0.0,7,931.623,3580.623,13580.623
20201009,Hold,1830.83,0,0.0,7,931.623,3747.433,13747.433
20201012,Hold,1840.0,0,0.0,7,931.623,3811.623,13811.623
20201013,Sell,1783.38,-7,12477.41817,0,13409.042,3409.042,13409.042
20201014,Hold,1700.0,0,0.0,0,13409.042,3409.042,13409.042
20201015,Hold,1704.0,0,0.0,0,13409.042,3409.042,13409.042
20201016,Hold,1679.75,0,0.0,0,13409.042,3409.042,13409.042
20201019,Hold,1673.0,0,0.0,0,13409.042,3409.042,13409.042
20201020,Hold,1660.0,0,0.0,0,13409.042,3409.042,13409.042
20201021,Buy,1714.19,7,-12005.329665,7,1403.712,3403.042,13403.042
20201022,Hold,1800.79,0,0.0,7,1403.712,4009.242,14009.242
20201023,Hold,1775.13,0,0.0,7,1403.712,3829.622,13829.622
20201026,Sell,1738.56,-7,12163.83504,0,13567.547,3567.547,13567.547
20201027,Hold,1663.17,0,0.0,0,13567.547,3567.547,13567.547
20201028,Hold,1600.0,0,0.0,0,13567.547,3567.547,13567.547
20201029,Hold,1620.78,0,0.0,0,13567.547,3567.547,13567.547
20201030,Hold,1653.5,0,0.0,0,13567.547,3567.547,13567.547
20201102,Buy,1622.79,8,-12988.81116,8,578.736,3561.056,13561.056
20201103,Hold,1702.97,0,0.0,8,578.736,4202.496,14202.496
20201104,Hold,1734.01,0,0.0,8,578.736,4450.816,14450.816
20201105,Hold,1721.04,0,0.0,8,578.736,4347.056,14347.056
20201106,Hold,2049.0,0,0.0,8,578.736,6970.736,16970.736
20201109,Hold,2079.59,0,0.0,8,578.736,7215.456,17215.456
20201110,Hold,1996.95,0,0.0,8,578.736,6554.336,16554.336
20201111,Hold,1975.0,0,0.0,8,578.736,6378.736,16378.736
20201112,Hold,1970.0,0,0.0,8,578.736,6338.736,16338.736
20201113,Hold,2117.87,0,0.0,8,578.736,7521.696,17521.696
20201116,Hold,2080.0,0,0.0,8,578.736,7218.736,17218.736
20201117,Hold,2076.0,0,0.0,8,578.736,7186.736,17186.736
20201118,Hold,2022.84,0,0.0,8,578.736,6761.456,16761.456
20201119,Sell,2017.6,-8,16132.7296,0,16711.465,6711.465,16711.465
20201120,Hold,2004.87,0,0.0,0,16711.465,6711.465,16711.465
20201123,Hold,2050.0,0,0.0,0,16711.465,6711.465,16711.465
20201124,Buy,2108.74,7,-14768.560589999997,7,1942.905,6704.085,16704.085
20201125,Hold,2067.86,0,0.0,7,1942.905,6417.925,16417.925
20201127,Hold,2057.67,0,0.0,7,1942.905,6346.595,16346.595
20201130,Sell,2047.21,-7,14323.304765000003,0,16266.21,6266.21,16266.21
20201201,Hold,2052.67,0,0.0,0,16266.21,6266.21,16266.21
20201202,Buy,2096.8,7,-14684.938800000002,7,1581.271,6258.871,16258.871
20201203,Hold,2103.7,0,0.0,7,1581.271,6307.171,16307.171
20201204,Hold,2119.97,0,0.0,7,1581.271,6421.061,16421.061
20201207,Hold,2093.06,0,0.0,7,1581.271,6232.691,16232.691
20201208,Sell,2100.47,-7,14695.938355,0,16277.209,6277.209,16277.209
20201209,Buy,2094.99,7,-14672.262464999998,7,1604.947,6269.877,16269.877
20201210,Sell,2090.22,-7,14624.22423,0,16229.171,6229.171,16229.171
20201211,Hold,2120.09,0,0.0,0,16229.171,6229.171,16229.171
20201214,Hold,2078.22,0,0.0,0,16229.171,6229.171,16229.171
20201215,Buy,2118.2,7,-14834.813699999997,7,1394.357,6221.757,16221.757
20201216,Hold,2117.95,0,0.0,7,1394.357,6220.007,16220.007
20201217,Hold,2118.75,0,0.0,7,1394.357,6225.607,16225.607
20201218,Hold,2050.0,0,0.0,7,1394.357,5744.357,15744.357
20201221,Sell,2068.35,-7,14471.210775,0,15865.568,5865.568,15865.568
20201222,Hold,2055.39,0,0.0,0,15865.568,5865.568,15865.568
20201223,Buy,2119.0,7,-14840.4165,7,1025.151,5858.151,15858.151
20201224,Hold,2129.45,0,0.0,7,1025.151,5931.301,15931.301
20201228,Hold,2165.98,0,0.0,7,1025.151,6187.011,16187.011
20201229,Hold,2200.0,0,0.0,7,1025.151,6425.151,16425.151
20201230,Hold,2198.07,0,0.0,7,1025.151,6411.641,16411.641
