,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,106.35,93,-9895.495275,93,104.505,-4.945,9995.055
20190110,Hold,107.3,0,0.0,93,104.505,83.405,10083.405
20190111,Sell,106.66,-93,9914.42031,0,10018.925,18.925,10018.925
20190114,Hold,106.32,0,0.0,0,10018.925,18.925,10018.925
20190115,Hold,107.89,0,0.0,0,10018.925,18.925,10018.925
20190116,Hold,106.83,0,0.0,0,10018.925,18.925,10018.925
20190117,Hold,107.83,0,0.0,0,10018.925,18.925,10018.925
20190118,Hold,106.74,0,0.0,0,10018.925,18.925,10018.925
20190122,Hold,105.51,0,0.0,0,10018.925,18.925,10018.925
20190123,Hold,106.11,0,0.0,0,10018.925,18.925,10018.925
20190124,Buy,107.21,93,-9975.515264999998,93,43.41,13.94,10013.94
20190125,Hold,107.14,0,0.0,93,43.41,7.43,10007.43
20190128,Hold,108.48,0,0.0,93,43.41,132.05,10132.05
20190129,Hold,109.73,0,0.0,93,43.41,248.3,10248.3
20190130,Hold,111.54,0,0.0,93,43.41,416.63,10416.63
20190131,Hold,112.72,0,0.0,93,43.41,526.37,10526.37
20190201,Hold,112.61,0,0.0,93,43.41,516.14,10516.14
20190204,Hold,113.88,0,0.0,93,43.41,634.25,10634.25
20190205,Hold,114.65,0,0.0,93,43.41,705.86,10705.86
20190206,Hold,114.31,0,0.0,93,43.41,674.24,10674.24
20190207,Sell,112.51,-93,10458.198285,0,10501.608,501.608,10501.608
20190208,Hold,113.77,0,0.0,0,10501.608,501.608,10501.608
20190211,Buy,114.3,91,-10406.500649999998,91,95.107,496.407,10496.407
20190212,Hold,113.91,0,0.0,91,95.107,460.917,10460.917
20190213,Hold,116.01,0,0.0,91,95.107,652.017,10652.017
20190214,Hold,117.63,0,0.0,91,95.107,799.437,10799.437
20190215,Hold,118.12,0,0.0,91,95.107,844.027,10844.027
20190219,Hold,120.32,0,0.0,91,95.107,1044.227,11044.227
20190220,Hold,124.74,0,0.0,91,95.107,1446.447,11446.447
20190221,Hold,125.62,0,0.0,91,95.107,1526.527,11526.527
20190222,Hold,127.35,0,0.0,91,95.107,1683.957,11683.957
20190225,Hold,125.88,0,0.0,91,95.107,1550.187,11550.187
20190226,Sell,125.34,-91,11400.23703,0,11495.344,1495.344,11495.344
