,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,55.5,180,-9994.994999999999,180,5.005,-4.995,9995.005
20210112,Hold,58.54,0,0.0,180,5.005,542.205,10542.205
20210113,Hold,60.0,0,0.0,180,5.005,805.005,10805.005
20210114,Hold,57.49,0,0.0,180,5.005,353.205,10353.205
20210115,Sell,56.39,-180,10145.1249,0,10150.13,150.13,10150.13
20210119,Hold,57.0,0,0.0,0,10150.13,150.13,10150.13
20210120,Hold,56.57,0,0.0,0,10150.13,150.13,10150.13
20210121,Hold,55.25,0,0.0,0,10150.13,150.13,10150.13
20210122,Hold,54.5,0,0.0,0,10150.13,150.13,10150.13
20210125,Hold,54.62,0,0.0,0,10150.13,150.13,10150.13
20210126,Hold,49.97,0,0.0,0,10150.13,150.13,10150.13
20210127,Hold,50.12,0,0.0,0,10150.13,150.13,10150.13
20210128,Buy,50.63,200,-10131.063,200,19.067,145.067,10145.067
20210129,Hold,52.12,0,0.0,200,19.067,443.067,10443.067
20210201,Hold,55.11,0,0.0,200,19.067,1041.067,11041.067
20210202,Hold,57.87,0,0.0,200,19.067,1593.067,11593.067
20210203,Hold,56.45,0,0.0,200,19.067,1309.067,11309.067
20210204,Hold,58.16,0,0.0,200,19.067,1651.067,11651.067
20210205,Hold,59.7,0,0.0,200,19.067,1959.067,11959.067
20210208,Hold,58.91,0,0.0,200,19.067,1801.067,11801.067
20210209,Hold,62.0,0,0.0,200,19.067,2419.067,12419.067
20210210,Hold,63.25,0,0.0,200,19.067,2669.067,12669.067
20210211,Hold,60.12,0,0.0,200,19.067,2043.067,12043.067
20210212,Hold,61.02,0,0.0,200,19.067,2223.067,12223.067
20210216,Sell,60.33,-200,12059.967,0,12079.034,2079.034,12079.034
20210217,Hold,60.0,0,0.0,0,12079.034,2079.034,12079.034
20210218,Hold,58.36,0,0.0,0,12079.034,2079.034,12079.034
20210219,Hold,57.76,0,0.0,0,12079.034,2079.034,12079.034
20210222,Hold,53.5,0,0.0,0,12079.034,2079.034,12079.034
20210223,Hold,54.95,0,0.0,0,12079.034,2079.034,12079.034
20210224,Hold,54.58,0,0.0,0,12079.034,2079.034,12079.034
20210225,Hold,52.07,0,0.0,0,12079.034,2079.034,12079.034
20210226,Hold,53.67,0,0.0,0,12079.034,2079.034,12079.034
20210301,Buy,55.54,217,-12058.20609,217,20.828,2073.008,12073.008
20210302,Hold,55.93,0,0.0,217,20.828,2157.638,12157.638
20210303,Hold,55.75,0,0.0,217,20.828,2118.578,12118.578
20210304,Hold,54.28,0,0.0,217,20.828,1799.588,11799.588
20210305,Hold,55.5,0,0.0,217,20.828,2064.328,12064.328
20210308,Sell,56.0,-217,12145.924,0,12166.752,2166.752,12166.752
20210309,Buy,57.21,212,-12134.58426,212,32.168,2160.688,12160.688
20210310,Hold,58.8,0,0.0,212,32.168,2497.768,12497.768
20210311,Hold,58.97,0,0.0,212,32.168,2533.808,12533.808
20210312,Hold,60.35,0,0.0,212,32.168,2826.368,12826.368
20210315,Hold,59.99,0,0.0,212,32.168,2750.048,12750.048
20210316,Sell,57.07,-212,12092.79058,0,12124.958,2124.958,12124.958
20210317,Hold,56.63,0,0.0,0,12124.958,2124.958,12124.958
20210318,Hold,55.48,0,0.0,0,12124.958,2124.958,12124.958
20210319,Hold,57.25,0,0.0,0,12124.958,2124.958,12124.958
20210322,Hold,55.63,0,0.0,0,12124.958,2124.958,12124.958
20210323,Hold,54.46,0,0.0,0,12124.958,2124.958,12124.958
20210324,Hold,52.0,0,0.0,0,12124.958,2124.958,12124.958
20210325,Hold,54.41,0,0.0,0,12124.958,2124.958,12124.958
20210326,Buy,54.8,221,-12116.855399999999,221,8.103,2118.903,12118.903
20210329,Hold,52.99,0,0.0,221,8.103,1718.893,11718.893
20210330,Hold,53.96,0,0.0,221,8.103,1933.263,11933.263
20210331,Hold,55.61,0,0.0,221,8.103,2297.913,12297.913
20210401,Hold,58.1,0,0.0,221,8.103,2848.203,12848.203
20210405,Hold,57.34,0,0.0,221,8.103,2680.243,12680.243
20210406,Hold,58.02,0,0.0,221,8.103,2830.523,12830.523
20210407,Hold,56.65,0,0.0,221,8.103,2527.753,12527.753
20210408,Hold,57.32,0,0.0,221,8.103,2675.823,12675.823
20210409,Hold,59.05,0,0.0,221,8.103,3058.153,13058.153
20210412,Hold,59.65,0,0.0,221,8.103,3190.753,13190.753
20210413,Hold,60.11,0,0.0,221,8.103,3292.413,13292.413
20210414,Hold,59.88,0,0.0,221,8.103,3241.583,13241.583
20210415,Hold,60.74,0,0.0,221,8.103,3431.643,13431.643
20210416,Sell,60.0,-221,13253.37,0,13261.473,3261.473,13261.473
20210419,Hold,58.0,0,0.0,0,13261.473,3261.473,13261.473
20210420,Hold,55.0,0,0.0,0,13261.473,3261.473,13261.473
20210421,Hold,55.85,0,0.0,0,13261.473,3261.473,13261.473
20210422,Hold,56.56,0,0.0,0,13261.473,3261.473,13261.473
20210423,Buy,58.05,228,-13242.017699999999,228,19.455,3254.855,13254.855
20210426,Hold,58.32,0,0.0,228,19.455,3316.415,13316.415
20210427,Hold,56.88,0,0.0,228,19.455,2988.095,12988.095
20210428,Hold,59.0,0,0.0,228,19.455,3471.455,13471.455
20210429,Sell,54.3,-228,12374.2098,0,12393.665,2393.665,12393.665
20210430,Hold,55.12,0,0.0,0,12393.665,2393.665,12393.665
20210503,Hold,54.52,0,0.0,0,12393.665,2393.665,12393.665
20210504,Hold,53.87,0,0.0,0,12393.665,2393.665,12393.665
20210505,Hold,48.39,0,0.0,0,12393.665,2393.665,12393.665
20210506,Hold,47.22,0,0.0,0,12393.665,2393.665,12393.665
20210507,Hold,47.71,0,0.0,0,12393.665,2393.665,12393.665
20210510,Hold,44.5,0,0.0,0,12393.665,2393.665,12393.665
20210511,Hold,45.9,0,0.0,0,12393.665,2393.665,12393.665
20210512,Hold,44.99,0,0.0,0,12393.665,2393.665,12393.665
20210513,Hold,45.03,0,0.0,0,12393.665,2393.665,12393.665
20210514,Buy,47.24,262,-12383.068440000001,262,10.596,2387.476,12387.476
20210517,Hold,49.67,0,0.0,262,10.596,3024.136,13024.136
20210518,Hold,47.53,0,0.0,262,10.596,2463.456,12463.456
20210519,Hold,49.57,0,0.0,262,10.596,2997.936,12997.936
20210520,Hold,49.57,0,0.0,262,10.596,2997.936,12997.936
20210521,Hold,49.33,0,0.0,262,10.596,2935.056,12935.056
20210524,Hold,50.74,0,0.0,262,10.596,3304.476,13304.476
20210525,Hold,50.32,0,0.0,262,10.596,3194.436,13194.436
20210526,Hold,51.44,0,0.0,262,10.596,3487.876,13487.876
20210527,Hold,50.675,0,0.0,262,10.596,3287.446,13287.446
20210528,Hold,51.62,0,0.0,262,10.596,3535.036,13535.036
20210601,Hold,51.19,0,0.0,262,10.596,3422.376,13422.376
20210602,Hold,50.43,0,0.0,262,10.596,3223.256,13223.256
20210603,Sell,49.56,-262,12978.227640000001,0,12988.824,2988.824,12988.824
20210604,Buy,50.49,257,-12982.417964999999,257,6.406,2982.336,12982.336
20210607,Hold,50.7,0,0.0,257,6.406,3036.306,13036.306
20210608,Sell,50.0,-257,12843.575,0,12849.981,2849.981,12849.981
20210609,Hold,49.69,0,0.0,0,12849.981,2849.981,12849.981
20210610,Hold,50.03,0,0.0,0,12849.981,2849.981,12849.981
20210611,Buy,50.06,256,-12821.767679999999,256,28.213,2843.573,12843.573
20210614,Hold,49.55,0,0.0,256,28.213,2713.013,12713.013
20210615,Sell,49.35,-256,12627.283200000002,0,12655.497,2655.497,12655.497
20210616,Hold,48.96,0,0.0,0,12655.497,2655.497,12655.497
20210617,Buy,49.31,256,-12629.67168,256,25.825,2649.185,12649.185
20210618,Hold,49.72,0,0.0,256,25.825,2754.145,12754.145
20210621,Sell,48.3,-256,12358.6176,0,12384.443,2384.443,12384.443
20210622,Buy,49.06,252,-12369.30156,252,15.141,2378.261,12378.261
20210623,Hold,51.3,0,0.0,252,15.141,2942.741,12942.741
20210624,Hold,51.18,0,0.0,252,15.141,2912.501,12912.501
20210625,Hold,51.75,0,0.0,252,15.141,3056.141,13056.141
20210628,Hold,51.0,0,0.0,252,15.141,2867.141,12867.141
20210629,Sell,51.02,-252,12850.611480000001,0,12865.752,2865.752,12865.752
20210630,Hold,50.88,0,0.0,0,12865.752,2865.752,12865.752
20210701,Hold,50.57,0,0.0,0,12865.752,2865.752,12865.752
20210702,Buy,50.6,254,-12858.8262,254,6.926,2859.326,12859.326
20210706,Sell,50.8,-254,12896.7484,0,12903.675,2903.675,12903.675
20210707,Hold,47.16,0,0.0,0,12903.675,2903.675,12903.675
20210708,Hold,47.84,0,0.0,0,12903.675,2903.675,12903.675
20210709,Hold,48.87,0,0.0,0,12903.675,2903.675,12903.675
20210712,Hold,48.49,0,0.0,0,12903.675,2903.675,12903.675
20210713,Hold,48.28,0,0.0,0,12903.675,2903.675,12903.675
20210714,Hold,46.86,0,0.0,0,12903.675,2903.675,12903.675
20210715,Hold,46.4,0,0.0,0,12903.675,2903.675,12903.675
20210716,Hold,45.0,0,0.0,0,12903.675,2903.675,12903.675
20210719,Hold,45.46,0,0.0,0,12903.675,2903.675,12903.675
20210720,Buy,46.53,277,-12895.254405,277,8.42,2897.23,12897.23
20210721,Hold,47.7,0,0.0,277,8.42,3221.32,13221.32
20210722,Hold,47.61,0,0.0,277,8.42,3196.39,13196.39
20210723,Hold,47.04,0,0.0,277,8.42,3038.5,13038.5
