,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Buy,302.55,33,-9989.142075,33,10.858,-4.992,9995.008
20180110,Hold,306.97,0,0.0,33,10.858,140.868,10140.868
20180111,Hold,314.84,0,0.0,33,10.858,400.578,10400.578
20180112,Hold,323.9,0,0.0,33,10.858,699.558,10699.558
20180116,Hold,321.84,0,0.0,33,10.858,631.578,10631.578
20180117,Hold,334.19,0,0.0,33,10.858,1039.128,11039.128
20180118,Sell,325.58,-33,10738.76793,0,10749.626,749.626,10749.626
20180119,Hold,319.51,0,0.0,0,10749.626,749.626,10749.626
20180122,Hold,322.42,0,0.0,0,10749.626,749.626,10749.626
20180123,Hold,320.37,0,0.0,0,10749.626,749.626,10749.626
20180124,Buy,320.38,33,-10577.826269999998,33,171.8,744.34,10744.34
20180125,Hold,328.13,0,0.0,33,171.8,1000.09,11000.09
20180126,Hold,325.16,0,0.0,33,171.8,902.08,10902.08
20180129,Hold,323.19,0,0.0,33,171.8,837.07,10837.07
20180130,Hold,343.55,0,0.0,33,171.8,1508.95,11508.95
20180131,Hold,336.35,0,0.0,33,171.8,1271.35,11271.35
20180201,Hold,337.33,0,0.0,33,171.8,1303.69,11303.69
20180202,Sell,326.56,-33,10771.09176,0,10942.891,942.891,10942.891
20180205,Hold,304.95,0,0.0,0,10942.891,942.891,10942.891
20180206,Buy,324.51,33,-10714.184415,33,228.707,937.537,10937.537
20180207,Hold,333.27,0,0.0,33,228.707,1226.617,11226.617
20180208,Sell,319.42,-33,10535.589570000002,0,10764.297,764.297,10764.297
20180209,Buy,322.31,33,-10641.548115,33,122.748,758.978,10758.978
20180212,Hold,326.03,0,0.0,33,122.748,881.738,10881.738
20180213,Hold,326.89,0,0.0,33,122.748,910.118,10910.118
20180214,Hold,333.71,0,0.0,33,122.748,1135.178,11135.178
20180215,Hold,341.5,0,0.0,33,122.748,1392.248,11392.248
20180216,Hold,337.09,0,0.0,33,122.748,1246.718,11246.718
20180220,Hold,337.63,0,0.0,33,122.748,1264.538,11264.538
20180221,Hold,339.63,0,0.0,33,122.748,1330.538,11330.538
20180222,Hold,343.01,0,0.0,33,122.748,1442.078,11442.078
20180223,Hold,344.26,0,0.0,33,122.748,1483.328,11483.328
20180226,Hold,349.16,0,0.0,33,122.748,1645.028,11645.028
20180227,Sell,351.27,-33,11586.114045,0,11708.862,1708.862,11708.862
20180228,Hold,346.99,0,0.0,0,11708.862,1708.862,11708.862
20180301,Hold,327.33,0,0.0,0,11708.862,1708.862,11708.862
