,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,54.772,182,-9973.488252,182,26.512,-4.984,9995.016
20120111,Hold,55.384,0,0.0,182,26.512,106.4,10106.4
20120112,Hold,55.35,0,0.0,182,26.512,100.212,10100.212
20120113,Hold,56.191,0,0.0,182,26.512,253.274,10253.274
20120117,Hold,56.31,0,0.0,182,26.512,274.932,10274.932
20120118,Hold,56.993,0,0.0,182,26.512,399.238,10399.238
20120119,Hold,57.518,0,0.0,182,26.512,494.788,10494.788
20120120,Hold,57.484,0,0.0,182,26.512,488.6,10488.6
20120123,Sell,56.639,-182,10303.143851,0,10329.656,329.656,10329.656
20120124,Hold,55.922,0,0.0,0,10329.656,329.656,10329.656
20120125,Hold,55.992,0,0.0,0,10329.656,329.656,10329.656
20120126,Hold,56.535,0,0.0,0,10329.656,329.656,10329.656
20120127,Hold,55.233,0,0.0,0,10329.656,329.656,10329.656
20120130,Hold,55.328,0,0.0,0,10329.656,329.656,10329.656
20120131,Hold,55.435,0,0.0,0,10329.656,329.656,10329.656
20120201,Buy,55.459,186,-10320.531686999999,186,9.124,324.498,10324.498
20120202,Hold,55.662,0,0.0,186,9.124,362.256,10362.256
20120203,Hold,55.596,0,0.0,186,9.124,349.98,10349.98
20120206,Hold,56.095,0,0.0,186,9.124,442.794,10442.794
20120207,Hold,56.567,0,0.0,186,9.124,530.586,10530.586
20120208,Hold,56.935,0,0.0,186,9.124,599.034,10599.034
20120209,Sell,55.801,-186,10373.796507000001,0,10382.92,382.92,10382.92
20120210,Hold,56.082,0,0.0,0,10382.92,382.92,10382.92
20120213,Hold,55.535,0,0.0,0,10382.92,382.92,10382.92
20120214,Hold,55.596,0,0.0,0,10382.92,382.92,10382.92
20120215,Buy,55.662,186,-10358.308566,186,24.612,377.744,10377.744
20120216,Hold,56.26,0,0.0,186,24.612,488.972,10488.972
20120217,Hold,56.499,0,0.0,186,24.612,533.426,10533.426
20120221,Hold,56.295,0,0.0,186,24.612,495.482,10495.482
20120222,Hold,55.952,0,0.0,186,24.612,431.684,10431.684
20120223,Hold,56.184,0,0.0,186,24.612,474.836,10474.836
20120224,Hold,57.325,0,0.0,186,24.612,687.062,10687.062
20120227,Hold,57.595,0,0.0,186,24.612,737.282,10737.282
20120228,Hold,57.716,0,0.0,186,24.612,759.788,10759.788
20120229,Hold,58.023,0,0.0,186,24.612,816.89,10816.89
20120301,Hold,57.77,0,0.0,186,24.612,769.832,10769.832
20120302,Sell,57.444,-186,10679.241708000001,0,10703.854,703.854,10703.854
20120305,Hold,56.828,0,0.0,0,10703.854,703.854,10703.854
20120306,Hold,56.167,0,0.0,0,10703.854,703.854,10703.854
20120307,Hold,57.008,0,0.0,0,10703.854,703.854,10703.854
20120308,Buy,57.177,187,-10697.4450495,187,6.409,698.508,10698.508
20120309,Hold,57.058,0,0.0,187,6.409,676.255,10676.255
20120312,Hold,57.238,0,0.0,187,6.409,709.915,10709.915
20120313,Hold,57.977,0,0.0,187,6.409,848.108,10848.108
20120314,Hold,57.985,0,0.0,187,6.409,849.604,10849.604
20120315,Hold,58.104,0,0.0,187,6.409,871.857,10871.857
20120316,Hold,57.692,0,0.0,187,6.409,794.813,10794.813
20120319,Sell,57.601,-187,10766.001306500002,0,10772.41,772.41,10772.41
20120320,Hold,57.42,0,0.0,0,10772.41,772.41,10772.41
20120321,Hold,56.907,0,0.0,0,10772.41,772.41,10772.41
20120322,Hold,57.47,0,0.0,0,10772.41,772.41,10772.41
20120323,Buy,57.928,185,-10722.03834,185,50.371,767.051,10767.051
20120326,Hold,58.692,0,0.0,185,50.371,908.391,10908.391
20120327,Hold,58.35,0,0.0,185,50.371,845.121,10845.121
20120328,Sell,57.912,-185,10708.36314,0,10758.735,758.735,10758.735
20120329,Hold,57.97,0,0.0,0,10758.735,758.735,10758.735
20120330,Hold,58.222,0,0.0,0,10758.735,758.735,10758.735
20120402,Buy,58.711,183,-10749.485056499998,183,9.25,753.363,10753.363
20120403,Sell,57.567,-183,10529.493619500001,0,10538.743,538.743,10538.743
20120404,Hold,57.446,0,0.0,0,10538.743,538.743,10538.743
20120405,Hold,56.225,0,0.0,0,10538.743,538.743,10538.743
20120409,Hold,56.007,0,0.0,0,10538.743,538.743,10538.743
20120410,Hold,54.604,0,0.0,0,10538.743,538.743,10538.743
20120411,Hold,55.598,0,0.0,0,10538.743,538.743,10538.743
20120412,Hold,55.319,0,0.0,0,10538.743,538.743,10538.743
20120413,Hold,55.337,0,0.0,0,10538.743,538.743,10538.743
20120416,Hold,55.606,0,0.0,0,10538.743,538.743,10538.743
20120417,Buy,55.692,189,-10531.050894,189,7.692,533.48,10533.48
20120418,Sell,55.807,-189,10542.249238500002,0,10549.942,549.942,10549.942
20120419,Hold,55.361,0,0.0,0,10549.942,549.942,10549.942
20120420,Buy,55.11,191,-10531.273005,191,18.669,544.679,10544.679
20120423,Sell,55.513,-191,10597.681508500002,0,10616.35,616.35,10616.35
20120424,Hold,55.85,0,0.0,0,10616.35,616.35,10616.35
20120425,Hold,53.381,0,0.0,0,10616.35,616.35,10616.35
20120426,Hold,53.851,0,0.0,0,10616.35,616.35,10616.35
20120427,Hold,53.968,0,0.0,0,10616.35,616.35,10616.35
20120430,Hold,54.002,0,0.0,0,10616.35,616.35,10616.35
20120501,Buy,54.144,195,-10563.35904,195,52.991,611.071,10611.071
20120502,Hold,54.747,0,0.0,195,52.991,728.656,10728.656
20120503,Sell,54.218,-195,10567.223745000001,0,10620.215,620.215,10620.215
20120504,Hold,53.513,0,0.0,0,10620.215,620.215,10620.215
20120507,Hold,53.708,0,0.0,0,10620.215,620.215,10620.215
20120508,Hold,53.465,0,0.0,0,10620.215,620.215,10620.215
20120509,Hold,53.345,0,0.0,0,10620.215,620.215,10620.215
20120510,Hold,53.011,0,0.0,0,10620.215,620.215,10620.215
20120511,Hold,52.817,0,0.0,0,10620.215,620.215,10620.215
20120514,Hold,52.967,0,0.0,0,10620.215,620.215,10620.215
20120515,Hold,52.699,0,0.0,0,10620.215,620.215,10620.215
20120516,Hold,52.114,0,0.0,0,10620.215,620.215,10620.215
20120517,Hold,51.282,0,0.0,0,10620.215,620.215,10620.215
20120518,Hold,50.845,0,0.0,0,10620.215,620.215,10620.215
20120521,Buy,51.655,205,-10594.569637499999,205,25.645,614.92,10614.92
20120522,Sell,51.266,-205,10504.275235,0,10529.92,529.92,10529.92
20120523,Buy,51.323,205,-10526.475607499999,205,3.445,524.66,10524.66
20120524,Sell,50.255,-205,10297.1238625,0,10300.569,300.569,10300.569
20120525,Hold,51.196,0,0.0,0,10300.569,300.569,10300.569
20120529,Buy,51.084,201,-10273.017941999999,201,27.551,295.435,10295.435
20120530,Sell,51.004,-201,10246.678098,0,10274.229,274.229,10274.229
20120531,Hold,50.463,0,0.0,0,10274.229,274.229,10274.229
20120601,Hold,50.255,0,0.0,0,10274.229,274.229,10274.229
20120604,Hold,49.356,0,0.0,0,10274.229,274.229,10274.229
20120605,Hold,49.925,0,0.0,0,10274.229,274.229,10274.229
20120606,Buy,51.25,200,-10255.125,200,19.104,269.104,10269.104
20120607,Hold,50.901,0,0.0,200,19.104,199.304,10199.304
20120608,Hold,51.454,0,0.0,200,19.104,309.904,10309.904
20120611,Hold,51.02,0,0.0,200,19.104,223.104,10223.104
20120612,Hold,51.141,0,0.0,200,19.104,247.304,10247.304
20120613,Sell,50.786,-200,10152.121400000002,0,10171.225,171.225,10171.225
20120614,Buy,51.441,197,-10138.9439385,197,32.281,166.158,10166.158
20120615,Hold,51.533,0,0.0,197,32.281,184.282,10184.282
20120618,Hold,51.947,0,0.0,197,32.281,265.84,10265.84
20120619,Hold,52.028,0,0.0,197,32.281,281.797,10281.797
20120620,Sell,51.971,-197,10233.167856499998,0,10265.449,265.449,10265.449
20120621,Hold,50.781,0,0.0,0,10265.449,265.449,10265.449
