,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,221.81,0,0,0,10000,0.0,10000.0
20170111,Hold,220.61,0,0,0,10000,0.0,10000.0
20170112,Hold,218.72,0,0,0,10000,0.0,10000.0
20170113,Hold,219.34,0,0,0,10000,0.0,10000.0
20170117,Hold,219.93,0,0,0,10000,0.0,10000.0
20170118,Hold,221.19,0,0,0,10000,0.0,10000.0
20170119,Buy,223.28,44,-9829.23216,44,170.768,-4.912,9995.088
20170120,Hold,223.42,0,0,44,170.768,1.248,10001.248
20170123,Sell,216.7,-44,9530.0326,0,9700.8,-299.2,9700.8
20170124,Hold,219.02,0,0,0,9700.8,-299.2,9700.8
20170125,Hold,216.35,0,0,0,9700.8,-299.2,9700.8
20170126,Hold,220.68,0,0,0,9700.8,-299.2,9700.8
20170127,Hold,220.12,0,0,0,9700.8,-299.2,9700.8
20170130,Hold,218.39,0,0,0,9700.8,-299.2,9700.8
20170131,Hold,217.09,0,0,0,9700.8,-299.2,9700.8
20170201,Hold,217.14,0,0,0,9700.8,-299.2,9700.8
20170202,Buy,218.65,44,-9625.4103,44,75.39,-304.01,9695.99
20170203,Hold,220.2,0,0,44,75.39,-235.81,9764.19
20170206,Hold,221.56,0,0,44,75.39,-175.97,9824.03
20170207,Hold,222.35,0,0,44,75.39,-141.21,9858.79
20170208,Hold,222.24,0,0,44,75.39,-146.05,9853.95
20170209,Hold,223.69,0,0,44,75.39,-82.25,9917.75
20170210,Hold,225.93,0,0,44,75.39,16.31,10016.31
20170213,Hold,226.91,0,0,44,75.39,59.43,10059.43
20170214,Hold,226.74,0,0,44,75.39,51.95,10051.95
20170215,Hold,228.41,0,0,44,75.39,125.43,10125.43
20170216,Hold,229.1,0,0,44,75.39,155.79,10155.79
20170217,Hold,229.19,0,0,44,75.39,159.75,10159.75
20170221,Hold,229.37,0,0,44,75.39,167.67,10167.67
20170222,Hold,230.48,0,0,44,75.39,216.51,10216.51
20170223,Sell,228.96,-44,10069.20288,0,10144.593,144.593,10144.593
20170224,Buy,230.93,43,-9934.954995,43,209.638,139.628,10139.628
20170227,Hold,234.96,0,0,43,209.638,312.918,10312.918
20170228,Hold,234.5,0,0,43,209.638,293.138,10293.138
20170301,Hold,234.41,0,0,43,209.638,289.268,10289.268
20170302,Sell,232.74,-43,10002.81609,0,10212.454,212.454,10212.454
20170303,Hold,233.04,0,0,0,10212.454,212.454,10212.454
20170306,Buy,232.93,43,-10020.997995,43,191.456,207.446,10207.446
20170307,Hold,234.41,0,0,43,191.456,271.086,10271.086
20170308,Sell,233.54,-43,10037.19889,0,10228.655,228.655,10228.655
20170309,Buy,235.18,43,-10117.79637,43,110.859,223.599,10223.599
20170310,Hold,233.99,0,0,43,110.859,172.429,10172.429
20170313,Hold,234.34,0,0,43,110.859,187.479,10187.479
20170314,Sell,233.54,-43,10037.19889,0,10148.058,148.058,10148.058
20170315,Buy,235.88,43,-10147.91142,43,0.146,142.986,10142.986
20170316,Sell,234.23,-43,10066.854055,0,10067.0,67.0,10067.0
20170317,Buy,237.17,42,-9966.12057,42,100.88,62.02,10062.02
