,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,324.41,0,0,0,10000,0.0,10000.0
20210112,Buy,329.11,30,-9878.23665,30,121.763,-4.937,9995.063
20210113,Hold,335.47,0,0,30,121.763,185.863,10185.863
20210114,Hold,334.59,0,0,30,121.763,159.463,10159.463
20210115,Sell,338.1,-30,10137.9285,0,10259.692,259.692,10259.692
20210119,Hold,330.21,0,0,0,10259.692,259.692,10259.692
20210120,Hold,329.36,0,0,0,10259.692,259.692,10259.692
20210121,Hold,326.53,0,0,0,10259.692,259.692,10259.692
20210122,Hold,327.14,0,0,0,10259.692,259.692,10259.692
20210125,Hold,326.79,0,0,0,10259.692,259.692,10259.692
20210126,Hold,320.31,0,0,0,10259.692,259.692,10259.692
20210127,Hold,320.18,0,0,0,10259.692,259.692,10259.692
20210128,Hold,315.31,0,0,0,10259.692,259.692,10259.692
20210129,Hold,313.18,0,0,0,10259.692,259.692,10259.692
20210201,Buy,315.64,32,-10105.530239999998,32,154.162,254.642,10254.642
20210202,Hold,319.74,0,0,32,154.162,385.842,10385.842
20210203,Hold,321.97,0,0,32,154.162,457.202,10457.202
20210204,Hold,327.37,0,0,32,154.162,630.002,10630.002
20210205,Hold,326.8,0,0,32,154.162,611.762,10611.762
20210208,Hold,326.34,0,0,32,154.162,597.042,10597.042
20210209,Hold,330.85,0,0,32,154.162,741.362,10741.362
20210210,Hold,328.51,0,0,32,154.162,666.482,10666.482
20210211,Sell,326.21,-32,10433.50064,0,10587.662,587.662,10587.662
20210212,Hold,327.04,0,0,0,10587.662,587.662,10587.662
20210216,Hold,322.64,0,0,0,10587.662,587.662,10587.662
20210217,Buy,324.75,32,-10397.196,32,190.466,582.466,10582.466
20210218,Hold,326.86,0,0,32,190.466,649.986,10649.986
20210219,Hold,321.78,0,0,32,190.466,487.426,10487.426
20210222,Hold,332.7,0,0,32,190.466,836.866,10836.866
