,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,99.0,0,0,0,10000,0.0,10000.0
20160112,Buy,100.58,99,-9962.39871,99,37.601,-4.979,9995.021
20160113,Sell,95.85,-99,9484.405425,0,9522.007,-477.993,9522.007
20160114,Buy,93.98,101,-9496.725989999999,101,25.281,-482.739,9517.261
20160115,Sell,96.53,-101,9744.655235000002,0,9769.936,-230.064,9769.936
20160119,Hold,92.83,0,0,0,9769.936,-230.064,9769.936
20160120,Buy,94.91,102,-9685.660409999999,102,84.276,-234.904,9765.096
20160121,Hold,96.41,0,0,102,84.276,-81.904,9918.096
20160122,Hold,98.72,0,0,102,84.276,153.716,10153.716
20160125,Hold,97.76,0,0,102,84.276,55.796,10055.796
20160126,Hold,97.79,0,0,102,84.276,58.856,10058.856
20160127,Hold,107.2,0,0,102,84.276,1018.676,11018.676
20160128,Hold,108.99,0,0,102,84.276,1201.256,11201.256
20160129,Hold,112.27,0,0,102,84.276,1535.816,11535.816
20160201,Hold,114.8,0,0,102,84.276,1793.876,11793.876
20160202,Hold,115.27,0,0,102,84.276,1841.816,11841.816
20160203,Sell,111.8,-102,11397.898200000001,0,11482.174,1482.174,11482.174
20160204,Hold,109.51,0,0,0,11482.174,1482.174,11482.174
20160205,Hold,100.41,0,0,0,11482.174,1482.174,11482.174
20160208,Hold,97.14,0,0,0,11482.174,1482.174,11482.174
20160209,Hold,101.55,0,0,0,11482.174,1482.174,11482.174
20160210,Hold,99.6,0,0,0,11482.174,1482.174,11482.174
20160211,Buy,103.74,110,-11417.105699999998,110,65.068,1476.468,11476.468
20160212,Hold,103.8,0,0,110,65.068,1483.068,11483.068
20160216,Hold,101.94,0,0,110,65.068,1278.468,11278.468
20160217,Hold,105.8,0,0,110,65.068,1703.068,11703.068
20160218,Hold,102.55,0,0,110,65.068,1345.568,11345.568
20160219,Hold,105.49,0,0,110,65.068,1668.968,11668.968
20160222,Hold,106.85,0,0,110,65.068,1818.568,11818.568
20160223,Sell,104.21,-110,11457.36845,0,11522.437,1522.437,11522.437
20160224,Buy,107.11,107,-11466.500385,107,55.936,1516.706,11516.706
20160225,Hold,108.7,0,0,107,55.936,1686.836,11686.836
20160226,Hold,107.6,0,0,107,55.936,1569.136,11569.136
20160229,Hold,107.83,0,0,107,55.936,1593.746,11593.746
20160301,Hold,109.68,0,0,107,55.936,1791.696,11791.696
20160302,Hold,110.25,0,0,107,55.936,1852.686,11852.686
20160303,Sell,110.05,-107,11769.462325,0,11825.398,1825.398,11825.398
20160304,Hold,108.07,0,0,0,11825.398,1825.398,11825.398
20160307,Hold,104.78,0,0,0,11825.398,1825.398,11825.398
20160308,Hold,106.7,0,0,0,11825.398,1825.398,11825.398
20160309,Buy,107.91,109,-11768.071095,109,57.327,1819.517,11819.517
20160310,Hold,108.48,0,0,109,57.327,1881.647,11881.647
20160311,Hold,109.28,0,0,109,57.327,1968.847,11968.847
20160314,Hold,109.11,0,0,109,57.327,1950.317,11950.317
20160315,Hold,110.49,0,0,109,57.327,2100.737,12100.737
20160316,Hold,112.15,0,0,109,57.327,2281.677,12281.677
20160317,Hold,111.56,0,0,109,57.327,2217.367,12217.367
20160318,Hold,111.66,0,0,109,57.327,2228.267,12228.267
20160321,Hold,111.36,0,0,109,57.327,2195.567,12195.567
20160322,Hold,112.01,0,0,109,57.327,2266.417,12266.417
20160323,Hold,112.13,0,0,109,57.327,2279.497,12279.497
20160324,Hold,113.32,0,0,109,57.327,2409.207,12409.207
20160328,Hold,113.83,0,0,109,57.327,2464.797,12464.797
20160329,Hold,116.73,0,0,109,57.327,2780.897,12780.897
20160330,Sell,114.7,-109,12496.048850000001,0,12553.376,2553.376,12553.376
20160331,Hold,113.75,0,0,0,12553.376,2553.376,12553.376
20160401,Buy,114.07,109,-12439.846814999999,109,113.529,2547.159,12547.159
20160404,Sell,112.11,-109,12213.880005,0,12327.409,2327.409,12327.409
20160405,Hold,112.47,0,0,0,12327.409,2327.409,12327.409
20160406,Hold,113.79,0,0,0,12327.409,2327.409,12327.409
20160407,Hold,114.25,0,0,0,12327.409,2327.409,12327.409
20160408,Hold,110.7,0,0,0,12327.409,2327.409,12327.409
20160411,Hold,109.34,0,0,0,12327.409,2327.409,12327.409
20160412,Hold,112.23,0,0,0,12327.409,2327.409,12327.409
20160413,Buy,110.62,111,-12284.95941,111,42.45,2321.27,12321.27
20160414,Hold,110.79,0,0,111,42.45,2340.14,12340.14
20160415,Sell,109.74,-111,12175.049430000001,0,12217.499,2217.499,12217.499
20160418,Buy,111.1,109,-12115.95495,109,101.544,2211.444,12211.444
20160419,Hold,112.43,0,0,109,101.544,2356.414,12356.414
20160420,Hold,112.55,0,0,109,101.544,2369.494,12369.494
20160421,Hold,111.21,0,0,109,101.544,2223.434,12223.434
20160422,Sell,109.87,-109,11969.842085,0,12071.387,2071.387,12071.387
20160425,Hold,110.49,0,0,0,12071.387,2071.387,12071.387
20160426,Hold,107.94,0,0,0,12071.387,2071.387,12071.387
20160427,Buy,119.575,100,-11963.47875,100,107.908,2065.408,12065.408
20160428,Hold,116.82,0,0,100,107.908,1789.908,11789.908
20160429,Hold,117.83,0,0,100,107.908,1890.908,11890.908
20160502,Hold,117.52,0,0,100,107.908,1859.908,11859.908
20160503,Hold,116.61,0,0,100,107.908,1768.908,11768.908
20160504,Hold,118.04,0,0,100,107.908,1911.908,11911.908
20160505,Hold,117.16,0,0,100,107.908,1823.908,11823.908
20160506,Hold,119.54,0,0,100,107.908,2061.908,12061.908
20160509,Hold,119.62,0,0,100,107.908,2069.908,12069.908
20160510,Hold,120.41,0,0,100,107.908,2148.908,12148.908
20160511,Sell,119.98,-100,11992.001,0,12099.909,2099.909,12099.909
20160512,Hold,120.38,0,0,0,12099.909,2099.909,12099.909
20160513,Hold,119.38,0,0,0,12099.909,2099.909,12099.909
