,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,7.3818,0,0,0,10000,0.0,10000.0
20160112,Hold,7.4306,0,0,0,10000,0.0,10000.0
20160113,Hold,7.0031,0,0,0,10000,0.0,10000.0
20160114,Hold,6.7246,0,0,0,10000,0.0,10000.0
20160115,Hold,6.7614,0,0,0,10000,0.0,10000.0
20160119,Hold,6.5519,0,0,0,10000,0.0,10000.0
20160120,Hold,6.7884,0,0,0,10000,0.0,10000.0
20160121,Hold,6.9227,0,0,0,10000,0.0,10000.0
20160122,Buy,6.9493,1438,-9998.0899467,1438,1.91,-4.997,9995.003
20160125,Hold,6.9591,0,0,1438,1.91,9.096,10009.096
20160126,Hold,7.0031,0,0,1438,1.91,72.368,10072.368
20160127,Sell,6.9859,-1438,10040.701337900002,0,10042.611,42.611,10042.611
20160128,Hold,6.913,0,0,0,10042.611,42.611,10042.611
20160129,Buy,7.15,1403,-10036.465725,1403,6.146,37.596,10037.596
20160201,Sell,7.0866,-1403,9937.5285501,0,9943.674,-56.326,9943.674
20160202,Hold,6.9104,0,0,0,9943.674,-56.326,9943.674
20160203,Hold,6.9004,0,0,0,9943.674,-56.326,9943.674
20160204,Hold,6.8474,0,0,0,9943.674,-56.326,9943.674
20160205,Hold,6.3603,0,0,0,9943.674,-56.326,9943.674
20160208,Hold,6.0898,0,0,0,9943.674,-56.326,9943.674
20160209,Hold,6.2674,0,0,0,9943.674,-56.326,9943.674
20160210,Hold,6.0553,0,0,0,9943.674,-56.326,9943.674
20160211,Hold,6.2798,0,0,0,9943.674,-56.326,9943.674
20160212,Buy,6.3773,1558,-9940.801316699999,1558,2.873,-61.294,9938.706
20160216,Hold,6.6776,0,0,1558,2.873,406.574,10406.574
20160217,Hold,7.3137,0,0,1558,2.873,1397.617,11397.617
20160218,Hold,7.3019,0,0,1558,2.873,1379.233,11379.233
20160219,Hold,7.5458,0,0,1558,2.873,1759.229,11759.229
20160222,Hold,7.6409,0,0,1558,2.873,1907.395,11907.395
20160223,Hold,7.6898,0,0,1558,2.873,1983.581,11983.581
20160224,Hold,7.8053,0,0,1558,2.873,2163.53,12163.53
20160225,Hold,7.829,0,0,1558,2.873,2200.455,12200.455
20160226,Sell,7.7521,-1558,12071.732914100001,0,12074.606,2074.606,12074.606
20160229,Hold,7.7108,0,0,0,12074.606,2074.606,12074.606
20160301,Buy,7.9876,1510,-12067.306638,1510,7.299,2068.575,12068.575
20160302,Hold,8.0685,0,0,1510,7.299,2190.734,12190.734
20160303,Sell,8.0685,-1510,12177.3432825,0,12184.642,2184.642,12184.642
20160304,Hold,7.9384,0,0,0,12184.642,2184.642,12184.642
20160307,Hold,7.8503,0,0,0,12184.642,2184.642,12184.642
20160308,Hold,7.8553,0,0,0,12184.642,2184.642,12184.642
20160309,Hold,7.828,0,0,0,12184.642,2184.642,12184.642
20160310,Hold,7.885,0,0,0,12184.642,2184.642,12184.642
20160311,Buy,7.8653,1548,-12181.5721422,1548,3.07,2178.555,12178.555
20160314,Hold,7.88,0,0,1548,3.07,2201.31,12201.31
20160315,Hold,7.8233,0,0,1548,3.07,2113.539,12113.539
20160316,Hold,8.0881,0,0,1548,3.07,2523.449,12523.449
20160317,Hold,8.1445,0,0,1548,3.07,2610.756,12610.756
20160318,Hold,8.2183,0,0,1548,3.07,2724.999,12724.999
20160321,Hold,8.2897,0,0,1548,3.07,2835.526,12835.526
20160322,Hold,8.338,0,0,1548,3.07,2910.294,12910.294
20160323,Hold,8.3677,0,0,1548,3.07,2956.27,12956.27
20160324,Hold,8.4414,0,0,1548,3.07,3070.358,13070.358
20160328,Hold,8.5053,0,0,1548,3.07,3169.275,13169.275
20160329,Hold,8.7111,0,0,1548,3.07,3487.853,13487.853
20160330,Hold,8.8096,0,0,1548,3.07,3640.331,13640.331
20160331,Hold,8.6839,0,0,1548,3.07,3445.748,13445.748
20160401,Hold,8.9396,0,0,1548,3.07,3841.571,13841.571
20160404,Sell,8.7014,-1548,13463.0323164,0,13466.103,3466.103,13466.103
20160405,Hold,8.6569,0,0,0,13466.103,3466.103,13466.103
20160406,Hold,8.7236,0,0,0,13466.103,3466.103,13466.103
20160407,Hold,8.7604,0,0,0,13466.103,3466.103,13466.103
20160408,Hold,8.7976,0,0,0,13466.103,3466.103,13466.103
20160411,Buy,8.829,1524,-13462.123698,1524,3.979,3459.375,13459.375
20160412,Hold,8.829,0,0,1524,3.979,3459.375,13459.375
20160413,Hold,8.9857,0,0,1524,3.979,3698.186,13698.186
20160414,Hold,9.0325,0,0,1524,3.979,3769.509,13769.509
20160415,Hold,9.0885,0,0,1524,3.979,3854.853,13854.853
20160418,Sell,9.1006,-1524,13862.3797428,0,13866.359,3866.359,13866.359
20160419,Hold,8.89,0,0,0,13866.359,3866.359,13866.359
20160420,Hold,8.9419,0,0,0,13866.359,3866.359,13866.359
20160421,Hold,8.9589,0,0,0,13866.359,3866.359,13866.359
20160422,Hold,8.8976,0,0,0,13866.359,3866.359,13866.359
