,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,218.0,0,0,0,10000,0.0,10000.0
20210112,Hold,217.0,0,0,0,10000,0.0,10000.0
20210113,Buy,218.23,45,-9825.260175,45,174.74,-4.91,9995.09
20210114,Sell,216.17,-45,9722.786175,0,9897.526,-102.474,9897.526
20210115,Hold,215.35,0,0,0,9897.526,-102.474,9897.526
20210119,Buy,221.99,44,-9772.443780000001,44,125.082,-107.358,9892.642
20210120,Hold,223.69,0,0,44,125.082,-32.558,9967.442
20210121,Hold,224.9,0,0,44,125.082,20.682,10020.682
20210122,Hold,229.69,0,0,44,125.082,231.442,10231.442
20210125,Hold,227.8,0,0,44,125.082,148.282,10148.282
20210126,Hold,223.7,0,0,44,125.082,-32.118,9967.882
20210127,Hold,225.0,0,0,44,125.082,25.082,10025.082
20210128,Hold,224.66,0,0,44,125.082,10.122,10010.122
20210129,Hold,227.21,0,0,44,125.082,122.322,10122.322
20210201,Hold,231.47,0,0,44,125.082,309.762,10309.762
20210202,Hold,235.0,0,0,44,125.082,465.082,10465.082
20210203,Hold,235.52,0,0,44,125.082,487.962,10487.962
20210204,Hold,239.15,0,0,44,125.082,647.682,10647.682
20210205,Hold,239.51,0,0,44,125.082,663.522,10663.522
20210208,Hold,239.56,0,0,44,125.082,665.722,10665.722
20210209,Sell,237.45,-44,10442.5761,0,10567.658,567.658,10567.658
20210210,Hold,238.93,0,0,0,10567.658,567.658,10567.658
20210211,Buy,240.95,43,-10366.030424999999,43,201.628,562.478,10562.478
20210212,Hold,245.0,0,0,43,201.628,736.628,10736.628
20210216,Hold,248.59,0,0,43,201.628,890.998,10890.998
20210217,Hold,245.97,0,0,43,201.628,778.338,10778.338
20210218,Sell,248.0,-43,10658.668000000001,0,10860.296,860.296,10860.296
20210219,Hold,244.26,0,0,0,10860.296,860.296,10860.296
20210222,Hold,235.26,0,0,0,10860.296,860.296,10860.296
20210223,Hold,235.53,0,0,0,10860.296,860.296,10860.296
20210224,Hold,238.53,0,0,0,10860.296,860.296,10860.296
20210225,Hold,229.39,0,0,0,10860.296,860.296,10860.296
20210226,Hold,219.9,0,0,0,10860.296,860.296,10860.296
20210301,Hold,218.4,0,0,0,10860.296,860.296,10860.296
20210302,Hold,212.83,0,0,0,10860.296,860.296,10860.296
20210303,Hold,206.84,0,0,0,10860.296,860.296,10860.296
20210304,Hold,210.01,0,0,0,10860.296,860.296,10860.296
20210305,Buy,213.62,50,-10686.3405,50,173.955,854.955,10854.955
20210308,Sell,212.18,-50,10603.6955,0,10777.651,777.651,10777.651
20210309,Buy,214.72,50,-10741.367999999999,50,36.283,772.283,10772.283
20210310,Hold,215.0,0,0,50,36.283,786.283,10786.283
20210311,Hold,213.45,0,0,50,36.283,708.783,10708.783
20210312,Sell,211.85,-50,10587.20375,0,10623.487,623.487,10623.487
20210315,Hold,214.84,0,0,0,10623.487,623.487,10623.487
20210316,Buy,213.52,49,-10467.71124,49,155.775,618.255,10618.255
20210317,Sell,210.7,-49,10319.13785,0,10474.913,474.913,10474.913
20210318,Hold,209.81,0,0,0,10474.913,474.913,10474.913
20210319,Buy,211.48,49,-10367.701259999998,49,107.212,469.732,10469.732
20210322,Hold,214.76,0,0,49,107.212,630.452,10630.452
20210323,Hold,215.13,0,0,49,107.212,648.582,10648.582
